Experiment parameters :
Instruction;1. Full speed
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
562.58503588;3767;12286;0;260;96;102;1;14;0;0;4;0;0;0;2;32;64;-2.87111317;-0.934514
562.58905688;3767;12267;0;261;96;102;1;14;0;0;4;0;0;0;2;32;64;-2.87111317;-0.934514
562.60503488;3771;12252;0;258;96;102;0;14;0;0;4;0;0;0;2;32;64;-2.71894396;-0.894094
562.60906088;3771;12234;0;249;95;102;3;14;0;0;4;0;0;0;2;32;64;-2.71894396;-0.894094
562.62503888;3771;12213;0;240;95;101;3;14;0;0;4;0;0;1;0;32;64;-2.71894396;-0.894094
562.62905888;3772;12183;0;237;95;101;2;14;0;0;4;0;0;1;0;32;64;-2.68090165;-0.883990
562.64503688;3773;12137;0;230;95;101;3;14;0;0;4;0;0;1;0;32;64;-2.64285935;-0.873885
562.64905788;3771;12080;0;233;95;101;1;14;0;0;4;0;0;1;0;32;64;-2.71894396;-0.894094
562.66503688;3771;12038;0;239;95;100;6;14;0;0;4;0;0;0;0;32;64;-2.71894396;-0.894094
562.66905688;3772;12003;0;243;95;100;0;14;0;0;4;0;0;0;0;32;64;-2.68090165;-0.883990
562.68503688;3775;11986;0;359;95;100;4;14;0;0;4;0;0;0;0;32;64;-2.56677474;-0.853675
562.68905788;3778;11984;0;415;95;100;4;14;0;0;4;0;0;0;0;32;64;-2.45264783;-0.823360
562.70503588;3776;11983;0;539;95;100;7;14;0;0;4;0;0;0;0;32;64;-2.52873244;-0.843570
562.70906088;3784;11987;0;581;95;99;4;14;0;0;0;0;0;1;2;32;64;-2.22439401;-0.762730
562.72504188;3785;11987;0;602;94;99;4;14;0;0;0;0;0;1;2;32;64;-2.18635171;-0.752625
562.72906088;3789;11989;0;597;94;99;8;14;0;0;0;0;0;1;2;32;64;-2.03418249;-0.712205
562.74503788;3789;11990;0;571;94;99;8;14;0;0;0;0;0;1;2;32;64;-2.03418249;-0.712205
