Experiment parameters :
Instruction;2. Speed emphasis
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.26582894;4239;14181;3;514;89;92;7;14;0;0;4;16;8;0;0;0;64;15.08485410;3.835039
1.26984894;4156;14185;2;561;89;92;5;14;0;0;4;16;8;0;0;0;64;11.92734291;2.996325
1.28582794;4089;14185;2;591;88;91;6;14;0;0;0;16;8;1;2;0;64;9.37850857;2.319291
1.28984994;4024;14191;1;625;88;91;6;14;0;0;0;16;8;1;2;0;64;6.90575884;1.662467
1.30582794;3954;14190;0;662;88;90;4;14;0;0;0;16;8;0;2;0;64;4.24279759;0.955118
1.30984994;3877;14189;0;695;88;90;6;14;0;0;0;16;8;0;2;0;64;1.31354022;0.177034
1.32582794;3830;14193;0;775;87;89;7;14;0;0;0;16;8;1;0;0;64;-0.47444805;-0.297900
1.32985394;3843;14196;0;776;87;89;10;14;0;0;0;16;8;1;0;0;64;0.02010190;-0.166535
1.34582794;3847;14194;0;783;87;89;6;14;0;0;0;16;8;1;0;0;64;0.17227111;-0.126115
1.34985994;3851;14196;0;791;87;89;9;14;0;0;0;16;8;1;0;0;64;0.32444033;-0.085696
1.36482994;3859;14205;0;797;87;89;8;14;0;0;0;16;8;1;0;0;64;0.62877876;-0.004856
1.36985794;3860;14201;0;804;87;88;5;14;0;0;0;16;8;0;0;0;64;0.66682106;0.005249
1.38582994;3865;14205;0;809;86;88;8;14;0;0;0;16;8;0;0;0;64;0.85703258;0.055774
1.38985394;3872;14209;0;811;86;88;9;14;0;0;0;16;8;0;0;0;64;1.12332870;0.126509
1.40583194;3874;14210;0;815;85;88;6;14;0;0;0;16;8;0;0;0;64;1.19941331;0.146719
1.40985394;3879;14210;0;819;85;87;7;14;0;0;4;16;0;1;2;0;64;1.38962483;0.197244
1.42582894;3883;14213;0;822;84;87;9;14;0;0;4;16;0;1;2;0;64;1.54179404;0.237664
1.42985194;3886;14216;0;824;84;87;10;14;0;0;4;16;0;1;2;0;64;1.65592095;0.267979
1.44582694;3885;14215;0;827;83;87;6;14;0;0;4;16;0;1;2;0;64;1.61787865;0.257874
1.44985794;3887;14220;0;828;83;86;6;14;0;0;4;16;0;0;2;0;64;1.69396325;0.278084
1.46583494;3892;14222;0;831;82;86;4;14;0;0;4;16;0;0;2;0;64;1.88417477;0.328609
1.46985094;3892;14222;0;834;82;86;4;14;0;0;4;16;0;0;2;0;64;1.88417477;0.328609
1.48582994;3892;14224;0;838;82;86;8;14;0;0;4;16;0;0;2;0;64;1.88417477;0.328609
1.48985094;3893;14225;0;841;82;86;7;14;0;0;4;16;0;0;2;0;64;1.92221708;0.338714
1.50582894;3894;14227;0;847;81;86;7;14;0;0;4;16;0;0;2;0;64;1.96025938;0.348819
1.50984994;3896;14228;0;852;81;85;11;14;0;0;4;16;0;1;0;0;64;2.03634399;0.369029
1.52582994;3897;14229;0;858;81;85;8;14;0;0;4;16;0;1;0;0;64;2.07438629;0.379134
1.52985094;3900;14232;0;863;81;85;10;14;0;0;4;16;0;1;0;0;64;2.18851320;0.409449
1.54582694;3900;14231;0;867;81;85;6;14;0;0;4;16;0;1;0;0;64;2.18851320;0.409449
1.54985794;3897;14229;0;871;81;85;10;14;0;0;4;16;0;1;0;0;64;2.07438629;0.379134
1.56583494;3902;14233;0;874;81;85;11;14;0;0;4;16;0;1;0;0;64;2.26459781;0.429659
1.56985194;3901;14233;0;875;81;85;10;14;0;0;4;16;0;1;0;0;64;2.22655550;0.419554
1.58582994;3901;14232;0;877;81;85;9;14;0;0;4;16;0;1;0;0;64;2.22655550;0.419554
1.58985094;3902;14235;0;878;81;85;9;14;0;0;4;16;0;1;0;0;64;2.26459781;0.429659
1.60582994;3903;14236;0;881;81;85;4;14;0;0;4;16;0;1;0;0;64;2.30264011;0.439764
1.60985194;3904;14233;0;884;81;85;4;14;0;0;4;16;0;1;0;0;64;2.34068241;0.449869
1.62582994;3903;14236;0;885;81;85;8;14;0;0;4;16;0;1;0;0;64;2.30264011;0.439764
1.62985194;3906;14238;0;887;80;85;11;14;0;0;4;16;0;1;0;0;64;2.41676702;0.470079
1.64582794;3906;14238;0;891;80;84;7;14;0;0;4;16;0;0;0;0;64;2.41676702;0.470079
1.64985494;3907;14238;0;892;80;84;8;14;0;0;4;16;0;0;0;0;64;2.45480933;0.480184
1.66583594;3909;14241;0;894;80;84;10;14;0;0;4;16;0;0;0;0;64;2.53089393;0.500394
1.66985294;3911;14241;0;897;80;84;5;14;0;0;4;16;0;0;0;0;64;2.60697854;0.520604
1.68583094;3908;14239;0;899;80;84;7;14;0;0;4;16;0;0;0;0;64;2.49285163;0.490289
1.68985194;3912;14241;0;901;80;84;7;14;0;0;4;16;0;0;0;0;64;2.64502084;0.530709
1.70583094;3915;14245;0;902;80;84;6;14;0;0;4;16;0;0;0;0;64;2.75914775;0.561024
