Experiment parameters :
Instruction;Full speed
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.19797008;3848;14710;0;757;94;95;14;14;0;0;4;16;8;1;2;0;64;0.21031342;-0.116010
1.20997608;3845;14559;0;680;93;92;14;14;0;0;4;16;8;0;0;0;64;0.09618651;-0.146325
1.21797008;3840;14485;0;651;91;90;14;14;0;0;0;16;8;0;2;0;64;-0.09402501;-0.196850
1.22997408;3852;14454;0;649;90;88;3;14;0;0;0;16;8;0;0;0;64;0.36248263;-0.075591
1.23797408;3847;14453;0;649;88;86;0;14;0;0;4;16;0;0;2;0;64;0.17227111;-0.126115
1.24996908;3854;14458;0;663;87;86;0;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.25797508;3852;14453;0;691;87;87;1;14;0;0;4;16;0;1;2;0;64;0.36248263;-0.075591
1.26997608;3849;14453;0;713;86;88;1;14;0;0;0;16;8;0;0;0;64;0.24835572;-0.105906
1.27797208;3851;14457;0;736;86;88;0;14;0;0;0;16;8;0;0;0;64;0.32444033;-0.085696
1.28997608;3851;14454;0;769;86;88;1;14;0;0;0;16;8;0;0;0;64;0.32444033;-0.085696
1.29797008;3849;14452;0;804;86;88;1;14;0;0;0;16;8;0;0;0;64;0.24835572;-0.105906
1.30997508;3849;14457;0;829;86;88;2;14;0;0;0;16;8;0;0;0;64;0.24835572;-0.105906
1.31797208;3853;14456;0;846;86;88;2;14;0;0;0;16;8;0;0;0;64;0.40052493;-0.065486
1.32997608;3850;14452;0;858;86;88;3;14;0;0;0;16;8;0;0;0;64;0.28639802;-0.095801
