Experiment parameters :
Instruction;2. Speed emphasis
Block number;2
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.12719394;4140;14475;0;380;80;127;11;14;0;0;4;16;8;1;2;32;64;0.02454840;-0.165354
1.13121594;4104;14417;0;595;79;127;14;14;0;0;4;16;8;1;2;32;64;-1.34497453;-0.529134
1.14719294;4095;14343;0;603;79;127;14;14;0;0;4;16;8;1;2;32;64;-1.68735526;-0.620079
1.15121594;4109;14255;0;626;78;127;15;14;0;0;4;16;8;1;2;32;64;-1.15476301;-0.478609
1.16719094;4123;14211;0;841;78;127;3;14;0;0;4;16;8;1;2;32;64;-0.62217076;-0.337139
1.17121294;4127;14209;0;867;77;127;12;14;0;0;4;16;8;1;2;32;64;-0.47000154;-0.296719
1.18719094;4132;14210;0;940;76;127;0;14;0;0;4;16;8;1;2;32;64;-0.27979003;-0.246194
1.19121994;4136;14212;0;1006;76;127;15;14;0;0;4;16;8;1;2;32;64;-0.12762081;-0.205774
1.20719394;4137;14209;0;1023;75;127;14;14;0;0;4;16;8;1;2;32;64;-0.08957851;-0.195669
1.21121594;4141;14208;0;1023;75;127;12;14;0;0;4;16;8;1;2;32;64;0.06259071;-0.155249
1.22719394;4146;14211;0;1023;74;127;13;14;0;0;4;16;8;1;2;32;64;0.25280222;-0.104724
1.23121594;4144;14210;0;1023;74;127;15;14;0;0;4;16;8;1;2;32;64;0.17671762;-0.124934
1.24719394;4144;14208;0;1023;74;127;14;14;0;0;4;16;8;1;2;32;64;0.17671762;-0.124934
1.25121694;4147;14210;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;0.29084453;-0.094619
1.26719194;4144;14210;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;0.17671762;-0.124934
1.27121494;4137;14204;0;1023;73;127;12;14;0;0;4;16;8;1;2;32;64;-0.08957851;-0.195669
1.28719094;4140;14208;0;1023;73;127;2;14;0;0;4;16;8;1;2;32;64;0.02454840;-0.165354
1.29122294;4142;14210;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;0.10063301;-0.145144
1.30719294;4138;14206;0;1023;73;127;14;14;0;0;4;16;8;1;2;32;64;-0.05153621;-0.185564
1.31121794;4137;14206;0;1023;73;127;15;14;0;0;4;16;8;1;2;32;64;-0.08957851;-0.195669
1.32719494;4140;14210;0;1023;73;127;15;14;0;0;4;16;8;1;2;32;64;0.02454840;-0.165354
1.33121794;4139;14204;0;1023;73;127;12;14;0;0;4;16;8;1;2;32;64;-0.01349390;-0.175459
1.34719394;4144;14205;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;0.17671762;-0.124934
1.35121694;4150;14209;0;1023;73;127;12;14;0;0;4;16;8;1;2;32;64;0.40497144;-0.064304
1.36719394;4151;14207;0;1023;73;127;12;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.37121894;4153;14205;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;0.51909835;-0.033990
1.38719394;4157;14207;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;0.67126756;0.006430
1.39122694;4159;14207;0;1023;73;127;12;14;0;0;4;16;8;1;2;32;64;0.74735217;0.026640
1.40735794;4156;14202;0;1023;73;127;15;14;0;0;4;16;8;1;2;32;64;0.63322526;-0.003675
1.41122494;4161;14205;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.82343678;0.046850
1.42719494;4162;14206;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.43121794;4162;14203;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.44719494;4160;14203;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.78539447;0.036745
1.45121894;4163;14206;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.89952138;0.067060
1.46719494;4160;14203;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.78539447;0.036745
1.47121794;4162;14202;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.48719394;4163;14204;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.89952138;0.067060
1.49121394;4164;14204;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.50719294;4164;14203;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.51122494;4167;14206;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;1.05169060;0.107480
1.52720094;4165;14205;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.97560599;0.087270
1.53121894;4164;14202;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.54719594;4165;14206;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;0.97560599;0.087270
1.55121894;4165;14205;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.97560599;0.087270
1.56719594;4164;14203;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.57121994;4166;14206;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;1.01364829;0.097375
1.58719494;4164;14209;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.59121894;4165;14204;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.97560599;0.087270
1.60719394;4163;14203;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.89952138;0.067060
1.61122294;4165;14207;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.97560599;0.087270
1.62719994;4162;14207;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.63121994;4162;14204;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.64719694;4162;14205;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.65121994;4164;14207;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.66719694;4162;14204;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.67121994;4163;14205;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;0.89952138;0.067060
1.68719594;4164;14210;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.69121994;4162;14204;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.70719394;4164;14206;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.71122894;4164;14207;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.72736194;4163;14205;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;0.89952138;0.067060
1.73122594;4164;14206;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.74719794;4166;14209;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;1.01364829;0.097375
1.75121994;4166;14207;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;1.01364829;0.097375
1.76719694;4166;14206;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;1.01364829;0.097375
1.77121994;4168;14209;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;1.08973290;0.117585
1.78719594;4169;14209;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;1.12777520;0.127690
1.79121994;4168;14206;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;1.08973290;0.117585
1.80719494;4169;14207;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;1.12777520;0.127690
1.81122594;4167;14210;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;1.05169060;0.107480
1.82736194;4168;14203;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;1.08973290;0.117585
1.83122594;4170;14207;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;1.16581751;0.137795
1.84719694;4173;14209;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;1.27994442;0.168110
1.85121894;4170;14206;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;1.16581751;0.137795
1.86719694;4170;14205;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.16581751;0.137795
1.87121994;4173;14208;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;1.27994442;0.168110
1.88719694;4173;14209;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;1.27994442;0.168110
1.89122094;4171;14207;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;1.20385981;0.147900
1.90719494;4174;14209;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.31798672;0.178215
1.91121594;4172;14209;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.24190212;0.158005
1.92719494;4168;14206;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;1.08973290;0.117585
1.93122694;4170;14207;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.16581751;0.137795
1.94720294;4174;14210;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;1.31798672;0.178215
1.95122194;4168;14204;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.08973290;0.117585
1.96719894;4172;14207;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;1.24190212;0.158005
1.97122094;4171;14207;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;1.20385981;0.147900
1.98719894;4168;14207;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;1.08973290;0.117585
1.99122194;4171;14205;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.20385981;0.147900
2.00719794;4173;14208;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;1.27994442;0.168110
2.01122094;4173;14206;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.27994442;0.168110
2.02719694;4173;14206;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;1.27994442;0.168110
2.03122894;4175;14205;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;1.35602903;0.188320
2.04720494;4176;14207;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.39407133;0.198425
2.05122694;4177;14205;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;1.43211363;0.208530
2.06719894;4178;14207;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;1.47015594;0.218635
2.07122194;4179;14208;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;1.50819824;0.228740
2.07922094;4177;14204;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;1.43211363;0.208530
2.09920094;4177;14205;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;1.43211363;0.208530
