Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;2
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.58317304;3995;14234;-1;783;91;127;2;14;0;0;4;16;8;1;2;32;64;-5.49158561;-1.630577
0.58720404;4000;14237;-1;811;91;127;0;14;0;0;4;16;8;1;2;32;64;-5.30137409;-1.580052
0.60317504;4004;14235;-1;822;90;127;2;14;0;0;4;16;8;1;2;32;64;-5.14920488;-1.539633
0.60720004;4008;14235;-1;856;89;127;3;14;0;0;4;16;8;1;2;32;64;-4.99703566;-1.499213
0.62317504;4012;14236;-1;898;88;127;3;14;0;0;4;16;8;1;2;32;64;-4.84486645;-1.458793
0.62719904;4016;14235;-1;937;87;127;1;14;0;0;4;16;8;1;2;32;64;-4.69269724;-1.418373
0.64317504;4018;14234;-1;965;86;126;2;14;0;0;4;16;8;0;2;32;64;-4.61661263;-1.398163
0.64719904;4023;14238;-1;990;86;126;3;14;0;0;4;16;8;0;2;32;64;-4.42640111;-1.347638
0.66317404;4030;14239;-1;1004;85;126;1;14;0;0;4;16;8;0;2;32;64;-4.16010499;-1.276903
0.66719904;4031;14234;-1;1018;85;126;1;14;0;0;4;16;8;0;2;32;64;-4.12206268;-1.266798
0.68317404;4038;14235;-1;1023;85;126;1;14;0;0;4;16;8;0;2;32;64;-3.85576656;-1.196063
0.68720504;4046;14239;-1;1023;84;126;0;14;0;0;4;16;8;0;2;32;64;-3.55142813;-1.115223
0.70332404;4052;14238;-1;1023;84;126;13;14;0;0;4;16;8;0;2;32;64;-3.32317431;-1.054593
0.70720004;4060;14238;0;1023;83;126;0;14;0;0;4;16;8;0;2;32;64;-3.01883588;-0.973753
0.72317704;4068;14244;0;1023;82;126;0;14;0;0;4;16;8;0;2;32;64;-2.71449745;-0.892913
0.72719904;4075;14242;0;1023;82;126;12;14;0;0;4;16;8;0;2;32;64;-2.44820133;-0.822178
0.74317704;4080;14240;0;1023;81;126;15;14;0;0;4;16;8;0;2;32;64;-2.25798981;-0.771654
0.74719904;4087;14243;0;1023;80;126;1;14;0;0;4;16;8;0;2;32;64;-1.99169369;-0.700919
0.76317604;4093;14245;0;1023;80;126;12;14;0;0;4;16;8;0;2;32;64;-1.76343986;-0.640289
0.76719904;4094;14241;0;1023;79;126;13;14;0;0;4;16;8;0;2;32;64;-1.72539756;-0.630184
0.78317404;4094;14241;0;1023;79;126;3;14;0;0;4;16;8;0;2;32;64;-1.72539756;-0.630184
0.78719404;4100;14244;0;1023;78;126;3;14;0;0;4;16;8;0;2;32;64;-1.49714374;-0.569554
0.80317404;4096;14241;0;1023;78;126;12;14;0;0;4;16;8;0;2;32;64;-1.64931295;-0.609974
0.80720404;4097;14241;0;1023;78;126;1;14;0;0;4;16;8;0;2;32;64;-1.61127065;-0.599869
0.82318104;4097;14244;0;1023;77;126;2;14;0;0;4;16;8;0;2;32;64;-1.61127065;-0.599869
0.82719904;4095;14242;0;1023;77;126;13;14;0;0;4;16;8;0;2;32;64;-1.68735526;-0.620079
0.84317704;4091;14240;0;1023;77;126;3;14;0;0;4;16;8;0;2;32;64;-1.83952447;-0.660499
0.84719904;4096;14245;0;1023;77;126;1;14;0;0;4;16;8;0;2;32;64;-1.64931295;-0.609974
0.86317604;4095;14244;0;1023;77;126;12;14;0;0;4;16;8;0;2;32;64;-1.68735526;-0.620079
0.86719904;4091;14241;0;1023;77;126;14;14;0;0;4;16;8;0;2;32;64;-1.83952447;-0.660499
0.88317504;4089;14244;0;1023;78;126;15;14;0;0;4;16;8;0;2;32;64;-1.91560908;-0.680709
0.88720004;4091;14243;0;1023;78;126;13;14;0;0;4;16;8;0;2;32;64;-1.83952447;-0.660499
0.90317504;4090;14241;0;1023;78;126;13;14;0;0;4;16;8;0;2;32;64;-1.87756677;-0.670604
0.90720804;4092;14244;0;1023;78;126;12;14;0;0;4;16;8;0;2;32;64;-1.80148217;-0.650394
0.92332104;4096;14246;0;1023;78;126;13;14;0;0;4;16;8;0;2;32;64;-1.64931295;-0.609974
0.92720104;4098;14243;0;1023;77;126;15;14;0;0;4;16;8;0;2;32;64;-1.57322835;-0.589764
0.94317704;4101;14243;0;1023;77;126;15;14;0;0;4;16;8;0;2;32;64;-1.45910144;-0.559449
0.94720004;4105;14248;0;1023;77;126;12;14;0;0;4;16;8;0;2;32;64;-1.30693222;-0.519029
0.96242604;4109;14243;0;1023;77;126;13;14;0;0;4;16;8;0;2;32;64;-1.15476301;-0.478609
0.96720004;4109;14243;0;1023;77;126;15;14;0;0;4;16;8;0;2;32;64;-1.15476301;-0.478609
0.98317704;4116;14246;0;1023;77;127;12;14;0;0;4;16;8;1;2;32;64;-0.88846688;-0.407874
0.98720104;4120;14244;0;1023;76;127;13;14;0;0;4;16;8;1;2;32;64;-0.73629767;-0.367454
1.00317804;4122;14242;0;1023;76;127;13;14;0;0;4;16;8;1;2;32;64;-0.66021306;-0.347244
1.00720004;4126;14247;0;1023;76;127;15;14;0;0;4;16;8;1;2;32;64;-0.50804385;-0.306824
1.02317604;4134;14248;0;1023;75;127;14;14;0;0;4;16;8;1;2;32;64;-0.20370542;-0.225984
1.02720504;4133;14246;0;1023;75;127;14;14;0;0;4;16;8;1;2;32;64;-0.24174772;-0.236089
1.04318304;4142;14245;0;1023;74;127;15;14;0;0;4;16;8;1;2;32;64;0.10063301;-0.145144
1.04720104;4147;14248;0;1023;74;127;12;14;0;0;4;16;8;1;2;32;64;0.29084453;-0.094619
1.06317804;4146;14245;0;1023;73;127;14;14;0;0;4;16;8;1;2;32;64;0.25280222;-0.104724
1.06720104;4149;14247;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.08317804;4150;14247;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;0.40497144;-0.064304
1.08720204;4147;14246;0;1023;72;127;15;14;0;0;4;16;8;1;2;32;64;0.29084453;-0.094619
1.10317704;4148;14246;0;1023;72;127;13;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.10720204;4148;14250;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.12317604;4152;14248;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.48105604;-0.044094
1.12720904;4148;14248;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.14322104;4151;14247;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.14720304;4154;14251;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;0.55714065;-0.023885
1.16317904;4151;14246;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.16720204;4153;14247;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.51909835;-0.033990
1.18317804;4154;14250;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.55714065;-0.023885
1.18720204;4149;14246;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.20318004;4150;14248;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.40497144;-0.064304
1.20720104;4152;14251;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.48105604;-0.044094
1.22217704;4148;14246;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.22720204;4146;14246;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.25280222;-0.104724
1.24317604;4151;14251;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.24721004;4149;14247;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.26322004;4149;14245;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.26720404;4152;14249;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.48105604;-0.044094
1.28317904;4152;14248;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;0.48105604;-0.044094
