Experiment parameters :
Instruction;3. Speed/accuracy balance
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.75328498;3709;16566;-1;460;107;87;10;14;0;0;4;16;0;1;2;0;64;-5.07756677;-1.520604
0.75730398;3747;16507;-1;537;107;87;4;14;0;0;4;16;0;1;2;0;64;-3.63195924;-1.136614
0.81730898;3854;16287;0;579;98;89;9;14;0;0;0;16;8;1;0;0;64;0.43856724;-0.055381
0.82530198;3832;16295;0;595;98;89;12;14;0;0;0;16;8;1;0;0;64;-0.39836344;-0.277690
0.84528298;3810;16295;0;552;96;88;14;14;0;0;0;16;8;0;0;0;64;-1.23529412;-0.500000
0.84935398;3796;16296;0;565;94;88;15;14;0;0;0;16;8;0;0;0;64;-1.76788637;-0.641470
0.86428798;3798;16301;0;597;93;88;15;14;0;0;0;16;8;0;0;0;64;-1.69180176;-0.621260
0.86930598;3798;16302;0;601;92;87;14;14;0;0;4;16;0;1;2;0;64;-1.69180176;-0.621260
0.88528698;3797;16298;0;608;91;87;15;14;0;0;4;16;0;1;2;0;64;-1.72984406;-0.631365
0.88930598;3796;16301;0;635;91;87;15;14;0;0;4;16;0;1;2;0;64;-1.76788637;-0.641470
0.90528498;3799;16305;0;676;91;87;12;14;0;0;4;16;0;1;2;0;64;-1.65375946;-0.611155
0.90930598;3795;16301;0;709;91;87;15;14;0;0;4;16;0;1;2;0;64;-1.80592867;-0.651575
0.92528498;3798;16304;0;729;91;87;12;14;0;0;4;16;0;1;2;0;64;-1.69180176;-0.621260
0.92930598;3798;16306;0;757;91;87;12;14;0;0;4;16;0;1;2;0;64;-1.69180176;-0.621260
0.94528398;3797;16307;0;782;91;87;10;14;0;0;4;16;0;1;2;0;64;-1.72984406;-0.631365
0.94930898;3797;16307;0;792;90;87;10;14;0;0;4;16;0;1;2;0;64;-1.72984406;-0.631365
0.96528798;3798;16306;0;783;90;87;13;14;0;0;4;16;0;1;2;0;64;-1.69180176;-0.621260
0.96930598;3802;16311;0;781;90;87;10;14;0;0;4;16;0;1;2;0;64;-1.53963255;-0.580840
0.98528598;3805;16311;0;783;89;87;10;14;0;0;4;16;0;1;2;0;64;-1.42550564;-0.550525
0.98930598;3805;16310;0;783;89;87;9;14;0;0;4;16;0;1;2;0;64;-1.42550564;-0.550525
1.00528498;3812;16312;0;784;88;87;9;14;0;0;4;16;0;1;2;0;64;-1.15920951;-0.479790
1.00930598;3815;16316;0;783;88;87;10;14;0;0;4;16;0;1;2;0;64;-1.04508260;-0.449475
1.02528498;3814;16313;0;784;87;87;9;14;0;0;4;16;0;1;2;0;64;-1.08312490;-0.459580
1.02930598;3817;16312;0;786;87;87;11;14;0;0;4;16;0;1;2;0;64;-0.96899799;-0.429265
1.04528398;3821;16316;0;790;86;87;11;14;0;0;4;16;0;1;2;0;64;-0.81682878;-0.388845
1.04932398;3826;16319;0;797;86;87;10;14;0;0;4;16;0;1;2;0;64;-0.62661726;-0.338320
1.06528298;3827;16313;0;804;86;88;11;14;0;0;0;16;8;0;0;0;64;-0.58857496;-0.328215
1.06930898;3833;16317;0;813;85;88;11;14;0;0;0;16;8;0;0;0;64;-0.36032114;-0.267585
1.08528698;3839;16321;0;825;85;88;8;14;0;0;0;16;8;0;0;0;64;-0.13206732;-0.206955
