Experiment parameters :
Instruction;5. Full accuracy
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.78528898;3749;16297;-1;635;100;100;11;14;0;0;4;0;0;0;0;32;64;-3.55587463;-1.116404
1.78930898;3756;16300;-1;628;97;99;9;14;0;0;0;0;0;1;2;32;64;-3.28957851;-1.045669
1.80528898;3754;16304;-1;601;96;98;9;14;0;0;0;0;0;0;2;32;64;-3.36566312;-1.065879
1.80930998;3758;16302;-1;584;94;98;9;14;0;0;0;0;0;0;2;32;64;-3.21349390;-1.025459
1.82528698;3758;16302;-1;588;93;97;10;14;0;0;0;0;0;1;0;32;64;-3.21349390;-1.025459
1.82930698;3757;16308;-1;601;93;96;8;14;0;0;0;0;0;0;0;32;64;-3.25153621;-1.035564
1.84528698;3756;16304;-1;614;93;96;8;14;0;0;0;0;0;0;0;32;64;-3.28957851;-1.045669
1.84931298;3758;16301;-1;623;92;96;9;14;0;0;0;0;0;0;0;32;64;-3.21349390;-1.025459
1.86529098;3758;16302;-1;639;92;96;9;14;0;0;0;0;0;0;0;32;64;-3.21349390;-1.025459
1.86930898;3760;16305;-1;648;92;96;8;14;0;0;0;0;0;0;0;32;64;-3.13740929;-1.005249
1.88528998;3759;16306;-1;653;92;96;8;14;0;0;0;0;0;0;0;32;64;-3.17545160;-1.015354
1.88930898;3758;16301;-1;657;92;96;11;14;0;0;0;0;0;0;0;32;64;-3.21349390;-1.025459
1.90528898;3762;16304;0;661;92;96;9;14;0;0;0;0;0;0;0;32;64;-3.06132469;-0.985039
1.90930998;3765;16307;0;666;92;96;10;14;0;0;0;0;0;0;0;32;64;-2.94719778;-0.954724
1.92528898;3765;16303;0;674;92;96;10;14;0;0;0;0;0;0;0;32;64;-2.94719778;-0.954724
1.92930998;3769;16304;0;684;92;96;8;14;0;0;0;0;0;0;0;32;64;-2.79502856;-0.914304
1.94528698;3772;16307;0;695;92;96;9;14;0;0;0;0;0;0;0;32;64;-2.68090165;-0.883990
1.94931698;3772;16308;0;701;92;96;8;14;0;0;0;0;0;0;0;32;64;-2.68090165;-0.883990
1.96529298;3773;16308;0;706;91;96;10;14;0;0;0;0;0;0;0;32;64;-2.64285935;-0.873885
1.96931098;3774;16306;0;713;91;96;9;14;0;0;0;0;0;0;0;32;64;-2.60481704;-0.863780
1.97730798;3777;16310;0;719;91;96;10;14;0;0;0;0;0;0;0;32;64;-2.49069013;-0.833465
