Experiment parameters :
Instruction;25% speed / 75% accuracy
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
3.02932291;4285;14408;4;244;97;89;8;14;0;0;0;16;8;1;0;0;64;16.83480006;4.299869
3.03731591;4256;14408;4;367;97;89;11;14;0;0;0;16;8;1;0;0;64;15.73157326;4.006824
3.04932191;4225;14408;3;375;96;88;11;14;0;0;0;16;8;0;0;0;64;14.55226185;3.693570
3.05732191;4180;14407;3;410;96;88;13;14;0;0;0;16;8;0;0;0;64;12.84035819;3.238845
3.06931491;4128;14409;2;445;96;88;13;14;0;0;0;16;8;0;0;0;64;10.86215841;2.713386
3.07644691;4074;14409;2;473;95;88;10;14;0;0;0;16;8;0;0;0;64;8.80787402;2.167717
3.08931591;4015;14405;1;496;95;88;10;14;0;0;0;16;8;0;0;0;64;6.56337811;1.571522
3.09732191;3962;14406;1;542;95;88;9;14;0;0;0;16;8;0;0;0;64;4.54713602;1.035958
3.10932191;3906;14409;0;580;95;88;10;14;0;0;0;16;8;0;0;0;64;2.41676702;0.470079
3.11731591;3856;14403;0;638;94;88;11;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171
3.12932391;3848;14413;0;848;94;88;8;14;0;0;0;16;8;0;0;0;64;0.21031342;-0.116010
3.13732091;3850;14418;0;883;94;88;8;14;0;0;0;16;8;0;0;0;64;0.28639802;-0.095801
3.14932491;3846;14417;0;905;94;87;10;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.136220
3.15732591;3846;14415;0;932;93;87;11;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.136220
3.16932091;3848;14418;0;952;93;88;11;14;0;0;0;16;8;0;0;0;64;0.21031342;-0.116010
3.17732591;3848;14415;0;966;93;88;11;14;0;0;0;16;8;0;0;0;64;0.21031342;-0.116010
3.18932591;3847;14416;0;973;93;88;10;14;0;0;0;16;8;0;0;0;64;0.17227111;-0.126115
3.19732191;3846;14417;0;974;93;88;8;14;0;0;0;16;8;0;0;0;64;0.13422881;-0.136220
