Experiment parameters :
Instruction;1. Full speed
Block number;5
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.69520207;4029;14219;-1;298;94;119;14;14;0;0;4;16;0;1;2;32;64;-4.19814729;-1.287008
2.71118007;4000;14225;-1;304;94;119;0;14;0;0;4;16;0;1;2;32;64;-5.30137409;-1.580052
2.71520207;3973;14214;-1;321;94;119;3;14;0;0;4;16;0;1;2;32;64;-6.32851629;-1.852887
2.73117807;3971;14215;-1;376;94;119;4;14;0;0;4;16;0;1;2;32;64;-6.40460090;-1.873097
2.73519907;3974;14219;-1;386;94;119;2;14;0;0;4;16;0;1;2;32;64;-6.29047398;-1.842782
2.75117707;3972;14216;-1;393;93;119;1;14;0;0;4;16;0;1;2;32;64;-6.36655859;-1.862992
2.75520707;3971;14216;-1;450;93;119;0;14;0;0;4;16;0;1;2;32;64;-6.40460090;-1.873097
2.77118107;3973;14219;-1;516;93;119;0;14;0;0;4;16;0;1;2;32;64;-6.32851629;-1.852887
2.77520307;3974;14218;-1;567;93;119;3;14;0;0;4;16;0;1;2;32;64;-6.29047398;-1.842782
2.79118007;3970;14215;-1;595;93;119;1;14;0;0;4;16;0;1;2;32;64;-6.44264320;-1.883202
2.79520307;3977;14222;-1;633;93;119;1;14;0;0;4;16;0;1;2;32;64;-6.17634707;-1.812467
2.81118007;3980;14225;-1;657;93;119;4;14;0;0;4;16;0;1;2;32;64;-6.06222016;-1.782152
2.81520407;3975;14223;-1;679;93;119;4;14;0;0;4;16;0;1;2;32;64;-6.25243168;-1.832677
2.83118007;3977;14224;-1;702;93;119;4;14;0;0;4;16;0;1;2;32;64;-6.17634707;-1.812467
2.83520307;3979;14228;-1;725;93;119;4;14;0;0;4;16;0;1;2;32;64;-6.10026247;-1.792257
2.85117807;3977;14225;-1;744;93;119;5;14;0;0;4;16;0;1;2;32;64;-6.17634707;-1.812467
2.85521107;3976;14229;-1;758;93;118;5;14;0;0;4;16;0;0;2;32;64;-6.21438938;-1.822572
2.87124807;3977;14229;-1;769;93;118;3;14;0;0;4;16;0;0;2;32;64;-6.17634707;-1.812467
2.87520607;3975;14227;-1;778;93;118;1;14;0;0;4;16;0;0;2;32;64;-6.25243168;-1.832677
2.89118107;3975;14228;-1;782;93;118;3;14;0;0;4;16;0;0;2;32;64;-6.25243168;-1.832677
2.89520407;3976;14230;-1;784;93;119;1;14;0;0;4;16;0;1;2;32;64;-6.21438938;-1.822572
2.91118107;3977;14230;-1;783;92;119;0;14;0;0;4;16;0;1;2;32;64;-6.17634707;-1.812467
2.91520407;3975;14227;-1;784;92;119;3;14;0;0;4;16;0;1;2;32;64;-6.25243168;-1.832677
2.93118107;3978;14228;-1;783;92;119;1;14;0;0;4;16;0;1;2;32;64;-6.13830477;-1.802362
2.93520407;3979;14229;-1;783;92;119;3;14;0;0;4;16;0;1;2;32;64;-6.10026247;-1.792257
2.94320907;3979;14226;-1;781;92;119;1;14;0;0;4;16;0;1;2;32;64;-6.10026247;-1.792257
2.96318107;3977;14229;-1;780;92;119;3;14;0;0;4;16;0;1;2;32;64;-6.17634707;-1.812467
2.96720407;3982;14230;-1;778;92;119;2;14;0;0;4;16;0;1;2;32;64;-5.98613556;-1.761942
2.98317907;3980;14228;-1;778;92;119;1;14;0;0;4;16;0;1;2;32;64;-6.06222016;-1.782152
2.98720007;3979;14228;-1;777;92;119;2;14;0;0;4;16;0;1;2;32;64;-6.10026247;-1.792257
3.00317907;3983;14232;-1;777;92;119;0;14;0;0;4;16;0;1;2;32;64;-5.94809325;-1.751837
3.00720907;3984;14228;-1;777;92;119;3;14;0;0;4;16;0;1;2;32;64;-5.91005095;-1.741732
3.02318307;3988;14227;-1;776;92;119;3;14;0;0;4;16;0;1;2;32;64;-5.75788174;-1.701312
3.02720407;3999;14229;-1;775;92;119;0;14;0;0;4;16;0;1;2;32;64;-5.33941640;-1.590157
3.04318107;4006;14226;-1;776;92;119;3;14;0;0;4;16;0;1;2;32;64;-5.07312027;-1.519423
3.04720407;4013;14224;-1;775;92;119;2;14;0;0;4;16;0;1;2;32;64;-4.80682415;-1.448688
3.06318107;4021;14226;-1;775;93;119;1;14;0;0;4;16;0;1;2;32;64;-4.50248572;-1.367848
3.06720407;4023;14224;-1;775;93;119;3;14;0;0;4;16;0;1;2;32;64;-4.42640111;-1.347638
3.08318207;4024;14223;-1;776;93;119;3;14;0;0;4;16;0;1;2;32;64;-4.38835881;-1.337533
3.08720707;4026;14224;-1;776;93;119;2;14;0;0;4;16;0;1;2;32;64;-4.31227420;-1.317323
3.10318107;4032;14225;-1;775;93;119;0;14;0;0;4;16;0;1;2;32;64;-4.08402038;-1.256693
3.10720907;4036;14223;-1;774;92;119;0;14;0;0;4;16;0;1;2;32;64;-3.93185117;-1.216273
3.12318907;4047;14223;-1;773;92;119;0;14;0;0;4;16;0;1;2;32;64;-3.51338583;-1.105118
3.12720707;4059;14223;0;772;92;119;2;14;0;0;4;16;0;1;2;32;64;-3.05687818;-0.983858
3.14318207;4065;14221;0;773;92;119;2;14;0;0;4;16;0;1;2;32;64;-2.82862436;-0.923228
3.14720507;4078;14222;0;773;92;119;0;14;0;0;4;16;0;1;2;32;64;-2.33407442;-0.791864
3.16318307;4086;14223;0;775;92;119;2;14;0;0;4;16;0;1;2;32;64;-2.02973599;-0.711024
3.16720607;4083;14219;0;776;93;119;1;14;0;0;4;16;0;1;2;32;64;-2.14386290;-0.741339
3.18318207;4086;14219;0;777;93;119;1;14;0;0;4;16;0;1;2;32;64;-2.02973599;-0.711024
3.18720607;4085;14223;0;780;93;119;4;14;0;0;4;16;0;1;2;32;64;-2.06777829;-0.721129
3.20318007;4085;14220;0;784;93;119;2;14;0;0;4;16;0;1;2;32;64;-2.06777829;-0.721129
3.20721207;4085;14219;0;788;93;119;3;14;0;0;4;16;0;1;2;32;64;-2.06777829;-0.721129
3.22325307;4087;14221;0;793;93;119;0;14;0;0;4;16;0;1;2;32;64;-1.99169369;-0.700919
3.22720707;4086;14221;0;798;93;119;0;14;0;0;4;16;0;1;2;32;64;-2.02973599;-0.711024
3.24318207;4084;14218;0;801;93;119;3;14;0;0;4;16;0;1;2;32;64;-2.10582060;-0.731234
3.24720607;4087;14222;0;801;93;119;2;14;0;0;4;16;0;1;2;32;64;-1.99169369;-0.700919
3.26318307;4088;14222;0;801;93;119;0;14;0;0;4;16;0;1;2;32;64;-1.95365138;-0.690814
3.26720507;4085;14219;0;800;93;119;2;14;0;0;4;16;0;1;2;32;64;-2.06777829;-0.721129
3.28318307;4088;14219;0;800;93;119;3;14;0;0;4;16;0;1;2;32;64;-1.95365138;-0.690814
3.28720507;4089;14221;0;799;94;119;0;14;0;0;4;16;0;1;2;32;64;-1.91560908;-0.680709
3.30318107;4092;14218;0;800;94;119;2;14;0;0;4;16;0;1;2;32;64;-1.80148217;-0.650394
3.30720207;4098;14220;0;801;94;119;2;14;0;0;4;16;0;1;2;32;64;-1.57322835;-0.589764
3.32318007;4110;14220;0;803;93;119;3;14;0;0;4;16;0;1;2;32;64;-1.11672070;-0.468504
3.32721107;4120;14218;0;804;93;119;3;14;0;0;4;16;0;1;2;32;64;-0.73629767;-0.367454
3.34318407;4128;14218;0;805;93;119;2;14;0;0;4;16;0;1;2;32;64;-0.43195924;-0.286614
3.34720607;4142;14221;0;804;93;119;2;14;0;0;4;16;0;1;2;32;64;0.10063301;-0.145144
3.36318407;4157;14218;0;804;93;119;1;14;0;0;4;16;0;1;2;32;64;0.67126756;0.006430
3.36720707;4174;14220;0;804;93;119;0;14;0;0;4;16;0;1;2;32;64;1.31798672;0.178215
3.38318407;4192;14221;0;805;93;119;2;14;0;0;4;16;0;1;2;32;64;2.00274819;0.360105
3.38720707;4204;14222;0;804;93;119;2;14;0;0;4;16;0;1;2;32;64;2.45925583;0.481365
3.40318207;4210;14219;0;805;93;119;3;14;0;0;4;16;0;1;2;32;64;2.68750965;0.541995
3.40720407;4217;14219;0;805;93;119;0;14;0;0;4;16;0;1;2;32;64;2.95380577;0.612730
3.42318207;4221;14223;0;807;93;119;4;14;0;0;4;16;0;1;2;32;64;3.10597499;0.653150
3.42721207;4222;14218;0;807;92;119;2;14;0;0;4;16;0;1;2;32;64;3.14401729;0.663255
3.44318507;4223;14218;0;809;92;119;3;14;0;0;4;16;0;1;2;32;64;3.18205960;0.673360
3.44720707;4225;14223;0;809;92;119;4;14;0;0;4;16;0;1;2;32;64;3.25814420;0.693570
3.46318407;4222;14218;0;810;92;119;2;14;0;0;4;16;0;1;2;32;64;3.14401729;0.663255
3.46720707;4224;14219;0;811;92;119;4;14;0;0;4;16;0;1;2;32;64;3.22010190;0.683465
3.48318407;4224;14222;0;814;92;119;5;14;0;0;4;16;0;1;2;32;64;3.22010190;0.683465
3.48720707;4220;14219;0;817;92;119;2;14;0;0;4;16;0;1;2;32;64;3.06793268;0.643045
3.50318407;4222;14218;0;819;92;119;5;14;0;0;4;16;0;1;2;32;64;3.14401729;0.663255
3.50720907;4221;14221;0;821;93;119;2;14;0;0;4;16;0;1;2;32;64;3.10597499;0.653150
3.52318207;4220;14221;0;823;93;119;3;14;0;0;4;16;0;1;2;32;64;3.06793268;0.643045
3.52721607;4219;14220;0;824;93;119;2;14;0;0;4;16;0;1;2;32;64;3.02989038;0.632940
3.54325307;4220;14223;0;825;93;119;2;14;0;0;4;16;0;1;2;32;64;3.06793268;0.643045
3.54720807;4221;14221;0;825;93;119;1;14;0;0;4;16;0;1;2;32;64;3.10597499;0.653150
3.56318507;4220;14221;0;826;93;119;2;14;0;0;4;16;0;1;2;32;64;3.06793268;0.643045
3.56720707;4219;14220;0;826;93;119;2;14;0;0;4;16;0;1;2;32;64;3.02989038;0.632940
3.58318507;4218;14222;0;827;93;119;2;14;0;0;4;16;0;1;2;32;64;2.99184808;0.622835
3.58720707;4216;14220;0;827;93;119;3;14;0;0;4;16;0;1;2;32;64;2.91576347;0.602625
3.60318307;4218;14219;0;828;93;119;0;14;0;0;4;16;0;1;2;32;64;2.99184808;0.622835
3.60720907;4220;14222;0;828;93;119;3;14;0;0;4;16;0;1;2;32;64;3.06793268;0.643045
3.62318507;4218;14221;0;829;93;119;0;14;0;0;4;16;0;1;2;32;64;2.99184808;0.622835
3.62720607;4217;14219;0;830;93;119;0;14;0;0;4;16;0;1;2;32;64;2.95380577;0.612730
3.64318207;4216;14223;0;830;93;119;6;14;0;0;4;16;0;1;2;32;64;2.91576347;0.602625
3.64721307;4209;14220;0;829;93;119;0;14;0;0;4;16;0;1;2;32;64;2.64946735;0.531890
3.66318507;4202;14221;0;828;93;119;2;14;0;0;4;16;0;1;2;32;64;2.38317122;0.461155
3.66720807;4195;14223;0;828;93;119;0;14;0;0;4;16;0;1;2;32;64;2.11687510;0.390420
3.68318607;4187;14221;0;827;92;119;2;14;0;0;4;16;0;1;2;32;64;1.81253667;0.309580
3.68720807;4174;14219;0;827;93;119;1;14;0;0;4;16;0;1;2;32;64;1.31798672;0.178215
3.70318607;4167;14223;0;826;93;119;2;14;0;0;4;16;0;1;2;32;64;1.05169060;0.107480
3.70720907;4161;14223;0;826;93;119;1;14;0;0;4;16;0;1;2;32;64;0.82343678;0.046850
3.72318607;4153;14220;0;825;93;119;0;14;0;0;4;16;0;1;2;32;64;0.51909835;-0.033990
3.72720807;4147;14219;0;825;93;119;2;14;0;0;4;16;0;1;2;32;64;0.29084453;-0.094619
3.74318407;4148;14223;0;824;93;119;4;14;0;0;4;16;0;1;2;32;64;0.32888683;-0.084514
3.74721707;4141;14219;0;824;93;119;0;14;0;0;4;16;0;1;2;32;64;0.06259071;-0.155249
3.76332707;4138;14217;0;824;93;119;1;14;0;0;4;16;0;1;2;32;64;-0.05153621;-0.185564
3.76721107;4136;14222;0;824;93;119;2;14;0;0;4;16;0;1;2;32;64;-0.12762081;-0.205774
3.78318607;4133;14219;0;823;93;119;3;14;0;0;4;16;0;1;2;32;64;-0.24174772;-0.236089
