Experiment parameters :
Instruction;Speed emphasis
Block number;5
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.93328797;4271;14662;4;258;89;99;11;14;0;0;0;0;0;1;2;32;64;16.30220781;4.158399
1.94529497;4235;14638;3;257;88;99;15;14;0;0;0;0;0;1;2;32;64;14.93268488;3.794619
1.95329697;4204;14627;3;247;88;100;15;14;0;0;4;0;0;0;0;32;64;13.75337348;3.481365
1.96528997;4166;14613;3;255;88;100;15;14;0;0;4;0;0;0;0;32;64;12.30776594;3.097375
1.97329597;4122;14595;2;287;88;100;12;14;0;0;4;0;0;0;0;32;64;10.63390459;2.652756
1.98529697;4071;14579;2;321;87;100;12;14;0;0;4;0;0;0;0;32;64;8.69374711;2.137402
1.99328897;4018;14564;1;356;87;100;3;14;0;0;4;0;0;0;0;32;64;6.67750502;1.601837
2.00530097;3966;14543;1;405;87;101;14;14;0;0;4;0;0;1;0;32;64;4.69930523;1.076378
2.01328997;3920;14525;0;451;87;101;2;14;0;0;4;0;0;1;0;32;64;2.94935927;0.611549
2.02529797;3878;14513;0;484;87;101;14;14;0;0;4;0;0;1;0;32;64;1.35158252;0.187139
2.03328997;3837;14497;0;510;87;101;14;14;0;0;4;0;0;1;0;32;64;-0.20815192;-0.227165
2.04529597;3817;14487;0;590;87;101;15;14;0;0;4;0;0;1;0;32;64;-0.96899799;-0.429265
2.05329697;3820;14475;0;594;88;101;1;14;0;0;4;0;0;1;0;32;64;-0.85487108;-0.398950
2.06528997;3824;14461;0;595;88;102;0;14;0;0;4;0;0;0;2;32;64;-0.70270187;-0.358530
2.07329697;3822;14435;0;599;88;102;2;14;0;0;4;0;0;0;2;32;64;-0.77878648;-0.378740
2.08529897;3821;14423;0;564;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.81682878;-0.388845
2.09329097;3825;14425;0;648;89;102;1;14;0;0;4;0;0;0;2;32;64;-0.66465956;-0.348425
2.10529697;3823;14422;0;655;89;102;1;14;0;0;4;0;0;0;2;32;64;-0.74074417;-0.368635
2.11328897;3821;14421;0;664;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.81682878;-0.388845
2.12529797;3822;14423;0;669;89;102;1;14;0;0;4;0;0;0;2;32;64;-0.77878648;-0.378740
2.13328997;3824;14423;0;675;89;102;3;14;0;0;4;0;0;0;2;32;64;-0.70270187;-0.358530
2.14529697;3823;14420;0;678;89;102;3;14;0;0;4;0;0;0;2;32;64;-0.74074417;-0.368635
2.15329797;3826;14423;0;686;89;102;2;14;0;0;4;0;0;0;2;32;64;-0.62661726;-0.338320
2.16529097;3828;14426;0;698;89;102;3;14;0;0;4;0;0;0;2;32;64;-0.55053265;-0.318110
2.17329697;3830;14420;0;711;89;102;1;14;0;0;4;0;0;0;2;32;64;-0.47444805;-0.297900
2.18529897;3830;14423;0;723;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.47444805;-0.297900
2.19328997;3831;14427;0;732;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.43640574;-0.287795
2.20529797;3831;14424;0;744;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.43640574;-0.287795
2.21328997;3829;14422;0;759;89;102;3;14;0;0;4;0;0;0;2;32;64;-0.51249035;-0.308005
2.22529797;3831;14426;0;774;89;102;2;14;0;0;4;0;0;0;2;32;64;-0.43640574;-0.287795
2.23328997;3832;14425;0;790;88;102;13;14;0;0;4;0;0;0;2;32;64;-0.39836344;-0.277690
2.24529897;3828;14420;0;806;88;102;2;14;0;0;4;0;0;0;2;32;64;-0.55053265;-0.318110
2.25329797;3831;14424;0;819;88;102;1;14;0;0;4;0;0;0;2;32;64;-0.43640574;-0.287795
2.26529097;3833;14425;0;828;88;102;3;14;0;0;4;0;0;0;2;32;64;-0.36032114;-0.267585
2.27329797;3833;14421;0;834;88;102;13;14;0;0;4;0;0;0;2;32;64;-0.36032114;-0.267585
2.28529897;3834;14422;0;837;88;102;1;14;0;0;4;0;0;0;2;32;64;-0.32227883;-0.257480
2.29329097;3835;14426;0;838;88;102;2;14;0;0;4;0;0;0;2;32;64;-0.28423653;-0.247375
2.30529897;3836;14424;0;841;88;101;3;14;0;0;4;0;0;1;0;32;64;-0.24619423;-0.237270
2.31329197;3835;14426;0;842;88;101;2;14;0;0;4;0;0;1;0;32;64;-0.28423653;-0.247375
2.32529797;3836;14428;0;844;88;101;1;14;0;0;4;0;0;1;0;32;64;-0.24619423;-0.237270
2.33329097;3838;14428;0;848;88;101;3;14;0;0;4;0;0;1;0;32;64;-0.17010962;-0.217060
2.34529797;3836;14423;0;858;88;101;3;14;0;0;4;0;0;1;0;32;64;-0.24619423;-0.237270
2.35329997;3836;14425;0;871;87;101;0;14;0;0;4;0;0;1;0;32;64;-0.24619423;-0.237270
2.36529097;3838;14429;0;885;87;101;2;14;0;0;4;0;0;1;0;32;64;-0.17010962;-0.217060
2.37330197;3837;14422;0;898;87;101;3;14;0;0;4;0;0;1;0;32;64;-0.20815192;-0.227165
2.38530497;3837;14423;0;909;87;101;1;14;0;0;4;0;0;1;0;32;64;-0.20815192;-0.227165
2.39329197;3838;14427;0;917;87;101;3;14;0;0;4;0;0;1;0;32;64;-0.17010962;-0.217060
2.40529997;3840;14426;0;922;87;101;0;14;0;0;4;0;0;1;0;32;64;-0.09402501;-0.196850
2.41329197;3838;14422;0;927;87;101;3;14;0;0;4;0;0;1;0;32;64;-0.17010962;-0.217060
2.42529997;3843;14426;0;931;87;101;2;14;0;0;4;0;0;1;0;32;64;0.02010190;-0.166535
2.43329097;3843;14424;0;932;87;101;2;14;0;0;4;0;0;1;0;32;64;0.02010190;-0.166535
2.44530197;3844;14421;0;935;87;101;1;14;0;0;4;0;0;1;0;32;64;0.05814420;-0.156430
2.45330497;3846;14427;0;937;87;101;0;14;0;0;4;0;0;1;0;32;64;0.13422881;-0.136220
2.46529697;3848;14426;0;939;87;101;1;14;0;0;4;0;0;1;0;32;64;0.21031342;-0.116010
2.47330097;3848;14424;0;940;87;100;2;14;0;0;4;0;0;0;0;32;64;0.21031342;-0.116010
2.48530397;3851;14428;0;942;86;100;5;14;0;0;4;0;0;0;0;32;64;0.32444033;-0.085696
2.49329597;3852;14431;0;945;86;100;2;14;0;0;4;0;0;0;0;32;64;0.36248263;-0.075591
2.50530297;3849;14427;0;946;86;100;0;14;0;0;4;0;0;0;0;32;64;0.24835572;-0.105906
2.51329597;3849;14425;0;950;86;100;0;14;0;0;4;0;0;0;0;32;64;0.24835572;-0.105906
2.52530197;3849;14430;0;952;86;100;2;14;0;0;4;0;0;0;0;32;64;0.24835572;-0.105906
2.53329397;3853;14427;0;952;86;100;0;14;0;0;4;0;0;0;0;32;64;0.40052493;-0.065486
2.54530197;3849;14424;0;952;86;100;0;14;0;0;4;0;0;0;0;32;64;0.24835572;-0.105906
2.55330297;3851;14427;0;953;86;100;1;14;0;0;4;0;0;0;0;32;64;0.32444033;-0.085696
2.56529797;3856;14427;0;955;86;100;1;14;0;0;4;0;0;0;0;32;64;0.51465184;-0.035171
2.57330197;3851;14427;0;959;85;99;0;14;0;0;0;0;0;1;2;32;64;0.32444033;-0.085696
2.58530397;3854;14428;0;961;85;99;2;14;0;0;0;0;0;1;2;32;64;0.43856724;-0.055381
2.59329797;3857;14431;0;962;85;99;2;14;0;0;0;0;0;1;2;32;64;0.55269415;-0.025066
2.60530197;3856;14427;0;963;85;99;1;14;0;0;0;0;0;1;2;32;64;0.51465184;-0.035171
2.61329597;3857;14425;0;964;85;99;3;14;0;0;0;0;0;1;2;32;64;0.55269415;-0.025066
2.62530197;3856;14431;0;966;85;99;2;14;0;0;0;0;0;1;2;32;64;0.51465184;-0.035171
2.63329597;3859;14430;0;969;85;99;1;14;0;0;0;0;0;1;2;32;64;0.62877876;-0.004856
2.64530197;3854;14426;0;974;85;99;3;14;0;0;0;0;0;1;2;32;64;0.43856724;-0.055381
2.65330697;3853;14430;0;982;85;99;1;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
2.66529797;3858;14431;0;989;85;99;5;14;0;0;0;0;0;1;2;32;64;0.59073645;-0.014961
2.67330297;3852;14429;0;997;85;99;2;14;0;0;0;0;0;1;2;32;64;0.36248263;-0.075591
2.68530497;3853;14428;0;1000;85;99;1;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
2.69329697;3852;14430;0;1003;85;99;3;14;0;0;0;0;0;1;2;32;64;0.36248263;-0.075591
2.70530197;3853;14429;0;1004;85;99;3;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
2.71329697;3853;14427;0;1005;85;99;2;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
2.72530397;3855;14428;0;1005;85;99;1;14;0;0;0;0;0;1;2;32;64;0.47660954;-0.045276
2.73329697;3854;14430;0;1003;85;99;2;14;0;0;0;0;0;1;2;32;64;0.43856724;-0.055381
2.74530397;3853;14425;0;1003;85;99;3;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
2.75330897;3854;14429;0;1004;85;99;2;14;0;0;0;0;0;1;2;32;64;0.43856724;-0.055381
2.76529897;3855;14430;0;1006;85;99;4;14;0;0;0;0;0;1;2;32;64;0.47660954;-0.045276
2.77330297;3853;14426;0;1007;85;99;3;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
2.78530497;3853;14427;0;1009;85;99;2;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
2.79329797;3854;14429;0;1010;85;99;3;14;0;0;0;0;0;1;2;32;64;0.43856724;-0.055381
2.80530497;3854;14428;0;1009;85;99;2;14;0;0;0;0;0;1;2;32;64;0.43856724;-0.055381
2.81329797;3854;14425;0;1008;85;99;0;14;0;0;0;0;0;1;2;32;64;0.43856724;-0.055381
2.82530397;3857;14429;0;1008;85;99;1;14;0;0;0;0;0;1;2;32;64;0.55269415;-0.025066
2.83329697;3856;14431;0;1007;85;99;2;14;0;0;0;0;0;1;2;32;64;0.51465184;-0.035171
2.84530297;3857;14425;0;1006;85;99;2;14;0;0;0;0;0;1;2;32;64;0.55269415;-0.025066
2.85330797;3856;14428;0;1002;85;99;0;14;0;0;0;0;0;1;2;32;64;0.51465184;-0.035171
2.86529897;3858;14431;0;1000;85;99;0;14;0;0;0;0;0;1;2;32;64;0.59073645;-0.014961
2.87330397;3858;14430;0;999;85;99;0;14;0;0;0;0;0;1;2;32;64;0.59073645;-0.014961
2.88531597;3860;14429;0;1000;85;99;2;14;0;0;0;0;0;1;2;32;64;0.66682106;0.005249
2.89329897;3859;14432;0;1000;85;99;1;14;0;0;0;0;0;1;2;32;64;0.62877876;-0.004856
2.90535097;3861;14432;0;999;84;99;0;14;0;0;0;0;0;1;2;32;64;0.70486336;0.015354
2.91329997;3859;14427;0;999;84;99;1;14;0;0;0;0;0;1;2;32;64;0.62877876;-0.004856
2.92530397;3859;14430;0;999;84;100;3;14;0;0;4;0;0;0;0;32;64;0.62877876;-0.004856
2.93329797;3863;14429;0;999;84;100;3;14;0;0;4;0;0;0;0;32;64;0.78094797;0.035564
2.94530397;3862;14426;0;999;84;100;2;14;0;0;4;0;0;0;0;32;64;0.74290567;0.025459
2.95330697;3865;14429;0;999;84;100;3;14;0;0;4;0;0;0;0;32;64;0.85703258;0.055774
2.96529997;3869;14431;0;1000;84;100;0;14;0;0;4;0;0;0;0;32;64;1.00920179;0.096194
2.97330597;3869;14431;0;1000;84;100;0;14;0;0;4;0;0;0;0;32;64;1.00920179;0.096194
2.98530297;3869;14429;0;1000;83;100;2;14;0;0;4;0;0;0;0;32;64;1.00920179;0.096194
2.99729497;3869;14434;0;1000;83;100;2;14;0;0;4;0;0;0;0;32;64;1.00920179;0.096194
3.00530297;3868;14433;0;998;83;100;1;14;0;0;4;0;0;0;0;32;64;0.97115949;0.086089
3.01730397;3865;14430;0;993;83;100;3;14;0;0;4;0;0;0;0;32;64;0.85703258;0.055774
3.02529997;3882;14433;0;979;83;100;3;14;0;0;4;0;0;0;0;32;64;1.50375174;0.227559
