Experiment parameters :
Instruction;Speed/accuracy balance
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
3.01725110;3844;15143;0;158;88;101;14;14;0;0;4;0;0;1;0;32;64;0.05814420;-0.156430
3.02526110;3822;15115;0;332;88;100;5;14;0;0;4;0;0;0;0;32;64;-0.77878648;-0.378740
3.03726410;3800;15087;0;392;88;100;4;14;0;0;4;0;0;0;0;32;64;-1.61571715;-0.601050
3.04525410;3804;15059;0;417;88;100;6;14;0;0;4;0;0;0;0;32;64;-1.46354794;-0.560630
3.05726110;3805;15031;0;421;89;100;10;14;0;0;4;0;0;0;0;32;64;-1.42550564;-0.550525
3.06525410;3806;15010;0;426;89;101;14;14;0;0;4;0;0;1;0;32;64;-1.38746333;-0.540420
3.07726110;3807;14982;0;428;89;101;12;14;0;0;4;0;0;1;0;32;64;-1.34942103;-0.530315
3.08526310;3807;14963;0;432;89;101;2;14;0;0;4;0;0;1;0;32;64;-1.34942103;-0.530315
3.09725510;3807;14940;0;434;89;101;15;14;0;0;4;0;0;1;0;32;64;-1.34942103;-0.530315
3.10526210;3810;14913;0;438;90;101;12;14;0;0;4;0;0;1;0;32;64;-1.23529412;-0.500000
3.11725410;3809;14887;0;440;89;101;12;14;0;0;4;0;0;1;0;32;64;-1.27333642;-0.510105
3.12526110;3810;14865;0;446;89;100;12;14;0;0;4;0;0;0;0;32;64;-1.23529412;-0.500000
3.13726110;3813;14839;0;446;89;100;8;14;0;0;4;0;0;0;0;32;64;-1.12116721;-0.469685
3.14525510;3811;14807;0;448;89;100;15;14;0;0;4;0;0;0;0;32;64;-1.19725181;-0.489895
3.15726210;3810;14777;0;449;89;99;10;14;0;0;0;0;0;1;2;32;64;-1.23529412;-0.500000
3.16525410;3814;14746;0;449;89;100;15;14;0;0;4;0;0;0;0;32;64;-1.08312490;-0.459580
3.17726210;3812;14718;0;451;89;100;9;14;0;0;4;0;0;0;0;32;64;-1.15920951;-0.479790
3.18526310;3811;14691;0;454;89;100;11;14;0;0;4;0;0;0;0;32;64;-1.19725181;-0.489895
3.19725410;3811;14670;0;460;89;101;11;14;0;0;4;0;0;1;0;32;64;-1.19725181;-0.489895
3.20526210;3813;14650;0;473;89;101;9;14;0;0;4;0;0;1;0;32;64;-1.12116721;-0.469685
3.21725510;3811;14623;0;487;89;102;10;14;0;0;4;0;0;0;2;32;64;-1.19725181;-0.489895
3.22526110;3812;14598;0;501;89;102;12;14;0;0;4;0;0;0;2;32;64;-1.15920951;-0.479790
3.23726210;3815;14565;0;512;89;102;9;14;0;0;4;0;0;0;2;32;64;-1.04508260;-0.449475
3.24525410;3816;14522;0;527;89;102;8;14;0;0;4;0;0;0;2;32;64;-1.00704030;-0.439370
3.25726210;3816;14479;0;537;89;103;13;14;0;0;4;0;0;1;2;32;64;-1.00704030;-0.439370
3.26525410;3820;14439;0;561;89;103;12;14;0;0;4;0;0;1;2;32;64;-0.85487108;-0.398950
3.27726210;3822;14416;0;699;89;103;13;14;0;0;4;0;0;1;2;32;64;-0.77878648;-0.378740
3.28526410;3820;14415;0;717;89;103;13;14;0;0;4;0;0;1;2;32;64;-0.85487108;-0.398950
3.29725610;3823;14420;0;729;89;103;0;14;0;0;4;0;0;1;2;32;64;-0.74074417;-0.368635
3.30526310;3825;14419;0;739;89;103;12;14;0;0;4;0;0;1;2;32;64;-0.66465956;-0.348425
3.31725510;3823;14415;0;756;89;102;1;14;0;0;4;0;0;0;2;32;64;-0.74074417;-0.368635
3.32526210;3822;14417;0;779;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.77878648;-0.378740
3.33726210;3823;14419;0;797;89;102;3;14;0;0;4;0;0;0;2;32;64;-0.74074417;-0.368635
3.34525610;3821;14415;0;810;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.81682878;-0.388845
3.35726310;3820;14415;0;818;89;102;1;14;0;0;4;0;0;0;2;32;64;-0.85487108;-0.398950
3.36525510;3820;14417;0;829;89;102;0;14;0;0;4;0;0;0;2;32;64;-0.85487108;-0.398950
3.37726210;3820;14417;0;836;89;101;1;14;0;0;4;0;0;1;0;32;64;-0.85487108;-0.398950
3.38526410;3819;14415;0;839;89;101;0;14;0;0;4;0;0;1;0;32;64;-0.89291339;-0.409055
3.39725610;3820;14416;0;842;89;101;1;14;0;0;4;0;0;1;0;32;64;-0.85487108;-0.398950
3.40526310;3822;14417;0;843;89;101;1;14;0;0;4;0;0;1;0;32;64;-0.77878648;-0.378740
3.41652510;3820;14414;0;842;89;101;3;14;0;0;4;0;0;1;0;32;64;-0.85487108;-0.398950
3.42526410;3821;14417;0;840;89;101;0;14;0;0;4;0;0;1;0;32;64;-0.81682878;-0.388845
3.43726310;3826;14417;0;838;89;101;1;14;0;0;4;0;0;1;0;32;64;-0.62661726;-0.338320
3.44525610;3826;14415;0;840;89;101;1;14;0;0;4;0;0;1;0;32;64;-0.62661726;-0.338320
3.45726910;3827;14417;0;842;88;101;3;14;0;0;4;0;0;1;0;32;64;-0.58857496;-0.328215
