Experiment parameters :
Instruction;Full accuracy
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.04130497;3822;14577;0;194;88;103;11;14;0;0;4;0;0;1;2;32;64;-0.77878648;-0.378740
2.04931297;3827;14558;0;240;88;104;9;14;0;0;0;0;8;0;0;32;64;-0.58857496;-0.328215
2.06131297;3829;14537;0;271;88;104;5;14;0;0;0;0;8;0;0;32;64;-0.51249035;-0.308005
2.06930597;3825;14518;0;286;88;104;6;14;0;0;0;0;8;0;0;32;64;-0.66465956;-0.348425
2.08131297;3825;14499;0;348;88;104;9;14;0;0;0;0;8;0;0;32;64;-0.66465956;-0.348425
2.08930597;3830;14476;0;370;88;105;8;14;0;0;0;0;8;1;0;32;64;-0.47444805;-0.297900
2.10131297;3830;14447;0;380;88;105;10;14;0;0;0;0;8;1;0;32;64;-0.47444805;-0.297900
2.11331197;3829;14423;0;402;87;105;11;14;0;0;0;0;8;1;0;32;64;-0.51249035;-0.308005
2.12130697;3833;14420;0;497;87;105;9;14;0;0;0;0;8;1;0;32;64;-0.36032114;-0.267585
2.13331397;3833;14419;0;532;87;105;8;14;0;0;0;0;8;1;0;32;64;-0.36032114;-0.267585
2.14130597;3834;14420;0;565;87;105;8;14;0;0;0;0;8;1;0;32;64;-0.32227883;-0.257480
2.15331397;3833;14425;0;595;87;105;10;14;0;0;0;0;8;1;0;32;64;-0.36032114;-0.267585
2.16131397;3833;14421;0;622;87;105;8;14;0;0;0;0;8;1;0;32;64;-0.36032114;-0.267585
