Experiment parameters :
Instruction;1. Full speed
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.00190398;3765;14153;0;152;99;100;6;14;0;0;4;0;0;0;0;32;64;-2.94719778;-0.954724
1.01787998;3762;14153;0;207;99;100;3;14;0;0;4;0;0;0;0;32;64;-3.06132469;-0.985039
1.02190298;3764;14156;0;243;99;100;4;14;0;0;4;0;0;0;0;32;64;-2.98524008;-0.964829
1.03787998;3765;14153;0;248;99;100;3;14;0;0;4;0;0;0;0;32;64;-2.94719778;-0.954724
1.04190298;3766;14156;0;248;99;99;2;14;0;0;0;0;0;1;2;32;64;-2.90915547;-0.944619
1.05788298;3772;14162;0;250;99;99;13;14;0;0;0;0;0;1;2;32;64;-2.68090165;-0.883990
1.06191298;3774;14162;0;249;99;99;15;14;0;0;0;0;0;1;2;32;64;-2.60481704;-0.863780
1.07788498;3772;14164;0;250;99;99;11;14;0;0;0;0;0;1;2;32;64;-2.68090165;-0.883990
1.08190498;3777;14167;0;284;98;99;11;14;0;0;0;0;0;1;2;32;64;-2.49069013;-0.833465
1.09788098;3783;14171;0;286;98;98;5;14;0;0;0;0;0;0;2;32;64;-2.26243631;-0.772835
1.10190298;3779;14163;0;460;98;98;3;14;0;0;0;0;0;0;2;32;64;-2.41460553;-0.813255
1.11787998;3777;14164;0;540;98;98;6;14;0;0;0;0;0;0;2;32;64;-2.49069013;-0.833465
1.12190298;3781;14168;0;575;98;97;1;14;0;0;0;0;0;1;0;32;64;-2.33852092;-0.793045
1.13787998;3778;14167;0;601;98;97;3;14;0;0;0;0;0;1;0;32;64;-2.45264783;-0.823360
1.14190298;3778;14166;0;635;98;97;6;14;0;0;0;0;0;1;0;32;64;-2.45264783;-0.823360
1.15787798;3779;14167;0;665;98;97;1;14;0;0;0;0;0;1;0;32;64;-2.41460553;-0.813255
1.16190198;3780;14167;0;683;98;97;5;14;0;0;0;0;0;1;0;32;64;-2.37656322;-0.803150
1.17787898;3778;14162;0;704;98;97;5;14;0;0;0;0;0;1;0;32;64;-2.45264783;-0.823360
1.18190798;3781;14164;0;728;98;97;4;14;0;0;0;0;0;1;0;32;64;-2.33852092;-0.793045
1.19788298;3783;14169;0;754;98;97;1;14;0;0;0;0;0;1;0;32;64;-2.26243631;-0.772835
1.20190498;3783;14168;0;786;98;97;2;14;0;0;0;0;0;1;0;32;64;-2.26243631;-0.772835
1.21788098;3782;14167;0;817;97;97;1;14;0;0;0;0;0;1;0;32;64;-2.30047862;-0.782940
1.22190398;3784;14171;0;850;97;97;0;14;0;0;0;0;0;1;0;32;64;-2.22439401;-0.762730
1.23788098;3782;14173;0;878;97;97;0;14;0;0;0;0;0;1;0;32;64;-2.30047862;-0.782940
1.24190898;3782;14173;0;904;97;97;3;14;0;0;0;0;0;1;0;32;64;-2.30047862;-0.782940
1.25788198;3781;14176;0;927;97;97;3;14;0;0;0;0;0;1;0;32;64;-2.33852092;-0.793045
1.26190498;3782;14179;0;949;96;97;0;14;0;0;0;0;0;1;0;32;64;-2.30047862;-0.782940
1.27787898;3783;14178;0;973;96;97;12;14;0;0;0;0;0;1;0;32;64;-2.26243631;-0.772835
1.28190998;3788;14180;0;975;96;97;0;14;0;0;0;0;0;1;0;32;64;-2.07222480;-0.722310
1.29788598;3792;14182;0;972;95;98;15;14;0;0;0;0;0;0;2;32;64;-1.92005558;-0.681890
1.30190698;3794;14183;0;975;95;98;13;14;0;0;0;0;0;0;2;32;64;-1.84397097;-0.661680
1.31788298;3795;14181;0;979;95;98;15;14;0;0;0;0;0;0;2;32;64;-1.80592867;-0.651575
1.32190498;3798;14186;0;983;94;98;12;14;0;0;0;0;0;0;2;32;64;-1.69180176;-0.621260
1.33788298;3801;14186;0;988;94;98;13;14;0;0;0;0;0;0;2;32;64;-1.57767485;-0.590945
1.34190598;3800;14185;0;994;94;98;13;14;0;0;0;0;0;0;2;32;64;-1.61571715;-0.601050
1.35788298;3800;14187;0;1000;93;99;14;14;0;0;0;0;0;1;2;32;64;-1.61571715;-0.601050
1.36190598;3804;14190;0;1003;93;99;14;14;0;0;0;0;0;1;2;32;64;-1.46354794;-0.560630
1.37788098;3803;14188;0;1005;92;99;14;14;0;0;0;0;0;1;2;32;64;-1.50159024;-0.570735
1.38189798;3803;14188;0;1006;92;99;12;14;0;0;0;0;0;1;2;32;64;-1.50159024;-0.570735
1.39787998;3805;14190;0;1010;92;99;15;14;0;0;0;0;0;1;2;32;64;-1.42550564;-0.550525
1.40190898;3806;14191;0;1014;91;99;15;14;0;0;0;0;0;1;2;32;64;-1.38746333;-0.540420
1.41788398;3805;14188;0;1019;91;99;13;14;0;0;0;0;0;1;2;32;64;-1.42550564;-0.550525
1.42190598;3803;14189;0;1023;91;99;13;14;0;0;0;0;0;1;2;32;64;-1.50159024;-0.570735
1.43788498;3805;14191;0;1023;91;99;14;14;0;0;0;0;0;1;2;32;64;-1.42550564;-0.550525
1.44190898;3801;14190;0;1023;91;99;10;14;0;0;0;0;0;1;2;32;64;-1.57767485;-0.590945
1.45788298;3804;14189;0;1023;91;99;15;14;0;0;0;0;0;1;2;32;64;-1.46354794;-0.560630
1.46190598;3806;14192;0;1023;91;99;10;14;0;0;0;0;0;1;2;32;64;-1.38746333;-0.540420
1.47788098;3806;14191;0;1023;91;99;8;14;0;0;0;0;0;1;2;32;64;-1.38746333;-0.540420
1.48189898;3806;14188;0;1023;90;99;8;14;0;0;0;0;0;1;2;32;64;-1.38746333;-0.540420
1.49788098;3806;14189;0;1023;90;99;11;14;0;0;0;0;0;1;2;32;64;-1.38746333;-0.540420
1.50190898;3811;14193;0;1023;90;99;9;14;0;0;0;0;0;1;2;32;64;-1.19725181;-0.489895
1.51788398;3810;14190;0;1023;90;99;10;14;0;0;0;0;0;1;2;32;64;-1.23529412;-0.500000
1.52190498;3812;14191;0;1023;90;99;8;14;0;0;0;0;0;1;2;32;64;-1.15920951;-0.479790
1.53788298;3819;14194;0;1023;90;99;9;14;0;0;0;0;0;1;2;32;64;-0.89291339;-0.409055
1.54157498;3821;14195;0;1023;89;99;9;14;0;0;0;0;0;1;2;32;64;-0.81682878;-0.388845
1.55788298;3820;14194;0;1023;89;99;9;14;0;0;0;0;0;1;2;32;64;-0.85487108;-0.398950
1.56190598;3823;14195;0;1023;89;99;9;14;0;0;0;0;0;1;2;32;64;-0.74074417;-0.368635
1.57788298;3827;14197;0;1023;88;99;11;14;0;0;0;0;0;1;2;32;64;-0.58857496;-0.328215
