Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.47792605;3813;14163;0;181;95;97;1;14;0;0;0;0;0;1;0;32;64;-1.12116721;-0.469685
1.49390105;3810;14165;0;241;95;97;6;14;0;0;0;0;0;1;0;32;64;-1.23529412;-0.500000
1.49820505;3812;14165;0;271;95;97;0;14;0;0;0;0;0;1;0;32;64;-1.15920951;-0.479790
1.51390105;3814;14165;0;279;95;97;1;14;0;0;0;0;0;1;0;32;64;-1.08312490;-0.459580
1.51793005;3811;14161;0;280;95;97;0;14;0;0;0;0;0;1;0;32;64;-1.19725181;-0.489895
1.53390605;3810;14162;0;279;95;97;2;14;0;0;0;0;0;1;0;32;64;-1.23529412;-0.500000
1.53792705;3812;14163;0;283;95;97;2;14;0;0;0;0;0;1;0;32;64;-1.15920951;-0.479790
1.55390305;3811;14161;0;293;95;97;2;14;0;0;0;0;0;1;0;32;64;-1.19725181;-0.489895
1.55792805;3811;14164;0;304;95;97;4;14;0;0;0;0;0;1;0;32;64;-1.19725181;-0.489895
1.57390405;3811;14164;0;305;95;97;3;14;0;0;0;0;0;1;0;32;64;-1.19725181;-0.489895
1.57792605;3815;14167;0;298;95;97;1;14;0;0;0;0;0;1;0;32;64;-1.04508260;-0.449475
1.59390505;3814;14165;0;298;94;97;2;14;0;0;0;0;0;1;0;32;64;-1.08312490;-0.459580
1.59792805;3817;14167;0;297;94;96;3;14;0;0;0;0;0;0;0;32;64;-0.96899799;-0.429265
1.61390205;3819;14169;0;304;94;96;2;14;0;0;0;0;0;0;0;32;64;-0.89291339;-0.409055
1.61793105;3817;14168;0;325;94;96;13;14;0;0;0;0;0;0;0;32;64;-0.96899799;-0.429265
1.63390905;3817;14167;0;346;94;96;14;14;0;0;0;0;0;0;0;32;64;-0.96899799;-0.429265
1.63792805;3817;14166;0;385;94;96;15;14;0;0;0;0;0;0;0;32;64;-0.96899799;-0.429265
1.65390405;3820;14167;0;419;94;96;13;14;0;0;0;0;0;0;0;32;64;-0.85487108;-0.398950
1.65792705;3818;14168;0;426;93;95;8;14;0;0;4;16;8;1;2;0;64;-0.93095569;-0.419160
1.67390405;3823;14169;0;426;93;95;11;14;0;0;4;16;8;1;2;0;64;-0.74074417;-0.368635
1.67792705;3823;14171;0;545;93;94;6;14;0;0;4;16;8;0;2;0;64;-0.74074417;-0.368635
1.69390505;3821;14169;0;595;93;94;4;14;0;0;4;16;8;0;2;0;64;-0.81682878;-0.388845
1.69792705;3820;14168;0;617;93;94;4;14;0;0;4;16;8;0;2;0;64;-0.85487108;-0.398950
1.71390405;3821;14167;0;643;92;93;6;14;0;0;4;16;8;1;0;0;64;-0.81682878;-0.388845
1.71792705;3823;14171;0;676;92;93;4;14;0;0;4;16;8;1;0;0;64;-0.74074417;-0.368635
1.73390305;3820;14166;0;702;92;93;4;14;0;0;4;16;8;1;0;0;64;-0.85487108;-0.398950
1.73793205;3823;14166;0;730;92;93;8;14;0;0;4;16;8;1;0;0;64;-0.74074417;-0.368635
1.75390505;3824;14170;0;756;92;93;6;14;0;0;4;16;8;1;0;0;64;-0.70270187;-0.358530
1.75792905;3822;14167;0;783;92;93;6;14;0;0;4;16;8;1;0;0;64;-0.77878648;-0.378740
1.77390505;3819;14166;0;812;92;93;7;14;0;0;4;16;8;1;0;0;64;-0.89291339;-0.409055
1.77793005;3820;14170;0;844;92;93;7;14;0;0;4;16;8;1;0;0;64;-0.85487108;-0.398950
1.79390505;3821;14171;0;873;92;93;5;14;0;0;4;16;8;1;0;0;64;-0.81682878;-0.388845
1.79792805;3819;14169;0;900;93;93;6;14;0;0;4;16;8;1;0;0;64;-0.89291339;-0.409055
1.81390705;3819;14173;0;920;93;93;6;14;0;0;4;16;8;1;0;0;64;-0.89291339;-0.409055
1.81792905;3823;14175;0;935;93;94;0;14;0;0;4;16;8;0;2;0;64;-0.74074417;-0.368635
1.83390305;3822;14175;0;948;92;94;1;14;0;0;4;16;8;0;2;0;64;-0.77878648;-0.378740
1.83793205;3820;14173;0;963;92;94;7;14;0;0;4;16;8;0;2;0;64;-0.85487108;-0.398950
1.85391005;3821;14177;0;982;92;94;3;14;0;0;4;16;8;0;2;0;64;-0.81682878;-0.388845
1.85792905;3822;14179;0;1000;92;94;3;14;0;0;4;16;8;0;2;0;64;-0.77878648;-0.378740
1.87390605;3820;14177;0;1021;92;95;0;14;0;0;4;16;8;1;2;0;64;-0.85487108;-0.398950
1.87792905;3819;14177;0;1023;92;95;2;14;0;0;4;16;8;1;2;0;64;-0.89291339;-0.409055
1.89390605;3822;14181;0;1023;91;95;1;14;0;0;4;16;8;1;2;0;64;-0.77878648;-0.378740
1.89792805;3822;14179;0;1023;91;95;13;14;0;0;4;16;8;1;2;0;64;-0.77878648;-0.378740
1.91390605;3821;14181;0;1023;91;95;12;14;0;0;4;16;8;1;2;0;64;-0.81682878;-0.388845
1.91792805;3822;14182;0;1023;90;95;15;14;0;0;4;16;8;1;2;0;64;-0.77878648;-0.378740
1.93390605;3824;14184;0;1023;90;95;15;14;0;0;4;16;8;1;2;0;64;-0.70270187;-0.358530
1.93792705;3821;14182;0;1023;89;95;14;14;0;0;4;16;8;1;2;0;64;-0.81682878;-0.388845
1.95390405;3821;14184;0;1023;89;95;12;14;0;0;4;16;8;1;2;0;64;-0.81682878;-0.388845
1.95793205;3824;14187;0;1023;89;95;13;14;0;0;4;16;8;1;2;0;64;-0.70270187;-0.358530
1.97390705;3821;14186;0;1023;89;95;14;14;0;0;4;16;8;1;2;0;64;-0.81682878;-0.388845
1.97793005;3823;14185;0;1023;89;96;13;14;0;0;0;0;0;0;0;32;64;-0.74074417;-0.368635
1.99390605;3823;14188;0;1023;89;96;15;14;0;0;0;0;0;0;0;32;64;-0.74074417;-0.368635
1.99792905;3822;14189;0;1023;88;96;12;14;0;0;0;0;0;0;0;32;64;-0.77878648;-0.378740
2.01390705;3822;14188;0;1023;88;96;8;14;0;0;0;0;0;0;0;32;64;-0.77878648;-0.378740
