Experiment parameters :
Instruction;3. Speed/accuracy balance
Block number;4
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.17912489;4110;14368;0;244;79;105;0;14;0;0;0;0;8;1;0;32;64;-1.11672070;-0.468504
1.19510089;4126;14373;0;575;77;104;5;14;0;0;0;0;8;0;0;32;64;-0.50804385;-0.306824
1.21509989;4126;14367;0;704;77;104;4;14;0;0;0;0;8;0;0;32;64;-0.50804385;-0.306824
1.21912989;4137;14367;0;755;76;103;5;14;0;0;4;0;0;1;2;32;64;-0.08957851;-0.195669
1.23510389;4141;14364;0;777;75;103;4;14;0;0;4;0;0;1;2;32;64;0.06259071;-0.155249
1.23912589;4140;14359;0;816;74;103;5;14;0;0;4;0;0;1;2;32;64;0.02454840;-0.165354
1.25510289;4148;14357;0;863;73;104;4;14;0;0;0;0;8;0;0;32;64;0.32888683;-0.084514
1.25912589;4151;14356;0;910;73;104;4;14;0;0;0;0;8;0;0;32;64;0.44301374;-0.054199
1.27510189;4151;14352;0;948;73;104;5;14;0;0;0;0;8;0;0;32;64;0.44301374;-0.054199
1.27912489;4154;14354;0;979;72;104;7;14;0;0;0;0;8;0;0;32;64;0.55714065;-0.023885
1.29510189;4155;14353;0;1000;72;105;7;14;0;0;0;0;8;1;0;32;64;0.59518296;-0.013780
1.29913189;4156;14350;0;1008;71;105;7;14;0;0;0;0;8;1;0;32;64;0.63322526;-0.003675
1.31533489;4154;14352;0;1015;71;105;6;14;0;0;0;0;8;1;0;32;64;0.55714065;-0.023885
1.31912689;4157;14354;0;1023;71;105;5;14;0;0;0;0;8;1;0;32;64;0.67126756;0.006430
1.33510289;4156;14351;0;1023;71;105;1;14;0;0;0;0;8;1;0;32;64;0.63322526;-0.003675
1.33912689;4156;14351;0;1023;71;105;6;14;0;0;0;0;8;1;0;32;64;0.63322526;-0.003675
1.35510289;4161;14351;0;1023;71;105;1;14;0;0;0;0;8;1;0;32;64;0.82343678;0.046850
1.35912689;4163;14350;0;1023;70;105;0;14;0;2;0;0;8;1;0;32;64;0.89952138;0.067060
1.37510289;4160;14346;0;1023;70;105;6;14;0;2;0;0;8;1;0;32;64;0.78539447;0.036745
1.37912689;4164;14348;0;1023;70;105;3;14;0;2;0;0;8;1;0;32;64;0.93756369;0.077165
1.39510289;4166;14347;0;1023;70;105;6;14;0;2;0;0;8;1;0;32;64;1.01364829;0.097375
1.39912289;4164;14342;0;1023;70;105;0;14;0;2;0;0;8;1;0;32;64;0.93756369;0.077165
1.41510189;4167;14347;0;1023;70;105;4;14;0;2;0;0;8;1;0;32;64;1.05169060;0.107480
1.41913289;4168;14346;0;1023;70;105;6;14;0;2;0;0;8;1;0;32;64;1.08973290;0.117585
1.43510689;4166;14342;0;1023;70;105;2;14;0;2;0;0;8;1;0;32;64;1.01364829;0.097375
1.43912789;4168;14344;0;1023;70;105;5;14;0;2;0;0;8;1;0;32;64;1.08973290;0.117585
1.45510489;4168;14346;0;1023;70;105;3;14;0;2;0;0;8;1;0;32;64;1.08973290;0.117585
1.45912689;4166;14343;0;1023;70;105;0;14;0;2;0;0;8;1;0;32;64;1.01364829;0.097375
1.47510389;4167;14345;0;1023;69;105;7;14;0;2;0;0;8;1;0;32;64;1.05169060;0.107480
1.47912789;4166;14347;0;1023;70;105;6;14;0;2;0;0;8;1;0;32;64;1.01364829;0.097375
1.49510389;4166;14344;0;1023;70;105;1;14;0;2;0;0;8;1;0;32;64;1.01364829;0.097375
1.49912589;4164;14344;0;1023;70;105;7;14;0;2;0;0;8;1;0;32;64;0.93756369;0.077165
1.51510289;4167;14351;0;1023;70;105;7;14;0;2;0;0;8;1;0;32;64;1.05169060;0.107480
1.51913389;4167;14349;0;1023;70;105;3;14;0;2;0;0;8;1;0;32;64;1.05169060;0.107480
1.53525389;4168;14348;0;1023;70;105;5;14;0;2;0;0;8;1;0;32;64;1.08973290;0.117585
1.53912789;4172;14352;0;1023;70;105;3;14;0;2;0;0;8;1;0;32;64;1.24190212;0.158005
1.55510489;4172;14351;0;1023;70;105;2;14;0;2;0;0;8;1;0;32;64;1.24190212;0.158005
