Experiment parameters :
Instruction;Full speed
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.15397511;4053;14677;1;277;94;93;5;14;0;0;4;16;8;1;0;0;64;8.00898564;1.955512
1.16598511;3968;14621;1;286;94;93;4;14;0;0;4;16;8;1;0;0;64;4.77538984;1.096588
1.17447611;3891;14569;0;304;94;94;5;14;0;0;4;16;8;0;2;0;64;1.84613247;0.318504
1.18597711;3813;14533;0;317;94;94;11;14;0;0;4;16;8;0;2;0;64;-1.12116721;-0.469685
1.19398511;3802;14509;0;550;94;94;11;14;0;0;4;16;8;0;2;0;64;-1.53963255;-0.580840
1.20597511;3815;14450;0;555;94;95;7;14;0;0;4;16;8;1;2;0;64;-1.04508260;-0.449475
1.21398211;3821;14396;0;650;95;95;11;14;0;0;4;16;8;1;2;0;64;-0.81682878;-0.388845
1.22598411;3818;14412;0;615;95;95;10;14;0;0;4;16;8;1;2;0;64;-0.93095569;-0.419160
1.23397711;3820;14412;0;617;95;95;11;14;0;0;4;16;8;1;2;0;64;-0.85487108;-0.398950
1.24598311;3819;14410;0;619;95;95;8;14;0;0;4;16;8;1;2;0;64;-0.89291339;-0.409055
1.25397711;3817;14413;0;622;95;95;8;14;0;0;4;16;8;1;2;0;64;-0.96899799;-0.429265
1.26598311;3821;14413;0;630;95;95;8;14;0;0;4;16;8;1;2;0;64;-0.81682878;-0.388845
1.27798311;3822;14412;0;628;94;95;8;14;0;0;4;16;8;1;2;0;64;-0.77878648;-0.378740
1.28597611;3822;14412;0;629;94;95;8;14;0;0;4;16;8;1;2;0;64;-0.77878648;-0.378740
1.29798311;3825;14416;0;635;93;94;11;14;0;0;4;16;8;0;2;0;64;-0.66465956;-0.348425
1.30597811;3825;14415;0;644;93;94;11;14;0;0;4;16;8;0;2;0;64;-0.66465956;-0.348425
1.31798311;3826;14413;0;653;93;94;8;14;0;0;4;16;8;0;2;0;64;-0.62661726;-0.338320
1.32598411;3825;14414;0;664;92;94;8;14;0;0;4;16;8;0;2;0;64;-0.66465956;-0.348425
1.33797711;3829;14417;0;678;92;94;10;14;0;0;4;16;8;0;2;0;64;-0.51249035;-0.308005
1.34598311;3827;14413;0;692;92;94;9;14;0;0;4;16;8;0;2;0;64;-0.58857496;-0.328215
1.35798511;3827;14414;0;705;92;94;9;14;0;0;4;16;8;0;2;0;64;-0.58857496;-0.328215
1.36597711;3828;14416;0;721;92;94;10;14;0;0;4;16;8;0;2;0;64;-0.55053265;-0.318110
1.37798311;3828;14414;0;734;92;94;11;14;0;0;4;16;8;0;2;0;64;-0.55053265;-0.318110
1.38597811;3827;14413;0;746;92;94;8;14;0;0;4;16;8;0;2;0;64;-0.58857496;-0.328215
1.39798411;3826;14414;0;757;92;94;11;14;0;0;4;16;8;0;2;0;64;-0.62661726;-0.338320
1.40597811;3829;14416;0;767;92;94;8;14;0;0;4;16;8;0;2;0;64;-0.51249035;-0.308005
1.41798411;3828;14410;0;780;92;94;5;14;0;0;4;16;8;0;2;0;64;-0.55053265;-0.318110
1.42598511;3825;14410;0;791;91;94;11;14;0;0;4;16;8;0;2;0;64;-0.66465956;-0.348425
1.43797811;3829;14414;0;807;91;94;9;14;0;0;4;16;8;0;2;0;64;-0.51249035;-0.308005
1.44598411;3829;14413;0;824;91;94;7;14;0;0;4;16;8;0;2;0;64;-0.51249035;-0.308005
1.45798711;3828;14410;0;838;91;94;5;14;0;0;4;16;8;0;2;0;64;-0.55053265;-0.318110
1.46597911;3828;14412;0;845;91;94;11;14;0;0;4;16;8;0;2;0;64;-0.55053265;-0.318110
1.47798511;3831;14416;0;848;91;94;11;14;0;0;4;16;8;0;2;0;64;-0.43640574;-0.287795
1.48597911;3830;14412;0;847;91;94;6;14;0;0;4;16;8;0;2;0;64;-0.47444805;-0.297900
1.49798611;3831;14412;0;846;91;94;9;14;0;0;4;16;8;0;2;0;64;-0.43640574;-0.287795
1.50597811;3834;14411;0;844;91;95;9;14;0;0;4;16;8;1;2;0;64;-0.32227883;-0.257480
1.51798411;3835;14412;0;841;90;95;7;14;0;0;4;16;8;1;2;0;64;-0.28423653;-0.247375
1.52598611;3833;14414;0;839;90;95;7;14;0;0;4;16;8;1;2;0;64;-0.36032114;-0.267585
1.53797811;3833;14415;0;840;90;95;7;14;0;0;4;16;8;1;2;0;64;-0.36032114;-0.267585
1.54598511;3840;14417;0;841;89;95;4;14;0;0;4;16;8;1;2;0;64;-0.09402501;-0.196850
1.55798711;3837;14411;0;843;89;95;7;14;0;0;4;16;8;1;2;0;64;-0.20815192;-0.227165
1.56597911;3835;14416;0;844;89;95;11;14;0;0;4;16;8;1;2;0;64;-0.28423653;-0.247375
1.57798711;3840;14416;0;845;89;95;11;14;0;0;4;16;8;1;2;0;64;-0.09402501;-0.196850
1.58597911;3841;14414;0;847;89;95;5;14;0;0;4;16;8;1;2;0;64;-0.05598271;-0.186745
1.59798611;3841;14414;0;849;89;95;5;14;0;0;4;16;8;1;2;0;64;-0.05598271;-0.186745
1.60598111;3841;14415;0;850;89;95;5;14;0;0;4;16;8;1;2;0;64;-0.05598271;-0.186745
1.61798811;3846;14415;0;850;88;95;4;14;0;0;4;16;8;1;2;0;64;0.13422881;-0.136220
1.62598711;3844;14413;0;851;88;95;4;14;0;0;4;16;8;1;2;0;64;0.05814420;-0.156430
1.63798411;3843;14416;0;852;88;95;8;14;0;0;4;16;8;1;2;0;64;0.02010190;-0.166535
1.64598911;3845;14416;0;853;88;95;10;14;0;0;4;16;8;1;2;0;64;0.09618651;-0.146325
1.65799111;3846;14415;0;855;87;95;4;14;0;0;4;16;8;1;2;0;64;0.13422881;-0.136220
1.66598411;3847;14414;0;856;87;95;8;14;0;0;4;16;8;1;2;0;64;0.17227111;-0.126115
1.67799011;3848;14418;0;858;87;95;4;14;0;0;4;16;8;1;2;0;64;0.21031342;-0.116010
1.68598311;3848;14415;0;848;87;95;5;14;0;0;4;16;8;1;2;0;64;0.21031342;-0.116010
1.69799011;3845;14416;0;839;86;94;8;14;0;0;4;16;8;0;2;0;64;0.09618651;-0.146325
1.70598311;3846;14418;0;836;86;94;5;14;0;0;4;16;8;0;2;0;64;0.13422881;-0.136220
1.71798911;3852;14422;0;850;86;94;6;14;0;0;4;16;8;0;2;0;64;0.36248263;-0.075591
1.72599011;3853;14420;0;852;86;94;6;14;0;0;4;16;8;0;2;0;64;0.40052493;-0.065486
1.73798411;3854;14419;0;857;86;95;10;14;0;0;4;16;8;1;2;0;64;0.43856724;-0.055381
1.74599011;3859;14424;0;860;85;95;4;14;0;0;4;16;8;1;2;0;64;0.62877876;-0.004856
1.75799511;3862;14423;0;869;85;95;5;14;0;0;4;16;8;1;2;0;64;0.74290567;0.025459
1.76598611;3865;14421;0;872;85;95;4;14;0;0;4;16;8;1;2;0;64;0.85703258;0.055774
1.77799011;3869;14423;0;875;85;95;5;14;0;0;4;16;8;1;2;0;64;1.00920179;0.096194
1.78598411;3875;14429;0;878;84;95;6;14;0;0;4;16;8;1;2;0;64;1.23745561;0.156824
1.79798811;3875;14427;0;880;84;95;4;14;0;0;4;16;8;1;2;0;64;1.23745561;0.156824
1.80597911;3881;14426;0;882;83;95;5;14;0;0;4;16;8;1;2;0;64;1.46570943;0.217454
1.81798711;3889;14430;0;885;83;95;7;14;0;0;4;16;8;1;2;0;64;1.77004786;0.298294
1.82599011;3893;14431;0;886;82;95;4;14;0;0;4;16;8;1;2;0;64;1.92221708;0.338714
1.83798111;3896;14430;0;888;82;95;5;14;0;0;4;16;8;1;2;0;64;2.03634399;0.369029
1.84599211;3900;14431;0;891;81;96;3;14;0;0;0;0;0;0;0;32;64;2.18851320;0.409449
1.85798711;3904;14433;0;892;81;96;2;14;0;0;0;0;0;0;0;32;64;2.34068241;0.449869
1.86597911;3908;14431;0;894;80;96;0;14;0;0;0;0;0;0;0;32;64;2.49285163;0.490289
1.87798711;3909;14433;0;896;80;96;2;14;0;0;0;0;0;0;0;32;64;2.53089393;0.500394
1.88598011;3913;14435;0;898;79;96;2;14;0;0;0;0;0;0;0;32;64;2.68306315;0.540814
1.89798711;3917;14433;0;900;79;96;14;14;0;0;0;0;0;0;0;32;64;2.83523236;0.581234
1.90598011;3918;14433;0;903;78;96;14;14;0;0;0;0;0;0;0;32;64;2.87327466;0.591339
