Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;1
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.67507800;4265;14224;1;741;87;127;5;14;0;0;4;16;8;1;2;32;64;4.77983634;1.097769
1.67910100;4177;14219;0;830;86;127;11;14;0;0;4;16;8;1;2;32;64;1.43211363;0.208530
1.69507800;4079;14222;0;883;86;126;9;14;0;0;4;16;8;0;2;32;64;-2.29603211;-0.781759
1.69910100;4021;14216;-1;973;86;126;10;14;0;0;4;16;8;0;2;32;64;-4.50248572;-1.367848
1.71507700;4074;14227;0;1013;84;125;10;14;0;0;4;16;8;1;0;32;64;-2.48624363;-0.832283
1.73507600;4087;14230;0;1023;83;125;6;14;0;0;4;16;8;1;0;32;64;-1.99169369;-0.700919
1.73910400;4101;14225;0;1023;82;125;2;14;0;0;4;16;8;1;0;32;64;-1.45910144;-0.559449
1.75507900;4112;14225;0;1023;80;125;4;14;0;0;4;16;8;1;0;32;64;-1.04063610;-0.448294
1.75910200;4121;14228;0;1023;79;125;4;14;0;0;4;16;8;1;0;32;64;-0.69825537;-0.357349
1.77507900;4130;14227;0;1023;78;125;3;14;0;0;4;16;8;1;0;32;64;-0.35587463;-0.266404
1.77910100;4136;14227;0;1023;77;124;6;14;0;0;4;16;8;0;0;32;64;-0.12762081;-0.205774
1.79507900;4143;14228;0;1023;76;124;7;14;0;0;4;16;8;0;0;32;64;0.13867531;-0.135039
1.79910300;4147;14226;0;1023;75;124;7;14;0;0;4;16;8;0;0;32;64;0.29084453;-0.094619
1.81508000;4152;14226;0;1023;74;124;5;14;0;0;4;16;8;0;0;32;64;0.48105604;-0.044094
1.81910000;4161;14228;0;1023;74;124;5;14;0;0;4;16;8;0;0;32;64;0.82343678;0.046850
1.83507700;4169;14229;0;1023;73;123;9;14;0;0;0;16;8;1;2;32;64;1.12777520;0.127690
1.83910900;4176;14226;0;1023;72;123;10;14;0;0;0;16;8;1;2;32;64;1.39407133;0.198425
1.85508400;4187;14229;0;1023;72;123;11;14;0;0;0;16;8;1;2;32;64;1.81253667;0.309580
1.85910300;4202;14231;0;1023;71;122;9;14;0;0;0;16;8;0;2;32;64;2.38317122;0.461155
1.87508200;4203;14227;0;1023;71;122;10;14;0;0;0;16;8;0;2;32;64;2.42121352;0.471260
1.87910400;4209;14228;0;1023;70;122;9;14;0;0;0;16;8;0;2;32;64;2.64946735;0.531890
1.89507900;4213;14232;0;1023;69;122;10;14;0;0;0;16;8;0;2;32;64;2.80163656;0.572310
1.89910300;4212;14231;0;1023;69;122;10;14;0;0;0;16;8;0;2;32;64;2.76359426;0.562205
1.91507900;4210;14231;0;1023;68;121;11;14;0;0;0;16;8;1;0;32;64;2.68750965;0.541995
