Experiment parameters :
Instruction;Be as fast as possible
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.48939397;3849;14419;0;191;93;86;10;14;0;0;4;16;0;0;2;0;64;0.24835572;-0.105906
1.49738397;3850;14423;0;542;93;86;10;14;0;0;4;16;0;0;2;0;64;0.28639802;-0.095801
1.50939597;3854;14425;0;567;92;86;11;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.51738997;3852;14422;0;581;92;86;10;14;0;0;4;16;0;0;2;0;64;0.36248263;-0.075591
1.52939897;3851;14425;0;605;91;86;11;14;0;0;4;16;0;0;2;0;64;0.32444033;-0.085696
1.53738997;3855;14427;0;634;91;86;8;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.54939497;3853;14425;0;634;90;86;11;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.55739697;3853;14425;0;643;90;86;9;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.56938997;3854;14431;0;652;89;86;8;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.57739397;3854;14428;0;651;89;86;11;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.58939597;3854;14428;0;648;89;86;10;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.59739097;3856;14430;0;648;89;86;8;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.60939797;3855;14428;0;648;89;86;9;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.61739097;3853;14425;0;655;88;86;9;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.62939597;3854;14427;0;660;88;86;9;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.63739097;3855;14429;0;661;89;86;14;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.64939497;3854;14424;0;660;89;86;9;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.65740097;3853;14426;0;653;89;86;13;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.66939197;3854;14429;0;648;89;86;10;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.67739597;3854;14426;0;649;89;86;8;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.68939597;3852;14425;0;649;89;86;9;14;0;0;4;16;0;0;2;0;64;0.36248263;-0.075591
1.69739297;3853;14427;0;648;89;86;8;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.70939797;3851;14427;0;649;89;86;10;14;0;0;4;16;0;0;2;0;64;0.32444033;-0.085696
1.71739197;3852;14421;0;649;89;86;8;14;0;0;4;16;0;0;2;0;64;0.36248263;-0.075591
1.72939697;3853;14426;0;652;89;86;12;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.73739197;3855;14425;0;659;89;86;9;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.74939797;3854;14424;0;670;90;86;12;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.75739897;3854;14424;0;686;90;86;14;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.76939297;3856;14424;0;709;90;86;15;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.77739597;3856;14424;0;729;90;86;11;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.78939797;3856;14421;0;751;90;86;13;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.79739197;3857;14422;0;772;90;86;9;14;0;0;4;16;0;0;2;0;64;0.55269415;-0.025066
1.80939897;3856;14422;0;797;90;86;11;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.81739197;3856;14420;0;824;90;86;8;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.82939797;3855;14422;0;839;91;86;8;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.83739197;3857;14421;0;848;91;86;8;14;0;0;4;16;0;0;2;0;64;0.55269415;-0.025066
1.84939897;3856;14418;0;855;91;86;9;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.85740097;3855;14420;0;861;91;86;13;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.86939197;3857;14423;0;869;91;86;14;14;0;0;4;16;0;0;2;0;64;0.55269415;-0.025066
1.87739597;3854;14420;0;880;90;86;10;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
