Experiment parameters :
Instruction;Be both fast and precise
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.18528391;5326;14729;14;334;96;86;11;14;0;0;4;16;0;0;2;0;64;56.43683804;14.819160
2.19729191;5287;14684;14;350;96;86;13;14;0;0;4;16;0;0;2;0;64;54.95318820;14.425066
2.20528391;5246;14646;14;354;96;87;14;14;0;0;4;16;0;1;2;0;64;53.39345376;14.010761
2.21728991;5208;14605;13;359;95;87;13;14;0;0;4;16;0;1;2;0;64;51.94784623;13.626772
2.22528291;5161;14567;13;363;95;88;15;14;0;0;0;16;8;0;0;0;64;50.15985796;13.151837
2.23728991;5111;14530;12;362;95;88;15;14;0;0;0;16;8;0;0;0;64;48.25774278;12.646588
2.24529591;5058;14493;12;364;94;89;12;14;0;0;0;16;8;1;0;0;64;46.24150069;12.111024
2.25730291;4993;14449;11;372;94;89;13;14;0;0;0;16;8;1;0;0;64;43.76875096;11.454199
2.26529491;4925;14422;10;378;93;90;14;14;0;0;0;16;8;0;2;0;64;41.18187432;10.767060
2.27729291;4853;14415;10;379;93;90;12;14;0;0;0;16;8;0;2;0;64;38.44282847;10.039501
2.28528491;4762;14411;9;356;93;90;14;14;0;0;0;16;8;0;2;0;64;34.98097885;9.119948
2.29729291;4671;14411;8;338;93;90;12;14;0;0;0;16;8;0;2;0;64;31.51912923;8.200394
2.30528391;4581;14411;7;331;94;90;12;14;0;0;0;16;8;0;2;0;64;28.09532191;7.290945
2.31729091;4496;14409;6;334;94;90;12;14;0;0;0;16;8;0;2;0;64;24.86172611;6.432021
2.32528491;4411;14409;5;345;94;89;15;14;0;0;0;16;8;1;0;0;64;21.62813031;5.573097
2.33728991;4326;14410;4;359;95;89;12;14;0;0;0;16;8;1;0;0;64;18.39453451;4.714173
2.34529391;4241;14410;3;371;95;89;12;14;0;0;0;16;8;1;0;0;64;15.16093871;3.855249
2.35728491;4151;14407;2;372;96;89;14;14;0;0;0;16;8;1;0;0;64;11.73713139;2.945801
2.36529091;4074;14405;2;380;95;89;15;14;0;0;0;16;8;1;0;0;64;8.80787402;2.167717
2.37729191;4004;14410;1;392;95;89;14;14;0;0;0;16;8;1;0;0;64;6.14491277;1.460367
2.38528591;3931;14404;0;399;95;89;10;14;0;0;0;16;8;1;0;0;64;3.36782461;0.722703
2.39729391;3861;14407;0;422;95;88;14;14;0;0;0;16;8;0;0;0;64;0.70486336;0.015354
2.40528291;3839;14413;0;711;95;88;13;14;0;0;0;16;8;0;0;0;64;-0.13206732;-0.206955
2.41729491;3844;14416;0;716;95;88;15;14;0;0;0;16;8;0;0;0;64;0.05814420;-0.156430
2.42528391;3843;14415;0;708;94;88;14;14;0;0;0;16;8;0;0;0;64;0.02010190;-0.166535
2.43729491;3846;14417;0;708;94;88;12;14;0;0;0;16;8;0;0;0;64;0.13422881;-0.136220
2.44529591;3847;14419;0;709;94;88;12;14;0;0;0;16;8;0;0;0;64;0.17227111;-0.126115
2.45728991;3845;14416;0;713;94;88;15;14;0;0;0;16;8;0;0;0;64;0.09618651;-0.146325
2.46929491;3844;14422;0;720;93;88;14;14;0;0;0;16;8;0;0;0;64;0.05814420;-0.156430
2.47729691;3847;14424;0;728;93;88;15;14;0;0;0;16;8;0;0;0;64;0.17227111;-0.126115
2.48928991;3846;14422;0;736;93;87;13;14;0;0;4;16;0;1;2;0;64;0.13422881;-0.136220
2.49729591;3845;14423;0;748;93;87;12;14;0;0;4;16;0;1;2;0;64;0.09618651;-0.146325
2.50929691;3848;14424;0;769;93;87;15;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.116010
2.51728991;3847;14421;0;791;93;87;11;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115
2.52929491;3847;14419;0;810;93;87;12;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115
2.53728991;3851;14423;0;831;93;87;12;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
2.54929591;3850;14422;0;851;93;87;10;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801
2.55728991;3849;14416;0;867;93;87;15;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
2.56929691;3850;14418;0;879;93;87;13;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801
2.57729891;3854;14419;0;888;93;87;14;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
2.58928891;3855;14415;0;895;93;87;14;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276
2.59729691;3852;14415;0;905;93;87;15;14;0;0;4;16;0;1;2;0;64;0.36248263;-0.075591
2.60929691;3856;14420;0;919;93;87;8;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.61729091;3855;14416;0;935;93;87;10;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276
2.62929891;3853;14414;0;954;93;87;13;14;0;0;4;16;0;1;2;0;64;0.40052493;-0.065486
2.63729091;3856;14419;0;974;93;87;12;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.64929591;3856;14416;0;993;93;87;11;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.65729091;3854;14414;0;1008;93;87;9;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
2.66929591;3855;14416;0;1023;93;87;9;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276
2.67729891;3855;14417;0;1023;92;87;10;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276
2.68929291;3856;14416;0;1023;92;87;9;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.69729691;3856;14419;0;1023;92;87;9;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.70929591;3856;14420;0;1023;92;87;10;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
