Experiment parameters :
Instruction;25% speed / 75% accuracy
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
3.80132296;4046;14398;1;251;94;94;11;14;0;0;4;16;8;0;2;0;64;7.74268952;1.884777
3.81331596;3982;14397;1;470;94;94;8;14;0;0;4;16;8;0;2;0;64;5.30798209;1.238058
3.82132396;3911;14398;0;494;94;94;8;14;0;0;4;16;8;0;2;0;64;2.60697854;0.520604
3.83331496;3838;14394;0;536;94;94;9;14;0;0;4;16;8;0;2;0;64;-0.17010962;-0.217060
3.84132196;3822;14408;0;799;94;95;8;14;0;0;4;16;8;1;2;0;64;-0.77878648;-0.378740
3.85332396;3822;14410;0;843;94;95;9;14;0;0;4;16;8;1;2;0;64;-0.77878648;-0.378740
3.86131596;3821;14405;0;879;94;95;10;14;0;0;4;16;8;1;2;0;64;-0.81682878;-0.388845
3.87332496;3823;14408;0;933;94;94;10;14;0;0;4;16;8;0;2;0;64;-0.74074417;-0.368635
3.88131596;3824;14410;0;968;95;94;11;14;0;0;4;16;8;0;2;0;64;-0.70270187;-0.358530
3.89332396;3823;14403;0;993;95;94;11;14;0;0;4;16;8;0;2;0;64;-0.74074417;-0.368635
3.90132396;3823;14406;0;1016;95;94;9;14;0;0;4;16;8;0;2;0;64;-0.74074417;-0.368635
3.91331896;3825;14402;0;1023;95;94;11;14;0;0;4;16;8;0;2;0;64;-0.66465956;-0.348425
3.92132296;3825;14402;0;1023;95;94;11;14;0;0;4;16;8;0;2;0;64;-0.66465956;-0.348425
3.93331696;3826;14404;0;1023;95;93;8;14;0;0;4;16;8;1;0;0;64;-0.62661726;-0.338320
3.94132396;3826;14407;0;1023;95;93;8;14;0;0;4;16;8;1;0;0;64;-0.62661726;-0.338320
3.95332496;3828;14407;0;1023;95;93;8;14;0;0;4;16;8;1;0;0;64;-0.55053265;-0.318110
3.96131696;3826;14403;0;1023;95;93;8;14;0;0;4;16;8;1;0;0;64;-0.62661726;-0.338320
3.97332496;3825;14404;0;1023;95;93;8;14;0;0;4;16;8;1;0;0;64;-0.66465956;-0.348425
3.98131596;3828;14408;0;1023;95;93;8;14;0;0;4;16;8;1;0;0;64;-0.55053265;-0.318110
3.99332396;3829;14404;0;1023;94;92;9;14;0;0;4;16;8;0;0;0;64;-0.51249035;-0.308005
4.00132496;3826;14410;0;1023;94;92;10;14;0;0;4;16;8;0;0;0;64;-0.62661726;-0.338320
4.01332196;3830;14412;0;1023;94;92;8;14;0;0;4;16;8;0;0;0;64;-0.47444805;-0.297900
4.02132496;3828;14408;0;1023;93;92;11;14;0;0;4;16;8;0;0;0;64;-0.55053265;-0.318110
4.03331596;3829;14412;0;1023;93;92;8;14;0;0;4;16;8;0;0;0;64;-0.51249035;-0.308005
4.04132296;3830;14413;0;1023;93;92;11;14;0;0;4;16;8;0;0;0;64;-0.47444805;-0.297900
4.05332396;3830;14413;0;1023;93;92;9;14;0;0;4;16;8;0;0;0;64;-0.47444805;-0.297900
4.06131796;3829;14416;0;1023;92;91;8;14;0;0;0;16;8;1;2;0;64;-0.51249035;-0.308005
4.07332496;3831;14418;0;1023;92;91;9;14;0;0;0;16;8;1;2;0;64;-0.43640574;-0.287795
4.08131796;3832;14416;0;1023;92;91;8;14;0;0;0;16;8;1;2;0;64;-0.39836344;-0.277690
4.09332496;3827;14414;0;1023;92;91;8;14;0;0;0;16;8;1;2;0;64;-0.58857496;-0.328215
4.10132596;3828;14417;0;1023;92;91;10;14;0;0;0;16;8;1;2;0;64;-0.55053265;-0.318110
4.11332396;3830;14418;0;1023;92;91;10;14;0;0;0;16;8;1;2;0;64;-0.47444805;-0.297900
4.12132496;3827;14413;0;1023;92;91;10;14;0;0;0;16;8;1;2;0;64;-0.58857496;-0.328215
4.13331596;3827;14416;0;1023;92;91;8;14;0;0;0;16;8;1;2;0;64;-0.58857496;-0.328215
4.14132396;3827;14415;0;1023;92;91;9;14;0;0;0;16;8;1;2;0;64;-0.58857496;-0.328215
4.15332596;3827;14415;0;1023;92;91;8;14;0;0;0;16;8;1;2;0;64;-0.58857496;-0.328215
4.16131896;3824;14415;0;1023;92;91;10;14;0;0;0;16;8;1;2;0;64;-0.70270187;-0.358530
4.17332496;3826;14417;0;1023;92;92;10;14;0;0;4;16;8;0;0;0;64;-0.62661726;-0.338320
4.18131796;3825;14414;0;1023;92;92;4;14;0;0;4;16;8;0;0;0;64;-0.66465956;-0.348425
4.19332496;3824;14414;0;1023;92;92;11;14;0;0;4;16;8;0;0;0;64;-0.70270187;-0.358530
4.20132696;3826;14417;0;1023;92;92;10;14;0;0;4;16;8;0;0;0;64;-0.62661726;-0.338320
4.21331996;3825;14414;0;1023;92;92;6;14;0;0;4;16;8;0;0;0;64;-0.66465956;-0.348425
4.22132496;3823;14410;0;1023;92;93;6;14;0;0;4;16;8;1;0;0;64;-0.74074417;-0.368635
4.23331796;3823;14413;0;1023;93;93;11;14;0;0;4;16;8;1;0;0;64;-0.74074417;-0.368635
4.24132696;3825;14413;0;1023;93;93;7;14;0;0;4;16;8;1;0;0;64;-0.66465956;-0.348425
4.25332896;3824;14411;0;1023;93;93;4;14;0;0;4;16;8;1;0;0;64;-0.70270187;-0.358530
4.26131996;3823;14412;0;1023;93;93;10;14;0;0;4;16;8;1;0;0;64;-0.74074417;-0.368635
4.27332596;3824;14413;0;1023;93;93;10;14;0;0;4;16;8;1;0;0;64;-0.70270187;-0.358530
