Experiment parameters :
Instruction;Be as precise as possible
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.36505507;3851;14458;0;157;98;88;4;14;0;0;0;16;8;0;0;0;64;0.32444033;-0.085696
2.37730607;3852;14423;0;564;97;88;10;14;0;0;0;16;8;0;0;0;64;0.36248263;-0.075591
2.38530307;3856;14399;0;592;96;88;14;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171
2.39730307;3850;14405;0;662;95;88;14;14;0;0;0;16;8;0;0;0;64;0.28639802;-0.095801
2.40530307;3856;14410;0;719;95;88;12;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171
2.41730207;3852;14406;0;773;94;88;14;14;0;0;0;16;8;0;0;0;64;0.36248263;-0.075591
2.42529807;3851;14406;0;812;94;88;14;14;0;0;0;16;8;0;0;0;64;0.32444033;-0.085696
2.43730407;3856;14413;0;844;94;87;13;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.44529907;3854;14411;0;880;94;87;9;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
2.45730107;3853;14409;0;907;93;87;15;14;0;0;4;16;0;1;2;0;64;0.40052493;-0.065486
2.46529707;3856;14414;0;917;93;87;13;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.47730107;3858;14416;0;917;93;87;13;14;0;0;4;16;0;1;2;0;64;0.59073645;-0.014961
2.48930407;3854;14417;0;918;93;87;12;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
2.49729707;3855;14418;0;925;93;86;12;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
2.50930207;3860;14421;0;938;93;86;14;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
2.51730507;3862;14418;0;954;93;86;13;14;0;0;4;16;0;0;2;0;64;0.74290567;0.025459
2.52929707;3860;14421;0;966;93;86;13;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
2.53730507;3863;14423;0;977;93;86;13;14;0;0;4;16;0;0;2;0;64;0.78094797;0.035564
2.54930007;3863;14420;0;987;93;86;10;14;0;0;4;16;0;0;2;0;64;0.78094797;0.035564
2.55730407;3862;14420;0;1003;93;86;12;14;0;0;4;16;0;0;2;0;64;0.74290567;0.025459
2.56930407;3863;14423;0;1023;92;85;15;14;0;0;4;16;0;1;0;0;64;0.78094797;0.035564
2.57729907;3864;14421;0;1023;92;85;10;14;0;0;4;16;0;1;0;0;64;0.81899027;0.045669
2.58930407;3862;14421;0;1023;92;85;9;14;0;0;4;16;0;1;0;0;64;0.74290567;0.025459
2.59729907;3863;14425;0;1023;92;85;10;14;0;0;4;16;0;1;0;0;64;0.78094797;0.035564
2.60930407;3864;14420;0;1023;92;86;6;14;0;0;4;16;0;0;2;0;64;0.81899027;0.045669
2.61730507;3861;14418;0;1023;91;86;8;14;0;0;4;16;0;0;2;0;64;0.70486336;0.015354
2.62929807;3863;14418;0;1023;91;86;11;14;0;0;4;16;0;0;2;0;64;0.78094797;0.035564
2.63730607;3866;14423;0;1023;91;86;11;14;0;0;4;16;0;0;2;0;64;0.89507488;0.065879
2.64930007;3864;14417;0;1023;90;86;6;14;0;0;4;16;0;0;2;0;64;0.81899027;0.045669
2.65730307;3861;14418;0;1023;90;86;9;14;0;0;4;16;0;0;2;0;64;0.70486336;0.015354
2.66930407;3860;14421;0;1023;90;86;11;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
2.67729907;3858;14421;0;1023;90;86;7;14;0;0;4;16;0;0;2;0;64;0.59073645;-0.014961
2.68930507;3856;14422;0;1023;90;86;8;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
2.69729907;3856;14426;0;1023;90;86;8;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
2.70930407;3854;14427;0;1023;90;86;10;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
2.71730507;3856;14423;0;1023;91;86;8;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
2.72929807;3855;14428;0;1023;91;85;9;14;0;0;4;16;0;1;0;0;64;0.47660954;-0.045276
2.73730807;3862;14430;0;1023;91;85;11;14;0;0;4;16;0;1;0;0;64;0.74290567;0.025459
2.74930007;3859;14420;0;1023;92;85;11;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856
2.75730507;3859;14420;0;1023;92;85;8;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856
2.76930507;3860;14420;0;1023;92;85;11;14;0;0;4;16;0;1;0;0;64;0.66682106;0.005249
2.77729907;3860;14416;0;1023;92;85;8;14;0;0;4;16;0;1;0;0;64;0.66682106;0.005249
2.78930507;3859;14415;0;1023;92;85;11;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856
2.79729907;3861;14416;0;1023;92;86;5;14;0;0;4;16;0;0;2;0;64;0.70486336;0.015354
2.80930307;3862;14413;0;1023;92;86;5;14;0;0;4;16;0;0;2;0;64;0.74290567;0.025459
2.81730807;3860;14411;0;1023;91;86;7;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
2.82930707;3861;14411;0;1023;91;87;4;14;0;0;4;16;0;1;2;0;64;0.70486336;0.015354
2.83730807;3862;14411;0;1023;91;87;7;14;0;0;4;16;0;1;2;0;64;0.74290567;0.025459
2.84930007;3861;14408;0;1023;91;87;6;14;0;0;4;16;0;1;2;0;64;0.70486336;0.015354
2.85730507;3858;14411;0;1023;91;87;7;14;0;0;4;16;0;1;2;0;64;0.59073645;-0.014961
2.86930707;3859;14412;0;1023;91;88;5;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
2.87730207;3858;14409;0;1023;91;88;7;14;0;0;0;16;8;0;0;0;64;0.59073645;-0.014961
2.88930707;3857;14408;0;1023;91;88;6;14;0;0;0;16;8;0;0;0;64;0.55269415;-0.025066
2.89730107;3856;14412;0;1023;91;88;6;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171
2.90930407;3858;14410;0;1023;91;88;7;14;0;0;0;16;8;0;0;0;64;0.59073645;-0.014961
2.91730707;3857;14408;0;1023;91;88;5;14;0;0;0;16;8;0;0;0;64;0.55269415;-0.025066
2.92929907;3859;14410;0;1023;91;88;7;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
2.93730907;3859;14413;0;1023;91;88;6;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
