Experiment parameters :
Instruction;1. Full speed
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.66539295;3748;16280;-1;183;97;98;6;14;0;0;0;0;0;0;2;32;64;-3.59391694;-1.126509
1.68137095;3750;16283;-1;189;97;97;1;14;0;0;0;0;0;1;0;32;64;-3.51783233;-1.106299
1.68539395;3755;16287;-1;287;97;97;2;14;0;0;0;0;0;1;0;32;64;-3.32762081;-1.055774
1.70136895;3748;16282;-1;324;97;97;2;14;0;0;0;0;0;1;0;32;64;-3.59391694;-1.126509
1.70539295;3748;16284;-1;352;97;96;2;14;0;0;0;0;0;0;0;32;64;-3.59391694;-1.126509
1.72136895;3750;16286;-1;395;97;96;2;14;0;0;0;0;0;0;0;32;64;-3.51783233;-1.106299
1.72539695;3754;16288;-1;402;97;96;13;14;0;0;0;0;0;0;0;32;64;-3.36566312;-1.065879
1.74137495;3756;16287;-1;397;96;95;12;14;0;0;4;16;8;1;2;0;64;-3.28957851;-1.045669
1.74539395;3751;16285;-1;534;96;95;11;14;0;0;4;16;8;1;2;0;64;-3.47979003;-1.096194
1.76137295;3756;16288;-1;563;96;95;8;14;0;0;4;16;8;1;2;0;64;-3.28957851;-1.045669
1.76539295;3755;16285;-1;566;96;95;11;14;0;0;4;16;8;1;2;0;64;-3.32762081;-1.055774
1.78137195;3755;16285;-1;570;96;95;10;14;0;0;4;16;8;1;2;0;64;-3.32762081;-1.055774
1.78539295;3755;16286;-1;581;96;95;10;14;0;0;4;16;8;1;2;0;64;-3.32762081;-1.055774
1.80137195;3755;16290;-1;602;96;94;10;14;0;0;4;16;8;0;2;0;64;-3.32762081;-1.055774
1.80539395;3755;16284;-1;639;96;94;8;14;0;0;4;16;8;0;2;0;64;-3.32762081;-1.055774
1.82136895;3755;16285;-1;671;96;94;10;14;0;0;4;16;8;0;2;0;64;-3.32762081;-1.055774
1.82539595;3756;16286;-1;697;96;94;9;14;0;0;4;16;8;0;2;0;64;-3.28957851;-1.045669
1.84137495;3759;16288;-1;723;96;94;11;14;0;0;4;16;8;0;2;0;64;-3.17545160;-1.015354
1.84539395;3757;16285;-1;748;95;94;8;14;0;0;4;16;8;0;2;0;64;-3.25153621;-1.035564
