Experiment parameters :
Instruction;5. Full accuracy
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.64929597;3745;16279;-1;231;107;96;1;14;0;0;0;0;0;0;0;32;64;-3.70804385;-1.156824
1.65331297;3752;16286;-1;280;106;95;15;14;0;0;4;16;8;1;2;0;64;-3.44174772;-1.086089
1.66929197;3760;16295;-1;295;105;94;11;14;0;0;4;16;8;0;2;0;64;-3.13740929;-1.005249
1.67331397;3772;16297;0;331;103;93;14;14;0;0;4;16;8;1;0;0;64;-2.68090165;-0.883990
1.68829097;3771;16291;0;536;101;92;15;14;0;0;4;16;8;0;0;0;64;-2.71894396;-0.894094
1.69331297;3770;16290;0;570;100;91;13;14;0;0;0;16;8;1;2;0;64;-2.75698626;-0.904199
1.70929097;3770;16294;0;575;99;90;12;14;0;0;0;16;8;0;2;0;64;-2.75698626;-0.904199
1.71331297;3773;16297;0;588;97;89;15;14;0;0;0;16;8;1;0;0;64;-2.64285935;-0.873885
1.72928997;3774;16294;0;612;97;88;13;14;0;0;0;16;8;0;0;0;64;-2.60481704;-0.863780
1.73356297;3771;16293;0;627;96;88;12;14;0;0;0;16;8;0;0;0;64;-2.71894396;-0.894094
1.74928997;3775;16297;0;635;96;87;14;14;0;0;4;16;0;1;2;0;64;-2.56677474;-0.853675
1.75331797;3775;16296;0;648;95;87;13;14;0;0;4;16;0;1;2;0;64;-2.56677474;-0.853675
1.76929197;3775;16295;0;673;95;87;13;14;0;0;4;16;0;1;2;0;64;-2.56677474;-0.853675
1.77331297;3773;16294;0;709;95;86;13;14;0;0;4;16;0;0;2;0;64;-2.64285935;-0.873885
1.78929197;3776;16298;0;749;95;86;12;14;0;0;4;16;0;0;2;0;64;-2.52873244;-0.843570
1.79331397;3776;16294;0;795;95;86;8;14;0;0;4;16;0;0;2;0;64;-2.52873244;-0.843570
1.80929197;3775;16292;0;830;95;86;14;14;0;0;4;16;0;0;2;0;64;-2.56677474;-0.853675
1.81331297;3775;16296;0;858;95;86;14;14;0;0;4;16;0;0;2;0;64;-2.56677474;-0.853675
1.82929197;3776;16296;0;880;94;86;14;14;0;0;4;16;0;0;2;0;64;-2.52873244;-0.843570
1.83331397;3777;16292;0;902;94;86;11;14;0;0;4;16;0;0;2;0;64;-2.49069013;-0.833465
1.84928997;3772;16293;0;921;94;86;15;14;0;0;4;16;0;0;2;0;64;-2.68090165;-0.883990
1.85331597;3776;16296;0;938;94;87;9;14;0;0;4;16;0;1;2;0;64;-2.52873244;-0.843570
1.86929597;3775;16292;0;948;94;87;9;14;0;0;4;16;0;1;2;0;64;-2.56677474;-0.853675
1.87331597;3774;16293;0;953;94;87;9;14;0;0;4;16;0;1;2;0;64;-2.60481704;-0.863780
1.88929197;3775;16296;0;957;93;87;10;14;0;0;4;16;0;1;2;0;64;-2.56677474;-0.853675
1.89331397;3776;16300;0;963;93;87;11;14;0;0;4;16;0;1;2;0;64;-2.52873244;-0.843570
1.90929197;3774;16297;0;973;93;87;8;14;0;0;4;16;0;1;2;0;64;-2.60481704;-0.863780
1.91331497;3774;16295;0;983;93;88;10;14;0;0;0;16;8;0;0;0;64;-2.60481704;-0.863780
1.92929197;3776;16297;0;994;93;88;9;14;0;0;0;16;8;0;0;0;64;-2.52873244;-0.843570
1.93331397;3781;16297;0;993;92;88;9;14;0;0;0;16;8;0;0;0;64;-2.33852092;-0.793045
1.94929097;3782;16299;0;986;92;88;11;14;0;0;0;16;8;0;0;0;64;-2.30047862;-0.782940
1.95334197;3785;16299;0;979;92;88;9;14;0;0;0;16;8;0;0;0;64;-2.18635171;-0.752625
1.96928997;3791;16302;0;979;91;89;8;14;0;0;0;16;8;1;0;0;64;-1.95809788;-0.691995
1.97331797;3793;16301;0;979;91;89;10;14;0;0;0;16;8;1;0;0;64;-1.88201328;-0.671785
1.98929297;3796;16298;0;980;90;89;10;14;0;0;0;16;8;1;0;0;64;-1.76788637;-0.641470
1.99331497;3799;16299;0;982;90;89;9;14;0;0;0;16;8;1;0;0;64;-1.65375946;-0.611155
2.00929397;3806;16304;0;984;89;89;11;14;0;0;0;16;8;1;0;0;64;-1.38746333;-0.540420
2.01331497;3812;16302;0;985;89;89;6;14;0;0;0;16;8;1;0;0;64;-1.15920951;-0.479790
2.02929297;3812;16301;0;985;88;90;8;14;0;0;0;16;8;0;2;0;64;-1.15920951;-0.479790
2.03331497;3818;16304;0;986;87;90;4;14;0;0;0;16;8;0;2;0;64;-0.93095569;-0.419160
2.04929097;3823;16304;0;990;86;90;5;14;0;0;0;16;8;0;2;0;64;-0.74074417;-0.368635
2.05333997;3827;16302;0;994;86;90;4;14;0;0;0;16;8;0;2;0;64;-0.58857496;-0.328215
2.06929097;3830;16305;0;996;85;90;6;14;0;0;0;16;8;0;2;0;64;-0.47444805;-0.297900
2.07331897;3834;16307;0;997;84;91;6;14;0;0;0;16;8;1;2;0;64;-0.32227883;-0.257480
2.08929497;3840;16305;0;997;84;91;5;14;0;0;0;16;8;1;2;0;64;-0.09402501;-0.196850
2.09331797;3840;16302;0;999;83;91;7;14;0;0;0;16;8;1;2;0;64;-0.09402501;-0.196850
2.10929397;3844;16307;0;999;83;91;6;14;0;0;0;16;8;1;2;0;64;0.05814420;-0.156430
2.11331597;3849;16311;0;1000;83;91;4;14;0;0;0;16;8;1;2;0;64;0.24835572;-0.105906
2.12929297;3853;16307;0;1000;82;92;4;14;0;0;4;16;8;0;0;0;64;0.40052493;-0.065486
2.13331797;3855;16309;0;1001;82;92;11;14;0;0;4;16;8;0;0;0;64;0.47660954;-0.045276
2.14929197;3861;16311;0;1001;81;92;6;14;0;0;4;16;8;0;0;0;64;0.70486336;0.015354
2.15332297;3863;16310;0;1002;81;92;4;14;0;0;4;16;8;0;0;0;64;0.78094797;0.035564
2.16936897;3866;16308;0;1002;81;92;5;14;0;0;4;16;8;0;0;0;64;0.89507488;0.065879
2.17331897;3866;16312;0;1002;80;92;6;14;0;0;4;16;8;0;0;0;64;0.89507488;0.065879
2.18929397;3870;16312;0;1003;80;93;7;14;0;0;4;16;8;1;0;0;64;1.04724409;0.106299
2.19331897;3871;16309;0;1005;80;93;4;14;0;0;4;16;8;1;0;0;64;1.08528640;0.116404
2.20929397;3870;16309;0;1006;80;93;7;14;0;0;4;16;8;1;0;0;64;1.04724409;0.106299
2.21331797;3870;16310;0;1006;79;93;7;14;0;0;4;16;8;1;0;0;64;1.04724409;0.106299
2.22929397;3872;16311;0;1007;79;93;4;14;0;0;4;16;8;1;0;0;64;1.12332870;0.126509
2.23331697;3871;16308;0;1009;79;93;5;14;0;0;4;16;8;1;0;0;64;1.08528640;0.116404
