Experiment parameters :
Instruction;Speed emphasis
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.94131494;4063;14895;2;208;87;99;6;14;0;0;0;0;0;1;2;32;64;8.38940868;2.056562
1.94932094;4040;14874;1;266;86;98;6;14;0;0;0;0;0;0;2;32;64;7.51443570;1.824147
1.96132194;4020;14843;1;261;86;99;3;14;0;0;0;0;0;1;2;32;64;6.75358962;1.622047
1.96931494;4002;14813;1;266;86;99;6;14;0;0;0;0;0;1;2;32;64;6.06882816;1.440157
1.98132194;3989;14787;1;292;85;100;6;14;0;0;4;0;0;0;0;32;64;5.57427822;1.308793
1.98931494;3970;14755;1;309;85;100;4;14;0;0;4;0;0;0;0;32;64;4.85147445;1.116798
2.00132094;3945;14721;0;328;85;101;7;14;0;0;4;0;0;1;0;32;64;3.90041686;0.864173
2.00932394;3918;14693;0;373;85;101;4;14;0;0;4;0;0;1;0;32;64;2.87327466;0.591339
2.02131594;3887;14659;0;411;85;102;5;14;0;0;4;0;0;0;2;32;64;1.69396325;0.278084
2.02932194;3849;14626;0;433;85;102;6;14;0;0;4;0;0;0;2;32;64;0.24835572;-0.105906
2.04131494;3830;14598;0;499;85;103;5;14;0;0;4;0;0;1;2;32;64;-0.47444805;-0.297900
2.04932394;3832;14569;0;516;86;103;7;14;0;0;4;0;0;1;2;32;64;-0.39836344;-0.277690
2.06132194;3839;14536;0;524;86;103;3;14;0;0;4;0;0;1;2;32;64;-0.13206732;-0.206955
2.06931594;3838;14502;0;529;86;104;3;14;0;0;0;0;8;0;0;32;64;-0.17010962;-0.217060
2.08132294;3842;14478;0;541;86;104;7;14;0;0;0;0;8;0;0;32;64;-0.01794040;-0.176640
2.08931594;3842;14453;0;551;86;104;6;14;0;0;0;0;8;0;0;32;64;-0.01794040;-0.176640
2.10132194;3847;14428;0;503;86;104;4;14;0;0;0;0;8;0;0;32;64;0.17227111;-0.126115
2.10932494;3850;14432;0;651;86;104;6;14;0;0;0;0;8;0;0;32;64;0.28639802;-0.095801
2.12131894;3851;14434;0;672;86;104;7;14;0;0;0;0;8;0;0;32;64;0.32444033;-0.085696
2.12932494;3849;14429;0;686;86;104;7;14;0;0;0;0;8;0;0;32;64;0.24835572;-0.105906
2.14131994;3850;14430;0;705;86;104;7;14;0;0;0;0;8;0;0;32;64;0.28639802;-0.095801
2.14932594;3851;14432;0;724;86;104;6;14;0;0;0;0;8;0;0;32;64;0.32444033;-0.085696
2.16132694;3848;14429;0;740;86;104;4;14;0;0;0;0;8;0;0;32;64;0.21031342;-0.116010
2.16931994;3849;14428;0;755;86;104;4;14;0;0;0;0;8;0;0;32;64;0.24835572;-0.105906
