Experiment parameters :
Instruction;Speed/accuracy balance
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.15329402;3851;14425;0;357;86;104;4;14;0;0;0;0;8;0;0;32;64;0.32444033;-0.085696
2.16530202;3851;14426;0;403;86;104;10;14;0;0;0;0;8;0;0;32;64;0.32444033;-0.085696
2.17330402;3854;14427;0;467;85;104;11;14;0;0;0;0;8;0;0;32;64;0.43856724;-0.055381
2.18530802;3853;14424;0;523;85;103;11;14;0;0;4;0;0;1;2;32;64;0.40052493;-0.065486
2.19331002;3854;14430;0;564;85;103;11;14;0;0;4;0;0;1;2;32;64;0.43856724;-0.055381
2.20529502;3856;14430;0;611;85;103;8;14;0;0;4;0;0;1;2;32;64;0.51465184;-0.035171
2.21330602;3855;14427;0;659;84;103;9;14;0;0;4;0;0;1;2;32;64;0.47660954;-0.045276
2.22530002;3852;14428;0;695;84;103;10;14;0;0;4;0;0;1;2;32;64;0.36248263;-0.075591
2.23330502;3856;14429;0;720;84;103;12;14;0;0;4;0;0;1;2;32;64;0.51465184;-0.035171
2.24530502;3856;14430;0;740;84;103;11;14;0;0;4;0;0;1;2;32;64;0.51465184;-0.035171
2.25330002;3854;14426;0;759;84;103;11;14;0;0;4;0;0;1;2;32;64;0.43856724;-0.055381
2.26531002;3856;14429;0;778;84;103;8;14;0;0;4;0;0;1;2;32;64;0.51465184;-0.035171
2.27329902;3857;14426;0;793;84;103;9;14;0;0;4;0;0;1;2;32;64;0.55269415;-0.025066
2.28530602;3855;14428;0;804;84;102;10;14;0;0;4;0;0;0;2;32;64;0.47660954;-0.045276
2.29330702;3856;14429;0;811;84;102;11;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
2.30530102;3861;14432;0;812;84;102;12;14;0;0;4;0;0;0;2;32;64;0.70486336;0.015354
2.31330602;3859;14427;0;813;84;102;13;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
2.32530002;3859;14428;0;814;84;102;13;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
2.33330602;3862;14431;0;817;84;102;12;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.34530602;3861;14428;0;824;84;102;9;14;0;0;4;0;0;0;2;32;64;0.70486336;0.015354
2.35330102;3858;14427;0;838;84;102;8;14;0;0;4;0;0;0;2;32;64;0.59073645;-0.014961
2.36530602;3857;14432;0;855;84;102;15;14;0;0;4;0;0;0;2;32;64;0.55269415;-0.025066
2.37330002;3859;14430;0;858;84;102;12;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
2.38530602;3854;14426;0;858;84;102;15;14;0;0;4;0;0;0;2;32;64;0.43856724;-0.055381
2.39330802;3855;14427;0;859;84;102;13;14;0;0;4;0;0;0;2;32;64;0.47660954;-0.045276
2.40530102;3857;14431;0;859;84;102;15;14;0;0;4;0;0;0;2;32;64;0.55269415;-0.025066
2.41330602;3854;14425;0;859;84;102;15;14;0;0;4;0;0;0;2;32;64;0.43856724;-0.055381
2.42529902;3855;14427;0;858;84;102;12;14;0;0;4;0;0;0;2;32;64;0.47660954;-0.045276
2.43330702;3857;14428;0;856;84;102;15;14;0;0;4;0;0;0;2;32;64;0.55269415;-0.025066
2.44530602;3857;14429;0;857;84;101;14;14;0;0;4;0;0;1;0;32;64;0.55269415;-0.025066
2.45330102;3856;14430;0;858;85;101;12;14;0;0;4;0;0;1;0;32;64;0.51465184;-0.035171
2.46530802;3857;14430;0;859;85;101;12;14;0;0;4;0;0;1;0;32;64;0.55269415;-0.025066
2.47330202;3853;14429;0;859;85;101;14;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.48530802;3853;14425;0;858;85;101;14;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.49330902;3853;14426;0;855;85;101;15;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.50530202;3857;14430;0;810;85;101;12;14;0;0;4;0;0;1;0;32;64;0.55269415;-0.025066
2.51330702;3854;14425;0;811;85;101;15;14;0;0;4;0;0;1;0;32;64;0.43856724;-0.055381
2.52530202;3859;14427;0;798;85;101;12;14;0;0;4;0;0;1;0;32;64;0.62877876;-0.004856
2.53330602;3862;14429;0;789;84;101;13;14;0;0;4;0;0;1;0;32;64;0.74290567;0.025459
2.54530802;3862;14428;0;785;84;101;14;14;0;0;4;0;0;1;0;32;64;0.74290567;0.025459
2.55330002;3863;14430;0;784;84;101;12;14;0;0;4;0;0;1;0;32;64;0.78094797;0.035564
2.56530702;3868;14431;0;777;84;101;13;14;0;0;4;0;0;1;0;32;64;0.97115949;0.086089
