Experiment parameters :
Instruction;Accuracy emphasis
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.89330600;3821;14897;0;408;92;107;8;14;0;0;0;0;8;1;2;32;64;-0.81682878;-0.388845
1.90531300;3824;14847;0;440;91;105;8;14;0;0;0;0;8;1;0;32;64;-0.70270187;-0.358530
1.91331000;3828;14809;0;441;90;103;11;14;0;0;4;0;0;1;2;32;64;-0.55053265;-0.318110
1.92531500;3831;14772;0;448;89;101;9;14;0;0;4;0;0;1;0;32;64;-0.43640574;-0.287795
1.93330600;3832;14741;0;465;88;100;10;14;0;0;4;0;0;0;0;32;64;-0.39836344;-0.277690
1.94531700;3835;14710;0;482;87;100;9;14;0;0;4;0;0;0;0;32;64;-0.28423653;-0.247375
1.95331500;3840;14674;0;507;87;100;8;14;0;0;4;0;0;0;0;32;64;-0.09402501;-0.196850
1.96531000;3840;14633;0;541;87;100;9;14;0;0;4;0;0;0;0;32;64;-0.09402501;-0.196850
1.97333600;3841;14595;0;564;86;101;9;14;0;0;4;0;0;1;0;32;64;-0.05598271;-0.186745
1.98531500;3846;14563;0;585;86;101;11;14;0;0;4;0;0;1;0;32;64;0.13422881;-0.136220
1.99330600;3847;14524;0;595;86;102;10;14;0;0;4;0;0;0;2;32;64;0.17227111;-0.126115
2.00531900;3849;14484;0;600;86;102;10;14;0;0;4;0;0;0;2;32;64;0.24835572;-0.105906
2.01331000;3853;14451;0;603;85;102;13;14;0;0;4;0;0;0;2;32;64;0.40052493;-0.065486
2.02531800;3865;14441;0;696;85;102;13;14;0;0;4;0;0;0;2;32;64;0.85703258;0.055774
2.03331000;3864;14437;0;718;85;102;9;14;0;0;4;0;0;0;2;32;64;0.81899027;0.045669
2.04531600;3862;14434;0;729;84;102;13;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.05331800;3862;14438;0;740;84;102;12;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.06531100;3862;14436;0;756;84;102;15;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.07331600;3860;14434;0;772;84;102;12;14;0;0;4;0;0;0;2;32;64;0.66682106;0.005249
2.08531800;3859;14437;0;787;84;102;12;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
2.09331100;3859;14435;0;797;84;102;12;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
2.10531800;3856;14431;0;809;84;102;15;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
2.11331200;3855;14434;0;816;84;102;13;14;0;0;4;0;0;0;2;32;64;0.47660954;-0.045276
2.12531700;3857;14435;0;821;84;102;14;14;0;0;4;0;0;0;2;32;64;0.55269415;-0.025066
2.13331100;3854;14432;0;825;84;102;14;14;0;0;4;0;0;0;2;32;64;0.43856724;-0.055381
2.14531700;3852;14430;0;829;84;102;15;14;0;0;4;0;0;0;2;32;64;0.36248263;-0.075591
2.15331900;3854;14436;0;832;84;102;14;14;0;0;4;0;0;0;2;32;64;0.43856724;-0.055381
2.16531200;3854;14436;0;833;84;102;14;14;0;0;4;0;0;0;2;32;64;0.43856724;-0.055381
2.17331700;3854;14431;0;834;84;102;13;14;0;0;4;0;0;0;2;32;64;0.43856724;-0.055381
2.18531800;3855;14432;0;836;85;102;13;14;0;0;4;0;0;0;2;32;64;0.47660954;-0.045276
2.19331200;3856;14434;0;837;85;102;13;14;0;0;4;0;0;0;2;32;64;0.51465184;-0.035171
2.20531900;3855;14435;0;842;84;101;12;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.21331200;3855;14434;0;847;84;101;12;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.22531800;3855;14437;0;854;84;101;15;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.23331100;3856;14436;0;862;84;101;15;14;0;0;4;0;0;1;0;32;64;0.51465184;-0.035171
2.24531800;3855;14431;0;871;84;101;15;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.25332000;3855;14433;0;878;84;101;13;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.26531300;3855;14435;0;885;84;101;15;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.27331700;3854;14431;0;892;84;101;13;14;0;0;4;0;0;1;0;32;64;0.43856724;-0.055381
2.28532000;3853;14433;0;896;84;101;12;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.29331300;3855;14434;0;900;84;101;13;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.30531900;3854;14430;0;902;84;101;15;14;0;0;4;0;0;1;0;32;64;0.43856724;-0.055381
2.31331300;3852;14432;0;903;84;101;12;14;0;0;4;0;0;1;0;32;64;0.36248263;-0.075591
2.32531900;3853;14434;0;904;85;101;14;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.33331500;3853;14434;0;905;85;101;14;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.34532200;3850;14431;0;905;85;101;15;14;0;0;4;0;0;1;0;32;64;0.28639802;-0.095801
2.35331900;3853;14433;0;905;85;101;12;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.36531300;3853;14435;0;906;85;101;15;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.37731900;3850;14431;0;908;85;101;13;14;0;0;4;0;0;1;0;32;64;0.28639802;-0.095801
2.38532100;3847;14430;0;909;85;101;13;14;0;0;4;0;0;1;0;32;64;0.17227111;-0.126115
2.39731400;3849;14433;0;910;85;101;14;14;0;0;4;0;0;1;0;32;64;0.24835572;-0.105906
2.40531900;3849;14431;0;912;85;101;15;14;0;0;4;0;0;1;0;32;64;0.24835572;-0.105906
2.41732000;3846;14428;0;912;85;101;14;14;0;0;4;0;0;1;0;32;64;0.13422881;-0.136220
2.42531400;3847;14430;0;912;85;101;13;14;0;0;4;0;0;1;0;32;64;0.17227111;-0.126115
2.43731900;3849;14431;0;912;85;101;12;14;0;0;4;0;0;1;0;32;64;0.24835572;-0.105906
2.44531300;3847;14430;0;912;85;101;13;14;0;0;4;0;0;1;0;32;64;0.17227111;-0.126115
