Experiment parameters :
Instruction;Full accuracy
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.38531906;3831;14505;0;236;89;108;14;14;0;0;4;0;8;0;0;32;64;-0.43640574;-0.287795
1.39331406;3831;14486;0;238;88;107;1;14;0;0;0;0;8;1;2;32;64;-0.43640574;-0.287795
1.40532006;3831;14470;0;254;88;107;3;14;0;0;0;0;8;1;2;32;64;-0.43640574;-0.287795
1.41332206;3835;14458;0;291;88;107;3;14;0;0;0;0;8;1;2;32;64;-0.28423653;-0.247375
1.42531506;3833;14441;0;318;88;107;2;14;0;0;0;0;8;1;2;32;64;-0.36032114;-0.267585
1.43332206;3834;14428;0;346;87;107;1;14;0;0;0;0;8;1;2;32;64;-0.32227883;-0.257480
1.44531306;3838;14426;0;443;87;107;2;14;0;0;0;0;8;1;2;32;64;-0.17010962;-0.217060
1.45332106;3834;14421;0;525;87;107;3;14;0;0;0;0;8;1;2;32;64;-0.32227883;-0.257480
1.46532206;3833;14424;0;565;87;107;7;14;0;0;0;0;8;1;2;32;64;-0.36032114;-0.267585
1.47331506;3838;14425;0;595;87;107;6;14;0;0;0;0;8;1;2;32;64;-0.17010962;-0.217060
1.48532206;3838;14424;0;622;87;107;1;14;0;0;0;0;8;1;2;32;64;-0.17010962;-0.217060
1.49331506;3834;14424;0;644;87;107;5;14;0;0;0;0;8;1;2;32;64;-0.32227883;-0.257480
1.50532206;3836;14426;0;661;87;107;5;14;0;0;0;0;8;1;2;32;64;-0.24619423;-0.237270
1.51332406;3833;14426;0;675;87;107;7;14;0;0;0;0;8;1;2;32;64;-0.36032114;-0.267585
1.52531506;3833;14421;0;688;87;107;4;14;0;0;0;0;8;1;2;32;64;-0.36032114;-0.267585
1.53332206;3832;14423;0;703;87;107;6;14;0;0;0;0;8;1;2;32;64;-0.39836344;-0.277690
1.54531706;3833;14425;0;714;87;107;6;14;0;0;0;0;8;1;2;32;64;-0.36032114;-0.267585
1.55332206;3831;14421;0;723;87;107;4;14;0;0;0;0;8;1;2;32;64;-0.43640574;-0.287795
1.56532206;3829;14424;0;728;87;107;4;14;0;0;0;0;8;1;2;32;64;-0.51249035;-0.308005
1.57331406;3830;14424;0;731;87;107;5;14;0;0;0;0;8;1;2;32;64;-0.47444805;-0.297900
1.58532206;3828;14419;0;735;87;107;7;14;0;0;0;0;8;1;2;32;64;-0.55053265;-0.318110
1.59331406;3828;14422;0;740;87;106;5;14;0;0;0;0;8;0;2;32;64;-0.55053265;-0.318110
1.60532206;3828;14425;0;747;87;106;7;14;0;0;0;0;8;0;2;32;64;-0.55053265;-0.318110
1.61332406;3829;14425;0;755;87;106;5;14;0;0;0;0;8;0;2;32;64;-0.51249035;-0.308005
1.62531606;3829;14422;0;763;88;106;6;14;0;0;0;0;8;0;2;32;64;-0.51249035;-0.308005
1.63332206;3828;14424;0;773;88;106;6;14;0;0;0;0;8;0;2;32;64;-0.55053265;-0.318110
1.64531506;3828;14425;0;780;88;106;6;14;0;0;0;0;8;0;2;32;64;-0.55053265;-0.318110
1.65332206;3828;14422;0;784;88;106;4;14;0;0;0;0;8;0;2;32;64;-0.55053265;-0.318110
1.66532206;3829;14424;0;789;87;105;4;14;0;0;0;0;8;1;0;32;64;-0.51249035;-0.308005
1.67331606;3830;14425;0;793;88;106;4;14;0;0;0;0;8;0;2;32;64;-0.47444805;-0.297900
