Experiment parameters :
Instruction;2. Speed emphasis
Block number;5
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.46311088;4233;14206;0;177;97;122;0;14;0;0;0;16;8;0;2;32;64;3.56248263;0.774409
0.46714088;4215;14208;0;405;96;121;4;14;0;0;0;16;8;1;0;32;64;2.87772117;0.592520
0.48311388;4188;14205;0;399;96;120;4;14;0;0;0;16;8;0;0;32;64;1.85057897;0.319685
0.48713588;4157;14207;0;340;96;119;11;14;0;0;4;16;0;1;2;32;64;0.67126756;0.006430
0.49513488;4130;14211;0;336;95;118;8;14;0;0;4;16;0;0;2;32;64;-0.35587463;-0.266404
0.51511288;4094;14219;0;333;95;118;11;14;0;0;4;16;0;0;2;32;64;-1.72539756;-0.630184
0.51913588;4054;14223;-1;336;95;117;10;14;0;0;4;16;0;1;0;32;64;-3.24708970;-1.034383
0.53511288;4014;14232;-1;341;95;116;8;14;0;0;4;16;0;0;0;32;64;-4.76878184;-1.438583
0.53913688;3993;14239;-1;478;95;116;10;14;0;0;4;16;0;0;0;32;64;-5.56767022;-1.650787
0.55511288;3993;14240;-1;480;95;115;9;14;0;0;0;16;0;1;2;32;64;-5.56767022;-1.650787
0.55913688;3992;14250;-1;479;95;115;8;14;0;0;0;16;0;1;2;32;64;-5.60571252;-1.660892
0.57511188;3997;14260;-1;484;95;114;8;14;0;0;0;16;0;0;2;32;64;-5.41550100;-1.610367
0.57915288;3996;14263;-1;492;95;114;11;14;0;0;0;16;0;0;2;32;64;-5.45354331;-1.620472
0.59511188;3995;14270;-1;501;94;113;10;14;0;0;0;16;0;1;0;32;64;-5.49158561;-1.630577
0.59914288;3999;14283;-1;522;94;113;8;14;0;0;0;16;0;1;0;32;64;-5.33941640;-1.590157
