Experiment parameters :
Instruction;5. Full accuracy
Block number;5
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.63280295;3974;14532;-1;416;98;114;2;14;0;0;0;16;0;0;2;32;64;-6.29047398;-1.842782
0.64709495;3975;14496;-1;420;97;114;1;14;0;0;0;16;0;0;2;32;64;-6.25243168;-1.832677
0.65112195;3973;14468;-1;425;96;114;1;14;0;0;0;16;0;0;2;32;64;-6.32851629;-1.852887
0.66709495;3975;14441;-1;407;96;114;0;14;0;0;0;16;0;0;2;32;64;-6.25243168;-1.832677
0.67112595;3976;14417;-1;410;95;115;3;14;0;0;0;16;0;1;2;32;64;-6.21438938;-1.822572
0.68710195;3977;14392;-1;426;95;115;3;14;0;0;0;16;0;1;2;32;64;-6.17634707;-1.812467
0.69111995;3976;14361;-1;432;95;115;1;14;0;0;0;16;0;1;2;32;64;-6.21438938;-1.822572
0.70709795;3978;14337;-1;446;94;116;3;14;0;0;4;16;0;0;0;32;64;-6.13830477;-1.802362
0.71111995;3978;14303;-1;446;94;116;3;14;0;0;4;16;0;0;0;32;64;-6.13830477;-1.802362
0.72709795;3978;14266;-1;446;94;117;1;14;0;0;4;16;0;1;0;32;64;-6.13830477;-1.802362
0.73111995;3976;14238;-1;457;94;117;3;14;0;0;4;16;0;1;0;32;64;-6.21438938;-1.822572
0.74709795;3983;14233;-1;509;94;118;3;14;0;0;4;16;0;0;2;32;64;-5.94809325;-1.751837
0.75111995;3984;14230;-1;520;93;118;0;14;0;0;4;16;0;0;2;32;64;-5.91005095;-1.741732
0.76709595;3985;14231;-1;521;93;118;3;14;0;0;4;16;0;0;2;32;64;-5.87200865;-1.731627
0.77112695;3986;14233;-1;527;93;119;2;14;0;0;4;16;0;1;2;32;64;-5.83396634;-1.721522
0.78716795;3986;14230;-1;540;93;119;1;14;0;0;4;16;0;1;2;32;64;-5.83396634;-1.721522
0.79112295;3988;14231;-1;554;92;119;3;14;0;0;4;16;0;1;2;32;64;-5.75788174;-1.701312
0.80709895;3990;14232;-1;562;92;119;3;14;0;0;4;16;0;1;2;32;64;-5.68179713;-1.681102
0.81112195;3988;14234;-1;568;92;119;2;14;0;0;4;16;0;1;2;32;64;-5.75788174;-1.701312
0.82709795;3987;14230;-1;568;92;119;1;14;0;0;4;16;0;1;2;32;64;-5.79592404;-1.711417
0.83112095;3987;14231;-1;567;92;119;2;14;0;0;4;16;0;1;2;32;64;-5.79592404;-1.711417
0.84709795;3991;14234;-1;564;92;119;1;14;0;0;4;16;0;1;2;32;64;-5.64375482;-1.670997
0.85112195;3986;14229;-1;556;92;119;3;14;0;0;4;16;0;1;2;32;64;-5.83396634;-1.721522
0.86709595;3988;14229;-1;548;92;119;7;14;0;0;4;16;0;1;2;32;64;-5.75788174;-1.701312
0.87112895;3990;14229;-1;544;92;119;5;14;0;0;4;16;0;1;2;32;64;-5.68179713;-1.681102
0.88716095;3987;14230;-1;542;92;119;1;14;0;0;4;16;0;1;2;32;64;-5.79592404;-1.711417
0.89112295;3986;14227;-1;541;92;119;2;14;0;0;4;16;0;1;2;32;64;-5.83396634;-1.721522
0.90709995;3988;14230;-1;541;92;119;1;14;0;0;4;16;0;1;2;32;64;-5.75788174;-1.701312
0.91112195;3987;14231;-1;541;92;119;1;14;0;0;4;16;0;1;2;32;64;-5.79592404;-1.711417
0.92709895;3987;14229;-1;542;92;119;1;14;0;0;4;16;0;1;2;32;64;-5.79592404;-1.711417
0.93112195;3988;14229;-1;544;92;119;3;14;0;0;4;16;0;1;2;32;64;-5.75788174;-1.701312
0.94709895;3991;14234;-1;546;92;119;0;14;0;0;4;16;0;1;2;32;64;-5.64375482;-1.670997
