Experiment parameters :
Instruction;3. Speed/accuracy balance
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
15.23798893;3827;14157;0;158;99;92;12;14;0;0;4;16;8;0;0;0;64;-0.58857496;-0.328215
15.25396393;3825;14157;0;174;99;92;15;14;0;0;4;16;8;0;0;0;64;-0.66465956;-0.348425
15.25799293;3826;14161;0;197;99;92;14;14;0;0;4;16;8;0;0;0;64;-0.62661726;-0.338320
15.27397093;3828;14160;0;213;99;92;13;14;0;0;4;16;8;0;0;0;64;-0.55053265;-0.318110
15.27799093;3826;14159;0;224;99;92;15;14;0;0;4;16;8;0;0;0;64;-0.62661726;-0.338320
15.29396693;3828;14160;0;228;98;92;12;14;0;0;4;16;8;0;0;0;64;-0.55053265;-0.318110
15.29798893;3831;14166;0;244;98;91;11;14;0;0;0;16;8;1;2;0;64;-0.43640574;-0.287795
15.31396693;3835;14168;0;252;98;91;5;14;0;0;0;16;8;1;2;0;64;-0.28423653;-0.247375
15.31798993;3836;14174;0;261;97;91;2;14;0;0;0;16;8;1;2;0;64;-0.24619423;-0.237270
15.33396693;3843;14183;0;324;97;90;13;14;0;0;0;16;8;0;2;0;64;0.02010190;-0.166535
15.33798993;3840;14181;0;722;96;90;9;14;0;0;0;16;8;0;2;0;64;-0.09402501;-0.196850
15.35396493;3834;14181;0;765;95;89;9;14;0;0;0;16;8;1;0;0;64;-0.32227883;-0.257480
15.35798293;3835;14181;0;782;95;88;11;14;0;0;0;16;8;0;0;0;64;-0.28423653;-0.247375
15.37396493;3839;14183;0;811;94;88;8;14;0;0;0;16;8;0;0;0;64;-0.13206732;-0.206955
15.37799593;3835;14179;0;819;94;87;9;14;0;0;4;16;0;1;2;0;64;-0.28423653;-0.247375
15.39396693;3836;14177;0;818;93;87;10;14;0;0;4;16;0;1;2;0;64;-0.24619423;-0.237270
