Experiment parameters :
Instruction;2. Speed emphasis
Block number;9
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.64189905;3762;12005;0;158;100;101;5;14;0;0;4;0;0;1;0;32;64;-3.06132469;-0.985039
2.64591705;3762;11990;0;180;100;101;7;14;0;0;4;0;0;1;0;32;64;-3.06132469;-0.985039
2.66189605;3762;11975;0;216;100;102;4;14;0;0;4;0;0;0;2;32;64;-3.06132469;-0.985039
2.66593705;3759;11959;-1;223;100;102;11;14;0;0;4;0;0;0;2;32;64;-3.17545160;-1.015354
2.68189505;3763;11952;0;264;100;103;7;14;0;0;4;0;0;1;2;32;64;-3.02328238;-0.974934
2.68591805;3763;11953;0;303;100;103;4;14;0;0;4;0;0;1;2;32;64;-3.02328238;-0.974934
2.70189505;3761;11951;0;311;100;104;6;14;0;0;0;0;8;0;0;32;64;-3.09936699;-0.995144
2.70591905;3761;11952;0;314;100;104;7;14;0;0;0;0;8;0;0;32;64;-3.09936699;-0.995144
2.72189405;3766;11955;0;318;100;104;11;14;0;0;0;0;8;0;0;32;64;-2.90915547;-0.944619
2.72592005;3764;11954;0;332;100;104;10;14;0;0;0;0;8;0;0;32;64;-2.98524008;-0.964829
2.74190105;3763;11954;0;365;100;104;8;14;0;0;0;0;8;0;0;32;64;-3.02328238;-0.974934
2.74591705;3767;11955;0;394;100;104;8;14;0;0;0;0;8;0;0;32;64;-2.87111317;-0.934514
2.76189905;3768;11956;0;424;100;104;10;14;0;0;0;0;8;0;0;32;64;-2.83307087;-0.924409
2.76592105;3767;11955;0;447;100;104;9;14;0;0;0;0;8;0;0;32;64;-2.87111317;-0.934514
2.78189705;3766;11956;0;464;99;103;10;14;0;0;4;0;0;1;2;32;64;-2.90915547;-0.944619
2.78591805;3770;11957;0;475;99;103;8;14;0;0;4;0;0;1;2;32;64;-2.75698626;-0.904199
2.80189605;3769;11959;0;484;99;103;9;14;0;0;4;0;0;1;2;32;64;-2.79502856;-0.914304
2.80591805;3770;11957;0;491;99;103;11;14;0;0;4;0;0;1;2;32;64;-2.75698626;-0.904199
2.82189505;3770;11957;0;500;99;103;11;14;0;0;4;0;0;1;2;32;64;-2.75698626;-0.904199
2.82592005;3772;11959;0;509;99;102;8;14;0;0;4;0;0;0;2;32;64;-2.68090165;-0.883990
2.84190205;3773;11959;0;520;98;102;11;14;0;0;4;0;0;0;2;32;64;-2.64285935;-0.873885
2.84591805;3772;11959;0;531;98;102;11;14;0;0;4;0;0;0;2;32;64;-2.68090165;-0.883990
2.86189805;3772;11959;0;548;98;102;10;14;0;0;4;0;0;0;2;32;64;-2.68090165;-0.883990
2.86591905;3776;11962;0;565;98;102;9;14;0;0;4;0;0;0;2;32;64;-2.52873244;-0.843570
2.88189805;3775;11960;0;578;98;101;10;14;0;0;4;0;0;1;0;32;64;-2.56677474;-0.853675
2.88591805;3775;11961;0;587;98;101;9;14;0;0;4;0;0;1;0;32;64;-2.56677474;-0.853675
2.90189705;3776;11960;0;590;97;101;9;14;0;0;4;0;0;1;0;32;64;-2.52873244;-0.843570
2.90591805;3779;11966;0;591;97;101;8;14;0;0;4;0;0;1;0;32;64;-2.41460553;-0.813255
2.92189605;3780;11965;0;594;97;101;10;14;0;0;4;0;0;1;0;32;64;-2.37656322;-0.803150
2.92591505;3779;11963;0;596;97;101;11;14;0;0;4;0;0;1;0;32;64;-2.41460553;-0.813255
2.94189605;3779;11966;0;598;97;101;10;14;0;0;4;0;0;1;0;32;64;-2.41460553;-0.813255
2.94592005;3785;11969;0;601;97;101;8;14;0;0;4;0;0;1;0;32;64;-2.18635171;-0.752625
2.96189805;3785;11966;0;602;97;100;11;14;0;0;4;0;0;0;0;32;64;-2.18635171;-0.752625
2.96591805;3785;11966;0;606;97;100;9;14;0;0;4;0;0;0;0;32;64;-2.18635171;-0.752625
2.98189805;3786;11968;0;609;97;100;8;14;0;0;4;0;0;0;0;32;64;-2.14830940;-0.742520
2.98591905;3790;11969;0;611;97;100;9;14;0;0;4;0;0;0;0;32;64;-1.99614019;-0.702100
3.00189805;3788;11969;0;612;97;100;11;14;0;0;4;0;0;0;0;32;64;-2.07222480;-0.722310
3.00592005;3791;11968;0;613;96;100;9;14;0;0;4;0;0;0;0;32;64;-1.95809788;-0.691995
3.02189805;3792;11973;0;615;96;99;9;14;0;0;0;0;0;1;2;32;64;-1.92005558;-0.681890
3.02591805;3792;11972;0;616;96;99;8;14;0;0;0;0;0;1;2;32;64;-1.92005558;-0.681890
3.04189705;3792;11971;0;618;96;99;11;14;0;0;0;0;0;1;2;32;64;-1.92005558;-0.681890
3.04592305;3791;11970;0;619;96;99;9;14;0;0;0;0;0;1;2;32;64;-1.95809788;-0.691995
3.05391705;3801;11977;0;620;96;98;8;14;0;0;0;0;0;0;2;32;64;-1.57767485;-0.590945
3.07389905;3799;11975;0;621;95;98;8;14;0;0;0;0;0;0;2;32;64;-1.65375946;-0.611155
3.07791805;3795;11975;0;622;95;98;11;14;0;0;0;0;0;0;2;32;64;-1.80592867;-0.651575
3.09389605;3798;11978;0;625;95;98;9;14;0;0;0;0;0;0;2;32;64;-1.69180176;-0.621260
3.09792205;3800;11979;0;631;95;98;11;14;0;0;0;0;0;0;2;32;64;-1.61571715;-0.601050
3.11390005;3798;11976;0;638;95;97;7;14;0;0;0;0;0;1;0;32;64;-1.69180176;-0.621260
3.11792005;3797;11978;0;648;94;97;9;14;0;0;0;0;0;1;0;32;64;-1.72984406;-0.631365
3.13389905;3802;11982;0;653;94;97;7;14;0;0;0;0;0;1;0;32;64;-1.53963255;-0.580840
3.13791905;3802;11981;0;656;94;97;11;14;0;0;0;0;0;1;0;32;64;-1.53963255;-0.580840
3.15389805;3804;11981;0;659;93;97;8;14;0;0;0;0;0;1;0;32;64;-1.46354794;-0.560630
3.15792005;3805;11983;0;660;93;97;10;14;0;0;0;0;0;1;0;32;64;-1.42550564;-0.550525
3.17389805;3806;11984;0;663;93;96;9;14;0;0;0;0;0;0;0;32;64;-1.38746333;-0.540420
3.17791905;3807;11986;0;669;92;96;4;14;0;0;0;0;0;0;0;32;64;-1.34942103;-0.530315
