Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;17
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.18993093;3812;11997;0;373;94;95;2;14;0;0;4;16;8;1;2;0;64;-1.15920951;-0.479790
2.19395193;3814;11997;0;387;92;94;7;14;0;0;4;16;8;0;2;0;64;-1.08312490;-0.459580
2.20992993;3813;11998;0;399;91;94;6;14;0;0;4;16;8;0;2;0;64;-1.12116721;-0.469685
2.21395093;3816;11998;0;419;91;93;5;14;0;0;4;16;8;1;0;0;64;-1.00704030;-0.439370
2.22992893;3816;11996;0;429;90;93;5;14;0;0;4;16;8;1;0;0;64;-1.00704030;-0.439370
2.23395493;3816;11999;0;437;90;92;10;14;0;0;4;16;8;0;0;0;64;-1.00704030;-0.439370
2.24993593;3817;11999;0;451;89;92;9;14;0;0;4;16;8;0;0;0;64;-0.96899799;-0.429265
2.25395293;3816;11999;0;473;89;92;5;14;0;0;4;16;8;0;0;0;64;-1.00704030;-0.439370
2.26992993;3816;11997;0;507;89;92;7;14;0;0;4;16;8;0;0;0;64;-1.00704030;-0.439370
2.27395393;3819;11998;0;546;89;92;7;14;0;0;4;16;8;0;0;0;64;-0.89291339;-0.409055
2.28993193;3818;11998;0;579;89;92;9;14;0;0;4;16;8;0;0;0;64;-0.93095569;-0.419160
2.29395393;3818;11998;0;607;89;92;4;14;0;0;4;16;8;0;0;0;64;-0.93095569;-0.419160
2.30993093;3817;11998;0;628;89;91;4;14;0;0;0;16;8;1;2;0;64;-0.96899799;-0.429265
2.31395193;3819;11998;0;645;89;91;10;14;0;0;0;16;8;1;2;0;64;-0.89291339;-0.409055
2.32993393;3823;12002;0;655;89;91;8;14;0;0;0;16;8;1;2;0;64;-0.74074417;-0.368635
2.33394893;3821;12001;0;665;89;91;5;14;0;0;0;16;8;1;2;0;64;-0.81682878;-0.388845
2.34992893;3822;11998;0;671;88;91;8;14;0;0;0;16;8;1;2;0;64;-0.77878648;-0.378740
2.35395593;3822;12000;0;686;88;91;8;14;0;0;0;16;8;1;2;0;64;-0.77878648;-0.378740
2.36993293;3826;12002;0;708;88;91;10;14;0;0;0;16;8;1;2;0;64;-0.62661726;-0.338320
2.37395293;3826;12000;0;731;88;91;6;14;0;0;0;16;8;1;2;0;64;-0.62661726;-0.338320
2.38993193;3823;12003;0;750;88;91;8;14;0;0;0;16;8;1;2;0;64;-0.74074417;-0.368635
2.39395293;3829;12002;0;757;88;91;7;14;0;0;0;16;8;1;2;0;64;-0.51249035;-0.308005
2.40993293;3829;12003;0;761;87;90;6;14;0;0;0;16;8;0;2;0;64;-0.51249035;-0.308005
2.41395293;3829;12002;0;765;87;90;5;14;0;0;0;16;8;0;2;0;64;-0.51249035;-0.308005
2.42993193;3833;12004;0;768;87;90;10;14;0;0;0;16;8;0;2;0;64;-0.36032114;-0.267585
2.43395293;3836;12004;0;771;87;90;7;14;0;0;0;16;8;0;2;0;64;-0.24619423;-0.237270
2.44992993;3840;12006;0;778;86;90;7;14;0;0;0;16;8;0;2;0;64;-0.09402501;-0.196850
2.45395593;3842;12004;0;784;86;90;7;14;0;0;0;16;8;0;2;0;64;-0.01794040;-0.176640
2.46993593;3841;12005;0;787;86;89;4;14;0;0;0;16;8;1;0;0;64;-0.05598271;-0.186745
2.47395393;3846;12009;0;793;85;89;11;14;0;0;0;16;8;1;0;0;64;0.13422881;-0.136220
2.48993293;3845;12006;0;804;85;89;5;14;0;0;0;16;8;1;0;0;64;0.09618651;-0.146325
2.49395693;3845;12006;0;817;85;89;4;14;0;0;0;16;8;1;0;0;64;0.09618651;-0.146325
2.50993293;3847;12009;0;828;85;88;7;14;0;0;0;16;8;0;0;0;64;0.17227111;-0.126115
2.51395493;3852;12012;0;837;84;88;4;14;0;0;0;16;8;0;0;0;64;0.36248263;-0.075591
2.52993293;3852;12012;0;838;84;87;5;14;0;0;4;16;0;1;2;0;64;0.36248263;-0.075591
2.53395593;3854;12010;0;841;84;87;7;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
2.54993193;3856;12011;0;842;84;87;9;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
2.55396193;3860;12015;0;843;84;86;11;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
2.56994393;3860;12016;0;843;83;86;11;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
2.57395693;3865;12014;0;844;83;86;15;14;0;0;4;16;0;0;2;0;64;0.85703258;0.055774
2.58993293;3868;12017;0;844;83;86;9;14;0;0;4;16;0;0;2;0;64;0.97115949;0.086089
2.59395693;3870;12019;0;846;83;85;10;14;0;0;4;16;0;1;0;0;64;1.04724409;0.106299
2.60993293;3872;12018;0;850;83;85;9;14;0;0;4;16;0;1;0;0;64;1.12332870;0.126509
2.61395593;3875;12018;0;858;82;85;8;14;0;0;4;16;0;1;0;0;64;1.23745561;0.156824
