Experiment parameters :
Instruction;Speed emphasis
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.74588103;4128;14587;2;578;95;95;8;14;0;0;4;16;8;1;2;0;64;10.86215841;2.713386
0.75787403;4038;14452;1;523;95;93;15;14;0;0;4;16;8;1;0;0;64;7.43835109;1.803937
0.76588003;4005;14380;1;619;95;92;13;14;0;0;4;16;8;0;0;0;64;6.18295507;1.470472
0.77788103;3925;14408;0;608;95;91;12;14;0;0;0;16;8;1;2;0;64;3.13957079;0.662073
0.78587403;3864;14408;0;586;94;92;14;14;0;0;4;16;8;0;0;0;64;0.81899027;0.045669
0.79788103;3812;14397;0;483;94;92;12;14;0;0;4;16;8;0;0;0;64;-1.15920951;-0.479790
0.80587903;3815;14405;0;645;94;93;3;14;0;0;4;16;8;1;0;0;64;-1.04508260;-0.449475
0.81788403;3826;14409;0;655;93;93;2;14;0;0;4;16;8;1;0;0;64;-0.62661726;-0.338320
0.82587603;3826;14407;0;664;93;93;13;14;0;0;4;16;8;1;0;0;64;-0.62661726;-0.338320
0.83788303;3828;14410;0;671;93;92;1;14;0;0;4;16;8;0;0;0;64;-0.55053265;-0.318110
0.84588503;3828;14414;0;681;93;92;1;14;0;0;4;16;8;0;0;0;64;-0.55053265;-0.318110
0.85787503;3832;14415;0;689;93;92;1;14;0;0;4;16;8;0;0;0;64;-0.39836344;-0.277690
0.86588303;3831;14413;0;693;93;92;3;14;0;0;4;16;8;0;0;0;64;-0.43640574;-0.287795
0.87788303;3832;14416;0;696;93;92;2;14;0;0;4;16;8;0;0;0;64;-0.39836344;-0.277690
0.88587503;3834;14418;0;702;92;92;0;14;0;0;4;16;8;0;0;0;64;-0.32227883;-0.257480
0.89788303;3833;14417;0;709;92;92;15;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
0.90587503;3832;14414;0;716;92;92;12;14;0;0;4;16;8;0;0;0;64;-0.39836344;-0.277690
0.91788503;3833;14414;0;722;91;92;13;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
0.92587603;3835;14416;0;723;91;92;15;14;0;0;4;16;8;0;0;0;64;-0.28423653;-0.247375
0.93788403;3833;14412;0;724;91;92;12;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
0.94588403;3833;14411;0;727;91;92;14;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
0.95787603;3839;14414;0;735;91;92;14;14;0;0;4;16;8;0;0;0;64;-0.13206732;-0.206955
0.96588603;3842;14410;0;747;90;92;12;14;0;0;4;16;8;0;0;0;64;-0.01794040;-0.176640
0.97788503;3836;14406;0;763;90;93;15;14;0;0;4;16;8;1;0;0;64;-0.24619423;-0.237270
0.98587803;3839;14409;0;784;90;93;13;14;0;0;4;16;8;1;0;0;64;-0.13206732;-0.206955
0.99788303;3842;14411;0;802;90;93;10;14;0;0;4;16;8;1;0;0;64;-0.01794040;-0.176640
1.00588003;3843;14410;0;818;89;93;8;14;0;0;4;16;8;1;0;0;64;0.02010190;-0.166535
1.01788503;3844;14411;0;835;89;93;10;14;0;0;4;16;8;1;0;0;64;0.05814420;-0.156430
1.02588203;3843;14413;0;845;88;94;10;14;0;0;4;16;8;0;2;0;64;0.02010190;-0.166535
1.03788703;3846;14415;0;854;88;94;10;14;0;0;4;16;8;0;2;0;64;0.13422881;-0.136220
1.04588603;3844;14408;0;861;88;94;9;14;0;0;4;16;8;0;2;0;64;0.05814420;-0.156430
1.05788203;3847;14412;0;871;87;94;11;14;0;0;4;16;8;0;2;0;64;0.17227111;-0.126115
1.06588603;3847;14413;0;883;87;94;9;14;0;0;4;16;8;0;2;0;64;0.17227111;-0.126115
1.07792603;3848;14411;0;892;87;94;11;14;0;0;4;16;8;0;2;0;64;0.21031342;-0.116010
1.08588303;3848;14411;0;899;87;94;8;14;0;0;4;16;8;0;2;0;64;0.21031342;-0.116010
1.09788803;3847;14414;0;905;87;94;11;14;0;0;4;16;8;0;2;0;64;0.17227111;-0.126115
1.10588203;3850;14415;0;910;87;94;11;14;0;0;4;16;8;0;2;0;64;0.28639802;-0.095801
1.11788903;3849;14409;0;916;86;95;8;14;0;0;4;16;8;1;2;0;64;0.24835572;-0.105906
1.12588203;3853;14410;0;920;86;95;8;14;0;0;4;16;8;1;2;0;64;0.40052493;-0.065486
1.13788803;3855;14414;0;925;86;95;11;14;0;0;4;16;8;1;2;0;64;0.47660954;-0.045276
1.14588703;3853;14415;0;932;86;95;8;14;0;0;4;16;8;1;2;0;64;0.40052493;-0.065486
1.15788103;3853;14413;0;935;86;95;11;14;0;0;4;16;8;1;2;0;64;0.40052493;-0.065486
1.16588603;3854;14414;0;938;86;95;11;14;0;0;4;16;8;1;2;0;64;0.43856724;-0.055381
1.17788703;3859;14416;0;943;86;95;9;14;0;0;4;16;8;1;2;0;64;0.62877876;-0.004856
1.18588203;3859;14414;0;951;85;95;9;14;0;0;4;16;8;1;2;0;64;0.62877876;-0.004856
1.19788503;3856;14414;0;959;85;95;10;14;0;0;4;16;8;1;2;0;64;0.51465184;-0.035171
1.20588203;3861;14418;0;968;85;95;8;14;0;0;4;16;8;1;2;0;64;0.70486336;0.015354
1.21788803;3862;14417;0;975;85;95;4;14;0;0;4;16;8;1;2;0;64;0.74290567;0.025459
1.22588203;3865;14415;0;978;85;95;5;14;0;0;4;16;8;1;2;0;64;0.85703258;0.055774
1.23788803;3865;14419;0;979;85;95;11;14;0;0;4;16;8;1;2;0;64;0.85703258;0.055774
1.24588703;3872;14421;0;981;84;95;6;14;0;0;4;16;8;1;2;0;64;1.12332870;0.126509
1.25788203;3870;14418;0;985;84;95;5;14;0;0;4;16;8;1;2;0;64;1.04724409;0.106299
1.26588603;3874;14418;0;989;84;95;9;14;0;0;4;16;8;1;2;0;64;1.19941331;0.146719
1.27788603;3875;14419;0;993;83;96;4;14;0;0;0;0;0;0;0;32;64;1.23745561;0.156824
1.28587903;3875;14422;0;997;83;96;5;14;0;0;0;0;0;0;0;32;64;1.23745561;0.156824
1.29788503;3874;14415;0;999;83;96;7;14;0;0;0;0;0;0;0;32;64;1.19941331;0.146719
1.30587803;3872;14420;0;1010;83;96;4;14;0;0;0;0;0;0;0;32;64;1.12332870;0.126509
1.31788403;3872;14420;0;1023;83;96;6;14;0;0;0;0;0;0;0;32;64;1.12332870;0.126509
1.32988603;3872;14418;0;1023;83;96;4;14;0;0;0;0;0;0;0;32;64;1.12332870;0.126509
1.33787903;3869;14418;0;1023;83;96;6;14;0;0;0;0;0;0;0;32;64;1.00920179;0.096194
1.34988403;3866;14418;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;0.89507488;0.065879
1.35787803;3870;14420;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
1.36988703;3867;14417;0;1023;83;96;4;14;0;0;0;0;0;0;0;32;64;0.93311718;0.075984
1.37788603;3869;14417;0;1023;83;96;4;14;0;0;0;0;0;0;0;32;64;1.00920179;0.096194
1.38988403;3869;14419;0;1023;83;96;6;14;0;0;0;0;0;0;0;32;64;1.00920179;0.096194
1.39788603;3867;14419;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;0.93311718;0.075984
1.40988603;3864;14416;0;1023;83;96;4;14;0;0;0;0;0;0;0;32;64;0.81899027;0.045669
1.41788303;3866;14416;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;0.89507488;0.065879
1.42988803;3870;14419;0;1023;83;96;4;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
1.43788303;3867;14417;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;0.93311718;0.075984
1.44988703;3865;14418;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;0.85703258;0.055774
1.45788303;3869;14422;0;1023;83;96;6;14;0;0;0;0;0;0;0;32;64;1.00920179;0.096194
1.46988703;3872;14422;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.12332870;0.126509
1.47788603;3868;14415;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;0.97115949;0.086089
1.48988003;3870;14418;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
1.49788803;3872;14421;0;1023;83;96;4;14;0;0;0;0;0;0;0;32;64;1.12332870;0.126509
1.50988703;3872;14419;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.12332870;0.126509
1.51788103;3871;14418;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.08528640;0.116404
1.52988603;3873;14422;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.16137101;0.136614
1.53788103;3875;14421;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.23745561;0.156824
1.54988603;3874;14418;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.19941331;0.146719
1.55788003;3870;14418;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
1.56988503;3873;14423;0;1023;83;96;4;14;0;0;0;0;0;0;0;32;64;1.16137101;0.136614
1.57788803;3873;14421;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;1.16137101;0.136614
1.58988003;3871;14416;0;1023;83;96;7;14;0;0;0;0;0;0;0;32;64;1.08528640;0.116404
1.59788703;3870;14420;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
1.60988703;3873;14421;0;1023;83;96;6;14;0;0;0;0;0;0;0;32;64;1.16137101;0.136614
1.61788003;3870;14417;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
1.62988503;3870;14420;0;1023;83;96;5;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
1.63788103;3870;14421;0;1023;83;96;6;14;0;0;0;0;0;0;0;32;64;1.04724409;0.106299
