Experiment parameters :
Instruction;Speed/accuracy balance
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.46184695;3806;14601;0;372;91;95;11;14;0;0;4;16;8;1;2;0;64;-1.38746333;-0.540420
0.46985295;3819;14520;0;381;91;95;10;14;0;0;4;16;8;1;2;0;64;-0.89291339;-0.409055
0.48184595;3818;14441;0;385;91;95;10;14;0;0;4;16;8;1;2;0;64;-0.93095569;-0.419160
0.48985195;3819;14404;0;552;91;96;11;14;0;0;0;0;0;0;0;32;64;-0.89291339;-0.409055
0.50185495;3822;14420;0;540;91;96;11;14;0;0;0;0;0;0;0;32;64;-0.77878648;-0.378740
0.50984695;3820;14416;0;540;91;96;8;14;0;0;0;0;0;0;0;32;64;-0.85487108;-0.398950
0.52185395;3819;14416;0;541;92;96;8;14;0;0;0;0;0;0;0;32;64;-0.89291339;-0.409055
0.52984795;3820;14418;0;547;91;96;9;14;0;0;0;0;0;0;0;32;64;-0.85487108;-0.398950
0.54185295;3823;14418;0;560;91;96;10;14;0;0;0;0;0;0;0;32;64;-0.74074417;-0.368635
0.54985595;3818;14413;0;585;91;96;8;14;0;0;0;0;0;0;0;32;64;-0.93095569;-0.419160
0.56184795;3817;14414;0;630;91;96;10;14;0;0;0;0;0;0;0;32;64;-0.96899799;-0.429265
0.56985395;3822;14415;0;658;91;96;8;14;0;0;0;0;0;0;0;32;64;-0.77878648;-0.378740
0.58184695;3820;14412;0;664;91;96;9;14;0;0;0;0;0;0;0;32;64;-0.85487108;-0.398950
0.58985295;3821;14409;0;664;91;96;15;14;0;0;0;0;0;0;0;32;64;-0.81682878;-0.388845
0.60185495;3821;14414;0;662;91;96;10;14;0;0;0;0;0;0;0;32;64;-0.81682878;-0.388845
0.60984795;3823;14412;0;655;91;96;15;14;0;0;0;0;0;0;0;32;64;-0.74074417;-0.368635
0.62185495;3823;14411;0;650;91;96;11;14;0;0;0;0;0;0;0;32;64;-0.74074417;-0.368635
0.62984795;3821;14411;0;649;91;96;14;14;0;0;0;0;0;0;0;32;64;-0.81682878;-0.388845
0.64185395;3826;14415;0;650;91;96;10;14;0;0;0;0;0;0;0;32;64;-0.62661726;-0.338320
0.64985495;3825;14414;0;652;91;96;10;14;0;0;0;0;0;0;0;32;64;-0.66465956;-0.348425
0.66184795;3826;14411;0;653;91;96;11;14;0;0;0;0;0;0;0;32;64;-0.62661726;-0.338320
0.66985395;3824;14415;0;652;91;96;10;14;0;0;0;0;0;0;0;32;64;-0.70270187;-0.358530
0.68184695;3832;14415;0;649;91;96;11;14;0;0;0;0;0;0;0;32;64;-0.39836344;-0.277690
0.68985395;3829;14413;0;649;90;96;11;14;0;0;0;0;0;0;0;32;64;-0.51249035;-0.308005
0.70185595;3830;14415;0;649;90;96;13;14;0;0;0;0;0;0;0;32;64;-0.47444805;-0.297900
0.70984795;3833;14419;0;653;90;96;10;14;0;0;0;0;0;0;0;32;64;-0.36032114;-0.267585
0.72185495;3837;14419;0;665;90;96;10;14;0;0;0;0;0;0;0;32;64;-0.20815192;-0.227165
0.72985095;3835;14415;0;682;89;96;10;14;0;0;0;0;0;0;0;32;64;-0.28423653;-0.247375
0.74185495;3839;14418;0;703;89;96;9;14;0;0;0;0;0;0;0;32;64;-0.13206732;-0.206955
0.74985595;3843;14421;0;728;88;96;9;14;0;0;0;0;0;0;0;32;64;0.02010190;-0.166535
0.76184795;3841;14420;0;738;88;96;10;14;0;0;0;0;0;0;0;32;64;-0.05598271;-0.186745
0.76986695;3841;14419;0;748;87;96;10;14;0;0;0;0;0;0;0;32;64;-0.05598271;-0.186745
0.78185195;3846;14423;0;756;87;96;11;14;0;0;0;0;0;0;0;32;64;0.13422881;-0.136220
0.78985595;3846;14422;0;764;87;96;11;14;0;0;0;0;0;0;0;32;64;0.13422881;-0.136220
0.80185895;3844;14420;0;772;86;96;10;14;0;0;0;0;0;0;0;32;64;0.05814420;-0.156430
0.80985495;3842;14422;0;782;86;96;8;14;0;0;0;0;0;0;0;32;64;-0.01794040;-0.176640
0.82185995;3846;14422;0;793;86;96;9;14;0;0;0;0;0;0;0;32;64;0.13422881;-0.136220
0.82984995;3840;14422;0;806;86;96;6;14;0;0;0;0;0;0;0;32;64;-0.09402501;-0.196850
0.84185795;3844;14422;0;813;86;96;10;14;0;0;0;0;0;0;0;32;64;0.05814420;-0.156430
0.84985795;3841;14423;0;819;86;96;8;14;0;0;0;0;0;0;0;32;64;-0.05598271;-0.186745
0.86185695;3842;14426;0;825;86;96;8;14;0;0;0;0;0;0;0;32;64;-0.01794040;-0.176640
0.86985695;3840;14419;0;832;86;96;8;14;0;0;0;0;0;0;0;32;64;-0.09402501;-0.196850
0.88184895;3840;14423;0;844;86;96;9;14;0;0;0;0;0;0;0;32;64;-0.09402501;-0.196850
0.88985595;3841;14423;0;858;86;96;9;14;0;0;0;0;0;0;0;32;64;-0.05598271;-0.186745
0.90186095;3841;14422;0;871;86;96;11;14;0;0;0;0;0;0;0;32;64;-0.05598271;-0.186745
0.90984995;3841;14422;0;883;86;96;11;14;0;0;0;0;0;0;0;32;64;-0.05598271;-0.186745
0.92185595;3845;14426;0;891;87;96;10;14;0;0;0;0;0;0;0;32;64;0.09618651;-0.146325
0.92984995;3847;14423;0;891;87;96;11;14;0;0;0;0;0;0;0;32;64;0.17227111;-0.126115
0.94185995;3846;14421;0;896;86;96;10;14;0;0;0;0;0;0;0;32;64;0.13422881;-0.136220
0.94986095;3847;14422;0;906;86;96;11;14;0;0;0;0;0;0;0;32;64;0.17227111;-0.126115
0.96185395;3851;14427;0;918;86;96;9;14;0;0;0;0;0;0;0;32;64;0.32444033;-0.085696
0.96985995;3851;14425;0;926;86;96;8;14;0;0;0;0;0;0;0;32;64;0.32444033;-0.085696
0.98185995;3852;14424;0;934;85;96;10;14;0;0;0;0;0;0;0;32;64;0.36248263;-0.075591
0.98985495;3854;14426;0;942;85;96;9;14;0;0;0;0;0;0;0;32;64;0.43856724;-0.055381
1.00186095;3856;14426;0;949;85;96;8;14;0;0;0;0;0;0;0;32;64;0.51465184;-0.035171
1.00985495;3853;14423;0;956;84;96;11;14;0;0;0;0;0;0;0;32;64;0.40052493;-0.065486
1.02185995;3856;14424;0;962;84;96;9;14;0;0;0;0;0;0;0;32;64;0.51465184;-0.035171
1.02985495;3858;14426;0;966;84;96;10;14;0;0;0;0;0;0;0;32;64;0.59073645;-0.014961
1.04185995;3861;14426;0;971;84;96;6;14;0;0;0;0;0;0;0;32;64;0.70486336;0.015354
1.04986095;3855;14425;0;975;84;96;10;14;0;0;0;0;0;0;0;32;64;0.47660954;-0.045276
1.06185495;3861;14427;0;980;84;96;10;14;0;0;0;0;0;0;0;32;64;0.70486336;0.015354
1.06986095;3866;14427;0;984;84;96;10;14;0;0;0;0;0;0;0;32;64;0.89507488;0.065879
1.08186095;3865;14425;0;986;83;96;6;14;0;0;0;0;0;0;0;32;64;0.85703258;0.055774
1.08985495;3867;14427;0;988;83;96;10;14;0;0;0;0;0;0;0;32;64;0.93311718;0.075984
1.10186195;3873;14429;0;990;83;96;9;14;0;0;0;0;0;0;0;32;64;1.16137101;0.136614
1.10985595;3875;14429;0;993;83;96;5;14;0;0;0;0;0;0;0;32;64;1.23745561;0.156824
1.12185895;3878;14427;0;994;83;96;7;14;0;0;0;0;0;0;0;32;64;1.35158252;0.187139
1.12985095;3881;14433;0;997;82;96;4;14;0;0;0;0;0;0;0;32;64;1.46570943;0.217454
1.14185795;3889;14432;0;999;82;96;5;14;0;0;0;0;0;0;0;32;64;1.77004786;0.298294
1.14985895;3889;14428;0;999;82;96;7;14;0;0;0;0;0;0;0;32;64;1.77004786;0.298294
1.16185095;3891;14431;0;999;81;96;7;14;0;0;0;0;0;0;0;32;64;1.84613247;0.318504
