Experiment parameters :
Instruction;Accuracy emphasis
Block number;5
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.89396608;4162;14517;3;273;93;101;3;14;0;0;4;0;0;1;0;32;64;12.15559673;3.056955
0.90195808;4085;14441;2;298;93;101;0;14;0;0;4;0;0;1;0;32;64;9.22633935;2.278871
0.91396508;4025;14398;1;540;93;101;4;14;0;0;4;0;0;1;0;32;64;6.94380114;1.672572
0.92196808;3945;14400;0;537;93;101;6;14;0;0;4;0;0;1;0;32;64;3.90041686;0.864173
0.93395908;3895;14404;0;540;93;101;6;14;0;0;4;0;0;1;0;32;64;1.99830168;0.358924
0.94196608;3851;14404;0;540;93;101;4;14;0;0;4;0;0;1;0;32;64;0.32444033;-0.085696
0.95396608;3800;14408;0;537;93;100;5;14;0;0;4;0;0;0;0;32;64;-1.61571715;-0.601050
0.96196508;3798;14408;0;649;93;100;5;14;0;0;4;0;0;0;0;32;64;-1.69180176;-0.621260
0.97396708;3802;14415;0;690;93;100;10;14;0;0;4;0;0;0;0;32;64;-1.53963255;-0.580840
0.98195908;3803;14414;0;717;94;100;5;14;0;0;4;0;0;0;0;32;64;-1.50159024;-0.570735
0.99396608;3804;14411;0;727;94;100;9;14;0;0;4;0;0;0;0;32;64;-1.46354794;-0.560630
1.00196108;3804;14416;0;729;94;99;10;14;0;0;0;0;0;1;2;32;64;-1.46354794;-0.560630
1.01396708;3811;14418;0;731;94;99;10;14;0;0;0;0;0;1;2;32;64;-1.19725181;-0.489895
1.02196908;3807;14414;0;734;94;99;5;14;0;0;0;0;0;1;2;32;64;-1.34942103;-0.530315
1.03396108;3809;14415;0;737;94;99;10;14;0;0;0;0;0;1;2;32;64;-1.27333642;-0.510105
1.04196608;3808;14416;0;747;93;99;8;14;0;0;0;0;0;1;2;32;64;-1.31137872;-0.520210
1.05396808;3811;14418;0;760;93;98;11;14;0;0;0;0;0;0;2;32;64;-1.19725181;-0.489895
1.06596008;3810;14411;0;766;93;98;5;14;0;0;0;0;0;0;2;32;64;-1.23529412;-0.500000
1.07396808;3807;14415;0;768;93;98;11;14;0;0;0;0;0;0;2;32;64;-1.34942103;-0.530315
1.08596108;3811;14417;0;765;93;98;7;14;0;0;0;0;0;0;2;32;64;-1.19725181;-0.489895
1.09396708;3811;14417;0;758;93;98;6;14;0;0;0;0;0;0;2;32;64;-1.19725181;-0.489895
1.10596708;3813;14415;0;755;92;98;8;14;0;0;0;0;0;0;2;32;64;-1.12116721;-0.469685
1.11396108;3814;14417;0;751;92;98;4;14;0;0;0;0;0;0;2;32;64;-1.08312490;-0.459580
1.12596508;3815;14418;0;743;92;98;11;14;0;0;0;0;0;0;2;32;64;-1.04508260;-0.449475
1.13396108;3814;14413;0;734;92;98;11;14;0;0;0;0;0;0;2;32;64;-1.08312490;-0.459580
1.14596708;3813;14418;0;730;92;98;11;14;0;0;0;0;0;0;2;32;64;-1.12116721;-0.469685
1.15397008;3817;14420;0;729;92;98;10;14;0;0;0;0;0;0;2;32;64;-0.96899799;-0.429265
1.16596208;3818;14418;0;730;91;98;5;14;0;0;0;0;0;0;2;32;64;-0.93095569;-0.419160
1.17396708;3817;14415;0;729;91;98;10;14;0;0;0;0;0;0;2;32;64;-0.96899799;-0.429265
1.18596108;3817;14418;0;730;91;98;11;14;0;0;0;0;0;0;2;32;64;-0.96899799;-0.429265
1.19396708;3819;14419;0;733;91;98;11;14;0;0;0;0;0;0;2;32;64;-0.89291339;-0.409055
1.20596908;3818;14416;0;736;91;98;6;14;0;0;0;0;0;0;2;32;64;-0.93095569;-0.419160
1.21396208;3816;14417;0;738;91;98;7;14;0;0;0;0;0;0;2;32;64;-1.00704030;-0.439370
1.22597008;3819;14418;0;742;91;98;7;14;0;0;0;0;0;0;2;32;64;-0.89291339;-0.409055
1.23396108;3817;14418;0;749;91;98;7;14;0;0;0;0;0;0;2;32;64;-0.96899799;-0.429265
1.24596808;3814;14412;0;757;91;99;7;14;0;0;0;0;0;1;2;32;64;-1.08312490;-0.459580
1.25396908;3814;14417;0;767;91;99;6;14;0;0;0;0;0;1;2;32;64;-1.08312490;-0.459580
1.26596208;3818;14418;0;775;91;99;5;14;0;0;0;0;0;1;2;32;64;-0.93095569;-0.419160
1.27396908;3814;14415;0;779;91;99;6;14;0;0;0;0;0;1;2;32;64;-1.08312490;-0.459580
1.28596108;3813;14415;0;782;91;99;4;14;0;0;0;0;0;1;2;32;64;-1.12116721;-0.469685
1.29396708;3814;14418;0;784;91;99;6;14;0;0;0;0;0;1;2;32;64;-1.08312490;-0.459580
1.30597008;3815;14419;0;784;91;99;1;14;0;0;0;0;0;1;2;32;64;-1.04508260;-0.449475
1.31396208;3817;14415;0;783;91;99;1;14;0;0;0;0;0;1;2;32;64;-0.96899799;-0.429265
