Experiment parameters :
Instruction;1. Full speed
Block number;3
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.60716788;4083;14259;0;683;87;127;12;14;0;0;4;16;8;1;2;32;64;-2.14386290;-0.741339
0.61119188;4050;14243;-1;838;86;127;1;14;0;0;4;16;8;1;2;32;64;-3.39925892;-1.074803
0.62716688;4027;14249;-1;942;85;127;1;14;0;0;4;16;8;1;2;32;64;-4.27423190;-1.307218
0.63119888;4036;14248;-1;1022;85;127;3;14;0;0;4;16;8;1;2;32;64;-3.93185117;-1.216273
0.64730188;4045;14245;-1;1023;84;126;14;14;0;0;4;16;8;0;2;32;64;-3.58947043;-1.125328
0.65119188;4054;14246;-1;1023;83;126;15;14;0;0;4;16;8;0;2;32;64;-3.24708970;-1.034383
0.66716888;4062;14249;0;1023;82;126;13;14;0;0;4;16;8;0;2;32;64;-2.94275127;-0.953543
0.67119188;4065;14246;0;1023;82;126;15;14;0;0;4;16;8;0;2;32;64;-2.82862436;-0.923228
0.68716888;4074;14246;0;1023;81;126;13;14;0;0;4;16;8;0;2;32;64;-2.48624363;-0.832283
0.69119188;4082;14249;0;1023;80;126;12;14;0;0;4;16;8;0;2;32;64;-2.18190520;-0.751444
0.70716888;4084;14245;0;1023;80;126;14;14;0;0;4;16;8;0;2;32;64;-2.10582060;-0.731234
0.71119188;4094;14244;0;1023;79;126;14;14;0;0;4;16;8;0;2;32;64;-1.72539756;-0.630184
0.72716688;4100;14246;0;1023;78;126;12;14;0;0;4;16;8;0;2;32;64;-1.49714374;-0.569554
0.73118788;4104;14243;0;1023;78;126;13;14;0;0;4;16;8;0;2;32;64;-1.34497453;-0.529134
0.74716788;4108;14242;0;1023;77;126;13;14;0;0;4;16;8;0;2;32;64;-1.19280531;-0.488714
0.75119688;4113;14245;0;1023;77;126;12;14;0;0;4;16;8;0;2;32;64;-1.00259379;-0.438189
0.76717388;4115;14245;0;1023;76;126;13;14;0;0;4;16;8;0;2;32;64;-0.92650919;-0.417979
0.77119288;4110;14244;0;1023;76;126;15;14;0;0;4;16;8;0;2;32;64;-1.11672070;-0.468504
0.78716988;4110;14246;0;1023;76;126;13;14;0;0;4;16;8;0;2;32;64;-1.11672070;-0.468504
0.79119288;4107;14247;0;1023;75;126;14;14;0;0;4;16;8;0;2;32;64;-1.23084761;-0.498819
0.80716888;4101;14246;0;1023;75;126;13;14;0;0;4;16;8;0;2;32;64;-1.45910144;-0.559449
0.81119288;4098;14248;0;1023;75;126;14;14;0;0;4;16;8;0;2;32;64;-1.57322835;-0.589764
0.82716888;4095;14249;0;1023;76;126;15;14;0;0;4;16;8;0;2;32;64;-1.68735526;-0.620079
0.83119288;4095;14246;0;1023;76;126;15;14;0;0;4;16;8;0;2;32;64;-1.68735526;-0.620079
0.84716788;4093;14248;0;1023;76;126;12;14;0;0;4;16;8;0;2;32;64;-1.76343986;-0.640289
0.85120188;4098;14252;0;1023;76;126;12;14;0;0;4;16;8;0;2;32;64;-1.57322835;-0.589764
0.86724488;4099;14248;0;1023;76;126;14;14;0;0;4;16;8;0;2;32;64;-1.53518604;-0.579659
0.87119388;4099;14248;0;1023;76;126;14;14;0;0;4;16;8;0;2;32;64;-1.53518604;-0.579659
0.88716988;4102;14251;0;1023;76;126;12;14;0;0;4;16;8;0;2;32;64;-1.42105913;-0.549344
0.89119388;4103;14249;0;1023;76;126;15;14;0;0;4;16;8;0;2;32;64;-1.38301683;-0.539239
0.90716988;4106;14248;0;1023;76;126;14;14;0;0;4;16;8;0;2;32;64;-1.26888992;-0.508924
0.91119388;4109;14248;0;1023;76;127;12;14;0;0;4;16;8;1;2;32;64;-1.15476301;-0.478609
0.93916288;4106;14249;0;1023;76;126;12;14;0;0;4;16;8;0;2;32;64;-1.26888992;-0.508924
0.94319788;4109;14249;0;1023;76;127;12;14;0;0;4;16;8;1;2;32;64;-1.15476301;-0.478609
0.95916788;4108;14248;0;1023;76;127;14;14;0;0;4;16;8;1;2;32;64;-1.19280531;-0.488714
0.96320188;4109;14248;0;1023;76;126;12;14;0;0;4;16;8;0;2;32;64;-1.15476301;-0.478609
0.97917488;4114;14250;0;1023;75;126;12;14;0;0;4;16;8;0;2;32;64;-0.96455149;-0.428084
0.98319488;4117;14249;0;1023;75;126;13;14;0;0;4;16;8;0;2;32;64;-0.85042458;-0.397769
0.99917088;4116;14247;0;1023;75;126;14;14;0;0;4;16;8;0;2;32;64;-0.88846688;-0.407874
1.00319488;4119;14250;0;1023;75;126;14;14;0;0;4;16;8;0;2;32;64;-0.77433997;-0.377559
1.01917088;4123;14250;0;1023;75;127;14;14;0;0;4;16;8;1;2;32;64;-0.62217076;-0.337139
1.02319388;4122;14248;0;1023;75;126;12;14;0;0;4;16;8;0;2;32;64;-0.66021306;-0.347244
1.03916988;4123;14247;0;1023;75;127;12;14;0;0;4;16;8;1;2;32;64;-0.62217076;-0.337139
1.04319688;4128;14250;0;1023;74;127;15;14;0;0;4;16;8;1;2;32;64;-0.43195924;-0.286614
1.05916888;4131;14246;0;1023;74;127;11;14;0;0;4;16;8;1;2;32;64;-0.31783233;-0.256299
1.06320388;4132;14246;0;1023;74;127;13;14;0;0;4;16;8;1;2;32;64;-0.27979003;-0.246194
1.07930888;4137;14249;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;-0.08957851;-0.195669
1.08319588;4137;14249;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;-0.08957851;-0.195669
1.09917188;4134;14245;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;-0.20370542;-0.225984
1.10319488;4136;14250;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;-0.12762081;-0.205774
1.11917188;4136;14249;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;-0.12762081;-0.205774
1.12319488;4133;14247;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;-0.24174772;-0.236089
1.13917088;4133;14248;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;-0.24174772;-0.236089
1.14319388;4136;14251;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;-0.12762081;-0.205774
1.15916988;4138;14248;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;-0.05153621;-0.185564
1.17916888;4140;14251;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.02454840;-0.165354
1.18319788;4139;14247;0;1023;72;127;8;14;0;0;4;16;8;1;2;32;64;-0.01349390;-0.175459
