Experiment parameters :
Instruction;2. Speed emphasis
Block number;1
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.80713107;4069;14225;0;286;85;127;8;14;0;0;4;16;8;1;2;32;64;-2.67645515;-0.882808
0.81115507;4068;14223;0;772;84;127;6;14;0;0;4;16;8;1;2;32;64;-2.71449745;-0.892913
0.82712907;4071;14221;0;846;82;127;5;14;0;0;4;16;8;1;2;32;64;-2.60037054;-0.862598
0.84712807;4072;14224;0;891;82;127;6;14;0;0;4;16;8;1;2;32;64;-2.56232824;-0.852493
0.85115907;4076;14225;0;904;81;127;6;14;0;0;4;16;8;1;2;32;64;-2.41015902;-0.812073
0.86713007;4074;14222;0;910;80;126;5;14;0;0;4;16;8;0;2;32;64;-2.48624363;-0.832283
0.87115507;4075;14222;0;910;80;126;7;14;0;0;4;16;8;0;2;32;64;-2.44820133;-0.822178
0.88713107;4075;14227;0;907;80;125;4;14;0;0;4;16;8;1;0;32;64;-2.44820133;-0.822178
0.89115407;4074;14224;0;905;80;126;6;14;0;0;4;16;8;0;2;32;64;-2.48624363;-0.832283
0.90713107;4077;14223;0;914;80;126;6;14;0;0;4;16;8;0;2;32;64;-2.37211672;-0.801969
0.91115407;4080;14225;0;942;80;126;4;14;0;0;4;16;8;0;2;32;64;-2.25798981;-0.771654
0.92713007;4089;14221;0;1014;79;126;4;14;0;0;4;16;8;0;2;32;64;-1.91560908;-0.680709
0.94712907;4094;14222;0;1023;79;126;5;14;0;0;4;16;8;0;2;32;64;-1.72539756;-0.630184
0.95115807;4099;14223;0;1023;79;125;2;14;0;0;4;16;8;1;0;32;64;-1.53518604;-0.579659
0.96713307;4104;14220;0;1023;79;125;5;14;0;0;4;16;8;1;0;32;64;-1.34497453;-0.529134
0.97115607;4111;14220;0;1023;78;125;5;14;0;0;4;16;8;1;0;32;64;-1.07867840;-0.458399
0.98713207;4114;14221;0;1023;78;125;1;14;0;0;4;16;8;1;0;32;64;-0.96455149;-0.428084
0.99115607;4115;14217;0;1023;78;125;3;14;0;0;4;16;8;1;0;32;64;-0.92650919;-0.417979
1.00713207;4118;14220;0;1023;77;125;7;14;0;0;4;16;8;1;0;32;64;-0.81238228;-0.387664
1.01115407;4116;14221;0;1023;77;125;7;14;0;0;4;16;8;1;0;32;64;-0.88846688;-0.407874
1.02713007;4118;14221;0;1023;76;125;4;14;0;0;4;16;8;1;0;32;64;-0.81238228;-0.387664
1.04713107;4120;14224;0;1023;76;125;0;14;0;0;4;16;8;1;0;32;64;-0.73629767;-0.367454
1.05115807;4119;14219;0;1023;76;125;1;14;0;0;4;16;8;1;0;32;64;-0.77433997;-0.377559
1.06713107;4121;14220;0;1023;76;125;7;14;0;0;4;16;8;1;0;32;64;-0.69825537;-0.357349
1.07115607;4122;14222;0;1023;76;125;6;14;0;0;4;16;8;1;0;32;64;-0.66021306;-0.347244
1.08713207;4124;14218;0;1023;76;125;7;14;0;0;4;16;8;1;0;32;64;-0.58412845;-0.327034
1.09115507;4125;14218;0;1023;76;125;7;14;0;0;4;16;8;1;0;32;64;-0.54608615;-0.316929
1.10713207;4128;14221;0;1023;76;125;6;14;0;0;4;16;8;1;0;32;64;-0.43195924;-0.286614
1.11115507;4129;14217;0;1023;76;125;2;14;0;0;4;16;8;1;0;32;64;-0.39391694;-0.276509
1.12713207;4135;14222;0;1023;75;125;6;14;0;0;4;16;8;1;0;32;64;-0.16566312;-0.215879
1.14713007;4137;14220;0;1023;75;125;3;14;0;0;4;16;8;1;0;32;64;-0.08957851;-0.195669
1.15116007;4138;14221;0;1023;75;125;4;14;0;0;4;16;8;1;0;32;64;-0.05153621;-0.185564
1.16713307;4144;14220;0;1023;74;125;1;14;0;0;4;16;8;1;0;32;64;0.17671762;-0.124934
1.17115707;4146;14220;0;1023;74;125;3;14;0;0;4;16;8;1;0;32;64;0.25280222;-0.104724
1.18713407;4144;14220;0;1023;74;125;7;14;0;0;4;16;8;1;0;32;64;0.17671762;-0.124934
1.19115707;4148;14222;0;1023;74;125;6;14;0;0;4;16;8;1;0;32;64;0.32888683;-0.084514
1.20713307;4148;14223;0;1023;74;125;4;14;0;0;4;16;8;1;0;32;64;0.32888683;-0.084514
1.21115707;4146;14220;0;1023;73;125;6;14;0;0;4;16;8;1;0;32;64;0.25280222;-0.104724
1.22713207;4146;14220;0;1023;73;125;7;14;0;0;4;16;8;1;0;32;64;0.25280222;-0.104724
1.23116307;4148;14223;0;1023;73;125;5;14;0;0;4;16;8;1;0;32;64;0.32888683;-0.084514
1.24717307;4144;14222;0;1023;73;125;4;14;0;0;4;16;8;1;0;32;64;0.17671762;-0.124934
1.25116007;4142;14221;0;1023;73;125;6;14;0;0;4;16;8;1;0;32;64;0.10063301;-0.145144
1.26713407;4146;14224;0;1023;73;125;7;14;0;0;4;16;8;1;0;32;64;0.25280222;-0.104724
1.27116007;4146;14222;0;1023;73;125;3;14;0;0;4;16;8;1;0;32;64;0.25280222;-0.104724
1.28713407;4150;14222;0;1023;73;125;6;14;0;0;4;16;8;1;0;32;64;0.40497144;-0.064304
1.29115807;4151;14223;0;1023;73;125;5;14;0;0;4;16;8;1;0;32;64;0.44301374;-0.054199
1.30713407;4153;14222;0;1023;73;125;3;14;0;0;4;16;8;1;0;32;64;0.51909835;-0.033990
1.31115807;4151;14222;0;1023;73;125;6;14;0;0;4;16;8;1;0;32;64;0.44301374;-0.054199
1.32713207;4156;14225;0;1023;73;125;4;14;0;0;4;16;8;1;0;32;64;0.63322526;-0.003675
1.33116307;4155;14223;0;1023;73;125;0;14;0;0;4;16;8;1;0;32;64;0.59518296;-0.013780
1.34717007;4152;14222;0;1023;73;125;7;14;0;0;4;16;8;1;0;32;64;0.48105604;-0.044094
1.35116007;4157;14224;0;1023;73;125;5;14;0;0;4;16;8;1;0;32;64;0.67126756;0.006430
1.36713407;4157;14223;0;1023;73;125;6;14;0;0;4;16;8;1;0;32;64;0.67126756;0.006430
1.37115807;4159;14221;0;1023;72;125;5;14;0;0;4;16;8;1;0;32;64;0.74735217;0.026640
1.38713407;4163;14222;0;1023;72;125;7;14;0;0;4;16;8;1;0;32;64;0.89952138;0.067060
1.39115807;4164;14223;0;1023;72;125;4;14;0;0;4;16;8;1;0;32;64;0.93756369;0.077165
1.40713407;4165;14222;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;0.97560599;0.087270
1.41115807;4166;14223;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;1.01364829;0.097375
1.42713307;4167;14223;0;1023;72;124;4;14;0;0;4;16;8;0;0;32;64;1.05169060;0.107480
1.44713207;4168;14223;0;1023;72;124;7;14;0;0;4;16;8;0;0;32;64;1.08973290;0.117585
1.45116107;4168;14225;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;1.08973290;0.117585
1.46713507;4164;14224;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;0.93756369;0.077165
1.47115807;4164;14224;0;1023;72;124;7;14;0;0;4;16;8;0;0;32;64;0.93756369;0.077165
1.48713507;4164;14224;0;1023;72;124;7;14;0;0;4;16;8;0;0;32;64;0.93756369;0.077165
1.49115907;4162;14223;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;0.86147908;0.056955
1.50713507;4161;14223;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;0.82343678;0.046850
1.51115807;4164;14224;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;0.93756369;0.077165
1.52713407;4163;14223;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;0.89952138;0.067060
1.53116507;4164;14223;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;0.93756369;0.077165
1.54718107;4168;14224;0;1023;72;124;7;14;0;0;4;16;8;0;0;32;64;1.08973290;0.117585
1.55116207;4169;14224;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;1.12777520;0.127690
1.56713607;4169;14224;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;1.12777520;0.127690
1.57115907;4168;14224;0;1023;72;124;7;14;0;0;4;16;8;0;0;32;64;1.08973290;0.117585
1.58713507;4168;14226;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;1.08973290;0.117585
1.59115807;4169;14223;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;1.12777520;0.127690
1.60713507;4169;14226;0;1023;72;124;7;14;0;0;4;16;8;0;0;32;64;1.12777520;0.127690
1.61115707;4167;14226;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;1.05169060;0.107480
1.62713407;4162;14223;0;1023;72;124;6;14;0;0;4;16;8;0;0;32;64;0.86147908;0.056955
1.63115407;4162;14223;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;0.86147908;0.056955
1.63916607;4159;14224;0;1023;72;124;5;14;0;0;4;16;8;0;0;32;64;0.74735217;0.026640
1.65913507;4159;14221;0;1023;72;124;7;14;0;0;4;16;8;0;0;32;64;0.74735217;0.026640
1.66315907;4187;14221;0;1023;72;123;8;14;0;0;0;16;8;1;2;32;64;1.81253667;0.309580
1.67913407;4363;14225;2;1023;73;123;11;14;0;0;0;16;8;1;2;32;64;8.50798209;2.088058
1.68316407;4670;14215;5;1023;73;123;9;14;0;0;0;16;8;1;2;32;64;20.18696928;5.190289
1.69926907;5083;14212;9;1023;73;123;8;14;0;0;0;16;8;1;2;32;64;35.89844064;9.363648
1.70316007;5607;14213;14;1023;73;124;14;14;0;0;4;16;8;0;0;32;64;55.83260769;14.658661
1.71913607;6216;14205;20;1023;73;124;13;14;0;0;4;16;8;0;0;32;64;79.00037054;20.812598
1.72315907;6922;14214;27;1023;72;124;1;14;0;0;4;16;8;0;0;32;64;105.85823684;27.946719
1.73913707;7674;14223;35;1023;72;124;1;14;0;0;4;16;8;0;0;32;64;134.46604910;35.545669
1.74316007;8492;14228;43;1023;71;124;2;14;0;0;4;16;8;0;0;32;64;165.58465339;43.811549
1.75913607;9386;14231;52;1023;70;123;6;14;0;0;0;16;8;1;2;32;64;199.59447275;52.845407
1.76316007;10374;14236;62;1023;69;123;4;14;0;0;0;16;8;1;2;32;64;237.18026864;62.829134
