Experiment parameters :
Instruction;3. Speed/accuracy balance
Block number;1
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.68712707;4093;14211;0;448;87;127;3;14;0;0;4;16;8;1;2;32;64;-1.76343986;-0.640289
0.70310007;4040;14213;-1;753;87;127;0;14;0;0;4;16;8;1;2;32;64;-3.77968195;-1.175853
0.70717007;4010;14218;-1;821;86;127;11;14;0;0;4;16;8;1;2;32;64;-4.92095106;-1.479003
0.72323007;4027;14221;-1;873;85;126;10;14;0;0;4;16;8;0;2;32;64;-4.27423190;-1.307218
0.72712507;4032;14220;-1;925;85;125;11;14;0;0;4;16;8;1;0;32;64;-4.08402038;-1.256693
0.74310207;4038;14220;-1;967;84;125;8;14;0;0;4;16;8;1;0;32;64;-3.85576656;-1.196063
0.74712607;4045;14222;-1;1019;84;125;4;14;0;0;4;16;8;1;0;32;64;-3.58947043;-1.125328
0.76310407;4049;14220;-1;1023;83;125;7;14;0;0;4;16;8;1;0;32;64;-3.43730122;-1.084908
0.76712507;4055;14217;-1;1023;83;125;6;14;0;0;4;16;8;1;0;32;64;-3.20904740;-1.024278
0.78310207;4065;14220;0;1023;82;125;5;14;0;0;4;16;8;1;0;32;64;-2.82862436;-0.923228
0.78712507;4070;14220;0;1023;82;124;7;14;0;0;4;16;8;0;0;32;64;-2.63841285;-0.872703
0.80310107;4078;14217;0;1023;81;124;7;14;0;0;4;16;8;0;0;32;64;-2.33407442;-0.791864
0.80712307;4085;14220;0;1023;81;124;6;14;0;0;4;16;8;0;0;32;64;-2.06777829;-0.721129
0.82310107;4095;14219;0;1023;80;124;5;14;0;0;4;16;8;0;0;32;64;-1.68735526;-0.620079
0.82713207;4101;14217;0;1023;80;123;4;14;0;0;0;16;8;1;2;32;64;-1.45910144;-0.559449
0.84310307;4113;14217;0;1023;79;123;5;14;0;0;0;16;8;1;2;32;64;-1.00259379;-0.438189
0.84712607;4123;14219;0;1023;79;123;7;14;0;0;0;16;8;1;2;32;64;-0.62217076;-0.337139
0.86310307;4130;14214;0;1023;78;123;5;14;0;0;0;16;8;1;2;32;64;-0.35587463;-0.266404
0.86712707;4139;14217;0;1023;77;123;5;14;0;0;0;16;8;1;2;32;64;-0.01349390;-0.175459
0.88310207;4146;14218;0;1023;76;123;6;14;0;0;0;16;8;1;2;32;64;0.25280222;-0.104724
0.88712607;4151;14215;0;1023;75;123;5;14;0;0;0;16;8;1;2;32;64;0.44301374;-0.054199
0.89513307;4153;14217;0;1023;75;123;5;14;0;0;0;16;8;1;2;32;64;0.51909835;-0.033990
0.91510407;4160;14219;0;1023;74;123;9;14;0;0;0;16;8;1;2;32;64;0.78539447;0.036745
0.91912707;4159;14215;0;1023;73;123;5;14;0;0;0;16;8;1;2;32;64;0.74735217;0.026640
0.93510407;4159;14216;0;1023;73;123;6;14;0;0;0;16;8;1;2;32;64;0.74735217;0.026640
0.93912707;4159;14218;0;1023;73;122;7;14;0;0;0;16;8;0;2;32;64;0.74735217;0.026640
0.95510107;4156;14216;0;1023;73;122;7;14;0;0;0;16;8;0;2;32;64;0.63322526;-0.003675
0.95913307;4156;14217;0;1023;72;122;6;14;0;0;0;16;8;0;2;32;64;0.63322526;-0.003675
