Experiment parameters :
Instruction;Be as fast as possible
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
3.54930998;4394;14466;5;308;90;97;10;14;0;0;0;0;0;1;0;32;64;20.98141115;5.401312
3.56130998;4329;14413;4;584;90;98;15;14;0;0;0;0;0;0;2;32;64;18.50866142;4.744488
3.56930298;4237;14428;3;550;90;98;15;14;0;0;0;0;0;0;2;32;64;15.00876949;3.814829
3.58130998;4159;14428;3;554;90;99;14;14;0;0;0;0;0;1;2;32;64;12.04146982;3.026640
3.58930198;4072;14423;2;554;89;100;13;14;0;0;4;0;0;0;0;32;64;8.73178941;2.147507
3.60131098;3977;14419;1;558;89;100;1;14;0;0;4;0;0;0;0;32;64;5.11777057;1.187533
3.60930298;3891;14419;0;581;89;100;12;14;0;0;4;0;0;0;0;32;64;1.84613247;0.318504
3.62130898;3815;14418;0;611;89;100;13;14;0;0;4;0;0;0;0;32;64;-1.04508260;-0.449475
3.62931298;3818;14415;0;765;89;100;15;14;0;0;4;0;0;0;0;32;64;-0.93095569;-0.419160
3.64130798;3820;14421;0;780;89;100;14;14;0;0;4;0;0;0;0;32;64;-0.85487108;-0.398950
3.64931098;3824;14418;0;804;89;100;15;14;0;0;4;0;0;0;0;32;64;-0.70270187;-0.358530
3.66130998;3826;14416;0;823;89;100;15;14;0;0;4;0;0;0;0;32;64;-0.62661726;-0.338320
3.66930498;3830;14421;0;824;89;100;12;14;0;0;4;0;0;0;0;32;64;-0.47444805;-0.297900
3.68131098;3833;14419;0;828;89;100;15;14;0;0;4;0;0;0;0;32;64;-0.36032114;-0.267585
3.68930398;3835;14417;0;838;89;100;13;14;0;0;4;0;0;0;0;32;64;-0.28423653;-0.247375
3.70131098;3839;14422;0;849;89;99;12;14;0;0;0;0;0;1;2;32;64;-0.13206732;-0.206955
3.70930398;3845;14424;0;862;88;99;12;14;0;0;0;0;0;1;2;32;64;0.09618651;-0.146325
3.72132398;3844;14420;0;873;88;99;12;14;0;0;0;0;0;1;2;32;64;0.05814420;-0.156430
3.72931398;3845;14422;0;886;87;99;14;14;0;0;0;0;0;1;2;32;64;0.09618651;-0.146325
3.74130898;3852;14424;0;900;87;99;15;14;0;0;0;0;0;1;2;32;64;0.36248263;-0.075591
3.74931398;3853;14422;0;913;87;99;15;14;0;0;0;0;0;1;2;32;64;0.40052493;-0.065486
3.76131398;3852;14423;0;925;86;99;12;14;0;0;0;0;0;1;2;32;64;0.36248263;-0.075591
3.76930798;3857;14425;0;935;86;99;15;14;0;0;0;0;0;1;2;32;64;0.55269415;-0.025066
3.78131198;3856;14425;0;941;86;98;14;14;0;0;0;0;0;0;2;32;64;0.51465184;-0.035171
3.78930798;3859;14426;0;948;85;98;0;14;0;0;0;0;0;0;2;32;64;0.62877876;-0.004856
3.80131398;3861;14428;0;961;85;98;15;14;0;0;0;0;0;0;2;32;64;0.70486336;0.015354
3.80930798;3863;14427;0;973;85;98;12;14;0;0;0;0;0;0;2;32;64;0.78094797;0.035564
3.82131498;3865;14425;0;980;85;98;15;14;0;0;0;0;0;0;2;32;64;0.85703258;0.055774
3.82931398;3867;14428;0;986;85;98;13;14;0;0;0;0;0;0;2;32;64;0.93311718;0.075984
3.84131198;3869;14428;0;993;84;98;13;14;0;0;0;0;0;0;2;32;64;1.00920179;0.096194
3.84931498;3869;14426;0;1000;84;98;13;14;0;0;0;0;0;0;2;32;64;1.00920179;0.096194
3.86131298;3869;14429;0;1006;84;99;11;14;0;0;0;0;0;1;2;32;64;1.00920179;0.096194
3.86930598;3874;14428;0;1014;83;99;10;14;0;0;0;0;0;1;2;32;64;1.19941331;0.146719
3.88131198;3871;14425;0;1023;83;99;8;14;0;0;0;0;0;1;2;32;64;1.08528640;0.116404
3.88930698;3872;14428;0;1023;83;99;9;14;0;0;0;0;0;1;2;32;64;1.12332870;0.126509
3.90131198;3873;14429;0;1023;83;99;11;14;0;0;0;0;0;1;2;32;64;1.16137101;0.136614
3.90930398;3871;14424;0;1023;83;100;6;14;0;0;4;0;0;0;0;32;64;1.08528640;0.116404
3.92131098;3873;14427;0;1023;83;100;8;14;0;0;4;0;0;0;0;32;64;1.16137101;0.136614
3.92931198;3875;14430;0;1023;83;100;8;14;0;0;4;0;0;0;0;32;64;1.23745561;0.156824
3.94130798;3876;14428;0;1023;83;100;4;14;0;0;4;0;0;0;0;32;64;1.27549792;0.166929
3.94931198;3875;14428;0;1023;82;100;11;14;0;0;4;0;0;0;0;32;64;1.23745561;0.156824
3.96131198;3877;14430;0;1023;82;100;9;14;0;0;4;0;0;0;0;32;64;1.31354022;0.177034
3.96930498;3876;14428;0;1023;82;100;5;14;0;0;4;0;0;0;0;32;64;1.27549792;0.166929
3.98131198;3879;14430;0;1023;82;100;10;14;0;0;4;0;0;0;0;32;64;1.38962483;0.197244
3.98930698;3883;14433;0;1023;82;100;8;14;0;0;4;0;0;0;0;32;64;1.54179404;0.237664
4.00131798;3883;14431;0;1023;82;100;4;14;0;0;4;0;0;0;0;32;64;1.54179404;0.237664
4.00930598;3885;14433;0;1023;81;100;6;14;0;0;4;0;0;0;0;32;64;1.61787865;0.257874
4.02131198;3889;14433;0;1023;81;101;4;14;0;0;4;0;0;1;0;32;64;1.77004786;0.298294
4.02931298;3892;14431;0;1023;81;101;6;14;0;0;4;0;0;1;0;32;64;1.88417477;0.328609
4.04130798;3893;14432;0;1023;81;101;7;14;0;0;4;0;0;1;0;32;64;1.92221708;0.338714
4.04931098;3901;14433;0;1023;80;101;5;14;0;0;4;0;0;1;0;32;64;2.22655550;0.419554
4.06131298;3901;14433;0;1023;80;101;6;14;0;0;4;0;0;1;0;32;64;2.22655550;0.419554
4.06930598;3904;14433;0;1023;79;101;6;14;0;0;4;0;0;1;0;32;64;2.34068241;0.449869
4.08131198;3905;14434;0;1023;79;101;5;14;0;0;4;0;0;1;0;32;64;2.37872472;0.459974
4.09331398;3908;14435;0;1023;79;101;7;14;0;0;4;0;0;1;0;32;64;2.49285163;0.490289
4.10130698;3906;14429;0;1023;78;101;5;14;0;0;4;0;0;1;0;32;64;2.41676702;0.470079
4.11331298;3902;14433;0;1023;78;101;5;14;0;0;4;0;0;1;0;32;64;2.26459781;0.429659
4.12130698;3903;14432;0;1023;78;101;5;14;0;0;4;0;0;1;0;32;64;2.30264011;0.439764
4.13331198;3899;14430;0;1023;78;101;5;14;0;0;4;0;0;1;0;32;64;2.15047090;0.399344
4.14130798;3896;14432;0;1023;78;101;6;14;0;0;4;0;0;1;0;32;64;2.03634399;0.369029
4.15331298;3898;14431;0;1023;78;101;7;14;0;0;4;0;0;1;0;32;64;2.11242859;0.389239
4.16131398;3895;14429;0;1023;78;101;4;14;0;0;4;0;0;1;0;32;64;1.99830168;0.358924
