Experiment parameters :
Instruction;Be as precise as possible
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.98531006;3845;14395;0;493;96;93;9;14;0;0;4;16;8;1;0;0;64;0.09618651;-0.146325
1.99731806;3843;14401;0;616;96;92;14;14;0;0;4;16;8;0;0;0;64;0.02010190;-0.166535
2.00531506;3842;14401;0;608;95;92;12;14;0;0;4;16;8;0;0;0;64;-0.01794040;-0.176640
2.01731806;3841;14403;0;626;94;91;14;14;0;0;0;16;8;1;2;0;64;-0.05598271;-0.186745
2.02531906;3841;14405;0;655;94;91;14;14;0;0;0;16;8;1;2;0;64;-0.05598271;-0.186745
2.03731106;3842;14404;0;684;93;91;12;14;0;0;0;16;8;1;2;0;64;-0.01794040;-0.176640
2.04932006;3839;14400;0;710;93;91;13;14;0;0;0;16;8;1;2;0;64;-0.13206732;-0.206955
2.05731006;3839;14404;0;730;93;91;14;14;0;0;0;16;8;1;2;0;64;-0.13206732;-0.206955
2.06931606;3842;14406;0;748;93;91;12;14;0;0;0;16;8;1;2;0;64;-0.01794040;-0.176640
2.07731806;3839;14404;0;770;93;90;12;14;0;0;0;16;8;0;2;0;64;-0.13206732;-0.206955
2.08931006;3841;14407;0;797;93;90;15;14;0;0;0;16;8;0;2;0;64;-0.05598271;-0.186745
2.09731906;3841;14411;0;824;93;90;14;14;0;0;0;16;8;0;2;0;64;-0.05598271;-0.186745
2.10931906;3841;14408;0;860;93;90;12;14;0;0;0;16;8;0;2;0;64;-0.05598271;-0.186745
2.11731106;3838;14407;0;896;92;90;12;14;0;0;0;16;8;0;2;0;64;-0.17010962;-0.217060
2.12931806;3841;14410;0;925;92;90;12;14;0;0;0;16;8;0;2;0;64;-0.05598271;-0.186745
2.13731506;3839;14411;0;945;92;90;14;14;0;0;0;16;8;0;2;0;64;-0.13206732;-0.206955
2.14932006;3837;14411;0;967;92;90;14;14;0;0;0;16;8;0;2;0;64;-0.20815192;-0.227165
2.15732006;3841;14413;0;988;92;90;15;14;0;0;0;16;8;0;2;0;64;-0.05598271;-0.186745
2.16931206;3839;14412;0;1000;92;90;14;14;0;0;0;16;8;0;2;0;64;-0.13206732;-0.206955
2.17731806;3839;14413;0;1007;92;89;12;14;0;0;0;16;8;1;0;0;64;-0.13206732;-0.206955
2.18931506;3839;14417;0;1018;92;89;13;14;0;0;0;16;8;1;0;0;64;-0.13206732;-0.206955
2.19731806;3841;14419;0;1023;92;89;14;14;0;0;0;16;8;1;0;0;64;-0.05598271;-0.186745
2.20931806;3839;14417;0;1023;92;89;15;14;0;0;0;16;8;1;0;0;64;-0.13206732;-0.206955
2.21731306;3839;14421;0;1023;92;89;11;14;0;0;0;16;8;1;0;0;64;-0.13206732;-0.206955
2.22931806;3843;14425;0;1023;92;89;13;14;0;0;0;16;8;1;0;0;64;0.02010190;-0.166535
2.23731106;3842;14421;0;1023;92;89;10;14;0;0;0;16;8;1;0;0;64;-0.01794040;-0.176640
2.24932106;3842;14424;0;1023;92;88;12;14;0;0;0;16;8;0;0;0;64;-0.01794040;-0.176640
2.25732006;3846;14429;0;1023;92;88;12;14;0;0;0;16;8;0;0;0;64;0.13422881;-0.136220
2.26931106;3841;14425;0;1023;92;88;10;14;0;0;0;16;8;0;0;0;64;-0.05598271;-0.186745
2.27732206;3843;14429;0;1023;92;88;13;14;0;0;0;16;8;0;0;0;64;0.02010190;-0.166535
2.28932106;3846;14431;0;1023;92;88;12;14;0;0;0;16;8;0;0;0;64;0.13422881;-0.136220
2.29731706;3846;14430;0;1023;92;88;15;14;0;0;0;16;8;0;0;0;64;0.13422881;-0.136220
