Experiment parameters :
Instruction;1. Full speed
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.30188602;3829;14188;0;325;100;93;14;14;0;0;4;16;8;1;0;0;64;-0.51249035;-0.308005
1.30591002;3801;14145;0;528;99;93;6;14;0;0;4;16;8;1;0;0;64;-1.57767485;-0.590945
1.32188402;3813;14174;0;563;98;92;0;14;0;0;4;16;8;0;0;0;64;-1.12116721;-0.469685
1.32591602;3819;14176;0;567;97;92;3;14;0;0;4;16;8;0;0;0;64;-0.89291339;-0.409055
1.34200302;3821;14180;0;568;97;92;3;14;0;0;4;16;8;0;0;0;64;-0.81682878;-0.388845
1.34591102;3820;14179;0;572;96;91;1;14;0;0;0;16;8;1;2;0;64;-0.85487108;-0.398950
1.36188602;3822;14180;0;576;96;91;1;14;0;0;0;16;8;1;2;0;64;-0.77878648;-0.378740
1.36591102;3821;14183;0;584;96;91;2;14;0;0;0;16;8;1;2;0;64;-0.81682878;-0.388845
1.38188702;3821;14183;0;608;96;91;3;14;0;0;0;16;8;1;2;0;64;-0.81682878;-0.388845
1.38591002;3821;14184;0;646;95;91;2;14;0;0;0;16;8;1;2;0;64;-0.81682878;-0.388845
1.40188602;3821;14183;0;675;95;91;3;14;0;0;0;16;8;1;2;0;64;-0.81682878;-0.388845
1.40591102;3820;14187;0;697;95;90;0;14;0;0;0;16;8;0;2;0;64;-0.85487108;-0.398950
1.42188502;3818;14185;0;711;95;90;3;14;0;0;0;16;8;0;2;0;64;-0.93095569;-0.419160
1.42590602;3817;14188;0;727;94;90;3;14;0;0;0;16;8;0;2;0;64;-0.96899799;-0.429265
