Experiment parameters :
Instruction;Full speed
Block number;1
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.56090493;3827;14427;0;304;87;108;2;14;0;0;4;0;8;0;0;32;64;-0.58857496;-0.328215
1.56889693;3820;14409;0;459;86;107;7;14;0;0;0;0;8;1;2;32;64;-0.85487108;-0.398950
1.58090393;3840;14430;0;493;86;107;0;14;0;0;0;0;8;1;2;32;64;-0.09402501;-0.196850
1.58889793;3838;14424;0;527;86;107;0;14;0;0;0;0;8;1;2;32;64;-0.17010962;-0.217060
1.60090293;3840;14428;0;559;85;106;4;14;0;0;0;0;8;0;2;32;64;-0.09402501;-0.196850
1.60890593;3840;14429;0;605;85;106;5;14;0;0;0;0;8;0;2;32;64;-0.09402501;-0.196850
1.62089993;3841;14427;0;646;85;106;6;14;0;0;0;0;8;0;2;32;64;-0.05598271;-0.186745
1.62890493;3840;14426;0;678;85;105;7;14;0;0;0;0;8;1;0;32;64;-0.09402501;-0.196850
1.64089593;3838;14429;0;704;85;105;10;14;0;0;0;0;8;1;0;32;64;-0.17010962;-0.217060
1.64890393;3838;14430;0;727;85;105;4;14;0;0;0;0;8;1;0;32;64;-0.17010962;-0.217060
1.66090493;3835;14427;0;743;85;104;8;14;0;0;0;0;8;0;0;32;64;-0.28423653;-0.247375
1.66889693;3837;14428;0;756;85;104;10;14;0;0;0;0;8;0;0;32;64;-0.20815192;-0.227165
1.68090493;3836;14432;0;765;85;104;10;14;0;0;0;0;8;0;0;32;64;-0.24619423;-0.237270
1.68889793;3836;14427;0;773;85;104;7;14;0;0;0;0;8;0;0;32;64;-0.24619423;-0.237270
