Experiment parameters :
Instruction;Full accuracy
Block number;5
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.16931792;3823;14631;0;177;89;103;4;14;0;0;4;0;0;1;2;32;64;-0.74074417;-0.368635
2.17732092;3830;14616;0;284;88;103;8;14;0;0;4;0;0;1;2;32;64;-0.47444805;-0.297900
2.18931292;3829;14600;0;281;87;103;8;14;0;0;4;0;0;1;2;32;64;-0.51249035;-0.308005
2.19731992;3828;14594;0;288;87;103;10;14;0;0;4;0;0;1;2;32;64;-0.55053265;-0.318110
2.20931292;3832;14591;0;311;87;103;9;14;0;0;4;0;0;1;2;32;64;-0.39836344;-0.277690
2.21731992;3831;14583;0;344;87;103;8;14;0;0;4;0;0;1;2;32;64;-0.43640574;-0.287795
2.22931892;3826;14575;0;371;87;103;14;14;0;0;4;0;0;1;2;32;64;-0.62661726;-0.338320
2.23731292;3825;14572;0;391;87;103;14;14;0;0;4;0;0;1;2;32;64;-0.66465956;-0.348425
2.24931992;3827;14565;0;406;87;103;11;14;0;0;4;0;0;1;2;32;64;-0.58857496;-0.328215
2.25731392;3824;14556;0;421;87;103;11;14;0;0;4;0;0;1;2;32;64;-0.70270187;-0.358530
2.26931892;3823;14549;0;437;87;103;15;14;0;0;4;0;0;1;2;32;64;-0.74074417;-0.368635
2.27732092;3827;14543;0;454;87;104;15;14;0;0;0;0;8;0;0;32;64;-0.58857496;-0.328215
2.28931392;3822;14534;0;473;87;104;8;14;0;0;0;0;8;0;0;32;64;-0.77878648;-0.378740
2.29731992;3824;14522;0;503;87;104;13;14;0;0;0;0;8;0;0;32;64;-0.70270187;-0.358530
2.30931392;3825;14513;0;523;87;104;10;14;0;0;0;0;8;0;0;32;64;-0.66465956;-0.348425
2.31731992;3825;14494;0;544;88;104;10;14;0;0;0;0;8;0;0;32;64;-0.66465956;-0.348425
2.32931992;3825;14475;0;566;88;104;13;14;0;0;0;0;8;0;0;32;64;-0.66465956;-0.348425
2.33731392;3827;14460;0;580;88;104;12;14;0;0;0;0;8;0;0;32;64;-0.58857496;-0.328215
2.34932092;3828;14446;0;590;88;104;12;14;0;0;0;0;8;0;0;32;64;-0.55053265;-0.318110
2.35731392;3829;14424;0;601;87;104;13;14;0;0;0;0;8;0;0;32;64;-0.51249035;-0.308005
2.36931992;3832;14428;0;655;87;104;12;14;0;0;0;0;8;0;0;32;64;-0.39836344;-0.277690
2.37732192;3833;14430;0;680;87;104;15;14;0;0;0;0;8;0;0;32;64;-0.36032114;-0.267585
2.38931492;3833;14426;0;698;87;104;13;14;0;0;0;0;8;0;0;32;64;-0.36032114;-0.267585
2.39732392;3833;14427;0;719;87;104;14;14;0;0;0;0;8;0;0;32;64;-0.36032114;-0.267585
2.40931492;3838;14432;0;737;87;104;14;14;0;0;0;0;8;0;0;32;64;-0.17010962;-0.217060
2.41732092;3837;14427;0;755;87;104;14;14;0;0;0;0;8;0;0;32;64;-0.20815192;-0.227165
2.42932192;3837;14429;0;769;86;104;12;14;0;0;0;0;8;0;0;32;64;-0.20815192;-0.227165
2.43731392;3840;14431;0;783;86;104;15;14;0;0;0;0;8;0;0;32;64;-0.09402501;-0.196850
2.44932092;3845;14430;0;794;86;104;13;14;0;0;0;0;8;0;0;32;64;0.09618651;-0.146325
2.45731492;3843;14426;0;805;86;104;13;14;0;0;0;0;8;0;0;32;64;0.02010190;-0.166535
2.46932292;3845;14431;0;812;86;104;12;14;0;0;0;0;8;0;0;32;64;0.09618651;-0.146325
2.47735692;3847;14431;0;821;86;104;14;14;0;0;0;0;8;0;0;32;64;0.17227111;-0.126115
2.48931892;3845;14428;0;830;86;104;12;14;0;0;0;0;8;0;0;32;64;0.09618651;-0.146325
2.49732492;3848;14429;0;838;85;104;13;14;0;0;0;0;8;0;0;32;64;0.21031342;-0.116010
2.50932392;3848;14431;0;848;85;104;14;14;0;0;0;0;8;0;0;32;64;0.21031342;-0.116010
2.51732292;3850;14430;0;858;85;104;13;14;0;0;0;0;8;0;0;32;64;0.28639802;-0.095801
2.52932392;3852;14428;0;865;85;104;15;14;0;0;0;0;8;0;0;32;64;0.36248263;-0.075591
2.53731892;3854;14432;0;875;85;103;13;14;0;0;4;0;0;1;2;32;64;0.43856724;-0.055381
2.54932492;3858;14434;0;882;84;103;12;14;0;0;4;0;0;1;2;32;64;0.59073645;-0.014961
2.55731892;3855;14430;0;887;84;103;14;14;0;0;4;0;0;1;2;32;64;0.47660954;-0.045276
2.56932392;3858;14431;0;892;84;103;13;14;0;0;4;0;0;1;2;32;64;0.59073645;-0.014961
2.57732592;3857;14433;0;896;84;103;14;14;0;0;4;0;0;1;2;32;64;0.55269415;-0.025066
2.58931992;3858;14430;0;902;84;103;15;14;0;0;4;0;0;1;2;32;64;0.59073645;-0.014961
2.59732492;3857;14431;0;909;84;103;14;14;0;0;4;0;0;1;2;32;64;0.55269415;-0.025066
2.60933192;3856;14431;0;918;84;103;12;14;0;0;4;0;0;1;2;32;64;0.51465184;-0.035171
2.61732092;3857;14431;0;925;84;103;15;14;0;0;4;0;0;1;2;32;64;0.55269415;-0.025066
2.62932492;3856;14428;0;929;84;103;12;14;0;0;4;0;0;1;2;32;64;0.51465184;-0.035171
2.63731892;3857;14429;0;929;84;103;14;14;0;0;4;0;0;1;2;32;64;0.55269415;-0.025066
2.64932492;3862;14430;0;928;84;103;13;14;0;0;4;0;0;1;2;32;64;0.74290567;0.025459
2.65731892;3861;14428;0;930;83;103;13;14;0;0;4;0;0;1;2;32;64;0.70486336;0.015354
2.66932492;3863;14427;0;931;83;103;13;14;0;0;4;0;0;1;2;32;64;0.78094797;0.035564
2.67734692;3865;14433;0;932;83;103;15;14;0;0;4;0;0;1;2;32;64;0.85703258;0.055774
2.68932092;3865;14430;0;934;83;103;14;14;0;0;4;0;0;1;2;32;64;0.85703258;0.055774
2.69732492;3861;14428;0;941;83;103;14;14;0;0;4;0;0;1;2;32;64;0.70486336;0.015354
2.70932592;3860;14431;0;948;83;103;12;14;0;0;4;0;0;1;2;32;64;0.66682106;0.005249
2.71732492;3860;14432;0;952;83;103;13;14;0;0;4;0;0;1;2;32;64;0.66682106;0.005249
2.72932792;3857;14427;0;955;83;103;15;14;0;0;4;0;0;1;2;32;64;0.55269415;-0.025066
2.73732092;3859;14430;0;958;83;103;12;14;0;0;4;0;0;1;2;32;64;0.62877876;-0.004856
2.74932592;3861;14432;0;960;83;103;14;14;0;0;4;0;0;1;2;32;64;0.70486336;0.015354
2.75732392;3859;14427;0;961;83;103;15;14;0;0;4;0;0;1;2;32;64;0.62877876;-0.004856
2.76932692;3861;14430;0;959;83;102;13;14;0;0;4;0;0;0;2;32;64;0.70486336;0.015354
2.77732692;3863;14434;0;957;83;102;12;14;0;0;4;0;0;0;2;32;64;0.78094797;0.035564
2.78932092;3863;14432;0;956;83;102;13;14;0;0;4;0;0;0;2;32;64;0.78094797;0.035564
2.79732492;3859;14429;0;958;83;102;14;14;0;0;4;0;0;0;2;32;64;0.62877876;-0.004856
2.80932692;3860;14432;0;959;83;102;13;14;0;0;4;0;0;0;2;32;64;0.66682106;0.005249
2.81732492;3862;14431;0;961;83;102;13;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.82932592;3861;14429;0;961;83;102;15;14;0;0;4;0;0;0;2;32;64;0.70486336;0.015354
2.83731992;3862;14431;0;961;83;102;15;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.84932592;3862;14434;0;960;83;102;14;14;0;0;4;0;0;0;2;32;64;0.74290567;0.025459
2.85731992;3861;14431;0;960;83;102;12;14;0;0;4;0;0;0;2;32;64;0.70486336;0.015354
2.86932492;3861;14430;0;958;83;102;14;14;0;0;4;0;0;0;2;32;64;0.70486336;0.015354
2.87732992;3863;14434;0;954;83;102;13;14;0;0;4;0;0;0;2;32;64;0.78094797;0.035564
2.88931992;3864;14434;0;950;83;102;15;14;0;0;4;0;0;0;2;32;64;0.81899027;0.045669
2.89732692;3863;14433;0;947;83;102;13;14;0;0;4;0;0;0;2;32;64;0.78094797;0.035564
2.90932692;3861;14434;0;947;83;102;15;14;0;0;4;0;0;0;2;32;64;0.70486336;0.015354
2.91732592;3866;14435;0;946;83;102;13;14;0;0;4;0;0;0;2;32;64;0.89507488;0.065879
2.92932592;3865;14432;0;945;83;102;14;14;0;0;4;0;0;0;2;32;64;0.85703258;0.055774
2.93732192;3866;14434;0;945;83;102;15;14;0;0;4;0;0;0;2;32;64;0.89507488;0.065879
2.94932592;3867;14437;0;945;83;102;15;14;0;0;4;0;0;0;2;32;64;0.93311718;0.075984
2.95732092;3867;14433;0;946;82;102;13;14;0;0;4;0;0;0;2;32;64;0.93311718;0.075984
2.96932492;3868;14435;0;945;82;102;13;14;0;0;4;0;0;0;2;32;64;0.97115949;0.086089
2.97732792;3868;14437;0;945;82;102;14;14;0;0;4;0;0;0;2;32;64;0.97115949;0.086089
2.98932092;3870;14435;0;946;82;102;13;14;0;0;4;0;0;0;2;32;64;1.04724409;0.106299
2.99732592;3865;14431;0;945;82;102;15;14;0;0;4;0;0;0;2;32;64;0.85703258;0.055774
3.00932492;3869;14436;0;944;82;102;14;14;0;0;4;0;0;0;2;32;64;1.00920179;0.096194
3.01732192;3870;14438;0;945;82;102;14;14;0;0;4;0;0;0;2;32;64;1.04724409;0.106299
3.02932592;3869;14434;0;945;82;102;15;14;0;0;4;0;0;0;2;32;64;1.00920179;0.096194
3.04131792;3869;14437;0;946;82;102;15;14;0;0;4;0;0;0;2;32;64;1.00920179;0.096194
3.04932592;3870;14438;0;946;82;102;13;14;0;0;4;0;0;0;2;32;64;1.04724409;0.106299
3.06132492;3870;14437;0;946;82;102;12;14;0;0;4;0;0;0;2;32;64;1.04724409;0.106299
3.06931792;3869;14437;0;946;82;102;15;14;0;0;4;0;0;0;2;32;64;1.00920179;0.096194
3.08132492;3870;14439;0;946;82;102;12;14;0;0;4;0;0;0;2;32;64;1.04724409;0.106299
3.08931892;3869;14438;0;945;82;102;15;14;0;0;4;0;0;0;2;32;64;1.00920179;0.096194
3.10132492;3869;14434;0;945;82;102;14;14;0;0;4;0;0;0;2;32;64;1.00920179;0.096194
3.10932992;3868;14438;0;945;82;102;14;14;0;0;4;0;0;0;2;32;64;0.97115949;0.086089
3.12132992;3873;14439;0;946;82;102;13;14;0;0;4;0;0;0;2;32;64;1.16137101;0.136614
3.12932792;3869;14434;0;946;82;102;15;14;0;0;4;0;0;0;2;32;64;1.00920179;0.096194
3.14131992;3870;14434;0;945;82;102;15;14;0;0;4;0;0;0;2;32;64;1.04724409;0.106299
3.14932392;3871;14437;0;946;82;103;15;14;0;0;4;0;0;1;2;32;64;1.08528640;0.116404
3.16132492;3869;14434;0;948;82;103;12;14;0;0;4;0;0;1;2;32;64;1.00920179;0.096194
3.16931892;3869;14433;0;950;82;103;15;14;0;0;4;0;0;1;2;32;64;1.00920179;0.096194
3.18132592;3868;14436;0;952;82;103;13;14;0;0;4;0;0;1;2;32;64;0.97115949;0.086089
3.18931992;3869;14437;0;953;82;103;13;14;0;0;4;0;0;1;2;32;64;1.00920179;0.096194
3.20132692;3866;14432;0;952;82;103;13;14;0;0;4;0;0;1;2;32;64;0.89507488;0.065879
3.20932692;3868;14433;0;952;82;103;15;14;0;0;4;0;0;1;2;32;64;0.97115949;0.086089
3.22132192;3869;14436;0;949;82;103;14;14;0;0;4;0;0;1;2;32;64;1.00920179;0.096194
3.22932792;3868;14431;0;947;82;103;14;14;0;0;4;0;0;1;2;32;64;0.97115949;0.086089
3.24132592;3867;14433;0;948;82;103;12;14;0;0;4;0;0;1;2;32;64;0.93311718;0.075984
3.24932292;3869;14434;0;948;82;103;12;14;0;0;4;0;0;1;2;32;64;1.00920179;0.096194
3.26132892;3867;14435;0;949;82;103;12;14;0;0;4;0;0;1;2;32;64;0.93311718;0.075984
3.26931892;3868;14431;0;946;82;103;15;14;0;0;4;0;0;1;2;32;64;0.97115949;0.086089
3.28132792;3869;14435;0;939;82;103;15;14;0;0;4;0;0;1;2;32;64;1.00920179;0.096194
3.28932292;3879;14433;0;936;83;103;14;14;0;0;4;0;0;1;2;32;64;1.38962483;0.197244
3.30132792;3902;14429;0;933;83;103;14;14;0;0;4;0;0;1;2;32;64;2.26459781;0.429659
3.30932692;3941;14431;0;932;82;103;15;14;0;0;4;0;0;1;2;32;64;3.74824765;0.823753
3.32131992;4000;14435;1;934;82;103;14;14;0;0;4;0;0;1;2;32;64;5.99274355;1.419948
3.32932692;4072;14430;2;937;82;103;15;14;0;0;4;0;0;1;2;32;64;8.73178941;2.147507
3.34132592;4152;14433;2;939;83;103;1;14;0;0;4;0;0;1;2;32;64;11.77517369;2.955906
3.34932092;4243;14435;3;941;83;103;1;14;0;0;4;0;0;1;2;32;64;15.23702331;3.875459
3.36132592;4335;14433;4;943;83;103;15;14;0;0;4;0;0;1;2;32;64;18.73691524;4.805118
3.36931992;4438;14432;5;945;83;103;3;14;0;0;4;0;0;1;2;32;64;22.65527250;5.845932
3.38132492;4549;14437;6;945;84;103;0;14;0;0;4;0;0;1;2;32;64;26.87796820;6.967585
3.38931892;4676;14438;8;948;84;103;2;14;0;0;4;0;0;1;2;32;64;31.70934074;8.250919
3.40132692;4823;14436;9;951;84;102;2;14;0;0;4;0;0;0;2;32;64;37.30155936;9.736352
3.40932992;4968;14440;11;955;84;102;3;14;0;0;4;0;0;0;2;32;64;42.81769338;11.201575
3.42134492;5127;14442;12;959;84;102;0;14;0;0;4;0;0;0;2;32;64;48.86641964;12.808268
3.42932692;5302;14444;14;962;84;102;0;14;0;0;4;0;0;0;2;32;64;55.52382276;14.576640
