Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;2
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.14713108;3999;14275;-1;372;94;118;3;14;0;0;4;16;0;0;2;32;64;-5.33941640;-1.590157
1.16310808;3998;14259;-1;372;94;118;0;14;0;0;4;16;0;0;2;32;64;-5.37745870;-1.600262
1.16712708;3998;14237;-1;372;93;118;0;14;0;0;4;16;0;0;2;32;64;-5.37745870;-1.600262
1.18310708;4000;14222;-1;423;93;118;2;14;0;0;4;16;0;0;2;32;64;-5.30137409;-1.580052
1.18713608;4002;14225;-1;432;92;118;3;14;0;0;4;16;0;0;2;32;64;-5.22528949;-1.559843
1.20311308;4003;14228;-1;443;92;118;2;14;0;0;4;16;0;0;2;32;64;-5.18724718;-1.549738
1.20713108;4001;14223;-1;455;92;118;2;14;0;0;4;16;0;0;2;32;64;-5.26333179;-1.569948
1.22311108;4004;14223;-1;469;92;118;3;14;0;0;4;16;0;0;2;32;64;-5.14920488;-1.539633
1.22713208;4009;14227;-1;489;91;118;0;14;0;0;4;16;0;0;2;32;64;-4.95899336;-1.489108
1.24310908;4004;14223;-1;500;91;118;0;14;0;0;4;16;0;0;2;32;64;-5.14920488;-1.539633
1.24713108;4004;14223;-1;512;91;118;1;14;0;0;4;16;0;0;2;32;64;-5.14920488;-1.539633
1.26310908;4008;14227;-1;517;91;118;2;14;0;0;4;16;0;0;2;32;64;-4.99703566;-1.499213
1.26713108;4008;14224;-1;520;91;118;0;14;0;0;4;16;0;0;2;32;64;-4.99703566;-1.499213
1.28310708;4009;14224;-1;526;91;117;0;14;0;0;4;16;0;1;0;32;64;-4.95899336;-1.489108
1.28713708;4011;14228;-1;534;91;117;4;14;0;0;4;16;0;1;0;32;64;-4.88290875;-1.468898
1.30323708;4012;14225;-1;540;90;117;4;14;0;0;4;16;0;1;0;32;64;-4.84486645;-1.458793
1.30713208;4013;14221;-1;552;90;117;2;14;0;0;4;16;0;1;0;32;64;-4.80682415;-1.448688
1.32311008;4015;14224;-1;564;90;117;2;14;0;0;4;16;0;1;0;32;64;-4.73073954;-1.428478
1.32713208;4018;14224;-1;579;90;117;1;14;0;0;4;16;0;1;0;32;64;-4.61661263;-1.398163
1.34310908;4016;14221;-1;595;90;117;3;14;0;0;4;16;0;1;0;32;64;-4.69269724;-1.418373
1.34713208;4018;14222;-1;608;90;117;6;14;0;0;4;16;0;1;0;32;64;-4.61661263;-1.398163
1.36311008;4025;14222;-1;621;90;117;6;14;0;0;4;16;0;1;0;32;64;-4.35031650;-1.327428
1.36713308;4022;14219;-1;634;90;117;6;14;0;0;4;16;0;1;0;32;64;-4.46444342;-1.357743
1.38310808;4028;14224;-1;640;89;117;6;14;0;0;4;16;0;1;0;32;64;-4.23618959;-1.297113
1.40310708;4029;14226;-1;638;89;116;7;14;0;0;4;16;0;0;0;32;64;-4.19814729;-1.287008
1.40713808;4030;14228;-1;641;89;116;4;14;0;0;4;16;0;0;0;32;64;-4.16010499;-1.276903
1.42311208;4034;14234;-1;642;89;116;5;14;0;0;4;16;0;0;0;32;64;-4.00793577;-1.236483
1.42713308;4037;14239;-1;645;88;115;5;14;0;0;0;16;0;1;2;32;64;-3.89380886;-1.206168
1.44311108;4038;14236;-1;649;88;115;4;14;0;0;0;16;0;1;2;32;64;-3.85576656;-1.196063
1.44713308;4042;14243;-1;656;88;114;11;14;0;0;0;16;0;0;2;32;64;-3.70359734;-1.155643
1.46311108;4045;14248;-1;670;88;114;11;14;0;0;0;16;0;0;2;32;64;-3.58947043;-1.125328
1.46713308;4049;14249;-1;684;87;114;8;14;0;0;0;16;0;0;2;32;64;-3.43730122;-1.084908
1.48310908;4055;14257;-1;697;86;114;11;14;0;0;0;16;0;0;2;32;64;-3.20904740;-1.024278
1.50310808;4057;14257;-1;699;86;113;8;14;0;0;0;16;0;1;0;32;64;-3.13296279;-1.004068
1.50713808;4062;14256;0;703;86;113;9;14;0;0;0;16;0;1;0;32;64;-2.94275127;-0.953543
1.52311208;4065;14261;0;704;85;113;6;14;0;0;0;16;0;1;0;32;64;-2.82862436;-0.923228
1.52713308;4067;14260;0;707;85;113;5;14;0;0;0;16;0;1;0;32;64;-2.75253976;-0.903018
1.54311108;4067;14258;0;709;85;113;5;14;0;0;0;16;0;1;0;32;64;-2.75253976;-0.903018
1.54713308;4073;14262;0;712;84;113;5;14;0;0;0;16;0;1;0;32;64;-2.52428593;-0.842388
1.56311108;4076;14263;0;714;84;113;11;14;0;0;0;16;0;1;0;32;64;-2.41015902;-0.812073
1.56713408;4078;14261;0;716;84;113;9;14;0;0;0;16;0;1;0;32;64;-2.33407442;-0.791864
1.58311008;4086;14267;0;719;83;113;4;14;0;0;0;16;0;1;0;32;64;-2.02973599;-0.711024
1.60311008;4089;14263;0;720;82;113;4;14;0;0;0;16;0;1;0;32;64;-1.91560908;-0.680709
1.60713908;4091;14265;0;721;82;113;8;14;0;0;0;16;0;1;0;32;64;-1.83952447;-0.660499
1.62217708;4096;14268;0;722;81;113;9;14;0;0;0;16;0;1;0;32;64;-1.64931295;-0.609974
1.62713408;4095;14267;0;723;81;113;5;14;0;0;0;16;0;1;0;32;64;-1.68735526;-0.620079
1.64311208;4095;14268;0;724;81;113;11;14;0;0;0;16;0;1;0;32;64;-1.68735526;-0.620079
1.64713308;4100;14269;0;725;81;113;9;14;0;0;0;16;0;1;0;32;64;-1.49714374;-0.569554
1.66311008;4103;14268;0;728;80;113;4;14;0;0;0;16;0;1;0;32;64;-1.38301683;-0.539239
1.66713508;4101;14267;0;730;80;113;11;14;0;0;0;16;0;1;0;32;64;-1.45910144;-0.559449
1.68311008;4106;14267;0;729;80;113;7;14;0;0;0;16;0;1;0;32;64;-1.26888992;-0.508924
1.70310908;4105;14267;0;730;79;113;9;14;0;0;0;16;0;1;0;32;64;-1.30693222;-0.519029
1.70713908;4108;14267;0;730;79;113;8;14;0;0;0;16;0;1;0;32;64;-1.19280531;-0.488714
1.72311308;4113;14270;0;731;79;113;8;14;0;0;0;16;0;1;0;32;64;-1.00259379;-0.438189
1.72713408;4111;14267;0;732;79;113;7;14;0;0;0;16;0;1;0;32;64;-1.07867840;-0.458399
1.74311208;4110;14267;0;733;78;113;11;14;0;0;0;16;0;1;0;32;64;-1.11672070;-0.468504
1.74713408;4115;14272;0;734;78;113;6;14;0;0;0;16;0;1;0;32;64;-0.92650919;-0.417979
1.76311208;4116;14269;0;734;78;113;4;14;0;0;0;16;0;1;0;32;64;-0.88846688;-0.407874
1.76713408;4116;14273;0;735;78;113;7;14;0;0;0;16;0;1;0;32;64;-0.88846688;-0.407874
1.78311108;4117;14273;0;736;77;112;7;14;0;0;0;16;0;0;0;32;64;-0.85042458;-0.397769
1.78713108;4119;14276;0;736;77;112;6;14;0;0;0;16;0;0;0;32;64;-0.77433997;-0.377559
1.80311008;4116;14273;0;736;77;112;5;14;0;0;0;16;0;0;0;32;64;-0.88846688;-0.407874
1.80714008;4120;14276;0;736;76;111;6;14;0;0;4;0;8;1;2;32;64;-0.73629767;-0.367454
1.82311708;4124;14278;0;736;76;111;7;14;0;0;4;0;8;1;2;32;64;-0.58412845;-0.327034
1.82713508;4122;14275;0;736;76;111;4;14;0;0;4;0;8;1;2;32;64;-0.66021306;-0.347244
1.84311408;4122;14279;0;735;76;111;7;14;0;0;4;0;8;1;2;32;64;-0.66021306;-0.347244
1.84713508;4124;14278;0;735;76;111;5;14;0;0;4;0;8;1;2;32;64;-0.58412845;-0.327034
1.86311308;4123;14278;0;735;76;111;5;14;0;0;4;0;8;1;2;32;64;-0.62217076;-0.337139
1.86713408;4124;14278;0;735;75;111;4;14;0;0;4;0;8;1;2;32;64;-0.58412845;-0.327034
1.88211308;4127;14280;0;735;75;111;7;14;0;0;4;0;8;1;2;32;64;-0.47000154;-0.296719
1.88713408;4127;14282;0;735;75;111;4;14;0;0;4;0;8;1;2;32;64;-0.47000154;-0.296719
1.90311208;4125;14278;0;734;75;111;5;14;0;0;4;0;8;1;2;32;64;-0.54608615;-0.316929
1.90714008;4127;14281;0;734;75;111;6;14;0;0;4;0;8;1;2;32;64;-0.47000154;-0.296719
1.92323508;4130;14283;0;734;75;111;7;14;0;0;4;0;8;1;2;32;64;-0.35587463;-0.266404
1.92713608;4124;14282;0;734;75;111;5;14;0;0;4;0;8;1;2;32;64;-0.58412845;-0.327034
1.94311408;4125;14282;0;734;75;111;8;14;0;0;4;0;8;1;2;32;64;-0.54608615;-0.316929
1.94713508;4127;14285;0;734;75;111;9;14;0;0;4;0;8;1;2;32;64;-0.47000154;-0.296719
1.96311408;4128;14281;0;734;75;111;6;14;0;0;4;0;8;1;2;32;64;-0.43195924;-0.286614
1.96713508;4126;14283;0;735;75;111;8;14;0;0;4;0;8;1;2;32;64;-0.50804385;-0.306824
1.98311308;4128;14285;0;735;75;111;10;14;0;0;4;0;8;1;2;32;64;-0.43195924;-0.286614
1.98713608;4127;14284;0;735;75;111;5;14;0;0;4;0;8;1;2;32;64;-0.47000154;-0.296719
2.00311108;4130;14285;0;735;75;111;11;14;0;0;4;0;8;1;2;32;64;-0.35587463;-0.266404
2.02311108;4131;14286;0;736;75;110;7;14;0;0;4;0;8;0;2;32;64;-0.31783233;-0.256299
2.02714108;4125;14285;0;736;75;110;6;14;0;0;4;0;8;0;2;32;64;-0.54608615;-0.316929
2.04311408;4130;14289;0;736;75;110;7;14;0;0;4;0;8;0;2;32;64;-0.35587463;-0.266404
2.04713608;4130;14289;0;736;75;110;7;14;0;0;4;0;8;0;2;32;64;-0.35587463;-0.266404
2.06311408;4128;14284;0;736;75;110;5;14;0;0;4;0;8;0;2;32;64;-0.43195924;-0.286614
2.06713608;4129;14286;0;736;75;110;11;14;0;0;4;0;8;0;2;32;64;-0.39391694;-0.276509
2.07514408;4131;14291;0;736;75;110;7;14;0;0;4;0;8;0;2;32;64;-0.31783233;-0.256299
2.09511508;4130;14287;0;736;75;110;4;14;0;0;4;0;8;0;2;32;64;-0.35587463;-0.266404
2.09913708;4130;14287;0;737;75;110;11;14;0;0;4;0;8;0;2;32;64;-0.35587463;-0.266404
2.11511408;4133;14292;0;738;75;110;10;14;0;0;4;0;8;0;2;32;64;-0.24174772;-0.236089
2.11820108;4132;14290;0;737;74;110;7;14;0;0;4;0;8;0;2;32;64;-0.27979003;-0.246194
2.13511408;4132;14287;0;737;74;110;8;14;0;0;4;0;8;0;2;32;64;-0.27979003;-0.246194
2.13913808;4134;14293;0;737;74;110;6;14;0;0;4;0;8;0;2;32;64;-0.20370542;-0.225984
2.15511208;4134;14292;0;737;74;110;7;14;0;0;4;0;8;0;2;32;64;-0.20370542;-0.225984
2.15914108;4134;14292;0;737;74;110;6;14;0;0;4;0;8;0;2;32;64;-0.20370542;-0.225984
2.17523808;4134;14294;0;737;74;110;10;14;0;0;4;0;8;0;2;32;64;-0.20370542;-0.225984
2.17913708;4139;14294;0;737;74;110;9;14;0;0;4;0;8;0;2;32;64;-0.01349390;-0.175459
2.19511508;4136;14291;0;737;74;110;10;14;0;0;4;0;8;0;2;32;64;-0.12762081;-0.205774
2.19913608;4136;14296;0;737;74;110;8;14;0;0;4;0;8;0;2;32;64;-0.12762081;-0.205774
2.21511508;4139;14296;0;737;74;110;11;14;0;0;4;0;8;0;2;32;64;-0.01349390;-0.175459
2.21913808;4136;14294;0;737;74;110;7;14;0;0;4;0;8;0;2;32;64;-0.12762081;-0.205774
2.23511408;4136;14295;0;737;74;110;9;14;0;0;4;0;8;0;2;32;64;-0.12762081;-0.205774
2.23913708;4140;14297;0;737;74;110;8;14;0;0;4;0;8;0;2;32;64;0.02454840;-0.165354
2.25511308;4139;14298;0;738;74;110;10;14;0;0;4;0;8;0;2;32;64;-0.01349390;-0.175459
2.25913308;4139;14296;0;739;73;110;9;14;0;0;4;0;8;0;2;32;64;-0.01349390;-0.175459
2.27511308;4144;14299;0;740;73;110;11;14;0;0;4;0;8;0;2;32;64;0.17671762;-0.124934
2.27914508;4144;14299;0;741;73;110;10;14;0;0;4;0;8;0;2;32;64;0.17671762;-0.124934
