Experiment parameters :
Instruction;2. Speed emphasis
Block number;5
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.07733908;3999;14230;1;168;91;87;8;14;0;0;4;16;0;1;2;0;64;5.95470125;1.409843
1.09331408;3985;14233;1;240;91;87;13;14;0;0;4;16;0;1;2;0;64;5.42210900;1.268373
1.09733608;3968;14233;1;246;90;86;15;14;0;0;4;16;0;0;2;0;64;4.77538984;1.096588
1.11331408;3955;14234;0;249;90;85;14;14;0;0;4;16;0;1;0;0;64;4.28083990;0.965223
1.11733508;3945;14238;0;257;89;85;12;14;0;0;4;16;0;1;0;0;64;3.90041686;0.864173
1.13331408;3939;14236;0;285;89;85;12;14;0;0;4;16;0;1;0;0;64;3.67216304;0.803543
1.13733508;3929;14236;0;320;89;84;13;14;0;0;4;16;0;0;0;0;64;3.29174000;0.702493
1.15331308;3924;14240;0;338;89;84;14;14;0;0;4;16;0;0;0;0;64;3.10152849;0.651969
1.15733508;3924;14239;0;352;89;84;13;14;0;0;4;16;0;0;0;0;64;3.10152849;0.651969
1.17331208;3915;14236;0;374;89;84;15;14;0;0;4;16;0;0;0;0;64;2.75914775;0.561024
1.17734208;3911;14238;0;399;88;84;12;14;0;0;4;16;0;0;0;0;64;2.60697854;0.520604
1.19331908;3902;14239;0;412;89;84;13;14;0;0;4;16;0;0;0;0;64;2.26459781;0.429659
1.19733608;3886;14236;0;419;89;84;14;14;0;0;4;16;0;0;0;0;64;1.65592095;0.267979
1.21331408;3874;14236;0;423;89;84;13;14;0;0;4;16;0;0;0;0;64;1.19941331;0.146719
1.21733608;3865;14239;0;426;89;84;12;14;0;0;4;16;0;0;0;0;64;0.85703258;0.055774
1.23331508;3858;14237;0;432;89;84;15;14;0;0;4;16;0;0;0;0;64;0.59073645;-0.014961
1.23733808;3855;14236;0;435;89;84;12;14;0;0;4;16;0;0;0;0;64;0.47660954;-0.045276
1.25331508;3853;14235;0;440;89;84;13;14;0;0;4;16;0;0;0;0;64;0.40052493;-0.065486
1.25733908;3852;14239;0;459;89;84;12;14;0;0;4;16;0;0;0;0;64;0.36248263;-0.075591
1.27331408;3846;14235;0;486;89;84;13;14;0;0;4;16;0;0;0;0;64;0.13422881;-0.136220
1.27734208;3844;14237;0;501;89;84;14;14;0;0;4;16;0;0;0;0;64;0.05814420;-0.156430
1.29332008;3849;14239;0;515;89;84;12;14;0;0;4;16;0;0;0;0;64;0.24835572;-0.105906
1.29733908;3847;14236;0;541;89;84;9;14;0;0;4;16;0;0;0;0;64;0.17227111;-0.126115
1.31331608;3847;14237;0;564;89;84;12;14;0;0;4;16;0;0;0;0;64;0.17227111;-0.126115
1.31733808;3850;14237;0;584;89;85;15;14;0;0;4;16;0;1;0;0;64;0.28639802;-0.095801
1.33331608;3849;14237;0;600;89;84;15;14;0;0;4;16;0;0;0;0;64;0.24835572;-0.105906
1.33733808;3849;14235;0;611;89;84;12;14;0;0;4;16;0;0;0;0;64;0.24835572;-0.105906
1.35331608;3850;14236;0;619;89;85;14;14;0;0;4;16;0;1;0;0;64;0.28639802;-0.095801
1.35733908;3852;14238;0;624;89;85;14;14;0;0;4;16;0;1;0;0;64;0.36248263;-0.075591
1.37331508;3849;14233;0;634;88;85;14;14;0;0;4;16;0;1;0;0;64;0.24835572;-0.105906
1.37734608;3849;14236;0;643;88;85;15;14;0;0;4;16;0;1;0;0;64;0.24835572;-0.105906
1.39335308;3851;14236;0;648;88;85;14;14;0;0;4;16;0;1;0;0;64;0.32444033;-0.085696
1.39733908;3851;14235;0;654;88;85;13;14;0;0;4;16;0;1;0;0;64;0.32444033;-0.085696
1.41331708;3849;14233;0;662;88;85;14;14;0;0;4;16;0;1;0;0;64;0.24835572;-0.105906
1.41733908;3852;14234;0;673;88;85;14;14;0;0;4;16;0;1;0;0;64;0.36248263;-0.075591
1.43331708;3854;14232;0;681;88;85;13;14;0;0;4;16;0;1;0;0;64;0.43856724;-0.055381
1.43733908;3852;14230;0;689;88;85;14;14;0;0;4;16;0;1;0;0;64;0.36248263;-0.075591
1.45331608;3852;14228;0;696;88;85;15;14;0;0;4;16;0;1;0;0;64;0.36248263;-0.075591
1.45733908;3856;14229;0;702;88;85;15;14;0;0;4;16;0;1;0;0;64;0.51465184;-0.035171
1.47331908;3856;14226;0;708;88;85;15;14;0;0;4;16;0;1;0;0;64;0.51465184;-0.035171
1.47733608;3854;14224;0;714;88;85;15;14;0;0;4;16;0;1;0;0;64;0.43856724;-0.055381
1.49331508;3856;14227;0;719;88;85;12;14;0;0;4;16;0;1;0;0;64;0.51465184;-0.035171
1.49734308;3859;14225;0;723;87;85;13;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856
1.51331708;3856;14225;0;729;87;85;15;14;0;0;4;16;0;1;0;0;64;0.51465184;-0.035171
1.51734008;3857;14224;0;734;88;86;15;14;0;0;4;16;0;0;2;0;64;0.55269415;-0.025066
1.53331808;3858;14225;0;739;87;86;15;14;0;0;4;16;0;0;2;0;64;0.59073645;-0.014961
1.53734108;3853;14223;0;743;87;86;15;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.55331708;3855;14224;0;746;87;86;13;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.55733908;3858;14227;0;745;87;86;15;14;0;0;4;16;0;0;2;0;64;0.59073645;-0.014961
1.57331708;3853;14225;0;744;87;86;14;14;0;0;4;16;0;0;2;0;64;0.40052493;-0.065486
1.57734108;3854;14225;0;743;87;86;13;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.59331608;3857;14228;0;743;87;86;12;14;0;0;4;16;0;0;2;0;64;0.55269415;-0.025066
1.59734708;3856;14230;0;740;87;85;14;14;0;0;4;16;0;1;0;0;64;0.51465184;-0.035171
1.61340708;3853;14227;0;738;87;85;14;14;0;0;4;16;0;1;0;0;64;0.40052493;-0.065486
1.61734108;3855;14229;0;737;88;86;15;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.63331808;3857;14226;0;738;88;86;13;14;0;0;4;16;0;0;2;0;64;0.55269415;-0.025066
1.63734208;3855;14224;0;740;88;86;12;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.65331808;3859;14229;0;741;87;85;12;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856
1.65734208;3859;14231;0;742;87;85;15;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856
1.67331708;3855;14227;0;743;87;85;14;14;0;0;4;16;0;1;0;0;64;0.47660954;-0.045276
1.67734108;3857;14227;0;744;87;85;12;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.69331608;3857;14230;0;744;87;85;15;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.69733608;3858;14227;0;744;87;85;9;14;0;0;4;16;0;1;0;0;64;0.59073645;-0.014961
1.71331608;3857;14228;0;745;87;85;13;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.71734508;3856;14230;0;746;87;85;15;14;0;0;4;16;0;1;0;0;64;0.51465184;-0.035171
1.73332008;3858;14229;0;750;87;86;12;14;0;0;4;16;0;0;2;0;64;0.59073645;-0.014961
1.73734008;3857;14225;0;756;87;85;15;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.75331808;3859;14225;0;763;87;85;12;14;0;0;4;16;0;1;0;0;64;0.62877876;-0.004856
1.75734208;3861;14227;0;772;87;86;9;14;0;0;4;16;0;0;2;0;64;0.70486336;0.015354
1.77331808;3858;14224;0;781;87;85;9;14;0;0;4;16;0;1;0;0;64;0.59073645;-0.014961
1.77734208;3862;14224;0;786;87;85;8;14;0;0;4;16;0;1;0;0;64;0.74290567;0.025459
1.79331808;3868;14224;0;789;87;85;14;14;0;0;4;16;0;1;0;0;64;0.97115949;0.086089
1.79734208;3903;14221;0;788;86;85;14;14;0;0;4;16;0;1;0;0;64;2.30264011;0.439764
1.81331708;3986;14218;1;790;86;85;14;14;0;0;4;16;0;1;0;0;64;5.46015130;1.278478
1.81734308;4127;14216;2;791;86;85;14;14;0;0;4;16;0;1;0;0;64;10.82411610;2.703281
1.83332208;4332;14217;4;793;86;85;12;14;0;0;4;16;0;1;0;0;64;18.62278833;4.774803
1.83734008;4612;14209;7;794;86;85;12;14;0;0;4;16;0;1;0;0;64;29.27463332;7.604199
1.85331808;4978;14204;11;794;85;85;1;14;0;0;4;16;0;1;0;0;64;43.19811641;11.302625
1.85733908;5437;14201;15;793;84;86;0;14;0;0;4;16;0;0;2;0;64;60.65953373;15.940814
1.87331808;6009;14192;21;794;84;86;15;14;0;0;4;16;0;0;2;0;64;82.41973136;21.720866
1.87734008;6678;14184;28;795;83;85;15;14;0;0;4;16;0;1;0;0;64;107.87003242;28.481102
1.89331808;7419;14178;35;794;82;86;12;14;0;0;4;16;0;0;2;0;64;136.05937934;35.968898
1.89733908;8237;14171;44;793;81;86;3;14;0;0;4;16;0;0;2;0;64;167.17798363;44.234777
1.91332008;9111;14161;53;795;79;86;0;14;0;0;4;16;0;0;2;0;64;200.42695692;53.066535
1.91733608;9969;14152;61;798;77;86;3;14;0;0;4;16;0;0;2;0;64;233.06725336;61.736614
1.93331608;10844;14145;70;811;76;86;1;14;0;0;4;16;0;0;2;0;64;266.35426895;70.578478
1.93734408;11733;14135;79;843;75;86;0;14;0;0;4;16;0;0;2;0;64;300.17387679;79.561811
1.95331908;12635;14121;88;889;74;86;5;14;0;0;4;16;0;0;2;0;64;334.48803458;88.676509
1.95734108;13547;14113;97;926;73;86;1;14;0;0;4;16;0;0;2;0;64;369.18261541;97.892257
1.97331908;14465;14101;107;972;72;87;0;14;0;0;4;16;0;1;2;0;64;404.10545005;107.168635
1.97734108;15404;14091;116;983;71;87;0;14;0;0;4;16;0;1;2;0;64;439.82717307;116.657218
1.99331908;16308;14084;125;981;70;88;3;14;0;0;0;16;8;0;0;0;64;474.21741547;125.792126
1.99734108;17126;14079;134;979;70;88;2;14;0;0;0;16;8;0;0;0;64;505.33601976;134.058005
2.01331808;17814;14068;141;973;69;88;2;14;0;0;0;16;8;0;0;0;64;531.50912459;141.010236
2.01733908;18354;14068;146;959;67;89;3;14;0;0;0;16;8;1;0;0;64;552.05196850;146.466929
2.03331808;18656;14086;149;933;67;89;0;14;0;0;0;16;8;1;0;0;64;563.54074417;149.518635
2.03734808;18811;14092;151;902;66;90;1;14;0;0;0;16;8;0;2;0;64;569.43730122;151.084908
2.05332408;18874;14093;151;883;65;90;4;14;0;0;0;16;8;0;2;0;64;571.83396634;151.721522
2.05734208;18893;14073;151;883;65;90;0;14;0;0;0;16;8;0;2;0;64;572.55677011;151.913517
2.07331908;18898;14053;151;913;65;90;1;14;0;0;0;16;8;0;2;0;64;572.74698163;151.964042
2.07734208;18885;14050;151;952;65;90;2;14;0;0;0;16;8;0;2;0;64;572.25243168;151.832677
2.09331908;18867;14047;151;983;65;90;6;14;0;0;0;16;8;0;2;0;64;571.56767022;151.650787
2.09734208;18828;14050;151;998;66;90;5;14;0;0;0;16;8;0;2;0;64;570.08402038;151.256693
2.11331908;18767;14050;150;1006;65;89;7;14;0;0;0;16;8;1;0;0;64;567.76343986;150.640289
2.11734108;18695;14051;149;1008;65;89;5;14;0;0;0;16;8;1;0;0;64;565.02439401;149.912730
2.13332208;18620;14058;149;1013;65;89;4;14;0;0;0;16;8;1;0;0;64;562.17122124;149.154856
2.13733808;18550;14056;148;1014;64;88;1;14;0;0;0;16;8;0;0;0;64;559.50826000;148.447507
2.15331808;18496;14054;147;1016;64;88;4;14;0;0;0;16;8;0;0;0;64;557.45397561;147.901837
2.15734508;18470;14058;147;1015;64;87;2;14;0;0;4;16;0;1;2;0;64;556.46487571;147.639108
2.16534008;18465;14053;147;1016;64;87;0;14;0;0;4;16;0;1;2;0;64;556.27466420;147.588583
2.18531808;18462;14052;147;1020;64;87;2;14;0;0;4;16;0;1;2;0;64;556.16053729;147.558268
2.18934508;18463;14050;147;1020;64;87;6;14;0;0;4;16;0;1;2;0;64;556.19857959;147.568373
2.20532408;18469;14054;147;1014;64;87;7;14;0;0;4;16;0;1;2;0;64;556.42683341;147.629003
2.20934308;18472;14051;147;1008;65;87;6;14;0;0;4;16;0;1;2;0;64;556.54096032;147.659318
2.22532008;18475;14051;147;1003;65;87;6;14;0;0;4;16;0;1;2;0;64;556.65508723;147.689633
2.22934208;18477;14052;147;1000;66;87;7;14;0;0;4;16;0;1;2;0;64;556.73117184;147.709843
2.24532008;18477;14053;147;1000;66;88;1;14;0;0;0;16;8;0;0;0;64;556.73117184;147.709843
2.24934208;18476;14051;147;1000;66;88;6;14;0;0;0;16;8;0;0;0;64;556.69312954;147.699738
2.26532008;18477;14053;147;1002;66;88;5;14;0;0;0;16;8;0;0;0;64;556.73117184;147.709843
2.26934208;18477;14053;147;1003;66;88;5;14;0;0;0;16;8;0;0;0;64;556.73117184;147.709843
2.28532308;18473;14051;147;1005;67;88;5;14;0;0;0;16;8;0;0;0;64;556.57900262;147.669423
2.28933908;18473;14051;147;1005;67;88;5;14;0;0;0;16;8;0;0;0;64;556.57900262;147.669423
2.30531808;18478;14056;147;1004;67;88;4;14;0;0;0;16;8;0;0;0;64;556.76921414;147.719948
2.30934608;18474;14053;147;1004;67;88;4;14;0;0;0;16;8;0;0;0;64;556.61704493;147.679528
2.32532108;18474;14049;147;1002;67;88;6;14;0;0;0;16;8;0;0;0;64;556.61704493;147.679528
2.32934308;18477;14053;147;1000;67;88;7;14;0;0;0;16;8;0;0;0;64;556.73117184;147.709843
2.34532108;18479;14054;147;1000;67;88;0;14;0;0;0;16;8;0;0;0;64;556.80725645;147.730052
2.34934308;18477;14053;147;999;67;88;4;14;0;0;0;16;8;0;0;0;64;556.73117184;147.709843
2.36532108;18476;14051;147;999;67;88;0;14;0;0;0;16;8;0;0;0;64;556.69312954;147.699738
2.36934308;18480;14053;147;999;67;87;0;14;0;0;4;16;0;1;2;0;64;556.84529875;147.740157
2.38532108;18477;14052;147;999;67;87;6;14;0;0;4;16;0;1;2;0;64;556.73117184;147.709843
2.38934208;18480;14052;147;998;67;87;7;14;0;0;4;16;0;1;2;0;64;556.84529875;147.740157
2.40531908;18491;14055;147;996;67;87;5;14;0;0;4;16;0;1;2;0;64;557.26376409;147.851312
2.40934908;18495;14054;147;995;67;87;2;14;0;0;4;16;0;1;2;0;64;557.41593330;147.891732
2.42532508;18510;14050;148;996;67;87;6;14;0;0;4;16;0;1;2;0;64;557.98656786;148.043307
2.42934308;18525;14054;148;996;67;88;5;14;0;0;0;16;8;0;0;0;64;558.55720241;148.194882
2.44532108;18539;14051;148;996;67;88;3;14;0;0;0;16;8;0;0;0;64;559.08979466;148.336352
2.44934308;18556;14051;148;996;67;88;4;14;0;0;0;16;8;0;0;0;64;559.73651382;148.508136
