Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.30130794;4085;14313;2;238;94;88;15;14;0;0;0;16;8;0;0;0;64;9.22633935;2.278871
1.31728694;4065;14295;2;239;94;88;9;14;0;0;0;16;8;0;0;0;64;8.46549328;2.076772
1.32130894;4038;14275;1;239;94;88;10;14;0;0;0;16;8;0;0;0;64;7.43835109;1.803937
1.33728694;4021;14250;1;265;93;88;11;14;0;0;0;16;8;0;0;0;64;6.79163193;1.632152
1.34130894;4012;14225;1;300;93;88;12;14;0;0;0;16;8;0;0;0;64;6.44925120;1.541207
1.35728494;3999;14193;1;319;93;88;10;14;0;0;0;16;8;0;0;0;64;5.95470125;1.409843
1.36131594;3989;14175;1;411;93;88;15;14;0;0;0;16;8;0;0;0;64;5.57427822;1.308793
1.37729094;3970;14177;1;419;93;88;14;14;0;0;0;16;8;0;0;0;64;4.85147445;1.116798
1.38130894;3941;14180;0;427;93;88;14;14;0;0;0;16;8;0;0;0;64;3.74824765;0.823753
1.39728694;3909;14178;0;429;93;88;14;14;0;0;0;16;8;0;0;0;64;2.53089393;0.500394
1.40130794;3884;14179;0;439;93;88;12;14;0;0;0;16;8;0;0;0;64;1.57983634;0.247769
1.41728794;3870;14182;0;452;93;88;13;14;0;0;0;16;8;0;0;0;64;1.04724409;0.106299
1.42130794;3857;14180;0;455;93;88;14;14;0;0;0;16;8;0;0;0;64;0.55269415;-0.025066
1.43728794;3844;14180;0;457;93;88;13;14;0;0;0;16;8;0;0;0;64;0.05814420;-0.156430
1.44131094;3832;14184;0;461;93;88;14;14;0;0;0;16;8;0;0;0;64;-0.39836344;-0.277690
1.45728594;3830;14183;0;505;93;88;9;14;0;0;0;16;8;0;0;0;64;-0.47444805;-0.297900
