Experiment parameters :
Instruction;3. Speed/accuracy balance
Block number;5
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.10188197;3766;14168;0;189;95;102;10;14;0;0;4;0;0;0;2;32;64;-2.90915547;-0.944619
2.10591097;3765;14169;0;223;95;102;9;14;0;0;4;0;0;0;2;32;64;-2.94719778;-0.954724
2.12188597;3766;14173;0;227;95;102;6;14;0;0;4;0;0;0;2;32;64;-2.90915547;-0.944619
2.12590897;3771;14177;0;277;96;101;5;14;0;0;4;0;0;1;0;32;64;-2.71894396;-0.894094
2.14188497;3769;14174;0;277;96;101;2;14;0;0;4;0;0;1;0;32;64;-2.79502856;-0.914304
2.14590897;3768;14176;0;276;96;101;3;14;0;0;4;0;0;1;0;32;64;-2.83307087;-0.924409
2.16188497;3774;14179;0;274;96;101;1;14;0;0;4;0;0;1;0;32;64;-2.60481704;-0.863780
2.16590797;3775;14176;0;270;95;101;12;14;0;0;4;0;0;1;0;32;64;-2.56677474;-0.853675
2.18188497;3770;14175;0;340;95;101;13;14;0;0;4;0;0;1;0;32;64;-2.75698626;-0.904199
2.18590897;3771;14178;0;420;95;100;12;14;0;0;4;0;0;0;0;32;64;-2.71894396;-0.894094
2.20188397;3772;14178;0;458;95;100;14;14;0;0;4;0;0;0;0;32;64;-2.68090165;-0.883990
2.20591497;3772;14173;0;486;95;100;14;14;0;0;4;0;0;0;0;32;64;-2.68090165;-0.883990
2.22188897;3770;14175;0;520;95;100;13;14;0;0;4;0;0;0;0;32;64;-2.75698626;-0.904199
2.22590997;3773;14180;0;555;95;100;14;14;0;0;4;0;0;0;0;32;64;-2.64285935;-0.873885
2.24188597;3771;14176;0;583;94;100;11;14;0;0;4;0;0;0;0;32;64;-2.71894396;-0.894094
2.24590897;3770;14175;0;615;94;100;15;14;0;0;4;0;0;0;0;32;64;-2.75698626;-0.904199
2.26188597;3773;14177;0;635;94;100;9;14;0;0;4;0;0;0;0;32;64;-2.64285935;-0.873885
2.26590997;3778;14178;0;646;94;100;11;14;0;0;4;0;0;0;0;32;64;-2.45264783;-0.823360
2.28188597;3775;14177;0;656;94;100;10;14;0;0;4;0;0;0;0;32;64;-2.56677474;-0.853675
2.28590897;3779;14178;0;685;94;100;11;14;0;0;4;0;0;0;0;32;64;-2.41460553;-0.813255
2.30188497;3785;14183;0;726;93;100;8;14;0;0;4;0;0;0;0;32;64;-2.18635171;-0.752625
2.30590597;3787;14180;0;760;93;100;8;14;0;0;4;0;0;0;0;32;64;-2.11026710;-0.732415
2.32188497;3789;14179;0;781;93;101;10;14;0;0;4;0;0;1;0;32;64;-2.03418249;-0.712205
2.32591297;3791;14185;0;797;93;101;8;14;0;0;4;0;0;1;0;32;64;-1.95809788;-0.691995
2.34188697;3798;14184;0;812;92;101;9;14;0;0;4;0;0;1;0;32;64;-1.69180176;-0.621260
2.34590897;3798;14182;0;827;92;101;9;14;0;0;4;0;0;1;0;32;64;-1.69180176;-0.621260
2.36188597;3798;14184;0;840;92;101;10;14;0;0;4;0;0;1;0;32;64;-1.69180176;-0.621260
2.36590897;3804;14187;0;858;91;101;15;14;0;0;4;0;0;1;0;32;64;-1.46354794;-0.560630
2.38188597;3805;14184;0;877;91;101;9;14;0;0;4;0;0;1;0;32;64;-1.42550564;-0.550525
2.38590897;3806;14184;0;896;91;101;10;14;0;0;4;0;0;1;0;32;64;-1.38746333;-0.540420
2.40188597;3811;14189;0;913;90;101;13;14;0;0;4;0;0;1;0;32;64;-1.19725181;-0.489895
2.40590897;3810;14188;0;932;90;101;11;14;0;0;4;0;0;1;0;32;64;-1.23529412;-0.500000
2.42188397;3811;14185;0;946;89;101;11;14;0;0;4;0;0;1;0;32;64;-1.19725181;-0.489895
2.42591197;3812;14189;0;964;89;101;10;14;0;0;4;0;0;1;0;32;64;-1.15920951;-0.479790
2.44189197;3817;14191;0;979;89;101;9;14;0;0;4;0;0;1;0;32;64;-0.96899799;-0.429265
2.44590997;3815;14189;0;993;89;101;8;14;0;0;4;0;0;1;0;32;64;-1.04508260;-0.449475
2.46188697;3818;14190;0;1006;89;102;8;14;0;0;4;0;0;0;2;32;64;-0.93095569;-0.419160
2.46590897;3822;14192;0;1017;88;101;8;14;0;0;4;0;0;1;0;32;64;-0.77878648;-0.378740
2.48188697;3821;14191;0;1023;88;101;5;14;0;0;4;0;0;1;0;32;64;-0.81682878;-0.388845
2.48590997;3823;14192;0;1023;88;101;4;14;0;0;4;0;0;1;0;32;64;-0.74074417;-0.368635
2.49391597;3821;14194;0;1023;88;101;7;14;0;0;4;0;0;1;0;32;64;-0.81682878;-0.388845
2.51388697;3828;14196;0;1023;88;101;4;14;0;0;4;0;0;1;0;32;64;-0.55053265;-0.318110
2.51790997;3828;14193;0;1023;87;101;5;14;0;0;4;0;0;1;0;32;64;-0.55053265;-0.318110
2.53388897;3830;14196;0;1023;87;101;6;14;0;0;4;0;0;1;0;32;64;-0.47444805;-0.297900
2.53791297;3833;14198;0;1023;87;101;7;14;0;0;4;0;0;1;0;32;64;-0.36032114;-0.267585
2.55388597;3835;14196;0;1023;87;101;3;14;0;0;4;0;0;1;0;32;64;-0.28423653;-0.247375
2.55790397;3837;14199;0;1023;86;101;4;14;0;0;4;0;0;1;0;32;64;-0.20815192;-0.227165
2.57388497;3840;14200;0;1023;86;101;7;14;0;0;4;0;0;1;0;32;64;-0.09402501;-0.196850
2.57791397;3843;14200;0;1023;86;101;0;14;0;0;4;0;0;1;0;32;64;0.02010190;-0.166535
2.59388797;3845;14199;0;1023;86;101;2;14;0;0;4;0;0;1;0;32;64;0.09618651;-0.146325
2.59791297;3848;14202;0;1023;85;101;5;14;0;0;4;0;0;1;0;32;64;0.21031342;-0.116010
2.61388797;3855;14203;0;1023;85;101;3;14;0;0;4;0;0;1;0;32;64;0.47660954;-0.045276
2.61791297;3853;14202;0;1023;85;101;3;14;0;0;4;0;0;1;0;32;64;0.40052493;-0.065486
2.63388897;3859;14204;0;1023;84;101;2;14;0;0;4;0;0;1;0;32;64;0.62877876;-0.004856
2.63791197;3860;14205;0;1023;84;101;0;14;0;0;4;0;0;1;0;32;64;0.66682106;0.005249
2.65389097;3864;14207;0;1023;84;101;3;14;0;0;4;0;0;1;0;32;64;0.81899027;0.045669
2.65790897;3866;14205;0;1023;83;101;2;14;0;0;4;0;0;1;0;32;64;0.89507488;0.065879
2.67388597;3870;14209;0;1023;83;101;0;14;0;0;4;0;0;1;0;32;64;1.04724409;0.106299
2.67791697;3872;14210;0;1023;83;101;1;14;0;0;4;0;0;1;0;32;64;1.12332870;0.126509
2.69289197;3874;14209;0;1023;82;101;0;14;0;0;4;0;0;1;0;32;64;1.19941331;0.146719
2.69791197;3874;14209;0;1023;82;101;1;14;0;0;4;0;0;1;0;32;64;1.19941331;0.146719
2.71388797;3877;14211;0;1023;82;101;3;14;0;0;4;0;0;1;0;32;64;1.31354022;0.177034
2.71791197;3876;14208;0;1023;82;101;3;14;0;0;4;0;0;1;0;32;64;1.27549792;0.166929
2.73388897;3878;14208;0;1023;81;101;1;14;0;0;4;0;0;1;0;32;64;1.35158252;0.187139
2.73791097;3879;14212;0;1023;81;101;2;14;0;0;4;0;0;1;0;32;64;1.38962483;0.197244
2.75388797;3881;14211;0;1023;81;101;1;14;0;0;4;0;0;1;0;32;64;1.46570943;0.217454
2.75791197;3880;14210;0;1023;81;101;1;14;0;0;4;0;0;1;0;32;64;1.42766713;0.207349
2.77388697;3881;14211;0;1023;81;102;0;14;0;0;4;0;0;0;2;32;64;1.46570943;0.217454
2.77791597;3885;14212;0;1023;81;102;1;14;0;0;4;0;0;0;2;32;64;1.61787865;0.257874
2.79389397;3883;14209;0;1023;81;102;3;14;0;0;4;0;0;0;2;32;64;1.54179404;0.237664
2.79791197;3884;14210;0;1023;81;102;3;14;0;0;4;0;0;0;2;32;64;1.57983634;0.247769
2.81388797;3885;14211;0;1023;81;102;1;14;0;0;4;0;0;0;2;32;64;1.61787865;0.257874
2.81791197;3884;14211;0;1023;81;102;2;14;0;0;4;0;0;0;2;32;64;1.57983634;0.247769
2.83388897;3881;14210;0;1023;81;102;0;14;0;0;4;0;0;0;2;32;64;1.46570943;0.217454
2.83791197;3883;14209;0;1023;81;102;1;14;0;0;4;0;0;0;2;32;64;1.54179404;0.237664
2.85388797;3887;14213;0;1023;81;102;3;14;0;0;4;0;0;0;2;32;64;1.69396325;0.278084
2.85791297;3882;14208;0;1023;81;102;1;14;0;0;4;0;0;0;2;32;64;1.50375174;0.227559
2.87388697;3884;14209;0;1023;81;102;3;14;0;0;4;0;0;0;2;32;64;1.57983634;0.247769
2.87790497;3884;14212;0;1023;81;102;1;14;0;0;4;0;0;0;2;32;64;1.57983634;0.247769
2.89388697;3885;14211;0;1023;80;101;3;14;0;0;4;0;0;1;0;32;64;1.61787865;0.257874
2.89791597;3882;14210;0;1023;80;101;3;14;0;0;4;0;0;1;0;32;64;1.50375174;0.227559
2.91388997;3886;14213;0;1023;80;101;2;14;0;0;4;0;0;1;0;32;64;1.65592095;0.267979
2.91791297;3888;14215;0;1023;80;101;0;14;0;0;4;0;0;1;0;32;64;1.73200556;0.288189
2.93388897;3885;14211;0;1023;80;101;0;14;0;0;4;0;0;1;0;32;64;1.61787865;0.257874
2.93791397;3884;14210;0;1023;80;101;2;14;0;0;4;0;0;1;0;32;64;1.57983634;0.247769
2.95388897;3889;14215;0;1023;80;101;0;14;0;0;4;0;0;1;0;32;64;1.77004786;0.298294
2.95791397;3888;14212;0;1023;80;101;2;14;0;0;4;0;0;1;0;32;64;1.73200556;0.288189
2.97388897;3888;14211;0;1023;80;102;0;14;0;0;4;0;0;0;2;32;64;1.73200556;0.288189
2.97791297;3889;14212;0;1023;80;102;0;14;0;0;4;0;0;0;2;32;64;1.77004786;0.298294
2.99388797;3892;14212;0;1023;80;102;1;14;0;0;4;0;0;0;2;32;64;1.88417477;0.328609
2.99791797;3890;14210;0;1023;80;102;3;14;0;0;4;0;0;0;2;32;64;1.80809017;0.308399
3.01389397;3892;14210;0;1023;80;102;2;14;0;0;4;0;0;0;2;32;64;1.88417477;0.328609
3.01791397;3894;14215;0;1023;79;102;0;14;0;0;4;0;0;0;2;32;64;1.96025938;0.348819
3.03389297;3896;14212;0;1023;79;102;1;14;0;0;4;0;0;0;2;32;64;2.03634399;0.369029
3.03791697;3894;14214;0;1023;79;101;3;14;0;0;4;0;0;1;0;32;64;1.96025938;0.348819
3.05388997;3897;14215;0;1023;79;101;1;14;0;0;4;0;0;1;0;32;64;2.07438629;0.379134
3.05791397;3898;14214;0;1023;79;101;1;14;0;0;4;0;0;1;0;32;64;2.11242859;0.389239
3.07388997;3896;14210;0;1023;79;101;2;14;0;0;4;0;0;1;0;32;64;2.03634399;0.369029
3.07791397;3899;14212;0;1023;78;101;1;14;0;0;4;0;0;1;0;32;64;2.15047090;0.399344
3.09388797;3901;14215;0;1023;78;101;3;14;0;0;4;0;0;1;0;32;64;2.22655550;0.419554
3.09791797;3901;14212;0;1023;78;101;0;14;0;0;4;0;0;1;0;32;64;2.22655550;0.419554
3.11389497;3900;14211;0;1023;78;101;2;14;0;0;4;0;0;1;0;32;64;2.18851320;0.409449
3.11791397;3903;14214;0;1023;78;102;3;14;0;0;4;0;0;0;2;32;64;2.30264011;0.439764
3.13389097;3906;14212;0;1023;77;102;1;14;0;0;4;0;0;0;2;32;64;2.41676702;0.470079
3.13791497;3905;14210;0;1023;77;102;1;14;0;0;4;0;0;0;2;32;64;2.37872472;0.459974
3.15389097;3905;14212;0;1023;77;102;3;14;0;0;4;0;0;0;2;32;64;2.37872472;0.459974
3.15791397;3907;14214;0;1023;77;102;3;14;0;0;4;0;0;0;2;32;64;2.45480933;0.480184
3.17388997;3909;14212;0;1023;77;101;0;14;0;0;4;0;0;1;0;32;64;2.53089393;0.500394
3.17791397;3908;14213;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.49285163;0.490289
3.19388897;3910;14216;0;1023;77;101;3;14;0;0;4;0;0;1;0;32;64;2.56893624;0.510499
3.19790697;3908;14215;0;1023;77;101;0;14;0;0;4;0;0;1;0;32;64;2.49285163;0.490289
3.21388897;3907;14213;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.45480933;0.480184
3.21791697;3908;14216;0;1023;77;101;0;14;0;0;4;0;0;1;0;32;64;2.49285163;0.490289
3.23392097;3910;14217;0;1023;77;101;2;14;0;0;4;0;0;1;0;32;64;2.56893624;0.510499
3.23791797;3907;14214;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.45480933;0.480184
3.25389197;3907;14215;0;1023;77;101;0;14;0;0;4;0;0;1;0;32;64;2.45480933;0.480184
3.25791597;3909;14218;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.53089393;0.500394
3.27389197;3908;14215;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.49285163;0.490289
3.27791397;3906;14215;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.41676702;0.470079
3.29389197;3909;14218;0;1023;77;101;3;14;0;0;4;0;0;1;0;32;64;2.53089393;0.500394
3.29791497;3908;14218;0;1023;77;101;2;14;0;0;4;0;0;1;0;32;64;2.49285163;0.490289
3.31388997;3909;14216;0;1023;77;101;0;14;0;0;4;0;0;1;0;32;64;2.53089393;0.500394
3.31791797;3909;14215;0;1023;77;101;0;14;0;0;4;0;0;1;0;32;64;2.53089393;0.500394
3.33389797;3912;14218;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.64502084;0.530709
3.33791897;3911;14215;0;1023;77;101;1;14;0;0;4;0;0;1;0;32;64;2.60697854;0.520604
3.35389197;3912;14216;0;1023;76;101;3;14;0;0;4;0;0;1;0;32;64;2.64502084;0.530709
3.35791497;3915;14217;0;1023;76;101;0;14;0;0;4;0;0;1;0;32;64;2.75914775;0.561024
3.37389197;3915;14218;0;1023;76;101;3;14;0;0;4;0;0;1;0;32;64;2.75914775;0.561024
3.37791497;3914;14215;0;1023;76;101;3;14;0;0;4;0;0;1;0;32;64;2.72110545;0.550919
3.39389197;3915;14218;0;1023;76;101;0;14;0;0;4;0;0;1;0;32;64;2.75914775;0.561024
3.39791597;3917;14220;0;1023;76;101;0;14;0;0;4;0;0;1;0;32;64;2.83523236;0.581234
3.41388997;3916;14218;0;1023;76;101;0;14;0;0;4;0;0;1;0;32;64;2.79719006;0.571129
3.41791197;3916;14215;0;1023;76;101;1;14;0;0;4;0;0;1;0;32;64;2.79719006;0.571129
3.43388997;3919;14218;0;1023;76;101;0;14;0;0;4;0;0;1;0;32;64;2.91131697;0.601444
3.43791897;3920;14220;0;1023;76;101;1;14;0;0;4;0;0;1;0;32;64;2.94935927;0.611549
3.45389397;3917;14217;0;1023;76;101;0;14;0;0;4;0;0;1;0;32;64;2.83523236;0.581234
3.45791597;3920;14218;0;1023;76;101;1;14;0;0;4;0;0;1;0;32;64;2.94935927;0.611549
3.47389297;3923;14221;0;1023;76;101;0;14;0;0;4;0;0;1;0;32;64;3.06348618;0.641864
3.47791597;3921;14217;0;1023;76;101;3;14;0;0;4;0;0;1;0;32;64;2.98740157;0.621654
3.49389297;3922;14219;0;1023;75;101;2;14;0;0;4;0;0;1;0;32;64;3.02544388;0.631759
3.49791697;3925;14221;0;1023;75;101;1;14;0;0;4;0;0;1;0;32;64;3.13957079;0.662073
3.51389297;3923;14219;0;1023;75;101;3;14;0;0;4;0;0;1;0;32;64;3.06348618;0.641864
3.51791697;3924;14218;0;1023;75;101;0;14;0;0;4;0;0;1;0;32;64;3.10152849;0.651969
3.53389397;3927;14222;0;1023;75;101;0;14;0;0;4;0;0;1;0;32;64;3.21565540;0.682283
3.53792497;3926;14222;0;1023;75;101;3;14;0;0;4;0;0;1;0;32;64;3.17761309;0.672178
3.55389997;3922;14224;0;1023;75;101;14;14;0;0;4;0;0;1;0;32;64;3.02544388;0.631759
