Experiment parameters :
Instruction;5. Full accuracy
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
9.11394399;3796;14159;0;183;97;98;9;14;0;0;0;0;0;0;2;32;64;-1.76788637;-0.641470
9.11796099;3797;14161;0;249;97;98;9;14;0;0;0;0;0;0;2;32;64;-1.72984406;-0.631365
9.13394299;3803;14166;0;250;97;97;8;14;0;0;0;0;0;1;0;32;64;-1.50159024;-0.570735
9.13801199;3803;14162;0;249;97;97;6;14;0;0;0;0;0;1;0;32;64;-1.50159024;-0.570735
9.15394799;3803;14161;0;248;97;97;2;14;0;0;0;0;0;1;0;32;64;-1.50159024;-0.570735
9.15796999;3801;14160;0;254;97;96;0;14;0;0;0;0;0;0;0;32;64;-1.57767485;-0.590945
9.17394599;3804;14162;0;273;97;96;2;14;0;0;0;0;0;0;0;32;64;-1.46354794;-0.560630
9.17796899;3800;14161;0;286;97;96;2;14;0;0;0;0;0;0;0;32;64;-1.61571715;-0.601050
9.19394599;3799;14159;0;316;97;96;5;14;0;0;0;0;0;0;0;32;64;-1.65375946;-0.611155
9.19796899;3800;14162;0;365;97;96;4;14;0;0;0;0;0;0;0;32;64;-1.61571715;-0.601050
9.21394699;3802;14160;0;399;97;96;2;14;0;0;0;0;0;0;0;32;64;-1.53963255;-0.580840
9.21796999;3800;14158;0;412;97;96;6;14;0;0;0;0;0;0;0;32;64;-1.61571715;-0.601050
9.23394599;3799;14158;0;419;97;96;3;14;0;0;0;0;0;0;0;32;64;-1.65375946;-0.611155
9.23798199;3802;14161;0;425;97;96;2;14;0;0;0;0;0;0;0;32;64;-1.53963255;-0.580840
9.25395099;3801;14155;0;433;97;96;7;14;0;0;0;0;0;0;0;32;64;-1.57767485;-0.590945
9.25797199;3797;14158;0;469;98;96;6;14;0;0;0;0;0;0;0;32;64;-1.72984406;-0.631365
9.27394599;3802;14159;0;514;98;96;7;14;0;0;0;0;0;0;0;32;64;-1.53963255;-0.580840
9.27797099;3801;14158;0;559;98;96;1;14;0;0;0;0;0;0;0;32;64;-1.57767485;-0.590945
9.29394599;3799;14157;0;595;98;95;7;14;0;0;4;16;8;1;2;0;64;-1.65375946;-0.611155
9.29797099;3800;14158;0;629;98;95;4;14;0;0;4;16;8;1;2;0;64;-1.61571715;-0.601050
9.31394699;3801;14156;0;662;98;95;5;14;0;0;4;16;8;1;2;0;64;-1.57767485;-0.590945
9.31797099;3799;14156;0;698;98;95;5;14;0;0;4;16;8;1;2;0;64;-1.65375946;-0.611155
9.33394499;3800;14156;0;733;98;95;7;14;0;0;4;16;8;1;2;0;64;-1.61571715;-0.601050
9.33796799;3800;14160;0;769;98;95;6;14;0;0;4;16;8;1;2;0;64;-1.61571715;-0.601050
9.35394499;3799;14158;0;798;99;95;2;14;0;0;4;16;8;1;2;0;64;-1.65375946;-0.611155
9.35797399;3800;14156;0;824;99;95;5;14;0;0;4;16;8;1;2;0;64;-1.61571715;-0.601050
9.37394899;3799;14157;0;842;99;95;7;14;0;0;4;16;8;1;2;0;64;-1.65375946;-0.611155
9.37797099;3801;14159;0;864;99;95;6;14;0;0;4;16;8;1;2;0;64;-1.57767485;-0.590945
9.39394799;3798;14157;0;888;99;95;6;14;0;0;4;16;8;1;2;0;64;-1.69180176;-0.621260
9.39797099;3798;14159;0;915;99;95;6;14;0;0;4;16;8;1;2;0;64;-1.69180176;-0.621260
9.41394699;3800;14162;0;939;99;96;4;14;0;0;0;0;0;0;0;32;64;-1.61571715;-0.601050
9.41797099;3798;14160;0;962;99;96;2;14;0;0;0;0;0;0;0;32;64;-1.69180176;-0.621260
9.43394799;3799;14158;0;983;98;96;7;14;0;0;0;0;0;0;0;32;64;-1.65375946;-0.611155
9.43796999;3797;14162;0;1002;98;96;1;14;0;0;0;0;0;0;0;32;64;-1.72984406;-0.631365
9.45394499;3797;14163;0;1016;98;96;3;14;0;0;0;0;0;0;0;32;64;-1.72984406;-0.631365
9.45797499;3796;14162;0;1023;98;96;2;14;0;0;0;0;0;0;0;32;64;-1.76788637;-0.641470
9.47395199;3796;14162;0;1023;98;96;3;14;0;0;0;0;0;0;0;32;64;-1.76788637;-0.641470
9.47797299;3797;14166;0;1023;98;96;2;14;0;0;0;0;0;0;0;32;64;-1.72984406;-0.631365
9.49394699;3794;14165;0;1023;98;96;15;14;0;0;0;0;0;0;0;32;64;-1.84397097;-0.661680
9.49797199;3796;14166;0;1023;98;96;2;14;0;0;0;0;0;0;0;32;64;-1.76788637;-0.641470
9.51394799;3794;14168;0;1023;97;97;13;14;0;0;0;0;0;1;0;32;64;-1.84397097;-0.661680
9.51797099;3796;14170;0;1023;97;97;12;14;0;0;0;0;0;1;0;32;64;-1.76788637;-0.641470
9.53394699;3795;14165;0;1023;97;97;15;14;0;0;0;0;0;1;0;32;64;-1.80592867;-0.651575
9.53797099;3796;14170;0;1023;97;97;14;14;0;0;0;0;0;1;0;32;64;-1.76788637;-0.641470
9.55394799;3794;14173;0;1023;97;97;13;14;0;0;0;0;0;1;0;32;64;-1.84397097;-0.661680
9.55796999;3794;14172;0;1023;97;97;9;14;0;0;0;0;0;1;0;32;64;-1.84397097;-0.661680
9.57394599;3794;14173;0;1023;96;98;12;14;0;0;0;0;0;0;2;32;64;-1.84397097;-0.661680
9.57797599;3796;14175;0;1023;96;98;10;14;0;0;0;0;0;0;2;32;64;-1.76788637;-0.641470
