Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.56988908;3670;14101;-1;165;100;122;0;14;0;0;0;16;8;0;2;32;64;-6.56121661;-1.914698
0.57390908;3673;14102;-1;215;100;121;13;14;0;0;0;16;8;1;0;32;64;-6.44708970;-1.884383
0.58988708;3675;14106;-1;251;100;120;10;14;0;0;0;16;8;0;0;32;64;-6.37100509;-1.864173
0.59390408;3683;14112;-1;257;99;120;7;14;0;0;0;16;8;0;0;32;64;-6.06666667;-1.783333
0.60988708;3688;14119;-1;259;99;119;0;14;0;0;4;16;0;1;2;32;64;-5.87645515;-1.732808
0.61391308;3689;14120;-1;268;99;119;1;14;0;0;4;16;0;1;2;32;64;-5.83841285;-1.722703
0.62989008;3694;14122;-1;323;99;119;2;14;0;0;4;16;0;1;2;32;64;-5.64820133;-1.672178
0.63391008;3697;14131;-1;325;99;119;2;14;0;0;4;16;0;1;2;32;64;-5.53407442;-1.641864
0.64988908;3702;14131;-1;315;98;118;13;14;0;0;4;16;0;0;2;32;64;-5.34386290;-1.591339
0.65391008;3704;14131;-1;411;98;118;11;14;0;0;4;16;0;0;2;32;64;-5.26777829;-1.571129
0.66988908;3705;14132;-1;449;98;118;13;14;0;0;4;16;0;0;2;32;64;-5.22973599;-1.561024
0.67391008;3702;14130;-1;462;97;118;11;14;0;0;4;16;0;0;2;32;64;-5.34386290;-1.591339
0.68989208;3705;14131;-1;479;97;117;12;14;0;0;4;16;0;1;0;32;64;-5.22973599;-1.561024
0.69391208;3706;14131;-1;507;97;117;11;14;0;0;4;16;0;1;0;32;64;-5.19169369;-1.550919
0.70988708;3706;14131;-1;543;97;117;8;14;0;0;4;16;0;1;0;32;64;-5.19169369;-1.550919
0.71391208;3702;14129;-1;575;97;117;8;14;0;0;4;16;0;1;0;32;64;-5.34386290;-1.591339
0.72989308;3706;14131;-1;606;97;117;10;14;0;0;4;16;0;1;0;32;64;-5.19169369;-1.550919
0.73391208;3706;14132;-1;629;97;117;9;14;0;0;4;16;0;1;0;32;64;-5.19169369;-1.550919
