Experiment parameters :
Instruction;5. Full accuracy
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.62592806;3679;14151;-1;154;98;116;4;14;0;0;4;16;0;0;0;32;64;-6.21883588;-1.823753
1.62995106;3670;14135;-1;189;98;117;11;14;0;0;4;16;0;1;0;32;64;-6.56121661;-1.914698
1.64592206;3678;14139;-1;341;98;117;8;14;0;0;4;16;0;1;0;32;64;-6.25687818;-1.833858
1.64995206;3676;14139;-1;358;98;117;11;14;0;0;4;16;0;1;0;32;64;-6.33296279;-1.854068
1.66592306;3678;14142;-1;372;98;118;11;14;0;0;4;16;0;0;2;32;64;-6.25687818;-1.833858
1.66995306;3675;14137;-1;393;98;118;10;14;0;0;4;16;0;0;2;32;64;-6.37100509;-1.864173
1.68592306;3676;14138;-1;426;98;118;10;14;0;0;4;16;0;0;2;32;64;-6.33296279;-1.854068
1.68995206;3679;14141;-1;459;98;119;10;14;0;0;4;16;0;1;2;32;64;-6.21883588;-1.823753
1.70592106;3678;14139;-1;476;98;119;8;14;0;0;4;16;0;1;2;32;64;-6.25687818;-1.833858
1.70999106;3676;14137;-1;487;98;119;10;14;0;0;4;16;0;1;2;32;64;-6.33296279;-1.854068
1.72592006;3679;14139;-1;500;98;119;8;14;0;0;4;16;0;1;2;32;64;-6.21883588;-1.823753
1.72996106;3679;14140;-1;510;98;119;4;14;0;0;4;16;0;1;2;32;64;-6.21883588;-1.823753
1.74592406;3677;14138;-1;514;98;119;6;14;0;0;4;16;0;1;2;32;64;-6.29492049;-1.843963
1.74995306;3679;14140;-1;520;98;119;8;14;0;0;4;16;0;1;2;32;64;-6.21883588;-1.823753
1.76592306;3681;14142;-1;527;98;119;11;14;0;0;4;16;0;1;2;32;64;-6.14275127;-1.803543
1.76995206;3682;14141;-1;527;98;119;6;14;0;0;4;16;0;1;2;32;64;-6.10470897;-1.793438
1.78592306;3683;14140;-1;527;98;119;9;14;0;0;4;16;0;1;2;32;64;-6.06666667;-1.783333
1.78995206;3686;14141;-1;533;97;119;9;14;0;0;4;16;0;1;2;32;64;-5.95253976;-1.753018
1.80592206;3686;14141;-1;540;97;119;7;14;0;0;4;16;0;1;2;32;64;-5.95253976;-1.753018
1.80995206;3687;14141;-1;551;97;119;10;14;0;0;4;16;0;1;2;32;64;-5.91449745;-1.742913
1.82592106;3692;14144;-1;561;97;119;10;14;0;0;4;16;0;1;2;32;64;-5.72428593;-1.692388
1.82996406;3693;14144;-1;570;97;119;6;14;0;0;4;16;0;1;2;32;64;-5.68624363;-1.682283
1.84592706;3693;14141;-1;582;97;119;6;14;0;0;4;16;0;1;2;32;64;-5.68624363;-1.682283
1.84995206;3698;14142;-1;595;96;119;9;14;0;0;4;16;0;1;2;32;64;-5.49603211;-1.631759
1.86592306;3699;14145;-1;603;96;119;10;14;0;0;4;16;0;1;2;32;64;-5.45798981;-1.621654
1.86995306;3700;14143;-1;611;96;119;11;14;0;0;4;16;0;1;2;32;64;-5.41994751;-1.611549
1.88592406;3702;14142;-1;617;96;119;6;14;0;0;4;16;0;1;2;32;64;-5.34386290;-1.591339
1.88995406;3701;14145;-1;622;96;119;7;14;0;0;4;16;0;1;2;32;64;-5.38190520;-1.601444
1.90592406;3707;14144;-1;628;96;119;5;14;0;0;4;16;0;1;2;32;64;-5.15365138;-1.540814
1.90995306;3707;14144;-1;635;95;119;4;14;0;0;4;16;0;1;2;32;64;-5.15365138;-1.540814
1.92592306;3712;14146;-1;640;95;119;4;14;0;0;4;16;0;1;2;32;64;-4.96343986;-1.490289
1.92999006;3713;14147;-1;645;95;119;7;14;0;0;4;16;0;1;2;32;64;-4.92539756;-1.480184
1.94592206;3713;14144;-1;649;95;119;7;14;0;0;4;16;0;1;2;32;64;-4.92539756;-1.480184
1.94996506;3719;14147;-1;651;94;120;4;14;0;0;0;16;8;0;0;32;64;-4.69714374;-1.419554
1.96592506;3717;14147;-1;654;94;120;7;14;0;0;0;16;8;0;0;32;64;-4.77322835;-1.439764
1.96995406;3721;14146;-1;658;94;119;5;14;0;0;4;16;0;1;2;32;64;-4.62105913;-1.399344
1.98592506;3722;14146;-1;659;93;119;5;14;0;0;4;16;0;1;2;32;64;-4.58301683;-1.389239
1.98995306;3725;14150;-1;662;93;119;6;14;0;0;4;16;0;1;2;32;64;-4.46888992;-1.358924
2.00592506;3726;14148;-1;665;93;119;5;14;0;0;4;16;0;1;2;32;64;-4.43084761;-1.348819
2.00995406;3726;14148;-1;669;93;119;5;14;0;0;4;16;0;1;2;32;64;-4.43084761;-1.348819
2.02592406;3729;14150;-1;672;92;119;5;14;0;0;4;16;0;1;2;32;64;-4.31672070;-1.318504
2.02995406;3729;14149;-1;675;92;119;4;14;0;0;4;16;0;1;2;32;64;-4.31672070;-1.318504
2.04592506;3731;14148;-1;676;92;119;7;14;0;0;4;16;0;1;2;32;64;-4.24063610;-1.298294
2.04996406;3736;14150;-1;677;92;120;6;14;0;0;0;16;8;0;0;32;64;-4.05042458;-1.247769
2.06592906;3734;14152;-1;679;92;119;4;14;0;0;4;16;0;1;2;32;64;-4.12650919;-1.267979
2.06995306;3736;14149;-1;682;92;119;7;14;0;0;4;16;0;1;2;32;64;-4.05042458;-1.247769
2.08592706;3737;14150;-1;683;92;119;6;14;0;0;4;16;0;1;2;32;64;-4.01238228;-1.237664
2.08995306;3736;14154;-1;685;91;119;6;14;0;0;4;16;0;1;2;32;64;-4.05042458;-1.247769
2.10592506;3740;14150;-1;687;91;119;4;14;0;0;4;16;0;1;2;32;64;-3.89825537;-1.207349
2.10995506;3740;14149;-1;688;91;119;5;14;0;0;4;16;0;1;2;32;64;-3.89825537;-1.207349
2.12592506;3742;14153;-1;689;91;119;6;14;0;0;4;16;0;1;2;32;64;-3.82217076;-1.187139
2.12995506;3743;14153;-1;690;91;119;2;14;0;0;4;16;0;1;2;32;64;-3.78412845;-1.177034
2.14592406;3745;14151;-1;692;91;119;0;14;0;0;4;16;0;1;2;32;64;-3.70804385;-1.156824
2.15001006;3752;14152;-1;693;91;119;1;14;0;0;4;16;0;1;2;32;64;-3.44174772;-1.086089
2.16592306;3754;14154;-1;693;91;119;1;14;0;0;4;16;0;1;2;32;64;-3.36566312;-1.065879
2.16996306;3754;14152;-1;694;90;119;2;14;0;0;4;16;0;1;2;32;64;-3.36566312;-1.065879
2.18592706;3759;14153;-1;696;90;119;2;14;0;0;4;16;0;1;2;32;64;-3.17545160;-1.015354
2.18995706;3761;14156;0;697;90;119;3;14;0;0;4;16;0;1;2;32;64;-3.09936699;-0.995144
2.20592606;3762;14153;0;699;90;119;2;14;0;0;4;16;0;1;2;32;64;-3.06132469;-0.985039
2.20995506;3768;14153;0;701;90;119;1;14;0;0;4;16;0;1;2;32;64;-2.83307087;-0.924409
2.22596806;3770;14156;0;702;89;119;0;14;0;0;4;16;0;1;2;32;64;-2.75698626;-0.904199
2.22996506;3773;14154;0;702;89;119;12;14;0;0;4;16;0;1;2;32;64;-2.64285935;-0.873885
2.24592606;3772;14155;0;702;89;119;0;14;0;0;4;16;0;1;2;32;64;-2.68090165;-0.883990
2.24995506;3778;14156;0;703;89;119;12;14;0;0;4;16;0;1;2;32;64;-2.45264783;-0.823360
2.26592406;3776;14155;0;704;89;119;15;14;0;0;4;16;0;1;2;32;64;-2.52873244;-0.843570
2.26996106;3778;14153;0;706;89;119;13;14;0;0;4;16;0;1;2;32;64;-2.45264783;-0.823360
2.28593006;3782;14154;0;706;89;119;2;14;0;0;4;16;0;1;2;32;64;-2.30047862;-0.782940
2.28995306;3785;14157;0;708;89;119;15;14;0;0;4;16;0;1;2;32;64;-2.18635171;-0.752625
2.30592606;3787;14154;0;710;90;119;12;14;0;0;4;16;0;1;2;32;64;-2.11026710;-0.732415
2.30995506;3787;14156;0;712;90;119;12;14;0;0;4;16;0;1;2;32;64;-2.11026710;-0.732415
2.32838006;3792;14159;0;713;91;119;3;14;0;0;4;16;0;1;2;32;64;-1.92005558;-0.681890
2.33102206;3793;14155;0;714;92;119;15;14;0;0;4;16;0;1;2;32;64;-1.88201328;-0.671785
2.34592606;3794;14157;0;715;92;119;2;14;0;0;4;16;0;1;2;32;64;-1.84397097;-0.661680
2.34995706;3798;14158;0;716;93;119;13;14;0;0;4;16;0;1;2;32;64;-1.69180176;-0.621260
2.35796306;3801;14157;0;719;93;119;13;14;0;0;4;16;0;1;2;32;64;-1.57767485;-0.590945
2.37792606;3799;14156;0;722;93;119;14;14;0;0;4;16;0;1;2;32;64;-1.65375946;-0.611155
2.38195606;3801;14157;0;723;93;119;13;14;0;0;4;16;0;1;2;32;64;-1.57767485;-0.590945
2.39792506;3806;14159;0;725;92;119;15;14;0;0;4;16;0;1;2;32;64;-1.38746333;-0.540420
2.40198706;3807;14157;0;727;92;119;12;14;0;0;4;16;0;1;2;32;64;-1.34942103;-0.530315
2.41792506;3809;14157;0;728;92;119;1;14;0;0;4;16;0;1;2;32;64;-1.27333642;-0.510105
2.42196006;3812;14158;0;729;91;119;15;14;0;0;4;16;0;1;2;32;64;-1.15920951;-0.479790
2.43792706;3814;14156;0;730;91;119;15;14;0;0;4;16;0;1;2;32;64;-1.08312490;-0.459580
2.44195506;3815;14158;0;729;91;120;0;14;0;0;0;16;8;0;0;32;64;-1.04508260;-0.449475
2.45792706;3819;14159;0;730;91;120;3;14;0;0;0;16;8;0;0;32;64;-0.89291339;-0.409055
2.46195506;3820;14159;0;730;90;120;12;14;0;0;0;16;8;0;0;32;64;-0.85487108;-0.398950
2.47792806;3820;14157;0;731;90;120;13;14;0;0;0;16;8;0;0;32;64;-0.85487108;-0.398950
2.48195706;3823;14158;0;732;90;120;12;14;0;0;0;16;8;0;0;32;64;-0.74074417;-0.368635
2.49792706;3825;14160;0;733;90;120;14;14;0;0;0;16;8;0;0;32;64;-0.66465956;-0.348425
2.50195606;3824;14157;0;733;90;120;14;14;0;0;0;16;8;0;0;32;64;-0.70270187;-0.358530
2.51792506;3826;14157;0;734;90;120;14;14;0;0;0;16;8;0;0;32;64;-0.62661726;-0.338320
2.52196106;3827;14162;0;735;90;120;14;14;0;0;0;16;8;0;0;32;64;-0.58857496;-0.328215
2.53793306;3828;14157;0;736;90;120;14;14;0;0;0;16;8;0;0;32;64;-0.55053265;-0.318110
2.54195706;3830;14157;0;736;89;120;13;14;0;0;0;16;8;0;0;32;64;-0.47444805;-0.297900
2.55792806;3835;14160;0;736;89;120;12;14;0;0;0;16;8;0;0;32;64;-0.28423653;-0.247375
2.56195606;3838;14160;0;736;89;120;8;14;0;0;0;16;8;0;0;32;64;-0.17010962;-0.217060
2.57792706;3838;14159;0;736;89;120;14;14;0;0;0;16;8;0;0;32;64;-0.17010962;-0.217060
2.58195706;3840;14158;0;736;89;120;9;14;0;0;0;16;8;0;0;32;64;-0.09402501;-0.196850
2.59792706;3841;14160;0;737;89;120;10;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.60195506;3843;14158;0;737;89;120;10;14;0;0;0;16;8;0;0;32;64;0.02010190;-0.166535
2.61792706;3843;14161;0;737;89;120;12;14;0;0;0;16;8;0;0;32;64;0.02010190;-0.166535
2.62199306;3847;14163;0;737;89;120;12;14;0;0;0;16;8;0;0;32;64;0.17227111;-0.126115
2.63792706;3844;14160;0;737;89;120;8;14;0;0;0;16;8;0;0;32;64;0.05814420;-0.156430
2.64196606;3846;14160;0;737;88;120;12;14;0;0;0;16;8;0;0;32;64;0.13422881;-0.136220
2.65792906;3847;14162;0;737;88;120;12;14;0;0;0;16;8;0;0;32;64;0.17227111;-0.126115
2.66195906;3845;14159;0;740;88;120;10;14;0;0;0;16;8;0;0;32;64;0.09618651;-0.146325
2.67792906;3844;14160;0;741;88;120;12;14;0;0;0;16;8;0;0;32;64;0.05814420;-0.156430
2.68196006;3841;14160;0;742;88;120;15;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.69792806;3844;14161;0;743;88;120;15;14;0;0;0;16;8;0;0;32;64;0.05814420;-0.156430
2.70195706;3844;14159;0;744;88;120;14;14;0;0;0;16;8;0;0;32;64;0.05814420;-0.156430
2.71792806;3841;14160;0;744;88;120;14;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.72195806;3845;14162;0;744;88;120;13;14;0;0;0;16;8;0;0;32;64;0.09618651;-0.146325
2.73792806;3841;14160;0;744;88;120;14;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.74196806;3840;14158;0;744;89;120;12;14;0;0;0;16;8;0;0;32;64;-0.09402501;-0.196850
2.75793206;3843;14161;0;744;89;120;13;14;0;0;0;16;8;0;0;32;64;0.02010190;-0.166535
2.76195806;3841;14159;0;744;88;120;15;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.77793006;3842;14160;0;744;88;120;14;14;0;0;0;16;8;0;0;32;64;-0.01794040;-0.176640
2.78195806;3843;14162;0;744;88;120;13;14;0;0;0;16;8;0;0;32;64;0.02010190;-0.166535
2.79793006;3842;14160;0;743;88;120;8;14;0;0;0;16;8;0;0;32;64;-0.01794040;-0.176640
2.80196106;3841;14160;0;743;88;120;12;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.81792906;3841;14159;0;743;88;120;15;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.82195806;3845;14160;0;744;88;120;12;14;0;0;0;16;8;0;0;32;64;0.09618651;-0.146325
2.83792706;3839;14159;0;744;88;120;14;14;0;0;0;16;8;0;0;32;64;-0.13206732;-0.206955
2.84196806;3841;14158;0;744;89;120;15;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.85794206;3844;14161;0;744;89;120;15;14;0;0;0;16;8;0;0;32;64;0.05814420;-0.156430
2.86195606;3841;14160;0;745;89;120;12;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.87792906;3840;14159;0;745;89;120;12;14;0;0;0;16;8;0;0;32;64;-0.09402501;-0.196850
2.88195706;3841;14162;0;746;89;120;15;14;0;0;0;16;8;0;0;32;64;-0.05598271;-0.186745
2.89792906;3843;14159;0;745;89;120;15;14;0;0;0;16;8;0;0;32;64;0.02010190;-0.166535
2.90195806;3842;14159;0;746;89;120;15;14;0;0;0;16;8;0;0;32;64;-0.01794040;-0.176640
