Experiment parameters :
Instruction;2. Speed emphasis
Block number;5
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.96712592;4060;14332;0;156;82;107;14;14;0;0;0;0;8;1;2;32;64;-3.01883588;-0.973753
0.98710192;4067;14336;0;166;81;107;0;14;0;0;0;0;8;1;2;32;64;-2.75253976;-0.903018
0.99112592;4071;14334;0;324;81;107;1;14;0;0;0;0;8;1;2;32;64;-2.60037054;-0.862598
1.00710192;4069;14335;0;390;81;107;2;14;0;0;0;0;8;1;2;32;64;-2.67645515;-0.882808
1.01112592;4078;14337;0;441;80;107;1;14;0;0;0;0;8;1;2;32;64;-2.33407442;-0.791864
1.02710192;4078;14341;0;486;80;107;2;14;0;0;0;0;8;1;2;32;64;-2.33407442;-0.791864
1.03112492;4079;14336;0;517;80;107;13;14;0;0;0;0;8;1;2;32;64;-2.29603211;-0.781759
1.04710292;4079;14338;0;547;80;107;3;14;0;0;0;0;8;1;2;32;64;-2.29603211;-0.781759
1.05112592;4087;14345;0;582;79;107;1;14;0;0;0;0;8;1;2;32;64;-1.99169369;-0.700919
1.06710092;4088;14348;0;628;79;107;1;14;0;0;0;0;8;1;2;32;64;-1.95365138;-0.690814
1.07113192;4089;14348;0;657;79;107;2;14;0;0;0;0;8;1;2;32;64;-1.91560908;-0.680709
1.08710792;4096;14353;0;669;78;107;2;14;0;0;0;0;8;1;2;32;64;-1.64931295;-0.609974
1.09112792;4098;14353;0;676;78;107;3;14;0;0;0;0;8;1;2;32;64;-1.57322835;-0.589764
1.10710392;4098;14350;0;677;77;107;1;14;0;0;0;0;8;1;2;32;64;-1.57322835;-0.589764
1.11112692;4100;14356;0;681;77;107;2;14;0;0;0;0;8;1;2;32;64;-1.49714374;-0.569554
1.12710392;4103;14357;0;690;77;107;7;14;0;0;0;0;8;1;2;32;64;-1.38301683;-0.539239
