Experiment parameters :
Instruction;2. Speed emphasis
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.81790900;3838;14184;0;818;92;98;0;14;0;0;0;0;0;0;2;32;64;-0.17010962;-0.217060
1.83388500;3837;14177;0;878;91;96;4;14;0;0;0;0;0;0;0;32;64;-0.20815192;-0.227165
1.83790700;3844;14185;0;873;89;95;6;14;0;0;4;16;8;1;2;0;64;0.05814420;-0.156430
1.85388600;3846;14188;0;868;88;94;5;14;0;0;4;16;8;0;2;0;64;0.13422881;-0.136220
1.85791100;3848;14190;0;851;87;92;5;14;0;0;4;16;8;0;0;0;64;0.21031342;-0.116010
1.87388500;3848;14190;0;847;86;91;7;14;0;0;0;16;8;1;2;0;64;0.21031342;-0.116010
1.87791100;3852;14194;0;848;85;90;7;14;0;0;0;16;8;0;2;0;64;0.36248263;-0.075591
1.89388400;3856;14194;0;853;85;89;5;14;0;0;0;16;8;1;0;0;64;0.51465184;-0.035171
1.91388400;3858;14194;0;856;84;89;11;14;0;0;0;16;8;1;0;0;64;0.59073645;-0.014961
1.91791300;3862;14198;0;860;84;89;11;14;0;0;0;16;8;1;0;0;64;0.74290567;0.025459
1.93388800;3862;14197;0;864;84;89;7;14;0;0;0;16;8;1;0;0;64;0.74290567;0.025459
1.93704400;3862;14196;0;866;84;89;5;14;0;0;0;16;8;1;0;0;64;0.74290567;0.025459
1.95388800;3865;14198;0;870;84;89;7;14;0;0;0;16;8;1;0;0;64;0.85703258;0.055774
1.95791000;3868;14198;0;873;83;89;5;14;0;0;0;16;8;1;0;0;64;0.97115949;0.086089
1.97388700;3869;14196;0;875;83;89;7;14;0;0;0;16;8;1;0;0;64;1.00920179;0.096194
1.97791000;3869;14198;0;878;83;89;8;14;0;0;0;16;8;1;0;0;64;1.00920179;0.096194
1.99388500;3872;14198;0;883;83;89;5;14;0;0;0;16;8;1;0;0;64;1.12332870;0.126509
1.99790300;3876;14194;0;888;83;89;7;14;0;0;0;16;8;1;0;0;64;1.27549792;0.166929
2.01388300;3877;14196;0;892;83;89;4;14;0;0;0;16;8;1;0;0;64;1.31354022;0.177034
2.01791100;3880;14198;0;898;82;89;7;14;0;0;0;16;8;1;0;0;64;1.42766713;0.207349
2.03388700;3883;14196;0;903;82;89;5;14;0;0;0;16;8;1;0;0;64;1.54179404;0.237664
2.03790800;3883;14195;0;907;82;89;4;14;0;0;0;16;8;1;0;0;64;1.54179404;0.237664
2.05388700;3888;14197;0;910;82;89;4;14;0;0;0;16;8;1;0;0;64;1.73200556;0.288189
2.05790700;3891;14197;0;913;81;90;4;14;0;0;0;16;8;0;2;0;64;1.84613247;0.318504
2.07388700;3891;14194;0;916;81;90;7;14;0;0;0;16;8;0;2;0;64;1.84613247;0.318504
2.07790900;3895;14195;0;919;81;90;4;14;0;0;0;16;8;0;2;0;64;1.99830168;0.358924
2.09388700;3899;14196;0;920;81;90;4;14;0;0;0;16;8;0;2;0;64;2.15047090;0.399344
2.09790800;3899;14195;0;924;80;90;7;14;0;0;0;16;8;0;2;0;64;2.15047090;0.399344
2.11388500;3902;14194;0;928;80;90;5;14;0;0;0;16;8;0;2;0;64;2.26459781;0.429659
2.11791400;3905;14197;0;932;80;90;5;14;0;0;0;16;8;0;2;0;64;2.37872472;0.459974
2.13389200;3910;14197;0;937;79;90;7;14;0;0;0;16;8;0;2;0;64;2.56893624;0.510499
2.13790900;3909;14195;0;940;79;89;5;14;0;0;0;16;8;1;0;0;64;2.53089393;0.500394
2.15388800;3911;14199;0;945;79;89;6;14;0;0;0;16;8;1;0;0;64;2.60697854;0.520604
2.15790800;3912;14200;0;952;79;89;6;14;0;0;0;16;8;1;0;0;64;2.64502084;0.530709
2.17388700;3911;14196;0;982;78;89;7;14;0;0;0;16;8;1;0;0;64;2.60697854;0.520604
2.17790800;3920;14199;0;1013;78;89;4;14;0;0;0;16;8;1;0;0;64;2.94935927;0.611549
2.19388700;3990;14207;1;1018;78;89;6;14;0;0;0;16;8;1;0;0;64;5.61232052;1.318898
2.19790900;4332;14187;4;1023;79;89;7;14;0;0;0;16;8;1;0;0;64;18.62278833;4.774803
2.21388500;4957;14179;11;1023;79;89;11;14;0;0;0;16;8;1;0;0;64;42.39922804;11.090420
2.21790400;5817;14175;19;1023;78;89;11;14;0;0;0;16;8;1;0;0;64;75.11560908;19.780709
2.23388500;6902;14162;30;1023;78;89;8;14;0;0;0;16;8;1;0;0;64;116.39150841;30.744619
2.23791200;8157;14144;43;1023;77;89;8;14;0;0;0;16;8;1;0;0;64;164.13459935;43.426378
2.25388800;9488;14128;56;1023;76;89;8;14;0;0;0;16;8;1;0;0;64;214.76890536;56.876115
2.25790900;10902;14136;71;1023;74;88;14;14;0;0;0;16;8;0;0;0;64;268.56072256;71.164567
