Experiment parameters :
Instruction;Speed emphasis
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.45396107;4894;14752;10;449;92;107;9;14;0;0;0;0;8;1;2;32;64;40.00256291;10.453806
0.46596807;4701;14638;8;475;92;107;14;14;0;0;0;0;8;1;2;32;64;32.66039833;8.503543
0.47396107;4586;14571;7;480;92;107;13;14;0;0;0;0;8;1;2;32;64;28.28553343;7.341470
0.48596807;4477;14515;6;485;92;107;14;14;0;0;0;0;8;1;2;32;64;24.13892234;6.240026
0.49396907;4361;14482;5;486;92;106;14;14;0;0;0;0;8;0;2;32;64;19.72601513;5.067848
0.50596307;4228;14469;3;485;92;105;3;14;0;0;0;0;8;1;0;32;64;14.66638876;3.723885
0.51396907;4076;14469;2;484;91;104;12;14;0;0;0;0;8;0;0;32;64;8.88395862;2.187927
0.52596207;3926;14457;0;485;91;105;15;14;0;0;0;0;8;1;0;32;64;3.17761309;0.672178
0.53396807;3789;14425;0;486;92;105;3;14;0;0;0;0;8;1;0;32;64;-2.03418249;-0.712205
0.54596907;3769;14372;0;657;93;105;1;14;0;0;0;0;8;1;0;32;64;-2.79502856;-0.914304
0.55396407;3792;14400;0;716;93;105;1;14;0;0;0;0;8;1;0;32;64;-1.92005558;-0.681890
0.56596907;3793;14397;0;720;94;105;0;14;0;0;0;0;8;1;0;32;64;-1.88201328;-0.671785
0.57396307;3795;14401;0;729;94;104;1;14;0;0;0;0;8;0;0;32;64;-1.80592867;-0.651575
0.58596807;3798;14405;0;742;94;104;0;14;0;0;0;0;8;0;0;32;64;-1.69180176;-0.621260
0.59397007;3798;14404;0;762;95;104;2;14;0;0;0;0;8;0;0;32;64;-1.69180176;-0.621260
0.60596207;3799;14401;0;782;95;104;1;14;0;0;0;0;8;0;0;32;64;-1.65375946;-0.611155
0.61396807;3800;14402;0;806;95;104;0;14;0;0;0;0;8;0;0;32;64;-1.61571715;-0.601050
0.62596107;3801;14404;0;832;94;104;2;14;0;0;0;0;8;0;0;32;64;-1.57767485;-0.590945
0.63396907;3799;14402;0;846;94;103;2;14;0;0;4;0;0;1;2;32;64;-1.65375946;-0.611155
