Experiment parameters :
Instruction;Accuracy emphasis
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.50595194;3825;15037;0;431;96;103;1;14;0;0;4;0;0;1;2;32;64;-0.66465956;-0.348425
0.51796094;3823;14836;0;570;96;101;6;14;0;0;4;0;0;1;0;32;64;-0.74074417;-0.368635
0.52996294;3798;14636;0;544;96;100;9;14;0;0;4;0;0;0;0;32;64;-1.69180176;-0.621260
0.53795394;3798;14506;0;573;96;99;11;14;0;0;0;0;0;1;2;32;64;-1.69180176;-0.621260
0.54996094;3798;14446;0;578;95;98;10;14;0;0;0;0;0;0;2;32;64;-1.69180176;-0.621260
0.55795494;3804;14395;0;572;95;98;9;14;0;0;0;0;0;0;2;32;64;-1.46354794;-0.560630
0.56995994;3799;14389;0;635;95;98;10;14;0;0;0;0;0;0;2;32;64;-1.65375946;-0.611155
0.57795294;3806;14407;0;646;94;98;9;14;0;0;0;0;0;0;2;32;64;-1.38746333;-0.540420
0.58996194;3806;14407;0;655;94;98;9;14;0;0;0;0;0;0;2;32;64;-1.38746333;-0.540420
0.59797194;3806;14410;0;668;94;98;9;14;0;0;0;0;0;0;2;32;64;-1.38746333;-0.540420
0.60995494;3806;14406;0;675;94;99;8;14;0;0;0;0;0;1;2;32;64;-1.38746333;-0.540420
0.61796194;3804;14408;0;684;93;98;8;14;0;0;0;0;0;0;2;32;64;-1.46354794;-0.560630
0.62996294;3809;14412;0;699;93;98;8;14;0;0;0;0;0;0;2;32;64;-1.27333642;-0.510105
0.63792194;3808;14409;0;728;93;98;10;14;0;0;0;0;0;0;2;32;64;-1.31137872;-0.520210
0.64996694;3806;14407;0;761;93;98;8;14;0;0;0;0;0;0;2;32;64;-1.38746333;-0.540420
0.65795394;3806;14409;0;790;92;98;10;14;0;0;0;0;0;0;2;32;64;-1.38746333;-0.540420
0.66996094;3808;14410;0;811;92;98;11;14;0;0;0;0;0;0;2;32;64;-1.31137872;-0.520210
0.67795394;3805;14404;0;821;92;98;10;14;0;0;0;0;0;0;2;32;64;-1.42550564;-0.550525
0.68995994;3807;14409;0;829;92;98;10;14;0;0;0;0;0;0;2;32;64;-1.34942103;-0.530315
0.69796194;3809;14409;0;828;92;98;10;14;0;0;0;0;0;0;2;32;64;-1.27333642;-0.510105
0.70995394;3807;14409;0;828;92;98;7;14;0;0;0;0;0;0;2;32;64;-1.34942103;-0.530315
0.71796094;3810;14406;0;827;92;99;6;14;0;0;0;0;0;1;2;32;64;-1.23529412;-0.500000
0.72996194;3810;14409;0;826;92;99;10;14;0;0;0;0;0;1;2;32;64;-1.23529412;-0.500000
0.73795494;3814;14410;0;831;92;99;6;14;0;0;0;0;0;1;2;32;64;-1.08312490;-0.459580
0.74997894;3813;14405;0;830;91;99;7;14;0;0;0;0;0;1;2;32;64;-1.12116721;-0.469685
