Experiment parameters :
Instruction;Full accuracy
Block number;5
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.40594610;3849;14423;0;626;90;97;5;14;0;0;0;0;0;1;0;32;64;0.24835572;-0.105906
0.41795410;3849;14426;0;654;89;96;8;14;0;0;0;0;0;0;0;32;64;0.24835572;-0.105906
0.42595110;3849;14428;0;663;88;96;9;14;0;0;0;0;0;0;0;32;64;0.24835572;-0.105906
0.43795710;3848;14427;0;669;87;95;9;14;0;0;4;16;8;1;2;0;64;0.21031342;-0.116010
0.44595110;3845;14427;0;675;86;95;10;14;0;0;4;16;8;1;2;0;64;0.09618651;-0.146325
0.45795610;3846;14426;0;678;86;95;9;14;0;0;4;16;8;1;2;0;64;0.13422881;-0.136220
0.46596010;3848;14428;0;681;85;95;9;14;0;0;4;16;8;1;2;0;64;0.21031342;-0.116010
0.47795110;3846;14424;0;682;85;95;9;14;0;0;4;16;8;1;2;0;64;0.13422881;-0.136220
0.48595610;3844;14426;0;682;86;95;8;14;0;0;4;16;8;1;2;0;64;0.05814420;-0.156430
0.49795710;3845;14427;0;686;86;95;10;14;0;0;4;16;8;1;2;0;64;0.09618651;-0.146325
0.50595110;3845;14426;0;696;86;95;8;14;0;0;4;16;8;1;2;0;64;0.09618651;-0.146325
0.51795610;3843;14425;0;716;86;94;8;14;0;0;4;16;8;0;2;0;64;0.02010190;-0.166535
0.52595210;3843;14426;0;729;86;94;10;14;0;0;4;16;8;0;2;0;64;0.02010190;-0.166535
0.53795810;3846;14428;0;738;86;94;9;14;0;0;4;16;8;0;2;0;64;0.13422881;-0.136220
0.54595210;3844;14425;0;739;86;94;11;14;0;0;4;16;8;0;2;0;64;0.05814420;-0.156430
0.55795710;3845;14426;0;732;86;94;9;14;0;0;4;16;8;0;2;0;64;0.09618651;-0.146325
