Experiment parameters :
Instruction;3. Speed/accuracy balance
Block number;3
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
0.59908692;4160;14404;0;485;82;127;8;14;0;0;4;16;8;1;2;32;64;0.78539447;0.036745
0.61506092;4091;14346;0;624;82;127;12;14;0;0;4;16;8;1;2;32;64;-1.83952447;-0.660499
0.61908592;4044;14284;-1;675;82;127;12;14;0;0;4;16;8;1;2;32;64;-3.62751274;-1.135433
0.63506092;4068;14256;0;840;81;127;2;14;0;0;4;16;8;1;2;32;64;-2.71449745;-0.892913
0.63908392;4064;14253;0;879;81;127;15;14;0;0;4;16;8;1;2;32;64;-2.86666667;-0.933333
0.65505992;4069;14255;0;918;80;127;13;14;0;0;4;16;8;1;2;32;64;-2.67645515;-0.882808
0.65908392;4072;14255;0;947;80;127;0;14;0;0;4;16;8;1;2;32;64;-2.56232824;-0.852493
0.67505892;4074;14252;0;973;79;127;12;14;0;0;4;16;8;1;2;32;64;-2.48624363;-0.832283
0.67908992;4076;14255;0;995;79;127;2;14;0;0;4;16;8;1;2;32;64;-2.41015902;-0.812073
0.69506592;4081;14257;0;1011;79;127;13;14;0;0;4;16;8;1;2;32;64;-2.21994751;-0.761549
0.69908492;4080;14252;0;1019;79;127;12;14;0;0;4;16;8;1;2;32;64;-2.25798981;-0.771654
0.71506192;4081;14254;0;1021;78;127;12;14;0;0;4;16;8;1;2;32;64;-2.21994751;-0.761549
0.71908492;4081;14256;0;1017;78;127;14;14;0;0;4;16;8;1;2;32;64;-2.21994751;-0.761549
0.73506192;4075;14251;0;969;78;127;12;14;0;0;4;16;8;1;2;32;64;-2.44820133;-0.822178
0.73908592;4072;14252;0;905;78;127;0;14;0;0;4;16;8;1;2;32;64;-2.56232824;-0.852493
0.75506092;4070;14253;0;864;78;127;0;14;0;0;4;16;8;1;2;32;64;-2.63841285;-0.872703
0.75908492;4066;14252;0;843;79;127;0;14;0;0;4;16;8;1;2;32;64;-2.79058206;-0.913123
0.77505892;4065;14252;0;838;79;127;3;14;0;0;4;16;8;1;2;32;64;-2.82862436;-0.923228
0.77909292;4068;14255;0;835;79;127;2;14;0;0;4;16;8;1;2;32;64;-2.71449745;-0.892913
0.79511792;4072;14254;0;840;79;127;0;14;0;0;4;16;8;1;2;32;64;-2.56232824;-0.852493
0.79908692;4072;14252;0;869;79;127;1;14;0;0;4;16;8;1;2;32;64;-2.56232824;-0.852493
0.81506192;4079;14256;0;914;79;127;1;14;0;0;4;16;8;1;2;32;64;-2.29603211;-0.781759
0.81908492;4085;14257;0;963;79;127;2;14;0;0;4;16;8;1;2;32;64;-2.06777829;-0.721129
0.83506192;4087;14252;0;1008;79;127;1;14;0;0;4;16;8;1;2;32;64;-1.99169369;-0.700919
0.83908592;4093;14255;0;1023;78;127;12;14;0;0;4;16;8;1;2;32;64;-1.76343986;-0.640289
0.85506192;4099;14256;0;1023;78;127;14;14;0;0;4;16;8;1;2;32;64;-1.53518604;-0.579659
0.85908492;4098;14251;0;1023;78;127;12;14;0;0;4;16;8;1;2;32;64;-1.57322835;-0.589764
0.87505992;4103;14253;0;1023;77;127;15;14;0;0;4;16;8;1;2;32;64;-1.38301683;-0.539239
0.87908992;4108;14256;0;1023;77;127;14;14;0;0;4;16;8;1;2;32;64;-1.19280531;-0.488714
0.89519492;4108;14252;0;1023;76;127;15;14;0;0;4;16;8;1;2;32;64;-1.19280531;-0.488714
0.89908692;4113;14250;0;1023;76;127;15;14;0;0;4;16;8;1;2;32;64;-1.00259379;-0.438189
0.91506292;4116;14254;0;1023;76;127;12;14;0;0;4;16;8;1;2;32;64;-0.88846688;-0.407874
0.91908592;4119;14250;0;1023;75;127;15;14;0;0;4;16;8;1;2;32;64;-0.77433997;-0.377559
0.93506292;4121;14250;0;1023;75;127;12;14;0;0;4;16;8;1;2;32;64;-0.69825537;-0.357349
0.93908592;4126;14252;0;1023;75;127;15;14;0;0;4;16;8;1;2;32;64;-0.50804385;-0.306824
0.95506192;4131;14251;0;1023;74;127;12;14;0;0;4;16;8;1;2;32;64;-0.31783233;-0.256299
0.95914092;4130;14250;0;1023;74;127;15;14;0;0;4;16;8;1;2;32;64;-0.35587463;-0.266404
0.97506492;4136;14253;0;1023;74;127;13;14;0;0;4;16;8;1;2;32;64;-0.12762081;-0.205774
0.97908292;4139;14254;0;1023;73;127;12;14;0;0;4;16;8;1;2;32;64;-0.01349390;-0.175459
0.99506092;4136;14250;0;1023;73;127;13;14;0;0;4;16;8;1;2;32;64;-0.12762081;-0.205774
0.99909092;4141;14253;0;1023;73;127;14;14;0;0;4;16;8;1;2;32;64;0.06259071;-0.155249
1.01506392;4147;14256;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.29084453;-0.094619
1.01908592;4146;14252;0;1023;72;127;14;14;0;0;4;16;8;1;2;32;64;0.25280222;-0.104724
1.03506392;4149;14253;0;1023;72;127;12;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.03908892;4155;14255;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.59518296;-0.013780
1.05506292;4154;14252;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.55714065;-0.023885
1.05908692;4158;14253;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;0.70930987;0.016535
1.07506192;4164;14257;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.07908792;4164;14251;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.93756369;0.077165
1.08709192;4162;14253;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.10706392;4162;14255;0;1023;70;127;12;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.11108692;4162;14253;0;1023;70;127;12;14;0;0;4;16;8;1;2;32;64;0.86147908;0.056955
1.12706592;4155;14252;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.59518296;-0.013780
1.13108292;4157;14252;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.67126756;0.006430
1.14706192;4154;14253;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.55714065;-0.023885
1.15109192;4151;14250;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.16706792;4151;14252;0;1023;70;127;14;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.17108692;4152;14253;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.48105604;-0.044094
1.18706392;4148;14249;0;1023;70;127;13;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.19108792;4148;14252;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.20706292;4149;14254;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.21108892;4149;14251;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.22706392;4149;14253;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.23108892;4151;14257;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.24706292;4149;14252;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.25109292;4148;14253;0;1023;71;127;12;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.26706992;4150;14257;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.40497144;-0.064304
1.27108892;4148;14256;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.28706592;4146;14255;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.25280222;-0.104724
1.29108792;4149;14258;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.30706492;4149;14256;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.36692913;-0.074409
1.31108792;4146;14254;0;1023;71;127;14;14;0;0;4;16;8;1;2;32;64;0.25280222;-0.104724
1.32706492;4150;14255;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.40497144;-0.064304
1.33108792;4150;14257;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.40497144;-0.064304
1.34706292;4148;14254;0;1023;71;127;15;14;0;0;4;16;8;1;2;32;64;0.32888683;-0.084514
1.35109592;4152;14256;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.48105604;-0.044094
1.36720592;4151;14258;0;1023;71;127;13;14;0;0;4;16;8;1;2;32;64;0.44301374;-0.054199
1.37109092;4145;14254;0;1023;71;126;13;14;0;0;4;16;8;0;2;32;64;0.21475992;-0.114829
1.38706592;4140;14256;0;1023;71;126;14;14;0;0;4;16;8;0;2;32;64;0.02454840;-0.165354
1.39108792;4141;14258;0;1023;72;126;14;14;0;0;4;16;8;0;2;32;64;0.06259071;-0.155249
1.40706592;4167;14253;0;1023;72;126;14;14;0;0;4;16;8;0;2;32;64;1.05169060;0.107480
1.41108892;4299;14249;1;1023;73;126;3;14;0;0;4;16;8;0;2;32;64;6.07327466;1.441339
1.42706492;4596;14248;4;1023;73;126;2;14;0;0;4;16;8;0;2;32;64;17.37183881;4.442520
1.43108792;5017;14242;8;1023;73;126;2;14;0;0;4;16;8;0;2;32;64;33.38764860;8.696719
1.44706392;5560;14233;14;1023;73;126;11;14;0;0;4;16;8;0;2;32;64;54.04461942;14.183727
1.45109392;6193;14233;20;1023;73;125;9;14;0;0;4;16;8;1;0;32;64;78.12539756;20.580184
1.46719392;6888;14228;27;1023;72;125;9;14;0;0;4;16;8;1;0;32;64;104.56479852;27.603150
1.47108892;7582;14228;34;1023;71;125;12;14;0;0;4;16;8;1;0;32;64;130.96615717;34.616010
1.48706492;8307;14235;41;1023;70;125;13;14;0;0;4;16;8;1;0;32;64;158.54682723;41.942126
1.49108992;9073;14239;49;1023;69;125;15;14;0;0;4;16;8;1;0;32;64;187.68723174;49.682546
1.50706592;9812;14237;57;1023;68;124;13;14;0;0;4;16;8;0;0;32;64;215.80049406;57.150131
1.51108892;10577;14243;64;1023;67;124;2;14;0;0;4;16;8;0;0;32;64;244.90285626;64.880446
1.52706592;11351;14249;72;1023;66;124;3;14;0;0;4;16;8;0;0;32;64;274.34759920;72.701706
1.53108992;12127;14247;80;1023;65;124;1;14;0;0;4;16;8;0;0;32;64;303.86842674;80.543176
1.54706392;13602;14264;95;1023;64;124;3;14;0;0;4;16;8;0;0;32;64;359.98082446;95.448031
1.56706292;14309;14265;102;1023;64;124;2;14;0;0;4;16;8;0;0;32;64;386.87673306;102.592257
1.57109392;14950;14269;109;1023;64;124;3;14;0;0;4;16;8;0;0;32;64;411.26184962;109.069554
1.58706692;15563;14276;115;1023;63;124;13;14;0;0;4;16;8;0;0;32;64;434.58178169;115.263911
1.59108992;16121;14278;120;1023;63;124;13;14;0;0;4;16;8;0;0;32;64;455.80938706;120.902493
1.60706592;16608;14279;125;1023;62;125;15;14;0;0;4;16;8;1;0;32;64;474.33598888;125.823622
1.61108992;17037;14284;130;1023;61;125;12;14;0;0;4;16;8;1;0;32;64;490.65613710;130.158661
1.62706592;17382;14285;133;1023;61;125;15;14;0;0;4;16;8;1;0;32;64;503.78073182;133.644882
1.63108992;17639;14285;136;1023;60;125;13;14;0;0;4;16;8;1;0;32;64;513.55760383;136.241864
1.64706592;17792;14288;137;1023;60;125;13;14;0;0;4;16;8;1;0;32;64;519.37807627;137.787927
1.65108892;17852;14289;138;1023;60;125;11;14;0;0;4;16;8;1;0;32;64;521.66061448;138.394226
1.66706392;17841;14285;138;1023;60;125;15;14;0;0;4;16;8;1;0;32;64;521.24214914;138.283071
1.67109492;17833;14284;138;1023;60;125;14;14;0;0;4;16;8;1;0;32;64;520.93781071;138.202231
1.68706892;17829;14285;138;1023;61;125;13;14;0;0;4;16;8;1;0;32;64;520.78564150;138.161811
1.69109092;17822;14279;138;1023;61;125;12;14;0;0;4;16;8;1;0;32;64;520.51934538;138.091076
1.70706692;17821;14278;138;1023;61;126;13;14;0;0;4;16;8;0;2;32;64;520.48130307;138.080971
1.71109092;17817;14281;138;1023;61;126;15;14;0;0;4;16;8;0;2;32;64;520.32913386;138.040551
1.72706792;17816;14277;138;1023;61;126;8;14;0;0;4;16;8;0;2;32;64;520.29109155;138.030446
1.73109192;17819;14276;138;1023;61;126;12;14;0;0;4;16;8;0;2;32;64;520.40521847;138.060761
1.74706692;17822;14281;138;1023;61;126;15;14;0;0;4;16;8;0;2;32;64;520.51934538;138.091076
1.75109092;17826;14277;138;1023;61;127;9;14;0;0;4;16;8;1;2;32;64;520.67151459;138.131496
1.76706492;17837;14278;138;1023;61;127;15;14;0;0;4;16;8;1;2;32;64;521.08997993;138.242651
1.77109592;17883;14283;138;1023;61;127;8;14;0;0;4;16;8;1;2;32;64;522.83992589;138.707480
1.78719292;17975;14281;139;1023;61;127;9;14;0;0;4;16;8;1;2;32;64;526.33981782;139.637139
1.79109092;18094;14277;140;1023;61;127;12;14;0;0;4;16;8;1;2;32;64;530.86685194;140.839633
1.80706792;18209;14282;142;1023;61;127;9;14;0;0;4;16;8;1;2;32;64;535.24171684;142.001706
1.81109092;18292;14283;142;1023;61;126;8;14;0;0;4;16;8;0;2;32;64;538.39922804;142.840420
1.82706792;18346;14277;143;1023;60;127;12;14;0;0;4;16;8;1;2;32;64;540.45351243;143.386089
1.83108992;18376;14279;143;1023;60;127;12;14;0;0;4;16;8;1;2;32;64;541.59478153;143.689239
1.84706792;18386;14278;143;1023;60;127;13;14;0;0;4;16;8;1;2;32;64;541.97520457;143.790289
1.85108992;18381;14274;143;1023;60;127;13;14;0;0;4;16;8;1;2;32;64;541.78499305;143.739764
1.86706592;18384;14277;143;1023;60;127;12;14;0;0;4;16;8;1;2;32;64;541.89911996;143.770079
1.88706492;18384;14271;143;1023;61;127;13;14;0;0;4;16;8;1;2;32;64;541.89911996;143.770079
