Experiment parameters :
Instruction;1. Full speed
Block number;4
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
3.15728303;3753;16351;-1;168;96;95;12;14;0;0;4;16;8;1;2;0;64;-3.40370542;-1.075984
3.18130403;3764;16301;0;253;94;94;7;14;0;0;4;16;8;0;2;0;64;-2.98524008;-0.964829
3.19728303;3763;16303;0;407;93;94;8;14;0;0;4;16;8;0;2;0;64;-3.02328238;-0.974934
3.20130403;3766;16305;0;422;93;93;8;14;0;0;4;16;8;1;0;0;64;-2.90915547;-0.944619
3.21728103;3764;16305;0;433;92;93;10;14;0;0;4;16;8;1;0;0;64;-2.98524008;-0.964829
3.22130603;3764;16305;0;478;92;93;9;14;0;0;4;16;8;1;0;0;64;-2.98524008;-0.964829
3.23728803;3767;16308;0;514;92;93;10;14;0;0;4;16;8;1;0;0;64;-2.87111317;-0.934514
3.24130403;3767;16307;0;540;92;92;10;14;0;0;4;16;8;0;0;0;64;-2.87111317;-0.934514
3.25728403;3767;16305;0;549;92;92;8;14;0;0;4;16;8;0;0;0;64;-2.87111317;-0.934514
3.26130303;3771;16307;0;559;91;92;8;14;0;0;4;16;8;0;0;0;64;-2.71894396;-0.894094
3.27728403;3773;16308;0;570;91;92;9;14;0;0;4;16;8;0;0;0;64;-2.64285935;-0.873885
3.28130403;3774;16306;0;581;91;92;11;14;0;0;4;16;8;0;0;0;64;-2.60481704;-0.863780
3.29728403;3773;16307;0;588;91;92;10;14;0;0;4;16;8;0;0;0;64;-2.64285935;-0.873885
3.30130403;3779;16311;0;595;91;92;10;14;0;0;4;16;8;0;0;0;64;-2.41460553;-0.813255
3.31728203;3782;16310;0;600;91;91;8;14;0;0;0;16;8;1;2;0;64;-2.30047862;-0.782940
3.32135203;3779;16309;0;608;90;91;11;14;0;0;0;16;8;1;2;0;64;-2.41460553;-0.813255
3.33728203;3781;16308;0;611;90;91;11;14;0;0;0;16;8;1;2;0;64;-2.33852092;-0.793045
3.34130803;3785;16310;0;613;90;91;10;14;0;0;0;16;8;1;2;0;64;-2.18635171;-0.752625
3.35728403;3785;16307;0;615;90;91;9;14;0;0;0;16;8;1;2;0;64;-2.18635171;-0.752625
3.36130403;3789;16311;0;618;90;91;10;14;0;0;0;16;8;1;2;0;64;-2.03418249;-0.712205
3.37728503;3792;16315;0;626;89;91;11;14;0;0;0;16;8;1;2;0;64;-1.92005558;-0.681890
3.38130503;3797;16313;0;643;89;91;10;14;0;0;0;16;8;1;2;0;64;-1.72984406;-0.631365
3.39728403;3797;16309;0;657;89;91;9;14;0;0;0;16;8;1;2;0;64;-1.72984406;-0.631365
3.40130603;3800;16313;0;673;88;91;9;14;0;0;0;16;8;1;2;0;64;-1.61571715;-0.601050
3.41728203;3805;16317;0;681;88;91;11;14;0;0;0;16;8;1;2;0;64;-1.42550564;-0.550525
3.42130403;3804;16315;0;686;87;91;10;14;0;0;0;16;8;1;2;0;64;-1.46354794;-0.560630
3.43728303;3806;16313;0;689;87;91;8;14;0;0;0;16;8;1;2;0;64;-1.38746333;-0.540420
3.44130903;3807;16316;0;692;86;91;11;14;0;0;0;16;8;1;2;0;64;-1.34942103;-0.530315
3.45728703;3808;16315;0;693;86;91;11;14;0;0;0;16;8;1;2;0;64;-1.31137872;-0.520210
3.46130603;3805;16315;0;695;86;92;8;14;0;0;4;16;8;0;0;0;64;-1.42550564;-0.550525
3.46930403;3808;16315;0;696;85;92;11;14;0;0;4;16;8;0;0;0;64;-1.31137872;-0.520210
3.48928303;3813;16317;0;697;85;92;11;14;0;0;4;16;8;0;0;0;64;-1.12116721;-0.469685
3.49330803;3810;16316;0;698;85;92;8;14;0;0;4;16;8;0;0;0;64;-1.23529412;-0.500000
3.50928403;3815;16315;0;700;85;92;11;14;0;0;4;16;8;0;0;0;64;-1.04508260;-0.449475
3.51330503;3816;16318;0;701;84;92;10;14;0;0;4;16;8;0;0;0;64;-1.00704030;-0.439370
3.52928503;3818;16318;0;702;84;92;10;14;0;0;4;16;8;0;0;0;64;-0.93095569;-0.419160
3.53330503;3816;16315;0;702;84;92;11;14;0;0;4;16;8;0;0;0;64;-1.00704030;-0.439370
3.54928503;3819;16317;0;702;84;92;9;14;0;0;4;16;8;0;0;0;64;-0.89291339;-0.409055
3.55330703;3822;16320;0;704;84;92;9;14;0;0;4;16;8;0;0;0;64;-0.77878648;-0.378740
3.56928303;3820;16317;0;706;84;92;4;14;0;0;4;16;8;0;0;0;64;-0.85487108;-0.398950
3.57356803;3821;16318;0;706;84;92;11;14;0;0;4;16;8;0;0;0;64;-0.81682878;-0.388845
3.58928203;3826;16320;0;707;84;92;5;14;0;0;4;16;8;0;0;0;64;-0.62661726;-0.338320
3.59331203;3827;16319;0;708;83;92;5;14;0;0;4;16;8;0;0;0;64;-0.58857496;-0.328215
3.60928703;3828;16318;0;708;83;92;4;14;0;0;4;16;8;0;0;0;64;-0.55053265;-0.318110
3.61331003;3826;16320;0;709;83;92;10;14;0;0;4;16;8;0;0;0;64;-0.62661726;-0.338320
3.62928603;3829;16321;0;709;83;92;11;14;0;0;4;16;8;0;0;0;64;-0.51249035;-0.308005
3.63330803;3831;16319;0;710;83;92;7;14;0;0;4;16;8;0;0;0;64;-0.43640574;-0.287795
3.64928503;3833;16318;0;711;83;92;5;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
3.65330703;3833;16322;0;713;83;92;8;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
3.66928603;3834;16320;0;715;83;92;8;14;0;0;4;16;8;0;0;0;64;-0.32227883;-0.257480
3.67330803;3833;16319;0;721;83;92;9;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
3.68928403;3834;16320;0;726;83;92;11;14;0;0;4;16;8;0;0;0;64;-0.32227883;-0.257480
3.69330903;3837;16322;0;730;82;92;8;14;0;0;4;16;8;0;0;0;64;-0.20815192;-0.227165
3.70929003;3836;16320;0;733;82;92;9;14;0;0;4;16;8;0;0;0;64;-0.24619423;-0.237270
3.71330903;3834;16319;0;736;82;92;10;14;0;0;4;16;8;0;0;0;64;-0.32227883;-0.257480
3.72928603;3837;16322;0;739;82;92;7;14;0;0;4;16;8;0;0;0;64;-0.20815192;-0.227165
3.73330703;3839;16323;0;741;82;92;7;14;0;0;4;16;8;0;0;0;64;-0.13206732;-0.206955
3.74928603;3840;16320;0;744;82;92;7;14;0;0;4;16;8;0;0;0;64;-0.09402501;-0.196850
3.75330703;3838;16320;0;745;82;92;11;14;0;0;4;16;8;0;0;0;64;-0.17010962;-0.217060
3.76928503;3839;16323;0;746;82;92;11;14;0;0;4;16;8;0;0;0;64;-0.13206732;-0.206955
3.77330703;3841;16323;0;746;82;92;5;14;0;0;4;16;8;0;0;0;64;-0.05598271;-0.186745
3.78928403;3840;16319;0;747;82;92;9;14;0;0;4;16;8;0;0;0;64;-0.09402501;-0.196850
3.79354003;3839;16323;0;748;82;92;11;14;0;0;4;16;8;0;0;0;64;-0.13206732;-0.206955
3.80928403;3842;16325;0;749;82;92;9;14;0;0;4;16;8;0;0;0;64;-0.01794040;-0.176640
3.81331403;3840;16319;0;750;82;92;5;14;0;0;4;16;8;0;0;0;64;-0.09402501;-0.196850
3.82928703;3841;16321;0;751;82;92;11;14;0;0;4;16;8;0;0;0;64;-0.05598271;-0.186745
