Experiment parameters :
Instruction;Be as fast as possible
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.93730704;3908;14396;0;237;93;95;11;14;0;0;4;16;8;1;2;0;64;2.49285163;0.490289
1.94931304;3846;14407;0;350;92;95;11;14;0;0;4;16;8;1;2;0;64;0.13422881;-0.136220
1.95730804;3835;14416;0;539;92;94;10;14;0;0;4;16;8;0;2;0;64;-0.28423653;-0.247375
1.96931604;3829;14418;0;547;91;93;15;14;0;0;4;16;8;1;0;0;64;-0.51249035;-0.308005
1.97731804;3830;14421;0;554;91;93;13;14;0;0;4;16;8;1;0;0;64;-0.47444805;-0.297900
1.98931204;3832;14422;0;555;90;93;15;14;0;0;4;16;8;1;0;0;64;-0.39836344;-0.277690
1.99731604;3831;14419;0;555;90;92;14;14;0;0;4;16;8;0;0;0;64;-0.43640574;-0.287795
2.00930804;3832;14422;0;559;90;92;12;14;0;0;4;16;8;0;0;0;64;-0.39836344;-0.277690
2.01731504;3832;14424;0;567;89;92;15;14;0;0;4;16;8;0;0;0;64;-0.39836344;-0.277690
2.02931704;3830;14421;0;582;89;92;12;14;0;0;4;16;8;0;0;0;64;-0.47444805;-0.297900
2.03730904;3830;14422;0;604;89;92;13;14;0;0;4;16;8;0;0;0;64;-0.47444805;-0.297900
2.04931504;3833;14425;0;630;89;92;15;14;0;0;4;16;8;0;0;0;64;-0.36032114;-0.267585
2.05730804;3830;14421;0;655;89;92;15;14;0;0;4;16;8;0;0;0;64;-0.47444805;-0.297900
2.06931404;3828;14420;0;677;89;92;15;14;0;0;4;16;8;0;0;0;64;-0.55053265;-0.318110
2.07731904;3830;14425;0;696;89;92;13;14;0;0;4;16;8;0;0;0;64;-0.47444805;-0.297900
2.08931004;3832;14423;0;710;89;92;9;14;0;0;4;16;8;0;0;0;64;-0.39836344;-0.277690
2.09731504;3830;14418;0;721;89;93;15;14;0;0;4;16;8;1;0;0;64;-0.47444805;-0.297900
2.10930704;3828;14422;0;728;89;93;14;14;0;0;4;16;8;1;0;0;64;-0.55053265;-0.318110
2.11731404;3830;14424;0;734;89;93;13;14;0;0;4;16;8;1;0;0;64;-0.47444805;-0.297900
2.12931804;3829;14420;0;743;89;93;15;14;0;0;4;16;8;1;0;0;64;-0.51249035;-0.308005
2.13730904;3829;14420;0;753;90;93;13;14;0;0;4;16;8;1;0;0;64;-0.51249035;-0.308005
2.14931604;3830;14423;0;769;90;93;8;14;0;0;4;16;8;1;0;0;64;-0.47444805;-0.297900
2.15730904;3827;14419;0;778;90;93;10;14;0;0;4;16;8;1;0;0;64;-0.58857496;-0.328215
2.16931504;3829;14418;0;779;90;94;8;14;0;0;4;16;8;0;2;0;64;-0.51249035;-0.308005
2.17731904;3832;14419;0;780;89;94;11;14;0;0;4;16;8;0;2;0;64;-0.39836344;-0.277690
2.18931004;3831;14417;0;781;89;94;10;14;0;0;4;16;8;0;2;0;64;-0.43640574;-0.287795
2.19731604;3832;14417;0;781;89;94;9;14;0;0;4;16;8;0;2;0;64;-0.39836344;-0.277690
2.20930804;3832;14420;0;782;89;94;10;14;0;0;4;16;8;0;2;0;64;-0.39836344;-0.277690
2.21731704;3833;14417;0;783;89;94;9;14;0;0;4;16;8;0;2;0;64;-0.36032114;-0.267585
2.22931904;3832;14418;0;784;89;94;11;14;0;0;4;16;8;0;2;0;64;-0.39836344;-0.277690
2.23730904;3833;14421;0;784;89;94;10;14;0;0;4;16;8;0;2;0;64;-0.36032114;-0.267585
2.24931604;3835;14419;0;784;89;94;10;14;0;0;4;16;8;0;2;0;64;-0.28423653;-0.247375
2.25730904;3834;14421;0;786;89;93;11;14;0;0;4;16;8;1;0;0;64;-0.32227883;-0.257480
2.26931504;3834;14424;0;788;89;93;10;14;0;0;4;16;8;1;0;0;64;-0.32227883;-0.257480
2.27731904;3832;14421;0;788;89;93;11;14;0;0;4;16;8;1;0;0;64;-0.39836344;-0.277690
2.28931004;3830;14420;0;784;89;93;14;14;0;0;4;16;8;1;0;0;64;-0.47444805;-0.297900
2.29731604;3831;14423;0;784;89;93;8;14;0;0;4;16;8;1;0;0;64;-0.43640574;-0.287795
2.30931104;3834;14425;0;781;89;93;10;14;0;0;4;16;8;1;0;0;64;-0.32227883;-0.257480
2.31731704;3832;14419;0;777;89;93;10;14;0;0;4;16;8;1;0;0;64;-0.39836344;-0.277690
2.32931804;3833;14424;0;776;89;93;12;14;0;0;4;16;8;1;0;0;64;-0.36032114;-0.267585
2.33731004;3836;14426;0;776;89;93;10;14;0;0;4;16;8;1;0;0;64;-0.24619423;-0.237270
2.34931604;3836;14421;0;774;88;93;11;14;0;0;4;16;8;1;0;0;64;-0.24619423;-0.237270
2.35730904;3836;14421;0;773;88;93;10;14;0;0;4;16;8;1;0;0;64;-0.24619423;-0.237270
2.36931704;3841;14423;0;773;88;93;12;14;0;0;4;16;8;1;0;0;64;-0.05598271;-0.186745
2.37732104;3839;14421;0;772;88;93;11;14;0;0;4;16;8;1;0;0;64;-0.13206732;-0.206955
2.38931404;3840;14420;0;772;88;93;8;14;0;0;4;16;8;1;0;0;64;-0.09402501;-0.196850
2.39731804;3841;14422;0;771;88;93;9;14;0;0;4;16;8;1;0;0;64;-0.05598271;-0.186745
2.40930904;3844;14423;0;772;87;93;9;14;0;0;4;16;8;1;0;0;64;0.05814420;-0.156430
2.41731704;3843;14421;0;772;87;92;11;14;0;0;4;16;8;0;0;0;64;0.02010190;-0.166535
2.42932304;3846;14423;0;774;87;93;10;14;0;0;4;16;8;1;0;0;64;0.13422881;-0.136220
2.43731504;3848;14423;0;778;87;93;9;14;0;0;4;16;8;1;0;0;64;0.21031342;-0.116010
2.44932004;3848;14418;0;784;87;93;8;14;0;0;4;16;8;1;0;0;64;0.21031342;-0.116010
2.45731504;3848;14421;0;793;87;93;11;14;0;0;4;16;8;1;0;0;64;0.21031342;-0.116010
2.46932004;3852;14423;0;808;87;93;11;14;0;0;4;16;8;1;0;0;64;0.36248263;-0.075591
2.47732004;3851;14420;0;817;86;93;8;14;0;0;4;16;8;1;0;0;64;0.32444033;-0.085696
2.48931604;3852;14422;0;831;86;93;8;14;0;0;4;16;8;1;0;0;64;0.36248263;-0.075591
2.49732004;3853;14423;0;841;86;93;9;14;0;0;4;16;8;1;0;0;64;0.40052493;-0.065486
2.50931404;3853;14420;0;850;86;93;8;14;0;0;4;16;8;1;0;0;64;0.40052493;-0.065486
2.51732204;3853;14424;0;858;86;93;11;14;0;0;4;16;8;1;0;0;64;0.40052493;-0.065486
