Experiment parameters :
Instruction;Be both fast and precise
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
21.39342811;8101;15253;42;258;89;99;9;14;0;0;0;0;0;1;2;32;64;162.00423035;42.860499
21.40141711;8007;15111;41;255;89;99;9;14;0;0;0;0;0;1;2;32;64;158.42825382;41.910630
21.41342511;7951;15017;41;243;88;99;3;14;0;0;0;0;0;1;2;32;64;156.29788482;41.344751
21.42141711;7877;14930;40;244;88;99;4;14;0;0;0;0;0;1;2;32;64;153.48275436;40.596982
21.43342311;7787;14852;39;244;87;99;6;14;0;0;0;0;0;1;2;32;64;150.05894704;39.687533
21.44143011;7700;14781;38;245;87;98;4;14;0;0;0;0;0;0;2;32;64;146.74926664;38.808399
21.45341811;7620;14713;38;250;87;98;6;14;0;0;0;0;0;0;2;32;64;143.70588235;38.000000
21.46142511;7547;14647;37;257;87;98;4;14;0;0;0;0;0;0;2;32;64;140.92879419;37.262336
21.47342511;7477;14578;36;264;87;99;4;14;0;0;0;0;0;1;2;32;64;138.26583295;36.554987
21.48141811;7416;14522;35;270;87;99;6;14;0;0;0;0;0;1;2;32;64;135.94525243;35.938583
21.49342711;7360;14466;35;273;87;99;6;14;0;0;0;0;0;1;2;32;64;133.81488343;35.372703
21.50141811;7285;14432;34;486;87;99;9;14;0;0;0;0;0;1;2;32;64;130.96171067;34.614829
21.51344211;7230;14450;34;462;87;99;11;14;0;0;0;0;0;1;2;32;64;128.86938397;34.059055
21.52142011;7149;14449;33;458;87;100;10;14;0;0;4;0;0;0;0;32;64;125.78795739;33.240551
21.53342611;7078;14442;32;457;87;100;9;14;0;0;4;0;0;0;0;32;64;123.08695384;32.523097
21.54142711;7019;14442;31;459;87;100;9;14;0;0;4;0;0;0;0;32;64;120.84245793;31.926903
21.55342011;6980;14446;31;458;87;99;9;14;0;0;0;0;0;1;2;32;64;119.35880809;31.532808
21.56142411;6944;14441;31;457;87;99;10;14;0;0;0;0;0;1;2;32;64;117.98928516;31.169029
21.57342511;6915;14441;30;454;87;99;10;14;0;0;0;0;0;1;2;32;64;116.88605836;30.875984
21.58141811;6888;14444;30;453;87;99;11;14;0;0;0;0;0;1;2;32;64;115.85891616;30.603150
21.59342811;6853;14443;30;447;87;98;10;14;0;0;0;0;0;0;2;32;64;114.52743554;30.249475
21.60141811;6820;14438;29;442;87;98;11;14;0;0;0;0;0;0;2;32;64;113.27203952;29.916010
21.61342611;6789;14444;29;443;87;98;10;14;0;0;0;0;0;0;2;32;64;112.09272811;29.602756
21.62141911;6756;14440;29;444;87;98;11;14;0;0;0;0;0;0;2;32;64;110.83733210;29.269291
21.63342511;6725;14438;28;444;88;98;8;14;0;0;0;0;0;0;2;32;64;109.65802069;28.956037
21.64142811;6704;14442;28;445;88;98;12;14;0;0;0;0;0;0;2;32;64;108.85913231;28.743832
21.65341911;6677;14440;28;446;88;98;10;14;0;0;0;0;0;0;2;32;64;107.83199012;28.470997
21.66142511;6650;14440;28;449;87;97;9;14;0;0;0;0;0;1;0;32;64;106.80484792;28.198163
21.67342511;6615;14439;27;453;88;97;11;14;0;0;0;0;0;1;0;32;64;105.47336730;27.844488
21.68141911;6570;14439;27;453;88;97;9;14;0;0;0;0;0;1;0;32;64;103.76146364;27.389764
21.69342811;6515;14436;26;453;88;97;8;14;0;0;0;0;0;1;0;32;64;101.66913695;26.833990
21.70141911;6460;14436;26;461;88;97;12;14;0;0;0;0;0;1;0;32;64;99.57681025;26.278215
21.71342511;6404;14434;25;464;89;97;13;14;0;0;0;0;0;1;0;32;64;97.44644125;25.712336
21.72142011;6341;14429;25;477;89;97;8;14;0;0;0;0;0;1;0;32;64;95.04977613;25.075722
21.73342511;6264;14429;24;487;89;97;15;14;0;0;0;0;0;1;0;32;64;92.12051876;24.297638
21.74142911;6186;14429;23;497;89;97;12;14;0;0;0;0;0;1;0;32;64;89.15321908;23.509449
21.75341811;6103;14424;22;505;89;97;11;14;0;0;0;0;0;1;0;32;64;85.99570789;22.670735
21.76142611;6019;14426;21;514;88;96;8;14;0;0;0;0;0;0;0;32;64;82.80015439;21.821916
21.77342711;5933;14426;20;523;88;96;12;14;0;0;0;0;0;0;0;32;64;79.52851629;20.952887
21.78142011;5839;14424;20;527;88;96;11;14;0;0;0;0;0;0;0;32;64;75.95253976;20.003018
21.79342811;5735;14418;18;530;88;96;13;14;0;0;0;0;0;0;0;32;64;71.99614019;18.952100
21.80142011;5643;14419;18;530;88;96;14;14;0;0;0;0;0;0;0;32;64;68.49624826;18.022441
21.81342611;5548;14418;17;530;88;96;13;14;0;0;0;0;0;0;0;32;64;64.88222943;17.062467
21.82142211;5460;14412;16;529;88;96;8;14;0;0;0;0;0;0;0;32;64;61.53450672;16.173228
21.83343211;5382;14415;15;529;88;96;12;14;0;0;0;0;0;0;0;32;64;58.56720704;15.385039
21.84148111;5303;14412;14;529;89;96;15;14;0;0;0;0;0;0;0;32;64;55.56186506;14.586745
21.85342011;5225;14408;13;529;89;96;11;14;0;0;0;0;0;0;0;32;64;52.59456539;13.798556
21.86142611;5161;14410;13;528;89;96;13;14;0;0;0;0;0;0;0;32;64;50.15985796;13.151837
21.87342711;5088;14411;12;527;89;96;8;14;0;0;0;0;0;0;0;32;64;47.38276980;12.414173
21.88542311;5001;14405;11;524;89;96;11;14;0;0;0;0;0;0;0;32;64;44.07308939;11.535039
21.89342711;4920;14405;10;522;88;96;14;14;0;0;0;0;0;0;0;32;64;40.99166281;10.716535
21.90542011;4848;14407;9;525;88;96;14;14;0;0;0;0;0;0;0;32;64;38.25261695;9.988976
21.91342611;4767;14402;9;531;88;96;11;14;0;0;0;0;0;0;0;32;64;35.17119037;9.170472
21.92142211;4686;14402;8;534;88;96;13;14;0;0;0;0;0;0;0;32;64;32.08976378;8.351969
21.93342811;4613;14406;7;533;89;96;14;14;0;0;0;0;0;0;0;32;64;29.31267562;7.614304
21.94542811;4540;14404;6;532;89;95;9;14;0;0;4;16;8;1;2;0;64;26.53558746;6.876640
21.95342111;4459;14401;6;535;89;95;15;14;0;0;4;16;8;1;2;0;64;23.45416088;6.058136
21.96542711;4379;14405;5;547;89;95;12;14;0;0;4;16;8;1;2;0;64;20.41077659;5.249738
