Experiment parameters :
Instruction;25% speed / 75% accuracy
Block number;2
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
2.83331894;5357;15168;15;336;89;94;14;14;0;0;4;16;8;0;2;0;64;57.61614945;15.132415
2.84131194;5332;15147;14;345;89;93;1;14;0;0;4;16;8;1;0;0;64;56.66509186;14.879790
2.85332094;5299;15126;14;361;89;93;2;14;0;0;4;16;8;1;0;0;64;55.40969585;14.546325
2.86132194;5258;15104;14;379;89;92;1;14;0;0;4;16;8;0;0;0;64;53.84996140;14.132021
2.87331594;5204;15085;13;416;88;92;1;14;0;0;4;16;8;0;0;0;64;51.79567701;13.586352
2.88132094;5142;15055;12;466;88;91;0;14;0;0;0;16;8;1;2;0;64;49.43705419;12.959843
2.89331594;5076;15015;12;526;88;91;5;14;0;0;0;16;8;1;2;0;64;46.92626216;12.292913
2.90131994;5011;14977;11;576;88;91;5;14;0;0;0;16;8;1;2;0;64;44.45351243;11.636089
2.91332194;4951;14941;11;612;88;91;6;14;0;0;0;16;8;1;2;0;64;42.17097422;11.029790
2.92131494;4894;14904;10;632;87;91;7;14;0;0;0;16;8;1;2;0;64;40.00256291;10.453806
2.93331894;4842;14877;9;640;87;91;7;14;0;0;0;16;8;1;2;0;64;38.02436313;9.928346
2.94131594;4779;14842;9;641;87;91;6;14;0;0;0;16;8;1;2;0;64;35.62769801;9.291732
2.95331894;4708;14799;8;644;88;91;4;14;0;0;0;16;8;1;2;0;64;32.92669446;8.574278
2.96132294;4637;14742;7;646;88;91;5;14;0;0;0;16;8;1;2;0;64;30.22569091;7.856824
2.97331594;4566;14662;7;648;88;91;5;14;0;0;0;16;8;1;2;0;64;27.52468736;7.139370
2.98131994;4497;14558;6;649;88;92;6;14;0;0;4;16;8;0;0;0;64;24.89976841;6.442126
2.99331494;4431;14447;5;651;89;92;4;14;0;0;4;16;8;0;0;0;64;22.38897638;5.775197
3.00531994;4382;14419;5;793;89;93;5;14;0;0;4;16;8;1;0;0;64;20.52490350;5.280052
3.01331994;4308;14419;4;793;90;93;4;14;0;0;4;16;8;1;0;0;64;17.70977304;4.532283
3.02531394;4258;14415;4;797;90;94;7;14;0;0;4;16;8;0;2;0;64;15.80765787;4.027034
3.03331994;4216;14418;3;802;90;94;4;14;0;0;4;16;8;0;2;0;64;14.20988112;3.602625
3.04532294;4173;14415;3;806;90;94;5;14;0;0;4;16;8;0;2;0;64;12.57406207;3.168110
3.05331494;4137;14414;2;812;90;94;4;14;0;0;4;16;8;0;2;0;64;11.20453914;2.804331
3.06532094;4106;14414;2;820;90;94;7;14;0;0;4;16;8;0;2;0;64;10.02522773;2.491076
3.07331494;4073;14412;2;824;90;94;6;14;0;0;4;16;8;0;2;0;64;8.76983171;2.157612
3.08531994;4037;14410;1;828;89;93;5;14;0;0;4;16;8;1;0;0;64;7.40030878;1.793832
3.09331694;4002;14413;1;833;89;93;6;14;0;0;4;16;8;1;0;0;64;6.06882816;1.440157
3.10531994;3956;14413;0;835;89;93;7;14;0;0;4;16;8;1;0;0;64;4.31888220;0.975328
3.11332094;3904;14408;0;835;89;93;4;14;0;0;4;16;8;1;0;0;64;2.34068241;0.449869
3.12531394;3856;14410;0;837;89;93;7;14;0;0;4;16;8;1;0;0;64;0.51465184;-0.035171
3.13332094;3846;14418;0;878;89;93;8;14;0;0;4;16;8;1;0;0;64;0.13422881;-0.136220
3.14532694;3844;14413;0;909;89;93;5;14;0;0;4;16;8;1;0;0;64;0.05814420;-0.156430
3.15332094;3845;14416;0;919;89;92;8;14;0;0;4;16;8;0;0;0;64;0.09618651;-0.146325
3.16532394;3846;14418;0;932;89;92;5;14;0;0;4;16;8;0;0;0;64;0.13422881;-0.136220
3.17331994;3847;14418;0;937;89;92;5;14;0;0;4;16;8;0;0;0;64;0.17227111;-0.126115
3.18532494;3842;14419;0;936;89;92;6;14;0;0;4;16;8;0;0;0;64;-0.01794040;-0.176640
3.19332194;3845;14422;0;929;89;92;10;14;0;0;4;16;8;0;0;0;64;0.09618651;-0.146325
3.20532394;3845;14423;0;927;89;91;8;14;0;0;0;16;8;1;2;0;64;0.09618651;-0.146325
3.21332594;3845;14420;0;928;89;91;6;14;0;0;0;16;8;1;2;0;64;0.09618651;-0.146325
3.22531994;3846;14421;0;928;89;91;8;14;0;0;0;16;8;1;2;0;64;0.13422881;-0.136220
3.23332594;3849;14423;0;929;89;90;8;14;0;0;0;16;8;0;2;0;64;0.24835572;-0.105906
3.24532694;3847;14421;0;928;89;90;6;14;0;0;0;16;8;0;2;0;64;0.17227111;-0.126115
3.25332194;3846;14423;0;924;88;90;10;14;0;0;0;16;8;0;2;0;64;0.13422881;-0.136220
3.26532794;3847;14426;0;924;88;90;11;14;0;0;0;16;8;0;2;0;64;0.17227111;-0.126115
3.27334094;3848;14427;0;925;88;89;4;14;0;0;0;16;8;1;0;0;64;0.21031342;-0.116010
3.28532894;3846;14424;0;923;88;89;9;14;0;0;0;16;8;1;0;0;64;0.13422881;-0.136220
3.29332994;3846;14428;0;924;89;89;11;14;0;0;0;16;8;1;0;0;64;0.13422881;-0.136220
3.30532194;3849;14425;0;931;89;89;5;14;0;0;0;16;8;1;0;0;64;0.24835572;-0.105906
3.31332694;3846;14425;0;938;89;89;10;14;0;0;0;16;8;1;0;0;64;0.13422881;-0.136220
