Experiment parameters :
Instruction;Be as precise as possible
Block number;3
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.40530004;4249;14387;3;164;94;91;11;14;0;0;0;16;8;1;2;0;64;15.46527713;3.936089
1.46529404;3855;14415;0;736;92;91;4;14;0;0;0;16;8;1;2;0;64;0.47660954;-0.045276
1.47330104;3856;14417;0;709;91;90;8;14;0;0;0;16;8;0;2;0;64;0.51465184;-0.035171
1.48530004;3855;14420;0;709;91;90;11;14;0;0;0;16;8;0;2;0;64;0.47660954;-0.045276
1.49330404;3861;14426;0;717;90;89;9;14;0;0;0;16;8;1;0;0;64;0.70486336;0.015354
1.50530504;3860;14428;0;723;89;88;8;14;0;0;0;16;8;0;0;0;64;0.66682106;0.005249
1.51329904;3859;14429;0;736;89;88;11;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.52530404;3862;14433;0;748;88;88;9;14;0;0;0;16;8;0;0;0;64;0.74290567;0.025459
1.53330204;3862;14437;0;753;88;87;9;14;0;0;4;16;0;1;2;0;64;0.74290567;0.025459
1.54530304;3861;14436;0;757;88;87;9;14;0;0;4;16;0;1;2;0;64;0.70486336;0.015354
1.55330704;3860;14442;0;761;88;86;8;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
1.56530104;3860;14441;0;763;88;86;11;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
1.57330504;3860;14439;0;765;88;86;10;14;0;0;4;16;0;0;2;0;64;0.66682106;0.005249
1.58530104;3857;14442;0;780;88;85;10;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.59330404;3858;14440;0;811;88;85;11;14;0;0;4;16;0;1;0;0;64;0.59073645;-0.014961
1.60530504;3858;14435;0;841;88;85;8;14;0;0;4;16;0;1;0;0;64;0.59073645;-0.014961
1.61330004;3855;14439;0;871;88;84;15;14;0;0;4;16;0;0;0;0;64;0.47660954;-0.045276
1.62530504;3858;14439;0;902;88;84;12;14;0;0;4;16;0;0;0;0;64;0.59073645;-0.014961
1.63330104;3855;14435;0;929;89;84;11;14;0;0;4;16;0;0;0;0;64;0.47660954;-0.045276
1.64530504;3857;14435;0;953;89;84;14;14;0;0;4;16;0;0;0;0;64;0.55269415;-0.025066
1.65330704;3858;14435;0;980;89;84;14;14;0;0;4;16;0;0;0;0;64;0.59073645;-0.014961
1.66529904;3858;14433;0;1010;89;84;11;14;0;0;4;16;0;0;0;0;64;0.59073645;-0.014961
1.67330504;3858;14429;0;1023;89;84;11;14;0;0;4;16;0;0;0;0;64;0.59073645;-0.014961
1.68530204;3857;14430;0;1023;89;85;10;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.69330404;3857;14429;0;1023;89;85;11;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.70530604;3854;14424;0;1023;89;85;11;14;0;0;4;16;0;1;0;0;64;0.43856724;-0.055381
1.71330004;3856;14426;0;1023;89;85;8;14;0;0;4;16;0;1;0;0;64;0.51465184;-0.035171
1.72530704;3857;14426;0;1023;89;85;9;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.73330004;3857;14421;0;1023;89;85;11;14;0;0;4;16;0;1;0;0;64;0.55269415;-0.025066
1.74530604;3854;14422;0;1023;89;85;11;14;0;0;4;16;0;1;0;0;64;0.43856724;-0.055381
1.75330704;3856;14422;0;1023;89;86;8;14;0;0;4;16;0;0;2;0;64;0.51465184;-0.035171
1.76529904;3854;14417;0;1023;89;86;5;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.77330504;3854;14417;0;1023;89;86;9;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.78530204;3855;14420;0;1023;89;86;9;14;0;0;4;16;0;0;2;0;64;0.47660954;-0.045276
1.79330604;3854;14417;0;1023;89;86;8;14;0;0;4;16;0;0;2;0;64;0.43856724;-0.055381
1.80530604;3851;14413;0;1023;89;87;10;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
1.81330204;3852;14415;0;1023;89;87;4;14;0;0;4;16;0;1;2;0;64;0.36248263;-0.075591
1.82530604;3856;14413;0;1023;89;87;4;14;0;0;4;16;0;1;2;0;64;0.51465184;-0.035171
1.83330104;3851;14411;0;1023;89;87;6;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
1.84530604;3854;14412;0;1023;89;87;8;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
1.85330904;3857;14414;0;1023;89;88;5;14;0;0;0;16;8;0;0;0;64;0.55269415;-0.025066
1.86530004;3857;14411;0;1023;88;88;4;14;0;0;0;16;8;0;0;0;64;0.55269415;-0.025066
1.87330904;3858;14410;0;1023;88;88;5;14;0;0;0;16;8;0;0;0;64;0.59073645;-0.014961
1.88530104;3861;14412;0;1023;88;88;5;14;0;0;0;16;8;0;0;0;64;0.70486336;0.015354
1.89330504;3860;14412;0;1023;88;88;5;14;0;0;0;16;8;0;0;0;64;0.66682106;0.005249
1.90531004;3859;14411;0;1023;88;88;5;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.91330204;3862;14411;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.74290567;0.025459
1.92530904;3864;14412;0;1023;87;89;6;14;0;0;0;16;8;1;0;0;64;0.81899027;0.045669
1.93330104;3859;14409;0;1023;87;89;6;14;0;0;0;16;8;1;0;0;64;0.62877876;-0.004856
1.94530804;3862;14413;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.74290567;0.025459
1.95331004;3864;14410;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.81899027;0.045669
1.96530204;3859;14408;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.62877876;-0.004856
1.97330804;3861;14409;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.70486336;0.015354
1.98530204;3861;14410;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.70486336;0.015354
1.99330504;3859;14408;0;1023;87;89;6;14;0;0;0;16;8;1;0;0;64;0.62877876;-0.004856
2.00530804;3859;14408;0;1023;87;89;5;14;0;0;0;16;8;1;0;0;64;0.62877876;-0.004856
2.01330204;3859;14410;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.62877876;-0.004856
2.02531004;3859;14409;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.62877876;-0.004856
2.03330204;3854;14407;0;1023;87;89;5;14;0;0;0;16;8;1;0;0;64;0.43856724;-0.055381
2.04530704;3854;14411;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.43856724;-0.055381
2.05330904;3854;14409;0;1023;87;90;5;14;0;0;0;16;8;0;2;0;64;0.43856724;-0.055381
2.06530304;3853;14406;0;1023;87;90;6;14;0;0;0;16;8;0;2;0;64;0.40052493;-0.065486
2.07330804;3852;14406;0;1023;87;90;7;14;0;0;0;16;8;0;2;0;64;0.36248263;-0.075591
2.08530204;3856;14410;0;1023;87;90;4;14;0;0;0;16;8;0;2;0;64;0.51465184;-0.035171
2.09330704;3856;14406;0;1023;87;90;5;14;0;0;0;16;8;0;2;0;64;0.51465184;-0.035171
2.10530904;3854;14409;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.43856724;-0.055381
2.11330304;3854;14411;0;1023;87;89;4;14;0;0;0;16;8;1;0;0;64;0.43856724;-0.055381
