Experiment parameters :
Instruction;1. Full speed
Block number;3
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.57115788;4108;14197;0;431;95;122;1;14;0;0;0;16;8;0;2;32;64;-1.19280531;-0.488714
1.57518788;4105;14194;0;444;95;121;3;14;0;0;0;16;8;1;0;32;64;-1.30693222;-0.519029
1.59116088;4107;14193;0;440;94;121;0;14;0;0;0;16;8;1;0;32;64;-1.23084761;-0.498819
1.59518288;4108;14196;0;443;94;120;1;14;0;0;0;16;8;0;0;32;64;-1.19280531;-0.488714
1.61116088;4106;14198;0;472;94;120;0;14;0;0;0;16;8;0;0;32;64;-1.26888992;-0.508924
1.61518288;4105;14196;0;506;94;119;3;14;0;0;4;16;0;1;2;32;64;-1.30693222;-0.519029
1.63116088;4107;14197;0;560;94;119;3;14;0;0;4;16;0;1;2;32;64;-1.23084761;-0.498819
1.63518288;4106;14198;0;581;94;119;3;14;0;0;4;16;0;1;2;32;64;-1.26888992;-0.508924
1.65115988;4103;14197;0;591;94;119;3;14;0;0;4;16;0;1;2;32;64;-1.38301683;-0.539239
1.65518288;4107;14199;0;598;94;119;0;14;0;0;4;16;0;1;2;32;64;-1.23084761;-0.498819
1.67115888;4107;14197;0;609;94;119;3;14;0;0;4;16;0;1;2;32;64;-1.23084761;-0.498819
1.67518588;4104;14198;0;622;94;119;2;14;0;0;4;16;0;1;2;32;64;-1.34497453;-0.529134
1.69116588;4105;14199;0;628;94;119;2;14;0;0;4;16;0;1;2;32;64;-1.30693222;-0.519029
1.69518288;4109;14199;0;633;94;119;0;14;0;0;4;16;0;1;2;32;64;-1.15476301;-0.478609
1.71116088;4105;14197;0;636;94;119;2;14;0;0;4;16;0;1;2;32;64;-1.30693222;-0.519029
1.71518388;4106;14197;0;639;94;119;2;14;0;0;4;16;0;1;2;32;64;-1.26888992;-0.508924
1.73116188;4108;14202;0;642;94;119;0;14;0;0;4;16;0;1;2;32;64;-1.19280531;-0.488714
1.73518388;4107;14197;0;642;94;119;2;14;0;0;4;16;0;1;2;32;64;-1.23084761;-0.498819
1.75116088;4108;14195;0;641;94;119;3;14;0;0;4;16;0;1;2;32;64;-1.19280531;-0.488714
1.75518388;4116;14198;0;641;93;119;1;14;0;0;4;16;0;1;2;32;64;-0.88846688;-0.407874
1.77115888;4116;14197;0;642;93;119;2;14;0;0;4;16;0;1;2;32;64;-0.88846688;-0.407874
1.77518788;4121;14197;0;642;93;119;0;14;0;0;4;16;0;1;2;32;64;-0.69825537;-0.357349
1.79116588;4125;14197;0;642;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.54608615;-0.316929
1.79518288;4125;14197;0;642;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.54608615;-0.316929
1.81116188;4127;14195;0;643;94;119;2;14;0;0;4;16;0;1;2;32;64;-0.47000154;-0.296719
1.81518388;4129;14196;0;645;94;119;1;14;0;0;4;16;0;1;2;32;64;-0.39391694;-0.276509
1.83116188;4131;14196;0;647;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.31783233;-0.256299
1.83518488;4128;14195;0;648;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.43195924;-0.286614
1.85116188;4130;14196;0;649;94;119;1;14;0;0;4;16;0;1;2;32;64;-0.35587463;-0.266404
1.85518388;4133;14197;0;649;94;119;1;14;0;0;4;16;0;1;2;32;64;-0.24174772;-0.236089
1.87115888;4131;14195;0;649;94;119;3;14;0;0;4;16;0;1;2;32;64;-0.31783233;-0.256299
1.87519188;4132;14195;0;649;94;119;1;14;0;0;4;16;0;1;2;32;64;-0.27979003;-0.246194
1.89122588;4135;14199;0;649;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.16566312;-0.215879
1.89518588;4134;14194;0;649;94;119;1;14;0;0;4;16;0;1;2;32;64;-0.20370542;-0.225984
1.91116288;4135;14194;0;650;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.16566312;-0.215879
1.91518488;4137;14197;0;651;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.08957851;-0.195669
1.93116288;4136;14194;0;652;94;119;1;14;0;0;4;16;0;1;2;32;64;-0.12762081;-0.205774
1.93518488;4136;14194;0;653;94;119;3;14;0;0;4;16;0;1;2;32;64;-0.12762081;-0.205774
1.95116188;4138;14197;0;653;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.05153621;-0.185564
1.95518488;4139;14195;0;654;94;119;3;14;0;0;4;16;0;1;2;32;64;-0.01349390;-0.175459
1.97116088;4139;14194;0;655;94;119;0;14;0;0;4;16;0;1;2;32;64;-0.01349390;-0.175459
1.97519288;4142;14197;0;655;94;119;0;14;0;0;4;16;0;1;2;32;64;0.10063301;-0.145144
1.99117988;4143;14197;0;656;94;119;2;14;0;0;4;16;0;1;2;32;64;0.13867531;-0.135039
1.99518888;4141;14192;0;656;94;119;1;14;0;0;4;16;0;1;2;32;64;0.06259071;-0.155249
2.01116388;4145;14195;0;656;94;119;3;14;0;0;4;16;0;1;2;32;64;0.21475992;-0.114829
2.01518888;4147;14198;0;656;94;119;1;14;0;0;4;16;0;1;2;32;64;0.29084453;-0.094619
2.03116188;4144;14193;0;657;94;119;3;14;0;0;4;16;0;1;2;32;64;0.17671762;-0.124934
2.03518688;4147;14193;0;657;94;120;0;14;0;0;0;16;8;0;0;32;64;0.29084453;-0.094619
2.05116288;4146;14195;0;657;94;120;3;14;0;0;0;16;8;0;0;32;64;0.25280222;-0.104724
2.05518588;4148;14193;0;658;94;120;3;14;0;0;0;16;8;0;0;32;64;0.32888683;-0.084514
2.07116088;4151;14194;0;658;94;120;1;14;0;0;0;16;8;0;0;32;64;0.44301374;-0.054199
2.07518988;4154;14197;0;658;94;120;0;14;0;0;0;16;8;0;0;32;64;0.55714065;-0.023885
2.09116788;4157;14194;0;659;94;120;1;14;0;0;0;16;8;0;0;32;64;0.67126756;0.006430
2.09518588;4162;14195;0;659;94;120;2;14;0;0;0;16;8;0;0;32;64;0.86147908;0.056955
2.11116388;4172;14194;0;660;94;120;1;14;0;0;0;16;8;0;0;32;64;1.24190212;0.158005
2.11518588;4176;14194;0;660;94;120;1;14;0;0;0;16;8;0;0;32;64;1.39407133;0.198425
2.13116288;4184;14194;0;660;93;120;3;14;0;0;0;16;8;0;0;32;64;1.69840976;0.279265
2.13518688;4192;14197;0;660;93;120;0;14;0;0;0;16;8;0;0;32;64;2.00274819;0.360105
2.15116288;4194;14194;0;660;93;120;1;14;0;0;0;16;8;0;0;32;64;2.07883279;0.380315
