Experiment parameters :
Instruction;4. Accuracy emphasis
Block number;2
D screen value (in mm);150.000000
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);42
Tablet start line (in dots);4156
Tablet target line (in dots);19000
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.26313192;4026;14193;-1;323;96;127;11;14;0;0;4;16;8;1;2;32;64;-4.31227420;-1.317323
1.26711692;4026;14196;-1;400;96;126;10;14;0;0;4;16;8;0;2;32;64;-4.31227420;-1.317323
1.28309492;4026;14199;-1;400;96;125;10;14;0;0;4;16;8;1;0;32;64;-4.31227420;-1.317323
1.28711692;4025;14194;-1;396;95;125;8;14;0;0;4;16;8;1;0;32;64;-4.35031650;-1.327428
1.30309392;4027;14196;-1;399;95;124;10;14;0;0;4;16;8;0;0;32;64;-4.27423190;-1.307218
1.30711692;4031;14199;-1;411;95;124;8;14;0;0;4;16;8;0;0;32;64;-4.12206268;-1.266798
1.32309392;4027;14195;-1;416;95;124;9;14;0;0;4;16;8;0;0;32;64;-4.27423190;-1.307218
1.32711592;4028;14195;-1;417;95;124;11;14;0;0;4;16;8;0;0;32;64;-4.23618959;-1.297113
1.34309292;4031;14197;-1;419;95;124;11;14;0;0;4;16;8;0;0;32;64;-4.12206268;-1.266798
1.34712492;4029;14195;-1;426;95;124;11;14;0;0;4;16;8;0;0;32;64;-4.19814729;-1.287008
1.36315592;4029;14193;-1;436;95;124;15;14;0;0;4;16;8;0;0;32;64;-4.19814729;-1.287008
1.36711692;4032;14198;-1;453;95;124;12;14;0;0;4;16;8;0;0;32;64;-4.08402038;-1.256693
1.38309592;4029;14194;-1;463;95;124;11;14;0;0;4;16;8;0;0;32;64;-4.19814729;-1.287008
1.38711692;4029;14193;-1;469;95;124;9;14;0;0;4;16;8;0;0;32;64;-4.19814729;-1.287008
1.40309392;4032;14197;-1;473;95;124;10;14;0;0;4;16;8;0;0;32;64;-4.08402038;-1.256693
1.40711792;4034;14195;-1;475;95;124;10;14;0;0;4;16;8;0;0;32;64;-4.00793577;-1.236483
1.42309392;4036;14194;-1;477;95;124;9;14;0;0;4;16;8;0;0;32;64;-3.93185117;-1.216273
1.42711592;4042;14197;-1;478;95;124;10;14;0;0;4;16;8;0;0;32;64;-3.70359734;-1.155643
1.44309292;4048;14194;-1;480;95;124;11;14;0;0;4;16;8;0;0;32;64;-3.47534352;-1.095013
1.44712492;4051;14192;-1;481;95;124;9;14;0;0;4;16;8;0;0;32;64;-3.36121661;-1.064698
1.46322592;4058;14196;0;482;95;124;10;14;0;0;4;16;8;0;0;32;64;-3.09492049;-0.993963
1.46711792;4067;14196;0;484;95;124;8;14;0;0;4;16;8;0;0;32;64;-2.75253976;-0.903018
1.48309592;4071;14193;0;486;95;124;8;14;0;0;4;16;8;0;0;32;64;-2.60037054;-0.862598
1.48711792;4077;14193;0;487;95;124;10;14;0;0;4;16;8;0;0;32;64;-2.37211672;-0.801969
1.50309592;4083;14196;0;489;95;124;10;14;0;0;4;16;8;0;0;32;64;-2.14386290;-0.741339
1.50711692;4085;14192;0;491;95;124;10;14;0;0;4;16;8;0;0;32;64;-2.06777829;-0.721129
1.52309492;4090;14192;0;493;95;124;13;14;0;0;4;16;8;0;0;32;64;-1.87756677;-0.670604
1.52711692;4092;14195;0;497;96;124;11;14;0;0;4;16;8;0;0;32;64;-1.80148217;-0.650394
1.54309292;4094;14190;0;499;96;124;11;14;0;0;4;16;8;0;0;32;64;-1.72539756;-0.630184
1.54711392;4096;14191;0;500;96;124;10;14;0;0;4;16;8;0;0;32;64;-1.64931295;-0.609974
1.56309292;4101;14196;0;500;96;124;9;14;0;0;4;16;8;0;0;32;64;-1.45910144;-0.559449
1.56712192;4105;14193;0;501;96;124;9;14;0;0;4;16;8;0;0;32;64;-1.30693222;-0.519029
1.58309592;4108;14190;0;502;95;124;11;14;0;0;4;16;8;0;0;32;64;-1.19280531;-0.488714
1.58711792;4113;14193;0;504;95;124;8;14;0;0;4;16;8;0;0;32;64;-1.00259379;-0.438189
1.60309592;4119;14193;0;505;95;124;8;14;0;0;4;16;8;0;0;32;64;-0.77433997;-0.377559
1.60711792;4123;14192;0;506;95;124;8;14;0;0;4;16;8;0;0;32;64;-0.62217076;-0.337139
1.62309592;4128;14194;0;506;95;124;9;14;0;0;4;16;8;0;0;32;64;-0.43195924;-0.286614
1.62711892;4131;14194;0;507;95;124;9;14;0;0;4;16;8;0;0;32;64;-0.31783233;-0.256299
1.64309592;4133;14191;0;509;95;124;10;14;0;0;4;16;8;0;0;32;64;-0.24174772;-0.236089
1.64711992;4133;14190;0;511;95;124;8;14;0;0;4;16;8;0;0;32;64;-0.24174772;-0.236089
1.66309292;4137;14195;0;514;95;124;10;14;0;0;4;16;8;0;0;32;64;-0.08957851;-0.195669
1.66712792;4134;14190;0;516;95;124;8;14;0;0;4;16;8;0;0;32;64;-0.20370542;-0.225984
1.68313692;4133;14192;0;520;96;124;9;14;0;0;4;16;8;0;0;32;64;-0.24174772;-0.236089
1.68712492;4135;14195;0;526;96;124;11;14;0;0;4;16;8;0;0;32;64;-0.16566312;-0.215879
1.70309692;4133;14192;0;530;96;124;10;14;0;0;4;16;8;0;0;32;64;-0.24174772;-0.236089
1.70711992;4132;14192;0;532;96;123;15;14;0;0;0;16;8;1;2;32;64;-0.27979003;-0.246194
1.72309692;4136;14194;0;534;96;124;13;14;0;0;4;16;8;0;0;32;64;-0.12762081;-0.205774
1.72711892;4134;14191;0;536;96;124;8;14;0;0;4;16;8;0;0;32;64;-0.20370542;-0.225984
1.74309792;4133;14192;0;540;96;123;14;14;0;0;0;16;8;1;2;32;64;-0.24174772;-0.236089
1.74711992;4134;14194;0;544;96;124;11;14;0;0;4;16;8;0;0;32;64;-0.20370542;-0.225984
1.77509492;4131;14190;0;554;96;124;13;14;0;0;4;16;8;0;0;32;64;-0.31783233;-0.256299
