Experiment parameters :
Instruction;3. Speed/accuracy balance
Block number;5
D screen value (in mm);150
D screen value (in pixels);564.705882
DC Gain;1.000000
Duration (in s);0
Screen offset (in mm);95
Tablet offset (in mm);39
Tablet start line (in dots);3859
Tablet target line (in dots);18703
Screen start line (pixels);357

Time (in s);X tablet (in dots);Y tablet (in dots);X screen (mm);Pressure;TiltX;TiltY;Distance;Stylus;Upper Button;Lower Button;Puck Left Button;Puck Right Button;Puck Wheel;Puck Wheel Up;Puck Wheel Down;Puck Extra Left;Puck Extra Right;X screen (pixels);X screen corrected (mm)
1.37385604;4455;14186;6;257;87;91;0;14;0;0;0;16;8;1;2;0;64;23.30199166;6.017717
1.38983304;4369;14188;5;263;88;90;1;14;0;0;0;16;8;0;2;0;64;20.03035356;5.148688
1.39385704;4279;14189;4;277;89;89;2;14;0;0;0;16;8;1;0;0;64;16.60654624;4.239239
1.40983204;4187;14192;3;330;89;88;2;14;0;0;0;16;8;0;0;0;64;13.10665432;3.309580
1.41385504;4080;14195;2;386;89;88;0;14;0;0;0;16;8;0;0;0;64;9.03612784;2.228346
1.42983104;3957;14192;0;449;90;88;1;14;0;0;0;16;8;0;0;0;64;4.35692450;0.985433
1.43386304;3836;14198;0;494;90;87;1;14;0;0;4;16;0;1;2;0;64;-0.24619423;-0.237270
1.44983404;3836;14202;0;658;90;87;1;14;0;0;4;16;0;1;2;0;64;-0.24619423;-0.237270
1.45385904;3844;14199;0;670;90;87;0;14;0;0;4;16;0;1;2;0;64;0.05814420;-0.156430
1.46983504;3844;14200;0;674;90;87;0;14;0;0;4;16;0;1;2;0;64;0.05814420;-0.156430
1.47385904;3851;14204;0;677;89;87;2;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
1.48983504;3849;14200;0;681;89;87;1;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
1.49386004;3852;14201;0;682;89;87;0;14;0;0;4;16;0;1;2;0;64;0.36248263;-0.075591
1.50983304;3855;14203;0;682;89;87;6;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276
1.51386104;3857;14201;0;684;88;87;3;14;0;0;4;16;0;1;2;0;64;0.55269415;-0.025066
1.52984004;3857;14197;0;688;88;88;1;14;0;0;0;16;8;0;0;0;64;0.55269415;-0.025066
1.53386104;3860;14203;0;695;88;88;0;14;0;0;0;16;8;0;0;0;64;0.66682106;0.005249
1.54983504;3859;14200;0;705;88;88;3;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.55385904;3859;14200;0;715;87;88;0;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.56983504;3859;14203;0;723;87;88;1;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.57385904;3859;14200;0;730;87;88;3;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.58983504;3859;14200;0;735;87;88;1;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.59385904;3859;14203;0;739;87;88;0;14;0;0;0;16;8;0;0;0;64;0.62877876;-0.004856
1.60983304;3856;14202;0;741;87;88;2;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171
1.61386704;3856;14201;0;743;87;88;3;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171
1.62996704;3856;14205;0;749;87;88;3;14;0;0;0;16;8;0;0;0;64;0.51465184;-0.035171
1.63386104;3859;14205;0;756;87;87;0;14;0;0;4;16;0;1;2;0;64;0.62877876;-0.004856
1.64983404;3855;14205;0;766;87;87;0;14;0;0;4;16;0;1;2;0;64;0.47660954;-0.045276
1.65386004;3854;14205;0;775;87;87;3;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
1.66983504;3854;14206;0;781;87;87;2;14;0;0;4;16;0;1;2;0;64;0.43856724;-0.055381
1.67385904;3853;14206;0;784;87;87;0;14;0;0;4;16;0;1;2;0;64;0.40052493;-0.065486
1.68983604;3851;14207;0;789;87;87;2;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
1.69386004;3851;14207;0;792;88;87;3;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
1.70983404;3849;14205;0;796;88;87;0;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
1.71386504;3849;14207;0;799;88;87;3;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
1.72984004;3852;14209;0;802;88;87;0;14;0;0;4;16;0;1;2;0;64;0.36248263;-0.075591
1.73386104;3849;14205;0;804;88;87;0;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
1.74983604;3848;14206;0;804;88;87;1;14;0;0;4;16;0;1;2;0;64;0.21031342;-0.116010
1.75386004;3851;14210;0;805;88;87;2;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
1.76983504;3850;14208;0;806;88;87;2;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801
1.77386004;3847;14207;0;808;88;87;0;14;0;0;4;16;0;1;2;0;64;0.17227111;-0.126115
1.78983504;3851;14209;0;809;88;87;3;14;0;0;4;16;0;1;2;0;64;0.32444033;-0.085696
1.79386104;3849;14205;0;810;88;87;0;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
1.80983304;3849;14205;0;811;88;87;3;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
1.81386404;3850;14209;0;810;88;87;3;14;0;0;4;16;0;1;2;0;64;0.28639802;-0.095801
1.82984204;3849;14207;0;810;88;87;2;14;0;0;4;16;0;1;2;0;64;0.24835572;-0.105906
